ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,last_px,high,low,volume,chg_pct,outcome,result_r,spy_regime,entry_type,n_gaps_above,gap_above_conviction,checked_at,scan_date
AVGO,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,369.56,381.9,350.63,315.06,8,1.53,361.989990234375,366.7799987792969,361.6400146484375,21166900.0,-0.09,NO_FILL,0.0,HOSTILE,LIMIT,20,CONVICTION,2026-09-24_1735,2026-09-11
VSXY,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,73.51,75.94,69.83,,41,1.51,75.6500015258789,76.62999725341797,73.56999969482422,1638200.0,3.23,STOPPED,-1.0,HOSTILE,LIMIT,20,CONVICTION,2026-09-24_1735,2026-09-11
BRKR,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,54.07,62.4,51.37,,12,0.32,53.43000030517578,54.33000183105469,53.08000183105469,2091300.0,-0.24,CLOSED,0.08,HOSTILE,LIMIT,20,CONVICTION,2026-09-24_1735,2026-09-11
BRZE,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,25.0,30.46,23.75,,18,0.23,23.940000534057617,24.719999313354492,23.420000076293945,3504700.0,-2.33,NO_FILL,0.0,HOSTILE,LIMIT,12,CONVICTION,2026-09-24_1735,2026-09-11
DDOG,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,227.09,284.59,215.74,,1,0.2,221.2100067138672,225.30999755859375,218.27000427246094,1870100.0,-0.64,NO_FILL,0.0,HOSTILE,LIMIT,20,COMPRESSION,2026-09-24_1735,2026-09-11
DPZ,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,320.22,323.57,312.32,310.51,29,2.36,311.6000061035156,321.6000061035156,310.6400146484375,597100.0,-1.8,TARGET_HIT,1.5,HOSTILE,LIMIT,20,CONVICTION,2026-09-24_1735,2026-09-11
KKR,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,102.51,104.61,94.64,86.1,47,3.75,101.08000183105469,103.63999938964844,100.8499984741211,2635200.0,0.58,CLOSED,0.68,HOSTILE,LIMIT,20,CONVICTION,2026-09-24_1735,2026-09-11
SRPT,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,20.94,36.36,19.89,,6,0.07,20.450000762939453,21.100000381469727,20.290000915527344,1810700.0,-0.39,CLOSED,0.03,HOSTILE,LIMIT,20,CONVICTION,2026-09-24_1735,2026-09-11
TPG,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,47.0,48.63,44.23,43.0,61,1.7,47.689998626708984,49.72999954223633,47.04999923706055,3136400.0,1.62,STOPPED,-1.0,HOSTILE,LIMIT,20,COMPRESSION,2026-09-24_1735,2026-09-11
PODD,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,136.74,138.61,131.21,132.14,53,2.96,131.9600067138672,135.5800018310547,131.24000549316406,1747900.0,-2.1,NO_FILL,0.0,HOSTILE,LIMIT,20,CONVICTION,2026-09-24_1735,2026-09-11
TDC,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,27.52,32.08,26.14,,21,0.3,27.84000015258789,28.329999923706055,27.459999084472656,1799600.0,2.32,CLOSED_LOSS,-0.07,HOSTILE,LIMIT,20,COMPRESSION,2026-09-24_1735,2026-09-11
BTC,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,34.52,37.27,30.04,,36,1.63,34.150001525878906,35.29499816894531,33.97999954223633,1767200.0,-0.15,CLOSED,0.13,HOSTILE,LIMIT,20,CONVICTION,2026-09-24_1735,2026-09-11
IBIT,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,44.25,47.73,37.85,,28,1.84,43.77000045776367,45.220001220703125,43.5,47708800.0,-0.02,CLOSED,0.14,HOSTILE,LIMIT,20,CONVICTION,2026-09-24_1735,2026-09-11
RVTY,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,122.72,124.47,116.02,114.86,57,3.82,124.30999755859375,124.6500015258789,121.61000061035156,1151500.0,3.32,STOPPED,-1.0,HOSTILE,LIMIT,20,CONVICTION,2026-09-24_1735,2026-09-11
LULU,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,98.71,100.53,95.82,,54,1.59,98.97000122070312,99.02999877929688,96.80000305175781,5612800.0,2.09,CLOSED_LOSS,-0.14,HOSTILE,LIMIT,20,COMPRESSION,2026-09-24_1735,2026-09-11
ESAB,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,70.68,73.17,67.14,,40,1.41,70.69000244140625,71.37000274658203,70.08999633789062,791800.0,2.02,CLOSED_LOSS,-0.0,HOSTILE,LIMIT,20,COMPRESSION,2026-09-24_1735,2026-09-11
BBY,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,88.48,93.34,79.36,75.88,20,1.87,90.80000305175781,91.37000274658203,88.06999969482422,3002500.0,3.08,CLOSED_LOSS,-0.48,HOSTILE,LIMIT,20,COMPRESSION,2026-09-24_1735,2026-09-11
