ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,scan_date,asof
GOVX,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,3.92,3.73,4.12,,510,1.0,FAVORABLE,3.9215,MARKET,2026-05-22,2026-05-22T06:59:06.627090
FUTU,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,91.97,87.37,102.0,,21,2.18,FAVORABLE,91.9653,MARKET,2026-05-22,2026-05-22T07:04:00.233408
GFS,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,87.68,80.94,92.06,,14,0.65,FAVORABLE,87.68,MARKET,2026-05-22,2026-05-22T07:07:56.712792
DXYZ,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,66.24,61.35,69.55,,20,0.68,FAVORABLE,66.24,MARKET,2026-05-22,2026-05-22T07:08:07.842028
WOLF,LONG,CONVICTION,97.7,BULL_BOUNCE_PENDING,73.47,68.46,77.14,,19,0.73,FAVORABLE,73.47,MARKET,2026-05-22,2026-05-22T07:19:09.434027
CRML,LONG,CONVICTION,97.4,BULL_BOUNCE_PENDING,11.36,10.79,12.71,12.82,176,2.39,FAVORABLE,11.36,MARKET,2026-05-22,2026-05-22T07:21:18.261352
OCS,LONG,CONVICTION,93.0,BULL_BOUNCE_PENDING,30.45,27.77,31.98,,37,0.57,FAVORABLE,30.455,MARKET,2026-05-22,2026-05-22T07:15:24.144769
PDD,LONG,CONVICTION,92.2,BULL_BOUNCE_PENDING,94.5,91.93,98.58,107.85,38,1.58,FAVORABLE,94.5,MARKET,2026-05-22,2026-05-22T07:03:12.455483
PUMP,SHORT,CONVICTION,91.5,DOUBLE_REJECTION_SHORT,17.17,17.44,16.01,16.01,374,4.35,FAVORABLE,17.17,MARKET,2026-05-22,2026-05-22T07:08:51.029230
IONQ,LONG,CONVICTION,90.9,BULL_BOUNCE_PENDING,62.38,59.26,65.5,,32,1.0,FAVORABLE,62.38,MARKET,2026-05-22,2026-05-22T07:02:06.146219
BE,LONG,CONVICTION,90.3,BULL_BOUNCE_PENDING,313.2,305.12,328.86,,12,1.94,FAVORABLE,313.2,MARKET,2026-05-22,2026-05-22T07:07:03.475785
AAP,LONG,CONVICTION,90.1,BULL_BOUNCE_PENDING,58.09,55.19,60.99,,34,1.0,FAVORABLE,58.09,MARKET,2026-05-22,2026-05-22T07:09:17.797393
SEDG,SHORT,CONVICTION,90.0,DOUBLE_REJECTION_SHORT,62.6,63.97,56.22,55.18,73,4.68,FAVORABLE,62.605,MARKET,2026-05-22,2026-05-22T07:09:50.291107
PURR,SHORT,CONVICTION,89.0,DOUBLE_REJECTION_SHORT,8.62,8.75,8.03,7.41,747,4.41,FAVORABLE,8.62,LIMIT,2026-05-22,2026-05-22T07:05:02.340069
BIYA,LONG,CONVICTION,88.5,BULL_BOUNCE_PENDING,1.22,1.11,1.28,,987,0.6,FAVORABLE,1.24,LIMIT,2026-05-22,2026-05-22T07:18:22.809051
INFQ,LONG,CONVICTION,88.2,BULL_BOUNCE_PENDING,17.25,14.63,18.12,,38,0.33,FAVORABLE,17.605,LIMIT,2026-05-22,2026-05-22T06:59:37.180680
DGXX,LONG,CONVICTION,86.0,BULL_BOUNCE_PENDING,8.16,6.6,8.57,,63,0.26,FAVORABLE,7.59,STOP,2026-05-22,2026-05-22T07:22:07.879119
MNTS,LONG,CONVICTION,85.5,CHANNEL_GAP_BREAKOUT_LONG,7.71,7.57,8.05,,738,2.51,FAVORABLE,7.71,LIMIT,2026-05-22,2026-05-22T07:11:40.192730
BABA,LONG,CONVICTION,85.0,BULL_BOUNCE_PENDING,127.6,120.54,145.46,148.35,14,2.53,FAVORABLE,130.2,LIMIT,2026-05-22,2026-05-22T07:02:46.738577
SDGR,SHORT,CONVICTION,85.0,DOUBLE_REJECTION_SHORT,13.44,13.73,12.04,12.42,341,4.78,FAVORABLE,13.44,LIMIT,2026-05-22,2026-05-22T07:14:04.361280
FSLR,SHORT,CONVICTION,84.0,DOUBLE_REJECTION_SHORT,250.57,257.07,234.57,221.12,15,2.46,FAVORABLE,250.57,LIMIT,2026-05-22,2026-05-22T07:11:12.028703
DFTX,SHORT,CONVICTION,84.0,DOUBLE_REJECTION_SHORT,22.82,23.13,22.02,19.93,318,2.55,FAVORABLE,22.82,LIMIT,2026-05-22,2026-05-22T07:13:05.979004
CLB,SHORT,CONVICTION,84.0,DOUBLE_REJECTION_SHORT,14.32,14.58,13.72,12.28,380,2.28,FAVORABLE,14.32,LIMIT,2026-05-22,2026-05-22T07:15:11.416419
GRDN,SHORT,CONVICTION,84.0,DOUBLE_REJECTION_SHORT,38.77,39.6,36.65,36.41,121,2.58,FAVORABLE,38.775,LIMIT,2026-05-22,2026-05-22T07:16:51.208460
HOV,SHORT,CONVICTION,84.0,DOUBLE_REJECTION_SHORT,115.99,117.07,101.76,112.8,92,13.2,FAVORABLE,115.99,LIMIT,2026-05-22,2026-05-22T07:17:36.511378
BTDR,SHORT,CONVICTION,83.0,DOUBLE_REJECTION_SHORT,14.84,15.0,13.56,13.36,614,7.83,FAVORABLE,14.835,LIMIT,2026-05-22,2026-05-22T07:08:28.826022
XNDU,SHORT,CONVICTION,83.0,BEAR_REJECTION_PENDING,15.57,31.23,14.79,,6,0.05,FAVORABLE,15.2664,LIMIT,2026-05-22,2026-05-22T07:20:52.930427
FLY,LONG,CONVICTION,82.4,BULL_BOUNCE_PENDING,45.65,40.23,47.93,,18,0.42,FAVORABLE,46.58,LIMIT,2026-05-22,2026-05-22T07:19:50.895144
BKKT,SHORT,CONVICTION,82.0,DOUBLE_REJECTION_SHORT,12.58,12.81,11.89,11.45,431,2.98,FAVORABLE,12.58,LIMIT,2026-05-22,2026-05-22T07:10:46.928866
IMRX,LONG,CONVICTION,82.0,BULL_BOUNCE_PENDING,6.68,6.5,7.02,,548,1.83,FAVORABLE,6.82,LIMIT,2026-05-22,2026-05-22T07:18:30.712319
ASST,SHORT,CONVICTION,81.8,DOUBLE_REJECTION_SHORT,19.19,19.23,16.58,17.4,2631,68.68,FAVORABLE,19.19,LIMIT,2026-05-22,2026-05-22T07:09:38.655789
PI,LONG,CONVICTION,81.5,BULL_BOUNCE_PENDING,145.65,143.88,153.74,155.78,56,4.56,FAVORABLE,148.02,LIMIT,2026-05-22,2026-05-22T07:16:56.266788
AKTX,LONG,CONVICTION,81.4,BULL_BOUNCE_PENDING,10.93,9.1,11.48,,54,0.3,FAVORABLE,9.69,STOP,2026-05-22,2026-05-22T06:58:56.039425
NVDA,LONG,CONVICTION,81.0,BULL_BOUNCE_PENDING,214.22,210.38,222.29,233.0,26,2.1,FAVORABLE,218.59,LIMIT,2026-05-22,2026-05-22T07:01:11.046831
AAOI,SHORT,CONVICTION,81.0,DOUBLE_REJECTION_SHORT,167.73,170.61,149.37,,34,6.37,FAVORABLE,167.73,LIMIT,2026-05-22,2026-05-22T07:22:28.015707
PLAB,LONG,CONVICTION,80.7,BULL_BOUNCE_PENDING,51.81,50.8,53.42,54.6,99,1.6,FAVORABLE,52.115,LIMIT,2026-05-22,2026-05-22T07:14:50.003863
SPOT,SHORT,CONVICTION,80.5,DOUBLE_REJECTION_SHORT,522.78,524.11,505.3,502.44,74,13.1,FAVORABLE,522.78,LIMIT,2026-05-22,2026-05-22T07:09:29.862409
AKAN,LONG,CONVICTION,80.2,BULL_BOUNCE_PENDING,28.13,25.97,31.59,,46,1.6,FAVORABLE,28.16,LIMIT,2026-05-22,2026-05-22T07:11:19.726583
AMPG,LONG,CONVICTION,79.4,BULL_BOUNCE_PENDING,5.65,5.26,5.93,,258,0.73,FAVORABLE,5.4598,STOP,2026-05-22,2026-05-22T07:07:32.858182
TIGR,LONG,CONVICTION,79.3,BULL_BOUNCE_PENDING,4.31,3.77,4.53,,184,0.4,FAVORABLE,4.4,LIMIT,2026-05-22,2026-05-22T07:03:40.684733
ENPH,LONG,CONVICTION,79.1,CHANNEL_GAP_BREAKOUT_LONG,62.18,59.07,65.29,,32,1.0,FAVORABLE,62.18,LIMIT,2026-05-22,2026-05-22T07:06:26.413603
TBH,LONG,CONVICTION,79.1,BULL_BOUNCE_PENDING,0.7,0.65,0.78,,1913,1.58,FAVORABLE,0.7,LIMIT,2026-05-22,2026-05-22T07:20:38.595132
PSNL,LONG,CONVICTION,79.0,CHANNEL_GAP_BREAKOUT_LONG,8.33,8.03,8.75,,330,1.38,FAVORABLE,8.33,LIMIT,2026-05-22,2026-05-22T07:11:30.912937
ALK,SHORT,CONVICTION,79.0,DOUBLE_REJECTION_SHORT,40.68,40.8,39.0,39.41,807,13.57,FAVORABLE,40.68,LIMIT,2026-05-22,2026-05-22T07:11:59.028392
BBBY,SHORT,CONVICTION,79.0,DOUBLE_REJECTION_SHORT,5.84,5.93,5.64,5.38,1107,2.21,FAVORABLE,5.84,LIMIT,2026-05-22,2026-05-22T07:12:17.321576
FET,SHORT,CONVICTION,78.6,BEAR_REJECTION_PENDING,57.71,59.56,50.24,51.6,54,4.05,FAVORABLE,57.7,LIMIT,2026-05-22,2026-05-22T07:18:17.519667
BIRK,LONG,CONVICTION,78.3,BULL_BOUNCE_PENDING,39.22,33.04,41.18,,16,0.32,FAVORABLE,40.02,LIMIT,2026-05-22,2026-05-22T07:09:23.930176
SMTC,LONG,CONVICTION,78.1,BULL_BOUNCE_PENDING,155.87,152.72,163.66,,31,2.47,FAVORABLE,158.755,LIMIT,2026-05-22,2026-05-22T07:19:57.909698
KIDZ,LONG,CONVICTION,78.0,BULL_BOUNCE_PENDING,0.48,0.44,0.51,,2171,0.52,FAVORABLE,0.4912,LIMIT,2026-05-22,2026-05-22T06:59:30.696452
APLD,LONG,CONVICTION,78.0,BULL_BOUNCE_PENDING,48.55,42.35,50.98,,16,0.39,FAVORABLE,46.235,STOP,2026-05-22,2026-05-22T07:04:53.890100
BLFS,SHORT,CONVICTION,78.0,DOUBLE_REJECTION_SHORT,24.54,24.89,23.44,21.4,289,3.19,FAVORABLE,24.54,LIMIT,2026-05-22,2026-05-22T07:14:45.565294
