ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,n_gaps_above,gap_above_conviction,scan_date,asof
SMCI,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,46.89,44.55,49.23,,42,1.0,FAVORABLE,46.89,MARKET,5,VACUUM,2026-06-01,2026-06-01T05:29:40.018973
ASTC,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,52.98,50.33,55.63,,37,1.0,FAVORABLE,52.98,MARKET,5,VACUUM,2026-06-01,2026-06-01T05:29:58.370280
KXIAY,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,41.49,39.42,43.56,,48,1.0,FAVORABLE,41.49,MARKET,1,MINOR,2026-06-01,2026-06-01T05:32:22.355947
OMER,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,10.93,10.38,12.23,,182,2.38,FAVORABLE,10.93,MARKET,5,MINOR,2026-06-01,2026-06-01T05:39:20.991064
AVAV,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,207.0,196.65,229.5,,9,2.17,FAVORABLE,207.0,MARKET,5,COMPRESSION,2026-06-01,2026-06-01T05:42:07.900334
PLAB,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,32.36,30.74,36.8,36.84,61,2.75,FAVORABLE,32.36,MARKET,5,CONVICTION,2026-06-01,2026-06-01T05:43:07.369893
FLY,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,46.22,43.91,49.87,51.84,43,1.58,FAVORABLE,46.22,MARKET,5,CONVICTION,2026-06-01,2026-06-01T05:43:22.696935
THR,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,61.5,58.42,66.42,69.12,32,1.6,FAVORABLE,61.5,MARKET,5,COMPRESSION,2026-06-01,2026-06-01T05:44:05.997231
CECO,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,76.1,72.29,82.72,85.63,26,1.74,FAVORABLE,76.1,MARKET,5,COMPRESSION,2026-06-01,2026-06-01T05:44:20.784849
RCAT,LONG,CONVICTION,99.0,BULL_BOUNCE_PENDING,13.81,13.12,15.58,15.6,144,2.56,FAVORABLE,13.81,MARKET,5,COMPRESSION,2026-06-01,2026-06-01T05:29:53.755751
ACMR,LONG,CONVICTION,99.0,BULL_BOUNCE_PENDING,85.15,80.89,89.41,,23,1.0,FAVORABLE,85.15,MARKET,5,MINOR,2026-06-01,2026-06-01T05:43:47.865462
