ticker,setup,side,score,entry,stop,target,secondary_target,shares,rr,spy_regime,rel_vol,current_price,ath_status,pct_from_52w_high,high_52w,float_rotation,float_rotation_label,obv_macro_state,exhaustion_warning,primitives_json,reasons,notes,timestamp
COMP,BULL_BOUNCE_PENDING,LONG,62.0,12.75,11.71,13.39,,96,0.62,FAVORABLE,0.64,13.0099,NEAR_HIGH,-0.0677,13.96,0.0094,0.9% (normal),RISING,False,"{""structural_anchor_below"": 14.0, ""far_pullback"": 4.0, ""obv_rising"": 8.0, ""float_rot_quiet"": -2.0, ""sector_top_quartile"": 3.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $11.91 (4h 21tk MINOR gap body) | 7.7% below — far pullback, patience required but edge is real (52% WR) | OBV rising — accumulation underneath | REAL_EST STRONG (STRONG) — sector tailwind | SPY FAVORABLE",LIMIT BUY @ $12.75 (2% pullback cap; anchor at $11.91 too far). Stop $11.71. Anchor: 4h 21tk.,2026-08-17T05:14:18
BLMN,BULL_BOUNCE_PENDING,LONG,70.3,10.39,9.83,11.35,,178,1.72,FAVORABLE,0.69,10.6,BELOW,-0.1607,12.63,0.0178,1.8% (normal),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 10.3, ""moderate_pullback"": 8.0, ""obv_rising"": 8.0, ""float_rot_quiet"": -2.0, ""sector_bottom_quartile"": -3.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $10.06 (45m 9tk MINOR gap body) | 4.7% below — moderate pullback, sweet spot (49% WR) | OBV rising — accumulation underneath | CONS_DISC WEAK (WEAK) — sector headwind | SPY FAVORABLE",LIMIT BUY @ $10.39 (2% pullback cap; anchor at $10.06 too far). Stop $9.83. Anchor: 45m 9tk.,2026-08-17T05:14:19
DDD,BULL_BOUNCE,LONG,69.0,3.66,3.35,3.74,,322,0.26,FAVORABLE,0.77,3.66,BELOW,-0.1117,4.12,0.0168,1.7% (normal),RISING,False,"{""ascending_channel"": 18.0, ""at_lower_rail"": 14.0, ""anchor_eligible"": 12.0, ""multiple_touches"": 16.0, ""flag_compression"": 4.0, ""regime_favorable"": 5.0}",ASC channel detected on 5m (score 90) | price at lower rail ($3.67) | anchor: 1h 7tk @ $3.69 | 6 prior bull-rail touches | flag-period volume compressed (textbook) | SPY FAVORABLE,"Channel: 5m ASC, rails $3.67-$3.74",2026-08-17T05:14:17
DDD,BULL_BOUNCE_PENDING,LONG,63.6,3.59,3.5,3.77,3.8,1076,1.93,FAVORABLE,0.77,3.66,BELOW,-0.1117,4.12,0.0168,1.7% (normal),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 7.7, ""near_pullback"": -4.0, ""obv_rising"": 8.0, ""float_rot_quiet"": -2.0, ""sector_top_decile"": 5.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $3.59 (1h 3tk MINOR gap body) | only 1.6% below — shallow entry, historically weak (22% WR) | OBV rising — accumulation underneath | TECH HOT (top 8%) — major tailwind | SPY FAVORABLE",LIMIT BUY @ $3.59 on pullback (1.6% below current $3.66). Stop $3.5. Anchor: 1h 3tk.,2026-08-17T05:14:17
CHYM,BULL_BOUNCE,LONG,80.6,32.06,30.34,32.49,,58,0.25,FAVORABLE,0.58,32.06,NEAR_HIGH,-0.0404,33.41,0.0136,1.4% (normal),RISING,False,"{""ascending_channel"": 18.0, ""at_lower_rail"": 14.0, ""anchor_eligible"": 12.0, ""anchor_high_genesis_rank"": 9.6, ""multiple_touches"": 16.0, ""obv_rising"": 6.0, ""regime_favorable"": 5.0}",ASC channel detected on 15m (score 100) | price at lower rail ($31.86) | anchor: daily 36tk @ $31.82 | 7 prior bull-rail touches | OBV rising — accumulation underneath | SPY FAVORABLE,"Channel: 15m ASC, rails $31.86-$32.49",2026-08-17T05:14:20
CHYM,BULL_BOUNCE_PENDING,LONG,65.3,31.82,31.31,33.0,,193,2.27,FAVORABLE,0.58,32.06,NEAR_HIGH,-0.0404,33.41,0.0136,1.4% (normal),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 14.3, ""near_pullback"": -4.0, ""obv_rising"": 8.0, ""float_rot_quiet"": -2.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $31.82 (daily 36tk COMPRESSION gap body) | only 0.2% below — shallow entry, historically weak (22% WR) | OBV rising — accumulation underneath | SPY FAVORABLE",LIMIT BUY @ $31.82 on pullback (0.2% below current $32.06). Stop $31.31. Anchor: daily 36tk.,2026-08-17T05:14:20
MP,BULL_BOUNCE_PENDING,LONG,72.6,58.02,55.09,64.17,66.62,34,2.11,FAVORABLE,1.47,59.2,DEEP_BELOW,-0.4095,100.25,0.0607,6.1% (normal),FALLING,False,"{""structural_anchor_below"": 14.0, ""large_anchor"": 10.0, ""high_genesis_rank"": 8.6, ""vacuum_tier"": 6.0, ""moderate_pullback"": 8.0, ""obv_falling_pending"": -2.0, ""float_rot_quiet"": -2.0, ""sector_bottom_decile"": -5.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $56.14 (4h 108tk VACUUM gap body) | 4.3% below — moderate pullback, sweet spot (49% WR) | OBV softer near-term — normal during pullback wait | MATERIALS COLD (bottom 8%) — major headwind | SPY FAVORABLE",LIMIT BUY @ $58.02 (2% pullback cap; anchor at $56.14 too far). Stop $55.09. Anchor: 4h 108tk.,2026-08-17T05:14:19
CNC,BEAR_REJECTION_PENDING,SHORT,67.8,68.95,72.83,62.77,58.91,25,1.59,FAVORABLE,0.45,67.6,NEAR_HIGH,-0.0253,69.36,0.0046,0.5% (normal),FALLING,True,"{""structural_anchor_above"": 14.0, ""huge_anchor"": 14.0, ""high_genesis_rank"": 13.8, ""vacuum_tier"": 6.0, ""near_rally"": 8.0, ""regime_favorable_hurts_short"": -8.0, ""ascending_channel_headwind"": -10.0, ""obv_rising_against_short"": 0.0}","PENDING: wait for rally to $69.55 (daily 293tk VACUUM bear gap) | only 2.9% above current — close rally | SPY FAVORABLE — short is countertrend, lower probability | ASC channel active (5m) — short fights rising structure | OBV rising — possible trapped buyers under resistance (neutral)",LIMIT SHORT @ $68.95 (2% rally cap; anchor at $69.55 too far). Stop $72.83. Anchor: daily 293tk bear.,2026-08-17T05:14:19
CAI,BULL_BOUNCE_PENDING,LONG,73.4,21.41,19.9,24.98,,66,2.36,FAVORABLE,0.8,21.85,DEEP_BELOW,-0.4859,42.5,0.0137,1.4% (normal),FALLING,False,"{""structural_anchor_below"": 14.0, ""medium_anchor"": 6.0, ""high_genesis_rank"": 14.4, ""moderate_pullback"": 8.0, ""obv_falling_pending"": -2.0, ""float_rot_quiet"": -2.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $20.35 (daily 70tk COMPRESSION gap body) | 5.3% below — moderate pullback, sweet spot (49% WR) | OBV softer near-term — normal during pullback wait | SPY FAVORABLE",LIMIT BUY @ $21.41 (2% pullback cap; anchor at $20.35 too far). Stop $19.9. Anchor: daily 70tk.,2026-08-17T05:14:18
FRPT,BULL_BOUNCE_PENDING,LONG,69.7,71.3,67.68,82.03,79.68,27,2.96,FAVORABLE,0.73,72.76,BELOW,-0.154,86.0,0.0214,2.1% (normal),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 6.7, ""moderate_pullback"": 8.0, ""obv_rising"": 8.0, ""float_rot_quiet"": -2.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $68.78 (10m 49tk MINOR gap body) | 5.1% below — moderate pullback, sweet spot (49% WR) | OBV rising — accumulation underneath | SPY FAVORABLE",LIMIT BUY @ $71.30 (2% pullback cap; anchor at $68.78 too far). Stop $67.68. Anchor: 10m 49tk.,2026-08-17T05:14:18
