idea_id,day,source,ticker,setup,side,tier,score,score_band,entry_type,entry,stop,target,shares,rr,first_seen,last_seen,outcome,result_r,mfe_r,mae_r,current_r,fill_time,exit_time,last_px,spy_regime,relative_volume_today,obv_state,notes
ab6ab8e0c4ba6b50,2026-08-20,live_state_lookup,WYFI,BEAR_REJECTION_PENDING,SHORT,CONVICTION,95.0,90+,LIMIT,22.13,27.21,21.02,19,0.22,2026-08-20T04:03:15,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,CHOP,6.124,FALLING,"LIMIT SHORT @ $22.13 on rally (1.3% above current $21.84). Stop $27.21. Anchor: daily 495tk bear. CONVICTION 95 — size may step up, still waiting for location."
2371d06f13e547d8,2026-08-20,live_state_lookup,ACM,BEAR_REJECTION_PENDING,SHORT,CONVICTION,90.5,90+,LIMIT,65.7,67.39,62.75,59,1.75,2026-08-20T04:02:24,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,CHOP,1.142,FALLING,"LIMIT SHORT @ $65.70 on rally (1.0% above current $65.04). Stop $67.39. Anchor: daily 135tk bear. CONVICTION 90 — size may step up, still waiting for location."
dfb22e9905d15cb4,2026-08-20,live_state_lookup,ELF,BULL_BOUNCE_PENDING,LONG,CONVICTION,87.9,80-89,STOP,100.79,95.93,105.83,20,1.04,2026-08-20T04:03:29,2026-08-20T09:26:31,NOT_EVALUATED,,,,,,,,CHOP,1.187,FALLING,"BUY-STOP @ $100.79 (above today's high $100.69). Stop $95.93 (1.0xATR). Score 88, strength=2/4, regime=CHOP. BREAKOUT_FOLLOW."
861777e0d87eb3b5,2026-08-20,live_state_lookup,CVLT,BEAR_REJECTION_PENDING,SHORT,CONVICTION,87.0,80-89,LIMIT,137.01,140.3,126.14,30,3.31,2026-08-20T04:03:03,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,CHOP,0.644,NEUTRAL,LIMIT SHORT @ $137.01 on rally (0.6% above current $136.25). Stop $140.3. Anchor: 4h 260tk bear.
d5196bc66767ea6a,2026-08-20,live_state_lookup,JBTM,BULL_BOUNCE_PENDING,LONG,CONVICTION,84.5,80-89,LIMIT,112.73,105.72,129.8,14,2.43,2026-08-20T04:02:57,2026-08-20T09:44:50,NOT_EVALUATED,,,,,,,,CHOP,0.915,FALLING,LIMIT BUY @ $112.73 (2% pullback cap; anchor at $107.52 too far). Stop $105.72. Anchor: daily 255tk.
f52ea749ed6f5bb1,2026-08-20,live_state_lookup,GXO,BEAR_REJECTION_PENDING,SHORT,CONVICTION,83.6,80-89,LIMIT,47.3,52.44,44.93,19,0.46,2026-08-20T04:02:49,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,CHOP,0.564,FALLING,LIMIT SHORT @ $47.30 (2% rally cap; anchor at $49.00 too far). Stop $52.44. Anchor: 45m 318tk bear.
a775f1e52f3028ee,2026-08-20,live_state_lookup,AAON,BEAR_REJECTION_PENDING,SHORT,CONVICTION,82.7,80-89,LIMIT,81.58,84.07,72.57,40,3.63,2026-08-20T04:02:48,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,CHOP,0.755,NEUTRAL,LIMIT SHORT @ $81.58 on rally (0.4% above current $81.25). Stop $84.07. Anchor: 4h 207tk bear.
30f5f4d8e3532aa9,2026-08-20,live_state_lookup,KLRA,BULL_BOUNCE_PENDING,LONG,CONVICTION,81.2,80-89,STOP,18.51,17.51,20.51,99,1.99,2026-08-20T04:02:24,2026-08-20T06:27:55,NOT_EVALUATED,,,,,,,,CHOP,3.786,NEUTRAL,"BUY-STOP @ $18.51 (above today's high $18.50). Stop $17.51 (1.0xATR). Score 81, strength=3/4, regime=CHOP. BREAKOUT_FOLLOW."
1827eb1a73bd1e89,2026-08-20,live_state_lookup,OSS,BULL_BOUNCE_PENDING,LONG,CONVICTION,80.0,80-89,LIMIT,11.86,9.93,12.45,51,0.31,2026-08-20T04:03:18,2026-08-20T10:18:06,NOT_EVALUATED,,,,,,,,CHOP,0.896,NEUTRAL,LIMIT BUY @ $11.86 (2% pullback cap; anchor at $10.71 too far). Stop $9.93. Anchor: daily 145tk.
9c156f77d920b8b6,2026-08-20,live_state_lookup,SNEX,BEAR_REJECTION_PENDING,SHORT,CONVICTION,79.0,70-79,LIMIT,66.62,67.78,62.05,11,3.94,2026-08-20T09:13:32,2026-08-20T11:08:09,NOT_EVALUATED,,,,,,,,HOSTILE,0.23,RISING,LIMIT SHORT @ $67.24 on rally (0.1% above current $67.20). Stop $75.79. Anchor: daily 818tk bear.
aee608cbee3f035a,2026-08-20,live_state_lookup,BEEM,BULL_BOUNCE_PENDING,LONG,CONVICTION,79.0,70-79,STOP,1.47,1.43,1.6,1315,3.25,2026-08-20T04:03:31,2026-08-20T09:40:23,NOT_EVALUATED,,,,,,,,CHOP,9.184,RISING,"BUY-STOP @ $1.44 (above today's high $1.44). Stop $1.36 (1.0xATR). Score 79, strength=4/4, regime=CHOP. BREAKOUT_FOLLOW."
c2f5b3f16a8cb845,2026-08-20,live_state_lookup,CALM,CHANNEL_GAP_BREAKDOWN_SHORT,SHORT,CONVICTION,78.0,70-79,LIMIT,80.39,81.58,69.78,84,8.95,2026-08-20T09:31:55,2026-08-20T11:03:11,NOT_EVALUATED,,,,,,,,HOSTILE,0.392,FALLING,"CHANNEL-GAP BREAKDOWN: DESC 5m channel projecting into 45m gap top @ $79.05 (~7d). Short $80.39, target $69.78."
17c45eee6c97cdb8,2026-08-20,live_state_lookup,PRIM,BEAR_REJECTION_PENDING,SHORT,CONVICTION,77.4,70-79,LIMIT,81.03,83.47,69.81,41,4.61,2026-08-20T04:02:43,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,CHOP,0.82,RISING,LIMIT SHORT @ $81.03 on rally (1.3% above current $79.98). Stop $83.47. Anchor: daily 202tk bear.
49bd88dc8913a42b,2026-08-20,live_state_lookup,CRUS,BEAR_REJECTION_PENDING,SHORT,CONVICTION,77.3,70-79,LIMIT,118.71,120.47,104.07,56,8.32,2026-08-20T04:02:47,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,CHOP,1.211,FALLING,LIMIT SHORT @ $118.71 on rally (0.1% above current $118.60). Stop $120.47. Anchor: daily 117tk bear.
0b7b4ab96e57e019,2026-08-20,live_state_lookup,POST,BEAR_REJECTION_PENDING,SHORT,CONVICTION,77.0,70-79,LIMIT,80.43,90.68,76.41,9,0.39,2026-08-20T04:02:52,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,CHOP,0.833,RISING,LIMIT SHORT @ $80.43 (2% rally cap; anchor at $85.44 too far). Stop $90.68. Anchor: daily 480tk bear.
