timestamp,ticker,asof_date,setup,side,entry_type,entry,stop,target,secondary_target,shares,rr,score,spy_regime,spy_pct,rel_vol_today,atr_pct,current_price,float_rotation,float_rotation_label,ath_status,pct_from_52w_high,obv_macro_state,exhaustion_warning,risk_climax,risk_vol_ratio,risk_range_ratio,sector,industry,sector_label,industry_label,sector_strength_pct,industry_strength_pct,primitives_json,notes,outcome,exit_price,days_held,pnl,outcome_updated_at
2026-05-04T06:29:40,NVDA,2026-05-04,BULL_BOUNCE_PENDING,LONG,,190.84,188.36,201.33,215.65,40,4.24,78.6,FAVORABLE,0.0,0.876,0.0322,198.98,,,,,,,,,,,,,,,,"{""structural_anchor_below"": 14.0, ""large_anchor"": 10.0, ""high_genesis_rank"": 9.6, ""vacuum_tier"": 6.0, ""moderate_pullback"": 4.0, ""regime_favorable"": 5.0}",LIMIT BUY @ $190.84 on pullback (4.1% below current $198.98). Stop $188.36. Anchor: daily 154tk.,NO_FILL,,0,0.0,2026-05-04T23:07:20
2026-05-04T06:39:03,SOBR,2026-05-04,BULL_BOUNCE_PENDING,LONG,,0.86,0.82,0.96,,2688,2.72,79.0,FAVORABLE,0.0,18.721,0.1438,0.8625,,,,,,,,,,,,,,,,"{""structural_anchor_below"": 14.0, ""near_pullback"": 8.0, ""obv_rising"": 8.0, ""rel_vol_hot"": 8.0, ""breakout_volume_surge"": 6.0, ""regime_favorable"": 5.0}",LIMIT BUY @ $0.86 on pullback (0.3% below current $0.86). Stop $0.82. Anchor: 1m 1tk.,TIME_STOP,0.8469,10,-35.21,2026-05-04T23:07:20
2026-05-04T06:40:35,XRX,2026-05-04,BULL_BOUNCE_PENDING,LONG,,2.72,2.66,2.89,2.89,1646,2.8,71.0,FAVORABLE,0.0,2.996,0.0711,2.85,,,,,,,,,,,,,,,,"{""structural_anchor_below"": 14.0, ""moderate_pullback"": 4.0, ""obv_rising"": 8.0, ""rel_vol_normal+"": 4.0, ""breakout_volume_surge"": 6.0, ""regime_favorable"": 5.0}",LIMIT BUY @ $2.72 on pullback (4.6% below current $2.85). Stop $2.66. Anchor: 5m 3tk.,LOSS,2.66,0,-98.76,2026-05-04T23:07:21
2026-05-04T07:56:32,MDCX,2026-05-04,BULL_BOUNCE_PENDING,LONG,,0.29,0.28,0.32,,9606,3.56,67.1,FAVORABLE,0.19,0.061,0.1203,0.2889,,,,,,,,,,,,,,,,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 6.1, ""near_pullback"": 8.0, ""obv_rising"": 8.0, ""rel_vol_weak"": -4.0, ""regime_favorable"": 5.0}",LIMIT BUY @ $0.29 on pullback (0.8% below current $0.29). Stop $0.28. Anchor: 5m 1tk.,TIME_STOP,0.2849,10,-48.99,2026-05-04T23:07:21
2026-05-04T09:40:22,NVDA,2026-05-04,BULL_BOUNCE_PENDING,LONG,,190.84,188.36,198.6,201.33,40,3.13,69.6,FAVORABLE,-0.44,0.488,0.0326,196.285,,,,,,,,,,,,,,,,"{""structural_anchor_below"": 14.0, ""large_anchor"": 10.0, ""high_genesis_rank"": 8.6, ""vacuum_tier"": 6.0, ""near_pullback"": 8.0, ""obv_falling"": -8.0, ""rel_vol_weak"": -4.0, ""regime_favorable"": 5.0}",LIMIT BUY @ $190.84 on pullback (2.8% below current $196.28). Stop $188.36. Anchor: daily 154tk.,NO_FILL,,0,0.0,2026-05-04T23:07:22
2026-05-04T09:41:36,RLYB,2026-05-04,BULL_BOUNCE_PENDING,LONG,,13.84,9.36,14.53,,22,0.15,100.0,FAVORABLE,-0.44,17.616,0.0509,13.85,,,,,,,,,,,,,,,,"{""structural_anchor_below"": 14.0, ""huge_anchor"": 14.0, ""high_genesis_rank"": 15.0, ""conviction_tier"": 10.0, ""near_pullback"": 8.0, ""obv_rising"": 8.0, ""rel_vol_hot"": 8.0, ""breakout_volume_surge"": 6.0, ""regime_favorable"": 5.0}",LIMIT BUY @ $13.84 on pullback (0.1% below current $13.85). Stop $9.36. Anchor: weekly 443tk.,WIN,14.53,0,15.18,2026-05-04T23:07:22
2026-05-04T09:43:16,NBIS,2026-05-04,BULL_BOUNCE_PENDING,LONG,,160.38,153.72,171.08,,14,1.6,73.6,CHOP,-0.5,0.924,0.072,170.9,,,,,,,,,,,,,,,,"{""structural_anchor_below"": 14.0, ""huge_anchor"": 14.0, ""high_genesis_rank"": 14.6, ""conviction_tier"": 10.0, ""moderate_pullback"": 4.0, ""obv_falling"": -8.0, ""regime_chop_size_down"": -5.0}",LIMIT BUY @ $160.38 on pullback (6.2% below current $170.90). Stop $153.72. Anchor: weekly 590tk.,NO_FILL,,0,0.0,2026-05-04T23:07:23
2026-05-04T10:08:30,LLY,2026-05-04,BULL_BOUNCE,LONG,,960.2,927.78,1044.62,1036.83,3,2.6,62.6,CHOP,-0.57,0.507,0.0338,960.2,,,,,,,,,,,,,,,,"{""ascending_channel"": 18.0, ""at_lower_rail"": 14.0, ""anchor_eligible"": 12.0, ""anchor_high_genesis_rank"": 9.6, ""multiple_touches"": 8.0, ""obv_rising"": 6.0, ""regime_chop_size_down"": -5.0}","Channel: 15m ASC, rails $959.02-$965.70",TIME_STOP,966.3,10,18.3,2026-05-04T23:07:23
2026-05-04T10:16:12,PN,2026-05-04,BULL_BOUNCE_PENDING,LONG,,5.37,2.85,5.64,,39,0.11,100.0,CHOP,-0.51,14.456,0.1309,5.38,,,,,,,,,,,,,,,,"{""structural_anchor_below"": 14.0, ""huge_anchor"": 14.0, ""high_genesis_rank"": 15.0, ""conviction_tier"": 10.0, ""near_pullback"": 8.0, ""obv_rising"": 8.0, ""rel_vol_hot"": 8.0, ""breakout_volume_surge"": 6.0, ""regime_chop_size_down"": -5.0}",LIMIT BUY @ $5.37 on pullback (0.1% below current $5.38). Stop $2.85. Anchor: weekly 251tk.,WIN,5.22,0,37.24,2026-07-01T13:06:22
2026-05-04T10:16:12,PN,2026-05-04,BEAR_REJECTION_PENDING,SHORT,,5.5,6.25,5.22,,133,0.37,68.1,CHOP,-0.51,14.456,0.1309,5.38,,,,,,,,,,,,,,,,"{""structural_anchor_above"": 14.0, ""medium_anchor"": 6.0, ""high_genesis_rank"": 12.1, ""near_rally"": 8.0, ""regime_chop"": -2.0}",LIMIT SHORT @ $5.50 on rally (2.2% above current $5.38). Stop $6.25. Anchor: daily 72tk bear.,,,,,
