ticker,side,mode,tier,fem,rr,entry,stop,t1,dist_pct,float_label,float_m,float_rotation,vol_ratio_today,hot_days,move_pct,clean_air_pct,va_grade,conviction_ticks,news,_score,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_stop_px,_t1_px,_cutoff
PCT,Long,PULLBACK,T2-LONG,71,6.3,6.21,6.0043,7.5,7.7,HIGH,141.59,0.03,1.0,0.0,30.2,11.4,D,18,,1.6148,0.944,0.87,0.019,0.426,6.19,6.21,6.2721,538,486,373,7.05,6.27,4.59,6.0043,7.5,10:30
SG,Long,PULLBACK,T1-STRONG_LONG,83,9.9,5.79,5.5969,7.7,6.6,HIGH,96.61,0.04,1.3,0.0,13.4,24.2,C,29,,1.5648,1.0,0.741,0.167,0.537,5.77,5.79,5.8479,577,517,398,11.15,9.89,7.38,5.5969,7.7,10:30
TIC,Long,PULLBACK,T1-STRONG_LONG,84,4.7,7.3,7.0422,8.5,7.9,HIGH,107.09,0.03,1.6,0.0,15.2,7.2,C,32,,1.5278,0.907,0.889,0.204,0.426,7.26,7.3,7.373,459,387,302,5.69,4.65,3.41,7.0422,8.5,10:30
AFRM,Long,PULLBACK,T1-STRONG_LONG,93,9.3,52.51,50.5176,71.0,5.9,MEGA,279.34,0.02,1.4,0.0,17.9,27.2,A,378,,1.4722,0.963,0.685,0.463,0.287,52.08,52.51,53.0351,64,50,39,12.11,9.28,7.14,50.5176,71.0,10:30
IE,Long,PULLBACK,T2-LONG,100,5.0,13.06,12.5712,15.51,9.2,HIGH,122.16,0.01,1.0,0.0,15.2,7.8,B,234,,1.4352,0.926,0.935,0.824,0.12,12.96,13.06,13.1906,257,204,161,6.56,5.01,3.74,12.5712,15.51,10:30
WRBY,Long,PULLBACK,T2-LONG,92,3.8,21.52,20.6028,24.98,7.0,HIGH,92.2,0.02,1.3,0.0,15.8,8.0,B,113,,1.4315,0.861,0.815,0.389,0.287,21.24,21.52,21.7352,156,109,88,5.87,3.77,2.87,20.6028,24.98,10:30
VSTM,Long,PULLBACK,T1-STRONG_LONG,85,3.4,5.69,5.4902,6.36,7.3,HIGH,75.0,0.04,1.8,0.0,17.4,3.6,C,54,,1.412,0.833,0.852,0.231,0.537,5.66,5.69,5.7469,588,500,389,4.12,3.35,2.39,5.4902,6.36,10:30
INFQ,Long,PULLBACK,T1-STRONG_LONG,100,9.4,12.75,12.2511,17.46,9.7,HIGH,137.56,0.05,2.9,1.0,33.4,23.7,A,298,,1.4009,0.981,0.981,0.824,0.639,12.63,12.75,12.8775,263,200,159,12.75,9.44,7.32,12.2511,17.46,10:30
SHLS,Long,PULLBACK,T1-STRONG_LONG,94,4.2,6.76,6.3826,8.33,6.4,HIGH,166.41,0.03,1.6,0.0,10.1,15.4,A,37,,1.3481,0.889,0.704,0.556,0.426,6.58,6.76,6.8276,506,264,224,8.87,4.16,3.38,6.3826,8.33,10:30
FUN,Long,PULLBACK,T1-STRONG_LONG,93,2.1,18.13,17.1884,20.09,9.8,HIGH,94.21,0.02,1.5,0.0,15.1,10.5,A,149,,1.3167,0.713,1.0,0.463,0.287,17.72,18.13,18.3113,188,106,89,4.46,2.08,1.58,17.1884,20.09,10:30
LEGN,Long,PULLBACK,T2-LONG,86,2.2,18.69,17.169,22.04,4.7,HIGH,163.19,0.01,2.0,1.0,6.2,17.9,C,121,,1.3111,0.741,0.593,0.278,0.12,17.7,18.69,18.8769,188,65,58,8.17,2.2,1.85,17.169,22.04,10:30
TPG,Long,PULLBACK,T1-STRONG_LONG,83,2.1,40.06,38.3247,43.67,5.5,HIGH,115.44,0.02,1.4,0.0,15.4,3.0,C,423,,1.3056,0.713,0.667,0.167,0.287,39.51,40.06,40.4606,84,57,46,3.51,2.08,1.5,38.3247,43.67,10:30
CRCL,Long,PULLBACK,T1-STRONG_LONG,91,3.8,105.49,95.642,142.87,3.9,MEGA,200.72,0.06,1.1,0.0,30.6,35.4,A,4200,,1.2565,0.861,0.5,0.361,0.731,98.6,105.49,106.5449,33,10,9,14.97,3.8,3.33,95.642,142.87,10:30
SNAP,Long,PULLBACK,T1-STRONG_LONG,93,2.6,5.23,5.0052,5.82,6.6,MEGA,1104.69,0.07,1.5,0.0,22.1,3.9,C,52,,1.1981,0.778,0.741,0.463,0.815,5.16,5.23,5.2823,645,444,360,4.26,2.62,1.94,5.0052,5.82,10:30
RGTI,Long,PULLBACK,T1-STRONG_LONG,93,2.6,15.71,14.7731,18.115,6.9,MEGA,326.98,0.14,2.5,1.0,23.9,7.4,B,340,,1.1833,0.778,0.778,0.463,0.944,15.23,15.71,15.8671,218,106,91,6.31,2.57,2.05,14.7731,18.115,10:30
SMCI,Long,BOUNCE,T1-STRONG_LONG,93,3.0,27.2,25.2103,33.22,2.6,MEGA,499.58,0.06,0.8,0.0,21.6,22.1,B,781,,1.1269,0.815,0.324,0.463,0.731,25.99,27.2,27.472,128,50,44,9.27,3.03,2.54,25.2103,33.22,10:30
TGB,Long,PULLBACK,T2-LONG,68,2.0,7.12,6.5669,8.2262,8.6,MEGA,357.93,0.02,1.5,0.0,11.8,3.3,C,117,,1.0574,0.343,0.907,0.0,0.287,6.77,7.12,7.1912,492,180,160,7.17,2.0,1.66,6.5669,8.2262,10:30
