ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news,_sector,_industry,_sector_label,_industry_label,_sector_strength,_industry_strength,_sector_ret_5d,_sector_pct,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_pr_sec,_score,regime,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_L1_notional,_L2_notional,_L3_notional,_cutoff,_stop_px,_t1_px,entry_mode,_L4_px,_L4_shares,_L4_rr,_cohort,_entry_policy
RHI,Long,PULLBACK,T2-LONG,77,30.715,29.5462,33.66,32.88,2.5,1.1688,32.38,5.1,APPROACH,2,2,"1h,4h",30.715,30.46,HIGHWAY,EXCITED,1.0,22674125.0,0.7,0.9,0.0,0.0,15.4,15.0,8.0,90.29,HIGH,0.02,32.88,32.76,33.0,0.7,DISCOUNT,DISCOUNT,419,4,269,4.0,C,,,,False,1.4510714285714283,0.81,N/A,,TECH,,NEUTRAL,,0.4,,-3.51,0.4,1.0,1.0,0.077,0.269,0.4,1.6931,FAVORABLE,30.46,30.715,31.0221,109,85,67,3.5,2.52,1.79,3320.14,2610.78,2078.48,10:30,29.5462,33.66,PULLBACK_LIMIT,,,,MID,LIMIT
BWIN,Long,PULLBACK,T1-STRONG_LONG,100,26.25,23.2897,32.7,,2.2,2.9603,26.25,4.5,APPROACH,3,3,"1h,30m,4h",25.06,24.01,HIGHWAY,EXCITED,1.91,76666696.0,0.8,1.1,0.0,0.0,12.8,33.0,8.0,75.85,HIGH,0.02,25.845,26.22,25.47,-2.9,PREMIUM,DISCOUNT,1984,6,1750,24.6,A,,,,False,1.7564285714285715,1.69,N/A,,FINANCIAL,,NEUTRAL,,0.28,,0.04,0.28,0.923,0.769,0.808,0.269,0.28,1.2917,FAVORABLE,24.01,26.25,26.5125,138,33,31,12.06,2.18,1.92,3313.38,866.25,821.89,10:30,23.2897,32.7,PULLBACK_LIMIT,,,,MID,LIMIT
BAH,Long,BOUNCE,T2-LONG,66,62.03,57.9187,70.2526,62.66,2.0,4.1113,62.03,2.5,CLOSE,2,2,"1h,4h",60.47,59.71,OPEN_ROAD,EXCITED,0.52,37842848.0,1.1,1.5,0.0,1.0,9.2,34.0,8.0,118.23,HIGH,0.02,62.66,62.22,63.1,1.4,DISCOUNT,DISCOUNT,152,1,152,4.2,D,,,,False,2.976414285714285,1.38,N/A,,INDUSTRIAL,,NEUTRAL,,0.72,,0.53,0.72,0.423,0.538,0.0,0.269,0.72,1.0968,FAVORABLE,59.71,62.03,62.6503,55,24,21,5.89,2.0,1.61,3284.05,1488.72,1315.66,10:30,57.9187,70.2526,PULLBACK_LIMIT,,,,MID,LIMIT
KBR,Long,PULLBACK,T2-LONG,83,33.71,31.2825,38.565,,2.0,2.4275,33.71,3.1,APPROACH,2,2,"1h,4h",32.655,32.25,OPEN_ROAD,EXCITED,0.88,17906923.0,2.1,1.4,0.0,1.0,6.8,19.0,8.0,125.16,HIGH,0.03,33.525,33.37,33.68,0.9,PREMIUM,DISCOUNT,487,3,375,2.9,C,,,,False,1.2363499999999996,1.96,N/A,,INDUSTRIAL,,NEUTRAL,,0.72,,0.53,0.72,0.423,0.654,0.308,0.538,0.72,0.9852,FAVORABLE,32.25,33.71,34.0471,103,41,36,6.53,2.0,1.63,3321.75,1382.11,1225.7,10:30,31.2825,38.565,PULLBACK_LIMIT,,,,MID,LIMIT
PPC,Long,PULLBACK,T2-LONG,92,28.95,25.9669,34.9162,,2.0,2.9831,28.95,4.6,APPROACH,3,3,"1h,30m,4h",27.61,26.77,OPEN_ROAD,EXCITED,1.85,89492019.0,1.1,1.3,0.0,0.0,9.6,43.0,8.0,42.23,MED,0.04,28.61,28.61,28.61,0.0,FLAT,FLAT,329,1,140,2.1,D,,,,False,1.057535714285715,2.82,N/A,,CONS_STAPL,,NEUTRAL,,0.56,,2.66,0.56,0.423,0.885,0.462,0.692,0.56,0.9295,FAVORABLE,26.77,28.95,29.2395,124,33,30,10.14,2.0,1.73,3319.48,955.35,877.18,10:30,25.9669,34.9162,PULLBACK_LIMIT,,,,MID,LIMIT
NTRA,Long,BOUNCE,T1-STRONG_LONG,100,272.31,252.9178,311.0944,,2.0,19.3922,272.31,2.2,CLOSE,9,7,"10m,15m,1d,1h,30m,4h,5m",266.2201,260.74,HIGHWAY,EXCITED,1.84,1645786742.0,1.1,1.6,0.0,1.0,22.5,36.0,8.0,139.02,HIGH,0.01,263.455,261.91,265.0,1.2,PREMIUM,MID,11391,9,5683,99.9,A,,,,False,13.462128571428568,1.44,N/A,,HEALTHCARE,,HOT,,0.92,,7.12,0.92,0.423,0.385,0.808,0.077,0.92,0.9068,FAVORABLE,260.74,272.31,275.0331,12,5,4,6.44,2.0,1.63,3128.88,1361.55,1100.13,10:30,252.9178,311.0944,PULLBACK_LIMIT,,,,MID,LIMIT
OTEX,Long,BOUNCE,T1-STRONG_LONG,82,22.09,20.7289,24.8122,22.3,2.0,1.3611,22.09,2.1,CLOSE,3,3,"1d,1h,4h",21.62,21.37,OPEN_ROAD,EXCITED,1.2,40200505.0,0.4,0.8,0.0,0.0,12.2,35.0,8.0,238.45,MEGA,0.0,22.3,22.09,22.51,1.9,DISCOUNT,DISCOUNT,139,2,84,3.8,C,,,,False,0.8575000000000005,1.59,N/A,,TECH,,NEUTRAL,,0.4,,-3.51,0.4,0.423,0.231,0.231,0.0,0.4,0.8931,FAVORABLE,21.37,22.09,22.3109,155,73,63,5.37,2.0,1.58,3312.35,1612.57,1405.59,10:30,20.7289,24.8122,PULLBACK_LIMIT,,,,MID,LIMIT
RDW,Long,PULLBACK,T2-LONG,100,11.69,10.5778,13.9143,,2.0,1.1121,11.69,3.1,APPROACH,3,3,"15m,1d,30m",11.33,10.905,OPEN_ROAD,EXCITED,2.8,1390111891.0,0.7,0.7,1430680.0,0.0,31.1,43.0,8.0,195.23,HIGH,0.15,11.13,10.93,11.33,3.7,PREMIUM,MID,261,5,204,7.7,B,,,,True,1.5878571428571437,0.7,N/A,,INDUSTRIAL,,NEUTRAL,,0.72,,0.53,0.72,0.423,0.654,0.808,0.923,0.72,0.7583,FAVORABLE,10.905,11.69,11.8069,305,89,81,9.2,2.0,1.71,3326.02,1040.41,956.36,10:30,10.5778,13.9143,PULLBACK_LIMIT,,,,MID,LIMIT
OC,Long,PULLBACK,T1-STRONG_LONG,100,156.05,141.9934,184.1631,,2.0,14.0566,156.05,4.6,APPROACH,6,5,"10m,15m,1m,30m,5m",148.83,146.385,HIGHWAY,EXCITED,5.53,108973057.0,4.1,2.0,0.0,1.0,27.7,35.0,8.0,79.73,HIGH,0.07,134.915,135.39,134.44,-0.7,PREMIUM,PREMIUM,7543,4,2421,99.9,A,,,,False,7.331178571428569,1.92,N/A,,MATERIALS,,NEUTRAL,,0.36,,-1.86,0.36,0.423,0.885,0.808,0.846,0.36,0.7349,FAVORABLE,146.385,156.05,157.6105,22,7,6,8.6,2.0,1.7,3220.47,1092.35,945.66,10:30,141.9934,184.1631,PULLBACK_LIMIT,,,,MID,LIMIT
PENN,Long,BOUNCE,T1-STRONG_LONG,100,22.06,20.4525,25.2751,,2.0,1.6075,22.06,2.2,CLOSE,4,4,"1d,1h,30m,4h",21.57,21.085,HIGHWAY,EXCITED,1.93,979549546.0,0.7,2.1,0.0,1.0,12.1,24.0,8.0,124.91,HIGH,0.03,21.88,21.88,21.88,0.0,FLAT,FLAT,1087,6,419,99.9,A,,,,False,0.9324999999999998,1.72,N/A,,CONS_DISC,,NEUTRAL,,0.64,,1.9,0.64,0.423,0.385,0.808,0.538,0.64,0.7305,FAVORABLE,21.085,22.06,22.2806,158,62,54,6.62,2.0,1.64,3331.43,1367.72,1203.15,10:30,20.4525,25.2751,PULLBACK_LIMIT,,,,MID,LIMIT
