ticker,side,entry,stop,t1,fem,score,tier,mode,rr,last_px,current_price,spy_regime,_score,_L1,_L2,_L3,source,source_rank,state_asof,state_generated_at,warnings
MU,LONG,878.6900,834.7600,975.8000,96.00,96.00,T1-STRONG_LONG,BULL_BOUNCE_PENDING,2.21,878.6900,878.6900,FAVORABLE,96.00,878.6900,878.6900,878.6900,FAM_STATE_IDEAS_MOO_REBUILD,1,2026-07-16T04:07:58,1784200411877505300,
RGLD,LONG,189.1600,183.2600,204.5900,88.10,88.10,CONVICTION,BULL_BOUNCE_PENDING,2.61,189.1600,189.1600,FAVORABLE,88.10,189.1600,189.1600,189.1600,FAM_STATE_IDEAS_MOO_REBUILD,2,2026-07-16T04:07:58,1784200411877505300,
ETOR,LONG,37.7600,36.2000,41.6500,85.00,85.00,CONVICTION,BULL_BOUNCE_PENDING,2.49,37.7600,37.7600,FAVORABLE,85.00,37.7600,37.7600,37.7600,FAM_STATE_IDEAS_MOO_REBUILD,4,2026-07-16T04:07:58,1784200411877505300,
IT,LONG,138.6800,128.8100,145.6100,84.30,84.30,CONVICTION,BULL_BOUNCE_PENDING,0.70,138.6800,138.6800,FAVORABLE,84.30,138.6800,138.6800,138.6800,FAM_STATE_IDEAS_MOO_REBUILD,5,2026-07-16T04:07:58,1784200411877505300,
BDC,LONG,99.9600,94.2600,115.1000,84.20,84.20,CONVICTION,BULL_BOUNCE_PENDING,2.65,99.9600,99.9600,FAVORABLE,84.20,99.9600,99.9600,99.9600,FAM_STATE_IDEAS_MOO_REBUILD,6,2026-07-16T04:07:58,1784200411877505300,
TMHC,LONG,72.0400,71.8100,73.4700,83.40,83.40,CONVICTION,BULL_BOUNCE_PENDING,6.12,72.0400,72.0400,FAVORABLE,83.40,72.0400,72.0400,72.0400,FAM_STATE_IDEAS_MOO_REBUILD,7,2026-07-16T04:07:58,1784200411877505300,
CNM,LONG,43.7700,41.0600,48.5400,82.70,82.70,CONVICTION,BULL_BOUNCE_PENDING,1.76,43.7700,43.7700,FAVORABLE,82.70,43.7700,43.7700,43.7700,FAM_STATE_IDEAS_MOO_REBUILD,8,2026-07-16T04:07:58,1784200411877505300,
MRVL,LONG,196.2900,187.0500,228.7800,79.50,79.50,CONVICTION,BULL_BOUNCE_PENDING,3.51,196.2900,196.2900,FAVORABLE,79.50,196.2900,196.2900,196.2900,FAM_STATE_IDEAS_MOO_REBUILD,10,2026-07-16T04:07:58,1784200411877505300,
FCEL,LONG,19.7800,17.6600,23.0800,79.30,79.30,CONVICTION,BULL_BOUNCE_PENDING,1.56,19.7800,19.7800,FAVORABLE,79.30,19.7800,19.7800,19.7800,FAM_STATE_IDEAS_MOO_REBUILD,11,2026-07-16T04:07:58,1784200411877505300,
WPM,LONG,108.2700,101.9700,118.1300,77.70,77.70,CONVICTION,BULL_BOUNCE_PENDING,1.57,108.2700,108.2700,FAVORABLE,77.70,108.2700,108.2700,108.2700,FAM_STATE_IDEAS_MOO_REBUILD,12,2026-07-16T04:07:58,1784200411877505300,
LGN,LONG,70.7800,65.3400,79.1300,77.50,77.50,CONVICTION,BULL_BOUNCE,1.53,70.7800,70.7800,FAVORABLE,77.50,70.7800,70.7800,70.7800,FAM_STATE_IDEAS_MOO_REBUILD,13,2026-07-16T04:07:58,1784200411877505300,
RGLD,LONG,193.0200,186.3000,204.5900,77.40,77.40,CONVICTION,BULL_BOUNCE,1.72,193.0200,193.0200,FAVORABLE,77.40,193.0200,193.0200,193.0200,FAM_STATE_IDEAS_MOO_REBUILD,14,2026-07-16T04:07:58,1784200411877505300,
WYFI,LONG,28.3700,25.1800,33.1900,76.80,76.80,CONVICTION,BULL_BOUNCE_PENDING,1.51,28.3700,28.3700,FAVORABLE,76.80,28.3700,28.3700,28.3700,FAM_STATE_IDEAS_MOO_REBUILD,15,2026-07-16T04:07:58,1784200411877505300,
LBRDK,LONG,30.8300,28.8500,34.3300,76.80,76.80,CONVICTION,BULL_BOUNCE,1.77,30.8300,30.8300,FAVORABLE,76.80,30.8300,30.8300,30.8300,FAM_STATE_IDEAS_MOO_REBUILD,16,2026-07-16T04:07:58,1784200411877505300,
IP,LONG,36.0100,34.7800,40.6900,76.00,76.00,CONVICTION,BULL_BOUNCE_PENDING,3.81,36.0100,36.0100,FAVORABLE,76.00,36.0100,36.0100,36.0100,FAM_STATE_IDEAS_MOO_REBUILD,17,2026-07-16T04:07:58,1784200411877505300,
DOCN,LONG,115.8000,105.5100,132.3100,75.40,75.40,CONVICTION,BULL_BOUNCE_PENDING,1.60,115.8000,115.8000,FAVORABLE,75.40,115.8000,115.8000,115.8000,FAM_STATE_IDEAS_MOO_REBUILD,18,2026-07-16T04:07:58,1784200411877505300,
PRIM,LONG,89.2900,87.8700,96.5000,74.40,74.40,CONVICTION,BULL_BOUNCE_PENDING,5.06,89.2900,89.2900,FAVORABLE,74.40,89.2900,89.2900,89.2900,FAM_STATE_IDEAS_MOO_REBUILD,20,2026-07-16T04:07:58,1784200411877505300,
POOL,LONG,198.7800,193.2800,228.0000,74.00,74.00,CONVICTION,BULL_BOUNCE_PENDING,5.31,198.7800,198.7800,FAVORABLE,74.00,198.7800,198.7800,198.7800,FAM_STATE_IDEAS_MOO_REBUILD,21,2026-07-16T04:07:58,1784200411877505300,
PLMK,LONG,10.6400,10.2500,11.5000,73.00,73.00,CONVICTION,BULL_BOUNCE,2.20,10.6400,10.6400,FAVORABLE,73.00,10.6400,10.6400,10.6400,FAM_STATE_IDEAS_MOO_REBUILD,22,2026-07-16T04:07:58,1784200411877505300,
NN,LONG,14.7300,13.2100,17.2000,72.00,72.00,CONVICTION,BULL_BOUNCE_PENDING,1.63,14.7300,14.7300,FAVORABLE,72.00,14.7300,14.7300,14.7300,FAM_STATE_IDEAS_MOO_REBUILD,25,2026-07-16T04:07:58,1784200411877505300,
LGN,LONG,69.4000,67.7700,72.6600,71.80,71.80,CONVICTION,BULL_BOUNCE_PENDING,2.00,69.4000,69.4000,FAVORABLE,71.80,69.4000,69.4000,69.4000,FAM_STATE_IDEAS_MOO_REBUILD,26,2026-07-16T04:07:58,1784200411877505300,
ELF,LONG,72.7500,69.8100,79.7200,71.00,71.00,CONVICTION,BULL_BOUNCE_PENDING,2.37,72.7500,72.7500,FAVORABLE,71.00,72.7500,72.7500,72.7500,FAM_STATE_IDEAS_MOO_REBUILD,28,2026-07-16T04:07:58,1784200411877505300,
IAG,LONG,14.2200,13.6100,15.1300,70.90,70.90,CONVICTION,BULL_BOUNCE_PENDING,1.51,14.2200,14.2200,FAVORABLE,70.90,14.2200,14.2200,14.2200,FAM_STATE_IDEAS_MOO_REBUILD,29,2026-07-16T04:07:58,1784200411877505300,
MIR,LONG,16.0000,13.7300,16.8000,70.50,70.50,CONVICTION,BULL_BOUNCE_PENDING,0.35,16.0000,16.0000,FAVORABLE,70.50,16.0000,16.0000,16.0000,FAM_STATE_IDEAS_MOO_REBUILD,30,2026-07-16T04:07:58,1784200411877505300,
