ticker,grade_date,firm,from_grade,to_grade,action,pt_action,current_pt,prior_pt,sentiment,weight
CORT,2026-09-18 16:38,HC Wainwright & Co.,Buy,Buy,reit,Maintains,165.0,165.0,NEUTRAL,1
INTC,2026-09-15 20:03,Tigress Financial,Buy,Buy,main,Raises,145.0,118.0,BULL,2
INTC,2026-09-10 12:23,Piper Sandler,,Neutral,init,Announces,110.0,0.0,NEUTRAL,1
INTC,2026-09-08 15:24,Northland Capital Markets,Market Perform,Outperform,up,Announces,120.0,0.0,BULL,4
NVDA,2026-09-10 14:02,Piper Sandler,,Overweight,init,Announces,300.0,0.0,BULL,3
BMNR,2026-09-10 12:13,Cantor Fitzgerald,Overweight,Overweight,main,Raises,63.6,30.6,BULL,2
MSTR,2026-09-15 12:38,Barclays,Overweight,Overweight,main,Raises,160.0,125.0,BULL,2
MSTR,2026-09-08 11:55,Canaccord Genuity,Buy,Buy,main,Raises,179.0,175.0,BULL,2
CAI,2026-09-09 13:13,UBS,,Neutral,init,Announces,28.0,0.0,NEUTRAL,1
GRAL,2026-09-22 12:08,Baird,Outperform,Outperform,main,Raises,118.0,96.0,BULL,2
GRAL,2026-09-17 13:05,RBC Capital,,Sector Perform,init,Announces,84.0,0.0,NEUTRAL,1
GRAL,2026-09-09 13:19,UBS,,Buy,init,Announces,105.0,0.0,BULL,3
GH,2026-09-09 17:50,UBS,Buy,Buy,main,Raises,225.0,175.0,BULL,2
GH,2026-09-08 12:16,Rothschild & Co,,Buy,init,Announces,203.0,0.0,BULL,3
TH,2026-09-14 15:38,Morgan Stanley,Overweight,Overweight,main,Raises,25.0,22.0,BULL,2
TH,2026-09-08 16:55,Oppenheimer,Outperform,Outperform,main,Raises,27.0,24.0,BULL,2
HTFL,2026-09-22 12:03,Canaccord Genuity,Buy,Buy,main,Raises,56.0,45.0,BULL,2
HTFL,2026-09-09 13:21,UBS,,Neutral,init,Announces,55.0,0.0,NEUTRAL,1
WIX,2026-09-21 13:40,UBS,Neutral,Neutral,main,Raises,75.0,66.0,BULL,2
INSP,2026-09-21 12:06,Freedom Capital Markets,Buy,Buy,main,Raises,97.0,71.0,BULL,2
INSP,2026-09-11 15:44,Stifel,Buy,Buy,main,Raises,80.0,75.0,BULL,2
XMTR,2026-09-22 11:51,Rosenblatt,Buy,Buy,main,Raises,120.0,110.0,BULL,2
XMTR,2026-09-21 12:54,Citizens,Market Outperform,Market Outperform,reit,Maintains,120.0,120.0,NEUTRAL,1
ANF,2026-09-09 12:47,BMO Capital,,Outperform,init,Announces,170.0,0.0,BULL,3
ODD,2026-09-10 17:31,Morgan Stanley,Equal-Weight,Equal-Weight,main,Raises,16.5,10.0,BULL,2
ODD,2026-09-10 16:54,Truist Securities,Hold,Hold,main,Raises,18.0,16.0,BULL,2
ODD,2026-09-10 15:52,Evercore ISI Group,In-Line,In-Line,main,Raises,21.0,15.0,BULL,2
ODD,2026-09-09 21:28,Jefferies,Hold,Hold,main,Raises,18.0,16.0,BULL,2
ODD,2026-09-08 12:30,Needham,Hold,Hold,reit,,0.0,0.0,NEUTRAL,1
CRCL,2026-09-17 14:13,TD Cowen,Buy,Buy,main,Raises,92.0,87.0,BULL,2
CRCL,2026-09-08 14:24,"Keefe, Bruyette & Woods",,Market Perform,init,Announces,105.0,0.0,NEUTRAL,1
AUGO,2026-09-17 13:48,Scotiabank,,Sector Outperform,init,Announces,110.0,0.0,NEUTRAL,1
FDMT,2026-09-14 11:01,Cantor Fitzgerald,Neutral,Overweight,up,Announces,20.0,0.0,BULL,4
PURR,2026-09-15 14:22,Compass Point,,Buy,init,Announces,18.0,0.0,BULL,3
PURR,2026-09-10 12:22,Cantor Fitzgerald,Overweight,Overweight,main,Raises,34.2,22.6,BULL,2
MRVL,2026-09-21 17:51,Morgan Stanley,Equal-Weight,Equal-Weight,main,Raises,268.0,246.0,BULL,2
MRVL,2026-09-10 15:09,Piper Sandler,,Overweight,init,Announces,270.0,0.0,BULL,3
FTK,2026-09-15 15:58,Lake Street,Buy,Buy,main,Raises,44.0,40.0,BULL,2
PLSE,2026-09-09 12:25,Freedom Capital Markets,,Buy,init,Announces,73.0,0.0,BULL,3
FTH,2026-09-16 12:10,Guggenheim,,Buy,init,Announces,70.0,0.0,BULL,3
FTH,2026-09-14 17:25,LUCID CAPITAL MARKETS,,Buy,init,Announces,59.0,0.0,BULL,3
FTH,2026-09-09 14:28,TD Cowen,,Buy,init,,0.0,0.0,BULL,3
NBIS,2026-09-21 12:10,Rothschild & Co,,Sell,init,Announces,84.0,0.0,BEAR,3
NBIS,2026-09-09 20:10,Truist Securities,,Buy,init,Announces,355.0,0.0,BULL,3
CIFR,2026-09-21 12:06,Rothschild & Co,,Neutral,init,Announces,18.0,0.0,NEUTRAL,1
CIFR,2026-09-18 13:24,Morgan Stanley,Overweight,Overweight,main,Raises,54.0,43.5,BULL,2
CIFR,2026-09-18 11:48,Freedom Capital Markets,,Hold,init,Announces,22.0,0.0,NEUTRAL,1
CIFR,2026-09-17 12:24,Wells Fargo,,Overweight,init,Announces,25.0,0.0,BULL,3
CIFR,2026-09-10 11:53,Rosenblatt,Buy,Buy,main,Maintains,30.0,30.0,NEUTRAL,1
NX,2026-09-10 12:40,StoneX,Buy,Buy,reit,Maintains,28.0,28.0,NEUTRAL,1
HOOD,2026-09-14 17:54,Deutsche Bank,Buy,Buy,main,Raises,138.0,136.0,BULL,2
HOOD,2026-09-11 11:42,Citizens,Market Outperform,Market Outperform,main,Raises,165.0,155.0,BULL,2
HOOD,2026-09-09 14:12,Mizuho,Outperform,Outperform,main,Raises,140.0,130.0,BULL,2
HOOD,2026-09-09 09:43,Bernstein,Outperform,Outperform,reit,Maintains,160.0,160.0,NEUTRAL,1
HOOD,2026-09-09 09:38,StoneX,,Buy,init,Announces,170.0,0.0,BULL,3
HOOD,2026-09-08 15:42,Jefferies,Buy,Buy,main,Raises,140.0,127.0,BULL,2
HOOD,2026-09-08 14:14,Goldman Sachs,Buy,Buy,main,Raises,142.0,124.0,BULL,2
HOOD,2026-09-08 11:00,Cantor Fitzgerald,Overweight,Overweight,main,Raises,150.0,115.0,BULL,2
BE,2026-09-14 17:56,Mizuho,Outperform,Outperform,main,Raises,351.0,242.0,BULL,2
DELL,2026-09-21 17:50,Morgan Stanley,Equal-Weight,Equal-Weight,main,Raises,511.0,499.0,BULL,2
DELL,2026-09-10 20:20,RBC Capital,,Outperform,init,Announces,640.0,0.0,BULL,3
DELL,2026-09-09 16:26,Evercore ISI Group,Outperform,Outperform,main,Raises,650.0,575.0,BULL,2
CRWD,2026-09-21 17:53,Morgan Stanley,Overweight,Overweight,main,Raises,254.0,238.0,BULL,2
CRWD,2026-09-18 17:53,B of A Securities,Neutral,Neutral,main,Raises,260.0,230.0,BULL,2
CRWD,2026-09-18 12:46,Stephens & Co.,Overweight,Overweight,main,Raises,280.0,260.0,BULL,2
CRWD,2026-09-17 11:53,Bernstein,Market Perform,Market Perform,main,Raises,132.0,119.0,BULL,2
HUT,2026-09-21 12:08,Rothschild & Co,,Neutral,init,Announces,96.0,0.0,NEUTRAL,1
HUT,2026-09-17 12:27,Wells Fargo,,Overweight,init,Announces,175.0,0.0,BULL,3
PANW,2026-09-21 17:54,Morgan Stanley,Overweight,Overweight,main,Raises,410.0,394.0,BULL,2
PANW,2026-09-17 11:46,Bernstein,Outperform,Market Perform,down,Raises,351.0,253.0,BEAR,4
NET,2026-09-17 14:18,Bernstein,Market Perform,Market Perform,main,Raises,181.0,164.0,BULL,2
ABT,2026-09-08 13:56,TD Cowen,Buy,Buy,reit,Maintains,135.0,135.0,NEUTRAL,1
AVTR,2026-09-09 16:27,UBS,Neutral,Neutral,main,Raises,16.0,10.5,BULL,2
MBGL,2026-09-09 13:20,Evercore ISI Group,,In-Line,init,Announces,22.0,0.0,NEUTRAL,1
SNAP,2026-09-17 13:29,RBC Capital,Sector Perform,Sector Perform,reit,Maintains,8.0,8.0,NEUTRAL,1
