dimension,value,n,wins,stops,closes,wr_pct,avg_pnl,total_pnl,max_loss
scanner,momentum,496,215,280,1,43.35,30.26,15009.05,-100.56
scanner,short,200,76,123,1,38.0,14.95,2990.1,-100.68
scanner,abook,725,208,439,78,28.69,-0.35,-253.59,-102.19
scanner,intraday,150,14,65,71,9.33,-23.09,-3463.14,-100.0
gap_tier,PARABOLIC,200,87,112,1,43.5,30.91,6182.55,-100.56
gap_tier,EXTREME,120,56,61,3,46.67,41.72,5006.87,-100.46
gap_tier,IN_BAND,380,121,207,52,31.84,10.05,3817.41,-102.19
gap_tier,(none),592,177,359,56,29.9,1.8,1065.89,-100.64
gap_tier,STRETCHED,175,50,107,18,28.57,-3.36,-587.71,-100.68
gap_tier,NONE,104,22,61,21,21.15,-11.56,-1202.59,-100.19
regime,FAVORABLE,1087,347,610,130,31.92,9.53,10353.87,-100.64
regime,CHOP,144,54,80,10,37.5,21.51,3098.05,-100.39
regime,HOSTILE,337,112,214,11,33.23,3.35,1130.25,-102.19
regime,UNKNOWN,3,0,3,0,0.0,-99.92,-299.75,-99.98
stop_method,FIXED,1420,499,841,80,35.14,12.57,17844.52,-102.19
stop_method,PM low,79,11,14,54,13.92,11.34,896.02,-100.0
stop_method,PM high,23,2,4,17,8.7,5.97,137.31,-99.88
stop_method,fixed-%-fallback,3,1,2,0,33.33,-0.01,-0.04,-99.99
stop_method,BRACKET_STRUCT,1,0,1,0,0.0,-98.96,-98.96,-98.96
stop_method,recent 5-min high,20,0,20,0,0.0,-99.89,-1997.86,-99.99
stop_method,recent 5-min low,25,0,25,0,0.0,-99.94,-2498.57,-100.0
side,LONG,1326,434,759,133,32.73,9.84,13052.97,-102.19
side,SHORT,245,79,148,18,32.24,5.02,1229.45,-100.68
setup,MOO_GENESIS,496,215,280,1,43.35,30.26,15009.05,-100.56
setup,SHORT_GENESIS_9_33,200,76,123,1,38.0,14.95,2990.1,-100.68
setup,HOLDING-LONG,46,8,10,28,17.39,11.25,517.5,-99.98
setup,FAILED-GAP-SHORT,24,3,6,15,12.5,5.83,140.0,-99.99
setup,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
setup,MOO,724,208,438,78,28.73,-0.21,-154.63,-102.19
setup,ORB-SHORT,5,0,4,1,0.0,-79.93,-399.63,-99.99
setup,ORB-LONG|HOLDING-LONG,25,1,10,14,4.0,-25.41,-635.28,-100.0
setup,ORB-SHORT|FAILED-GAP-SHORT,16,0,15,1,0.0,-93.81,-1501.02,-99.99
setup,ORB-LONG,34,2,20,12,5.88,-46.61,-1584.71,-100.0
setup_kind,SINGLE,1387,445,820,122,32.08,6.47,8969.94,-102.19
setup_kind,(none),183,68,86,29,37.16,29.57,5411.44,-100.64
setup_kind,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
cohort,MID,897,296,503,98,33.0,12.38,11107.86,-100.03
cohort,PENNY,674,217,404,53,32.2,4.71,3174.56,-102.19
conviction_band,(none),1571,513,907,151,32.65,9.09,14282.42,-102.19
regime_x_scanner,FAVORABLE | momentum,342,139,203,0,40.64,21.92,7497.37,-100.46
regime_x_scanner,HOSTILE | momentum,112,57,54,1,50.89,53.68,6011.98,-100.56
regime_x_scanner,FAVORABLE | abook,467,140,263,64,29.98,7.1,3315.2,-100.64
regime_x_scanner,FAVORABLE | short,134,54,79,1,40.3,22.34,2993.9,-100.63
regime_x_scanner,CHOP | momentum,42,19,23,0,45.24,35.71,1499.7,-100.39
regime_x_scanner,CHOP | abook,86,30,52,4,34.88,12.89,1108.85,-100.19
regime_x_scanner,CHOP | short,10,5,5,0,50.0,50.0,500.04,-100.13
regime_x_scanner,CHOP | intraday,6,0,0,6,0.0,-1.76,-10.54,-22.98
regime_x_scanner,UNKNOWN | abook,3,0,3,0,0.0,-99.92,-299.75,-99.98
regime_x_scanner,HOSTILE | short,56,17,39,0,30.36,-9.0,-503.84,-100.68
regime_x_scanner,FAVORABLE | intraday,144,14,65,65,9.72,-23.98,-3452.6,-100.0
regime_x_scanner,HOSTILE | abook,169,38,121,10,22.49,-25.9,-4377.89,-102.19
