ticker,side,mode,tier,fem,entry,stop,t1,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,news
AMZN,Long,PULLBACK,T1-STRONG_LONG,90,225.23,221.38,250.38,5.6,4.5046,233.65,3.6,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",225.23,221.38,HIGHWAY,12690527711,1.7,1.2,0,14.1,33,8,9754.5,MEGA,0.0,11293,5,5243,7.2,B,
AVGO,Long,PULLBACK,T1-STRONG_LONG,65,322.62,314.65,382.0,7.5,7.97,354.91,9.1,WAITING,2,2,"1d,4h",322.62,314.65,HIGHWAY,16012622298,0.9,1.2,0,18.9,37,8,4675.72,MEGA,0.0,20859,12,5862,7.6,B,
TSLA,Short,RESISTANCE,T3-SHORT,95,369.4,378.66,336.03,3.6,9.26,345.62,6.9,APPROACH,1,1,1h,378.66,369.4,HIGHWAY,8220800204,1.0,1.1,0,9.8,22,8,2812.67,MEGA,0.02,8820,5,2578,2.8,C,
XOM,Short,RESISTANCE,T3-SHORT,95,165.77,169.66,147.61,4.7,3.89,155.04,6.9,APPROACH,1,1,1d,169.66,165.77,HIGHWAY,8071965506,0.9,1.1,0,10.5,39,8,4158.14,MEGA,0.0,1918,2,337,4.8,C,
ORCL,Short,RESISTANCE,T3-SHORT,80,142.8,145.656,130.99,4.1,2.856,137.86,3.6,APPROACH,1,1,30m,143.24,142.8,HIGHWAY,130685412,1.5,1.1,0,11.4,21,8,1708.98,MEGA,0.01,5723,11,2332,5.0,B,
CVX,Short,RESISTANCE,T2-SHORT,95,201.99,206.9,181.98,4.1,4.91,190.36,6.1,APPROACH,1,1,1d,206.9,201.99,HIGHWAY,6966275594,0.8,1.0,0,9.0,32,8,1854.13,MEGA,0.0,7529,2,0,4.4,C,
AMD,Long,PULLBACK,T1-STRONG_LONG,81,228.77,221.64,251.64,3.2,7.13,236.64,3.3,APPROACH,4,4,"1d,1h,30m,4h",228.77,221.64,OPEN_ROAD,22657324573,0.8,0.9,0,18.2,25,8,1621.48,MEGA,0.01,11354,12,2863,99.9,A,
PLTR,Short,RESISTANCE,T3-SHORT,80,139.4,142.188,101.53,13.6,2.788,130.49,6.8,APPROACH,1,1,1d,140.76,139.4,HIGHWAY,8901307576,2.2,1.5,1,21.6,16,8,2209.31,MEGA,0.03,1927,5,751,22.2,A,
CAT,Long,PULLBACK,T1-STRONG_LONG,92,756.0,725.73,848.41,3.1,30.27,787.07,3.9,APPROACH,4,4,"1d,1h,30m,4h",756.0,725.73,HIGHWAY,10068717388,1.1,1.0,0,13.0,38,8,463.86,MEGA,0.0,35543,18,9617,99.9,A,
AMAT,Long,PULLBACK,T1-STRONG_LONG,75,377.78,354.58,441.04,2.7,23.2,397.81,5.0,APPROACH,4,4,"1d,1h,30m,4h",377.78,354.58,HIGHWAY,16548832200,0.9,0.9,0,18.2,30,8,790.14,MEGA,0.0,23569,14,22471,99.9,A,
LRCX,Long,PULLBACK,T1-STRONG_LONG,91,241.85,224.49,293.03,2.9,17.36,258.76,6.5,APPROACH,4,4,"1d,1h,30m,4h",241.85,224.49,HIGHWAY,19208364012,1.0,1.0,0,24.0,44,8,1243.69,MEGA,0.0,19254,20,7490,99.9,A,
UNH,Long,PULLBACK,T2-LONG,33,277.88,277.26,365.19,15.7,5.5576,306.91,9.5,WAITING,1,1,1d,277.88,277.26,OPEN_ROAD,191083752,0.6,1.6,1,15.3,30,8,900.0,MEGA,0.0,18164,3,4242,19.0,B,
WFC,Long,PULLBACK,T1-STRONG_LONG,45,80.96,80.6,94.42,8.3,1.6192,86.02,5.9,APPROACH,1,1,1d,80.96,80.6,OPEN_ROAD,188768196,0.6,0.7,0,9.5,30,8,3077.24,MEGA,0.0,2614,6,721,9.8,A,
TMUS,Short,RESISTANCE,T3-SHORT,80,208.42,212.5884,195.9148,3.0,4.1684,197.54,5.5,APPROACH,1,1,1d,210.03,208.42,HIGHWAY,656154051,0.8,1.0,0,4.9,12,8,515.48,MEGA,0.0,1449,5,1277,99.9,A,
VZ,Short,RESISTANCE,T3-SHORT,95,48.16,49.1232,41.38,7.0,0.9632,47.78,0.8,CLOSE,1,1,1d,48.53,48.16,HIGHWAY,877436759,1.2,1.1,0,5.9,16,8,4211.61,MEGA,0.0,323,2,24,13.4,C,
KLAC,Long,PULLBACK,T1-STRONG_LONG,97,1658.52,1548.91,1905.61,2.3,109.61,1727.26,4.0,APPROACH,4,4,"1d,1h,30m,4h",1658.52,1548.91,HIGHWAY,7298374156,1.1,0.8,0,19.6,37,8,130.77,HIGH,0.0,107703,17,32935,99.9,A,
AMGN,Long,PULLBACK,T2-LONG,73,342.35,340.64,373.69,4.6,6.847,355.6,3.7,APPROACH,3,3,"1h,30m,4h",342.35,340.64,HIGHWAY,332696574,1.4,1.4,0,7.3,16,8,537.61,MEGA,0.0,2342,4,1380,5.1,B,
TJX,Long,PULLBACK,T2-LONG,72,158.43,157.76,172.24,4.4,3.1686,165.0,4.0,APPROACH,3,3,"1h,30m,4h",158.43,157.76,HIGHWAY,106220021,1.2,1.0,0,5.3,16,8,1103.97,MEGA,0.0,1395,3,564,99.9,B,
TXN,Long,PULLBACK,T1-STRONG_LONG,76,206.16,200.38,229.58,4.1,5.78,214.98,4.1,APPROACH,4,4,"1d,1h,30m,4h",206.16,200.38,HIGHWAY,3381753730,1.0,1.1,0,13.1,34,8,905.35,MEGA,0.0,8644,7,3875,99.9,A,
