ticker,side,tier,fem,mode,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,checked_at,scan_date
RZLV,Long,T1-STRONG_LONG,100,FRESH_HOLD,2.575,2.405,3.03,2.965,2.9799,2.56,11826075.0,15.15,WINNING,2.29,2026-04-01_0720,
CRDL,Long,T1-STRONG_LONG,90,FRESH_HOLD,1.235,1.2,1.46,1.39,1.44,1.33,296224.0,12.55,WINNING,4.43,2026-04-01_0720,
AMTX,Long,T1-STRONG_LONG,75,FRESH_HOLD,3.34,3.3,3.495,2.93,3.24,2.87,776979.0,-12.28,STOPPED,-1.0,2026-04-01_0720,
UNIT,Long,T1-STRONG_LONG,75,FRESH_HOLD,7.94,7.64,8.11,10.17,11.04,9.68,1922553.0,28.09,TARGET_HIT,0.57,2026-04-01_0720,
FUN,Long,T1-STRONG_LONG,74,FRESH_HOLD,16.84,16.34,17.5,18.11,18.18,17.61,201871.0,7.54,TARGET_HIT,1.32,2026-04-01_0720,
AGRO,Long,T1-STRONG_LONG,66,PULLBACK,14.6,14.0,16.47,14.7,14.98,14.45,216842.0,0.68,WINNING,0.17,2026-04-01_0720,
FMC,Long,T1-STRONG_LONG,63,PULLBACK,15.94,15.2,22.0,17.14,17.32,17.05,191609.0,7.53,WINNING,1.62,2026-04-01_0720,
APRE,Long,T2-LONG,88,PULLBACK,0.7015,0.6772,0.7761,0.703,0.7444,0.6623,247758.0,0.21,STOPPED,-1.0,2026-04-01_0720,
RZLV,Long,T2-LONG,85,PULLBACK,2.375,2.2,3.03,2.9501,2.9799,2.56,12087260.0,24.21,WINNING,3.29,2026-04-01_0720,
CODI,Long,T2-LONG,70,FRESH_HOLD,7.44,7.14,7.77,7.9,7.96,7.79,39899.0,6.18,TARGET_HIT,1.1,2026-04-01_0720,
ONEG,Long,T2-LONG,67,FRESH_HOLD,2.1,2.04,2.2281,1.99,2.07,1.95,31304.0,-5.24,STOPPED,-1.0,2026-04-01_0720,
GEVO,Long,T2-LONG,66,PULLBACK,2.54,2.35,3.08,2.5199,2.73,2.455,2244581.0,-0.79,LOSING,-0.11,2026-04-01_0720,
GVH,Long,T2-LONG,49,PULLBACK,1.37,1.3,1.55,2.2701,2.52,2.2,404970.0,65.7,TARGET_HIT,2.57,2026-04-01_0720,
ALTO,Long,T2-LONG,29,FRESH_HOLD,4.52,4.43,4.81,4.75,5.02,4.75,240705.0,5.09,TARGET_HIT,3.22,2026-04-01_0720,
YYGH,Long,T3-LONG_WATCH,85,FRESH_HOLD,1.11,1.1,1.185,1.02,1.05,0.9801,98048.0,-8.11,STOPPED,-1.0,2026-04-01_0720,
GLND,Long,T3-LONG_WATCH,76,FRESH_HOLD,10.86,10.82,11.15,8.03,8.7,7.35,279415.0,-26.06,STOPPED,-1.0,2026-04-01_0720,
FMCC,Long,T3-LONG_WATCH,59,FRESH_HOLD,5.95,5.64,6.15,6.81,6.92,6.5,1289721.0,14.45,TARGET_HIT,0.65,2026-04-01_0720,
FNMA,Long,T3-LONG_WATCH,50,PULLBACK,6.66,6.3,6.8,7.59,7.65,7.28,1874248.0,13.96,TARGET_HIT,0.39,2026-04-01_0720,
LMRI,Long,T3-LONG_WATCH,49,FRESH_HOLD,7.75,7.4,8.25,9.34,9.39,8.05,70477.0,20.52,TARGET_HIT,1.43,2026-04-01_0720,
NXTT,Long,T3-LONG_WATCH,34,PULLBACK,1.9,1.895,1.9714,2.65,2.6699,1.9387,286674.0,39.47,TARGET_HIT,14.28,2026-04-01_0720,
RBNE,Long,T3-LONG_WATCH,33,FRESH_HOLD,2.65,2.64,2.83,2.1055,2.29,2.08,642723.0,-20.55,STOPPED,-1.0,2026-04-01_0720,
REI,Long,T3-LONG_WATCH,27,FRESH_HOLD,1.5898,1.585,1.6415,1.415,1.5,1.4,2068552.0,-11.0,STOPPED,-1.0,2026-04-01_0720,
EGY,Long,T3-LONG_WATCH,18,PULLBACK,6.25,6.17,6.88,6.03,6.2,6.0002,322309.0,-3.52,STOPPED,-1.0,2026-04-01_0720,
AHCO,Long,T3-LONG_WATCH,18,PULLBACK,10.46,10.0,12.13,11.64,11.96,11.62,73426.0,11.28,WINNING,2.57,2026-04-01_0720,
WLTH,Long,T3-LONG_WATCH,18,FRESH_HOLD,8.9,8.88,9.14,9.26,9.48,9.18,66835.0,4.04,TARGET_HIT,12.0,2026-04-01_0720,
WTI,Long,T3-LONG_WATCH,16,PULLBACK,3.32,3.28,3.5503,3.0,3.3,2.9821,3198573.0,-9.64,STOPPED,-1.0,2026-04-01_0720,
