ticker,outcome,result_r
UCAR,NO_DATA,
AGPU,NO_DATA,
AGPU,NO_DATA,
RENX,NO_DATA,
RENX,NO_DATA,
DEFT,NO_DATA,
RZLV,NO_DATA,
CETX,NO_DATA,
CETX,NO_DATA,
SST,NO_DATA,
KOPN,NO_DATA,
KOPN,NO_DATA,
PROP,NO_DATA,
PROP,NO_DATA,
PROP,NO_DATA,
EVTL,NO_DATA,
EVTL,NO_DATA,
SXTP,NO_DATA,
BATL,NO_DATA,
BATL,NO_DATA,
NEXT,NO_DATA,
UMAC,NO_DATA,
UMAC,NO_DATA,
KALA,NO_DATA,
VIR,NO_DATA,
LFST,NO_DATA,
MASK,NO_DATA,
MASK,NO_DATA,
MASK,NO_DATA,
GVH,NO_DATA,
GVH,NO_DATA,
FCHL,NO_DATA,
WNW,NO_DATA,
SRXH,NO_DATA,
BURU,NO_DATA,
BURU,NO_DATA,
JTAI,NO_DATA,
MGN,NO_DATA,
MGN,NO_DATA,
VRAX,NO_DATA,
VRAX,NO_DATA,
MIST,NO_DATA,
MIST,NO_DATA,
BTQ,NO_DATA,
HUBC,NO_DATA,
HUBC,NO_DATA,
ONDS,NO_DATA,
ONDS,NO_DATA,
FFAI,NO_DATA,
FFAI,NO_DATA,
QNCX,NO_DATA,
GV,NO_DATA,
PSKY,NO_DATA,
SLDE,NO_DATA,
TSSI,NO_DATA,
DVLT,NO_DATA,
DVLT,NO_DATA,
BLND,NO_DATA,
BLND,NO_DATA,
TMDE,NO_DATA,
TMDE,NO_DATA,
TURB,NO_DATA,
TURB,NO_DATA,
TPET,NO_DATA,
TPET,NO_DATA,
EONR,NO_DATA,
RBNE,NO_DATA,
USEG,NO_DATA,
ALTS,NO_DATA,
STLA,NO_DATA,
NOK,NO_DATA,
NIO,NO_DATA,
NIO,NO_DATA,
GPUS,NO_DATA,
GPUS,NO_DATA,
MOBX,NO_DATA,
