ticker,side,tier,fem,mode,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,stop_adjusted,checked_at,scan_date
GPRO,Long,T1-STRONG_LONG,100,PULLBACK,1.279,1.225,1.49,1.7,2.05,1.41,285135703,32.92,TARGET_HIT,0.85,True,2026-09-04_1720,2026-09-04_0407_ranked
COMP,Long,T1-STRONG_LONG,100,PULLBACK,10.415,10.0201,11.56,11.12,11.195,10.795,9175104,6.77,TARGET_HIT,1.5,True,2026-09-04_1720,2026-09-04_0407_ranked
WDAY,Long,T1-STRONG_LONG,100,BOUNCE,206.92,194.8439,236.4,195.79,206.94,195.4,2864986,-5.38,TARGET_HIT,1.5,True,2026-09-04_1720,2026-09-04_0407_ranked
RF,Long,T2-LONG,88,BOUNCE,30.44,28.4113,34.4974,30.42,30.625,30.2,6236327,-0.07,CLOSED_LOSS,-0.01,False,2026-09-04_1720,2026-09-04_0407_ranked
KEY,Long,T1-STRONG_LONG,100,BOUNCE,22.12,20.5737,25.2126,22.18,22.35,22.02,9683254,0.27,CLOSED,0.36,True,2026-09-04_1720,2026-09-04_0407_ranked
MBGL,Long,T1-STRONG_LONG,100,BOUNCE,20.46,19.2351,22.9098,20.58,20.615,20.2101,3369379,0.59,CLOSED,0.92,True,2026-09-04_1720,2026-09-04_0407_ranked
BMY,Long,T1-STRONG_LONG,100,BOUNCE,68.09,64.9124,74.4452,66.82,67.72,66.575,4825447,-1.87,CLOSED,0.18,True,2026-09-04_1720,2026-09-04_0407_ranked
FNB,Long,T1-STRONG_LONG,100,BOUNCE,18.47,17.3339,20.7422,18.67,18.72,18.38,3243412,1.08,CLOSED,0.79,True,2026-09-04_1720,2026-09-04_0407_ranked
NVDA,Long,T1-STRONG_LONG,100,BOUNCE,228.45,217.6777,249.9946,230.36,234.76,229.63,135352701,0.84,CLOSED,0.16,True,2026-09-04_1720,2026-09-04_0407_ranked
CTSH,Long,T1-STRONG_LONG,100,BOUNCE,64.64,61.498,70.924,62.31,63.95,62.29,4473373,-3.6,CLOSED,0.02,True,2026-09-04_1720,2026-09-04_0407_ranked
