ticker,side,tier,fem,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,stop_adjusted,checked_at,scan_date
NVDA,Long,T2-LONG,21,180.3,178.23,203.97,196.25,0,0,0,8.85,NO_FILL,0.0,False,2026-04-14_2043,2026-04-12_2000
META,Long,T1-STRONG_LONG,58,639.37,635.0,687.99,665.8,0,0,0,4.13,NO_FILL,0.0,True,2026-04-14_2043,2026-04-12_2000
XOM,Short,T3-SHORT,95,165.77,169.66,147.61,148.7,0,0,0,10.3,NO_FILL,0.0,False,2026-04-14_2043,2026-04-12_2000
COST,Short,T3-SHORT,80,1029.0,1049.58,944.42,973.63,0,0,0,5.38,NO_FILL,0.0,False,2026-04-14_2043,2026-04-12_2000
ORCL,Long,T2-LONG,100,164.62,155.91,182.04,163.8,0,0,0,-0.5,PRE_DOWN,-0.09,False,2026-04-14_2043,2026-04-12_2000
MU,Long,T1-STRONG_LONG,91,434.51,426.49,504.83,461.15,0,0,0,6.13,NO_FILL,0.0,False,2026-04-14_2043,2026-04-12_2000
CVX,Short,T2-SHORT,95,201.99,206.9,181.98,186.59,0,0,0,7.62,NO_FILL,0.0,False,2026-04-14_2043,2026-04-12_2000
ABBV,Short,T3-SHORT,95,213.99,218.2698,199.76,210.28,0,0,0,1.73,NO_FILL,0.0,False,2026-04-14_2043,2026-04-12_2000
AMD,Long,T1-STRONG_LONG,55,238.95,237.1,273.04,253.3,0,0,0,6.01,NO_FILL,0.0,True,2026-04-14_2043,2026-04-12_2000
BAC,Long,T2-LONG,31,51.37,50.48,56.69,53.39,0,0,0,3.93,NO_FILL,0.0,False,2026-04-14_2043,2026-04-12_2000
PLTR,Long,T1-STRONG_LONG,76,130.23,128.33,139.4,135.83,0,0,0,4.3,NO_FILL,0.0,False,2026-04-14_2043,2026-04-12_2000
CAT,Long,T1-STRONG_LONG,34,753.1,725.73,862.77,793.62,0,0,0,5.38,NO_FILL,0.0,False,2026-04-14_2043,2026-04-12_2000
AMAT,Long,T1-STRONG_LONG,35,377.78,356.0,435.28,396.0,0,0,0,4.82,NO_FILL,0.0,False,2026-04-14_2043,2026-04-12_2000
LRCX,Long,T1-STRONG_LONG,36,248.33,246.49,298.33,272.78,0,0,0,9.85,NO_FILL,0.0,True,2026-04-14_2043,2026-04-12_2000
WFC,Short,T3-SHORT,80,83.16,84.8232,77.45,81.74,0,0,0,1.71,NO_FILL,0.0,False,2026-04-14_2043,2026-04-12_2000
PM,Short,T2-SHORT,95,162.47,165.7194,145.74,159.56,0,0,0,1.79,NO_FILL,0.0,False,2026-04-14_2043,2026-04-12_2000
GEV,Long,T1-STRONG_LONG,35,930.55,910.94,1064.06,988.01,0,0,0,6.17,NO_FILL,0.0,False,2026-04-14_2043,2026-04-12_2000
TMUS,Short,T3-SHORT,95,191.21,195.0342,179.7374,190.28,0,0,0,0.49,PRE_DOWN,0.24,False,2026-04-14_2043,2026-04-12_2000
VZ,Short,T2-SHORT,95,48.16,49.1232,41.38,45.36,0,0,0,5.81,NO_FILL,0.0,False,2026-04-14_2043,2026-04-12_2000
AXP,Long,T2-LONG,35,314.94,307.12,343.35,328.0,0,0,0,4.15,NO_FILL,0.0,False,2026-04-14_2043,2026-04-12_2000
C,Long,T1-STRONG_LONG,37,121.73,117.7,141.46,130.18,0,0,0,6.94,NO_FILL,0.0,False,2026-04-14_2043,2026-04-12_2000
KLAC,Long,T1-STRONG_LONG,40,1635.33,1548.91,2042.91,1796.44,0,0,0,9.85,NO_FILL,0.0,False,2026-04-14_2043,2026-04-12_2000
T,Short,T2-SHORT,95,26.63,27.1626,24.43,25.58,0,0,0,3.94,NO_FILL,0.0,False,2026-04-14_2043,2026-04-12_2000
ABT,Short,T2-SHORT,95,103.0,105.06,96.82,101.15,0,0,0,1.8,NO_FILL,0.0,False,2026-04-14_2043,2026-04-12_2000
TXN,Long,T1-STRONG_LONG,35,206.16,200.38,237.36,218.85,0,0,0,6.16,NO_FILL,0.0,False,2026-04-14_2043,2026-04-12_2000
CRM,Long,T2-LONG,51,165.77,165.31,192.14,171.8,0,0,0,3.64,NO_FILL,0.0,True,2026-04-14_2043,2026-04-12_2000
DIS,Long,T2-LONG,35,97.69,96.79,104.79,102.5,0,0,0,4.92,NO_FILL,0.0,True,2026-04-14_2043,2026-04-12_2000
SCHW,Long,T1-STRONG_LONG,53,94.5,93.73,103.03,98.96,0,0,0,4.72,NO_FILL,0.0,True,2026-04-14_2043,2026-04-12_2000
