date,ticker,clock_hour,gap_above_size,gap_above_atr_mult,gap_above_conviction,gap_above_tick_width,gap_above_distance_pct,gap_below_size,gap_below_atr_mult,gap_below_conviction,gap_below_tick_width,gap_below_distance_pct,n_gaps_above,n_gaps_below,setup_fired,side,score,tier,spy_regime,atr_14_daily,obv_state
2026-08-26,SWKS,6.0,0.53,0.203,COMPRESSION,54,143.0,0.82,0.314,COMPRESSION,83,542.0,48,54,BEAR_REJECTION_PENDING,SHORT,70.8,CONVICTION,FAVORABLE,2.6136,FALLING
2026-08-26,BTCT,6.0,0.0047,0.014,MINOR,1,939.0,0.0096,0.028,MINOR,1,366.0,5,11,BULL_BOUNCE_PENDING,LONG,80.2,CONVICTION,FAVORABLE,0.3379,RISING
2026-08-26,ELF,6.0,,,,,,0.26,0.055,COMPRESSION,27,293.0,0,70,BULL_BOUNCE_PENDING,LONG,68.0,CONVICTION,FAVORABLE,4.7034,NEUTRAL
2026-08-26,SSRM,6.0,0.0351,0.022,MINOR,4,74.0,0.55,0.347,COMPRESSION,55,191.0,2,73,BULL_BOUNCE_PENDING,LONG,64.8,CONVICTION,FAVORABLE,1.5855,RISING
2026-08-26,NESR,6.0,0.0055,0.003,MINOR,1,608.0,2.98,1.483,CONVICTION,299,574.0,15,49,BULL_BOUNCE_PENDING,LONG,93.0,CONVICTION,FAVORABLE,2.0089,NEUTRAL
2026-08-26,CAST,6.0,0.075,0.215,COMPRESSION,8,1058.0,0.0002,0.001,MINOR,1,1089.0,17,12,BULL_BOUNCE_CONFIRMED,LONG,60.0,CONVICTION,FAVORABLE,0.3489,RISING
2026-08-26,MSTR,6.0,1.76,0.255,CONVICTION,176,285.0,2.59,0.375,CONVICTION,260,315.0,21,32,BULL_BOUNCE,LONG,70.0,CONVICTION,FAVORABLE,6.9035,RISING
2026-08-26,PURR,6.0,0.005,0.006,MINOR,1,169.0,0.39,0.496,COMPRESSION,40,735.0,2,19,CHANNEL_RECLAIM_LONG,LONG,67.0,CONVICTION,FAVORABLE,0.787,RISING
2026-08-26,GDYN,6.0,0.15,0.454,COMPRESSION,15,571.0,0.31,0.939,COMPRESSION,32,649.0,15,36,BUY_LOWER_DIRTY,LONG,44.6,MARGINAL,FAVORABLE,0.3302,RISING
2026-08-26,RLAY,6.0,0.45,0.465,MINOR,46,175.0,0.14,0.145,COMPRESSION,14,1232.0,20,21,BULL_BOUNCE_PENDING,LONG,51.0,MARGINAL,FAVORABLE,0.9675,NEUTRAL
2026-08-26,FROG,6.0,1.33,0.24,CONVICTION,133,202.0,0.02,0.004,COMPRESSION,2,1187.0,59,16,BEAR_REJECTION_PENDING,SHORT,68.5,CONVICTION,FAVORABLE,5.5451,NEUTRAL
2026-08-26,PAY,6.0,0.6,0.318,COMPRESSION,60,36.0,0.2,0.106,COMPRESSION,20,1250.0,27,36,BULL_BOUNCE_PENDING,LONG,67.0,CONVICTION,FAVORABLE,1.8866,NEUTRAL
2026-08-26,BIVI,6.0,0.0056,0.009,MINOR,1,757.0,0.01,0.016,MINOR,2,449.0,10,7,BULL_BOUNCE_PENDING,LONG,52.0,MARGINAL,FAVORABLE,0.6111,RISING
2026-08-26,CRCL,6.0,1.675,0.285,CONVICTION,168,840.0,1.95,0.331,CONVICTION,196,171.0,13,48,BULL_BOUNCE_PENDING,LONG,85.5,CONVICTION,FAVORABLE,5.8861,RISING
2026-08-26,ENTX,6.0,0.02,0.083,MINOR,3,461.0,0.05,0.207,MINOR,5,548.0,22,35,BULL_BOUNCE_PENDING,LONG,49.2,MARGINAL,FAVORABLE,0.2417,NEUTRAL
2026-08-26,ANRO,6.0,0.06,0.028,MINOR,7,39.0,0.01,0.005,MINOR,1,1097.0,8,27,BULL_BOUNCE_PENDING,LONG,51.0,MARGINAL,FAVORABLE,2.1088,RISING
2026-08-26,SPHR,6.0,0.19,0.024,MINOR,19,481.0,0.69,0.089,MINOR,69,24.0,44,42,BULL_BOUNCE_PENDING,LONG,51.0,MARGINAL,FAVORABLE,7.7603,FALLING
2026-08-26,DRTS,6.0,0.11,0.169,MINOR,11,108.0,0.15,0.23,COMPRESSION,16,251.0,12,27,BULL_BOUNCE_PENDING,LONG,62.0,CONVICTION,FAVORABLE,0.6511,NEUTRAL
2026-08-26,SGLY,6.0,0.0201,0.015,MINOR,3,91.0,0.04,0.03,MINOR,5,137.0,6,2,BULL_BOUNCE_PENDING,LONG,52.0,MARGINAL,FAVORABLE,1.3447,RISING
2026-08-26,LOOP,6.0,0.03,0.394,COMPRESSION,4,499.0,,,,,,30,0,BEAR_REJECTION_PENDING,SHORT,44.0,MARGINAL,FAVORABLE,0.0762,RISING
2026-08-26,OMH,6.0,0.0007,0.03,MINOR,1,255.0,0.0017,0.074,COMPRESSION,1,183.0,6,14,BULL_BOUNCE_PENDING,LONG,50.1,MARGINAL,FAVORABLE,0.023,RISING
2026-08-26,RITR,6.0,0.017,0.458,COMPRESSION,2,1045.0,0.0007,0.019,MINOR,1,1449.0,10,6,BULL_BOUNCE_PENDING,LONG,62.0,CONVICTION,FAVORABLE,0.0371,RISING
2026-08-26,PWCM,6.0,0.09,0.435,COMPRESSION,10,603.0,0.0202,0.098,MINOR,3,84.0,21,1,BULL_BOUNCE_PENDING,LONG,58.0,MARGINAL,FAVORABLE,0.2071,FALLING
2026-08-26,BEEM,6.0,0.005,0.049,MINOR,1,148.0,0.01,0.099,COMPRESSION,2,963.0,34,10,BULL_BOUNCE_PENDING,LONG,63.0,CONVICTION,FAVORABLE,0.1011,RISING
2026-08-26,BTCS,6.0,0.03,0.323,MINOR,4,546.0,0.05,0.538,COMPRESSION,5,413.0,11,13,BULL_BOUNCE_PENDING,LONG,80.6,CONVICTION,FAVORABLE,0.093,RISING
2026-08-26,SNYR,6.0,,,,,,0.0015,0.06,MINOR,1,456.0,0,8,BULL_BOUNCE_PENDING,LONG,92.7,CONVICTION,FAVORABLE,0.025,RISING
2026-08-26,BMNR,7.5,1.02,0.802,CONVICTION,102,1199.0,0.77,0.606,COMPRESSION,78,476.0,19,20,BULL_BOUNCE_PENDING,LONG,91.9,CONVICTION,FAVORABLE,1.2711,RISING
2026-08-26,MARA,6.0,0.1,0.111,MINOR,10,829.0,0.56,0.622,COMPRESSION,57,1362.0,14,9,BULL_BOUNCE_PENDING,LONG,71.0,CONVICTION,FAVORABLE,0.8999,RISING
