ticker,current_price,phase,consumed_pct,consumed_count,overhead_count,total_in_arc,next_major_top,next_major_bot,next_major_ticks,next_major_tf,next_major_dist_pct,sub_tf_status_str,has_recent_flip,total_bearish_gaps,est_open,stop,target,shares,expected_pct,rr,promoted
AA,49.85,BASING,0.0,0,15,15,58.35,55.715,264,daily,11.77,32 bear-built-above · rel-vol 0.7x · regime CHOP,False,17,49.85,49.1022,58.35,133,17.05,11.37,False
AAL,14.15,BASING,0.0,0,18,18,14.83,14.772,6,weekly,4.4,46 bear-built-above · rel-vol 0.8x · regime CHOP,False,19,14.15,13.9377,14.83,471,4.81,3.2,False
AAOI,134.8,BASING,0.0,0,20,20,152.64,146.2,644,daily,8.46,14 bear-built-above · rel-vol 1.1x · regime CHOP,False,20,134.8,132.778,152.64,49,13.23,8.82,False
AAOZ,9.42,BASING,0.0,0,13,13,10.91,10.045,87,weekly,6.63,2 bear-built-above · rel-vol 2.3x · regime CHOP,False,13,9.42,9.2787,10.91,707,15.82,10.54,False
AAPL,308.64,BASING,0.0,0,18,18,333.1,308.91,2419,daily,0.09,9 bear-built-above · rel-vol 1.0x · regime CHOP,False,18,308.64,304.0104,333.1,21,7.93,5.28,False
ABCL,11.07,BASING,0.0,0,15,15,11.2,11.12,9,daily,0.45,15 bear-built-above · rel-vol 0.9x · regime CHOP,False,15,11.07,10.904,11.2,602,1.17,0.78,False
ABNB,183.25,BASING,0.0,0,19,19,183.82,183.67,16,5m,0.23,21 bear-built-above · rel-vol 0.9x · regime CHOP,True,19,183.25,180.5012,183.82,36,0.31,0.21,False
ABT,111.8531,BASING,0.0,0,16,16,121.76,121.37,40,weekly,8.51,8 bear-built-above · rel-vol 1.1x · regime CHOP,False,16,111.8531,110.1753,121.76,59,8.86,5.9,False
ACAD,30.26,BASING,0,0,0,0,,,,,0,rel-vol 1.2x · regime CHOP,True,2,30.26,29.8061,33.286,220,10.0,6.67,False
ACHR,6.255,BASING,0.0,0,20,20,6.62,6.48,14,daily,3.6,18 bear-built-above · rel-vol 0.8x · regime CHOP,False,20,6.255,6.1612,6.62,1065,5.84,3.89,False
ACN,172.2,BASING,0.0,0,20,20,174.46,173.0,147,weekly,0.46,26 bear-built-above · rel-vol 0.9x · regime CHOP,False,20,172.2,169.617,174.46,38,1.31,0.87,False
