ticker,convergence_score,n_scanners,scanners,sides,dominant_side,agreement_pct,best_rank,avg_rank,long_pts,short_pts,total_raw_pts
SABR,12.7,2,Momentum#2;Radar#5,LONG,LONG,100.0,2,3.5,9.0,0.0,9.0
DDOG,11.0,2,Momentum#3;Analyst#5,"LONG,NA",LONG,100.0,3,4.0,5.2,0.0,7.9
PGY,10.1,2,Momentum#4;Radar#5,LONG,LONG,100.0,4,4.5,7.2,0.0,7.2
COHR,9.4,2,Short#5;Analyst#5,"NA,SHORT",SHORT,100.0,5,5.0,0.0,4.0,6.7
RXT,9.2,2,Momentum#1;Short#2,"LONG,SHORT",LONG,59.0,1,1.5,9.0,6.4,15.4
APP,7.6,3,Short#4;Analyst#5;Momentum#7,"LONG,NA,SHORT",SHORT,57.0,4,5.3,3.4,4.5,10.6
ABCL,7.5,2,Analyst#5;Radar#5,"LONG,NA",LONG,100.0,5,5.0,2.7,0.0,5.4
PYPL,7.5,2,Analyst#5;Radar#5,"LONG,NA",LONG,100.0,5,5.0,2.7,0.0,5.4
PUMP,7.5,2,Analyst#5;Radar#5,"LONG,NA",LONG,100.0,5,5.0,2.7,0.0,5.4
BRBR,7.5,2,Analyst#5;Radar#5,"LONG,NA",LONG,100.0,5,5.0,2.7,0.0,5.4
WGS,7.5,2,Analyst#5;Radar#5,"LONG,NA",LONG,100.0,5,5.0,2.7,0.0,5.4
ADPT,7.5,2,Analyst#5;Radar#5,"LONG,NA",LONG,100.0,5,5.0,2.7,0.0,5.4
MIRM,7.5,2,Analyst#5;Radar#5,"LONG,NA",LONG,100.0,5,5.0,2.7,0.0,5.4
BHVN,7.5,2,Analyst#5;Radar#5,"LONG,NA",LONG,100.0,5,5.0,2.7,0.0,5.4
FN,7.5,2,Analyst#5;Radar#5,"LONG,NA",LONG,100.0,5,5.0,2.7,0.0,5.4
AMRC,7.5,2,Analyst#5;Radar#5,"LONG,NA",LONG,100.0,5,5.0,2.7,0.0,5.4
VEEE,5.5,2,Short#3;Momentum#5,"LONG,SHORT",SHORT,56.0,3,4.0,4.0,5.2,9.2
