ticker,convergence_score,n_scanners,scanners,sides,dominant_side,agreement_pct,best_rank,avg_rank,long_pts,short_pts,total_raw_pts,sector_mult,sector_label
WEN,20.2,3,Momentum#1;Analyst#5;Consumption#414,"LONG,NA",LONG,100.0,1,140.0,9.3,0.0,12.0,1.0,
ABSI,20.0,3,Momentum#3;Consumption#3;Analyst#5,"LONG,NA",LONG,100.0,3,3.7,9.2,0.0,11.9,1.0,
CALX,17.5,3,FAM#3;Analyst#5;Consumption#75,"LONG,NA,SHORT",SHORT,90.0,3,27.7,0.8,6.9,10.4,1.0,
WPP,17.3,2,FAM#1;Consumption#426,"LONG,SHORT",SHORT,97.0,1,213.5,0.3,12.0,12.3,1.0,
ACN,13.6,3,FAM#4;Analyst#5;Consumption#7,"LONG,NA,SHORT",SHORT,69.0,4,5.3,2.6,6.0,11.3,1.0,
IRTC,13.5,3,Analyst#5;FAM#6;Consumption#214,"LONG,NA,SHORT",SHORT,91.0,5,75.0,0.5,4.9,8.1,1.0,
CTSH,13.2,3,Analyst#5;FAM#7;Consumption#116,"LONG,NA,SHORT",SHORT,87.0,5,42.7,0.6,4.5,7.9,1.0,
RUN,12.7,3,Momentum#4;Analyst#5;Consumption#348,"LONG,NA",LONG,100.0,4,119.0,4.9,0.0,7.6,1.0,
SPSC,12.4,2,FAM#2;Consumption#367,"LONG,SHORT",SHORT,96.0,2,184.5,0.4,8.5,8.9,1.0,
PEGA,12.3,3,Analyst#5;FAM#8;Consumption#302,"LONG,NA,SHORT",SHORT,91.0,5,105.0,0.4,4.2,7.3,1.0,
DPZ,12.3,3,Analyst#5;FAM#9;Consumption#126,"LONG,NA,SHORT",SHORT,87.0,5,46.7,0.6,4.0,7.3,1.0,
EPAM,11.6,3,Analyst#5;FAM#11;Consumption#136,"LONG,NA,SHORT",SHORT,86.0,5,50.7,0.6,3.6,6.9,1.0,
AAOI,10.7,2,Consumption#2;Analyst#5,"LONG,NA",LONG,100.0,2,3.5,4.9,0.0,7.6,1.0,
UUUU,10.3,3,Analyst#5;FAM#15;Consumption#398,"LONG,NA,SHORT",SHORT,90.0,5,139.3,0.4,3.1,6.1,1.0,
VTAK,9.4,2,Momentum#2;Consumption#410,LONG,LONG,100.0,2,206.0,6.7,0.0,6.7,1.0,
ABVX,9.2,3,Consumption#4;Analyst#5;FAM#64,"LONG,NA,SHORT",LONG,70.0,4,24.3,3.5,1.5,7.7,1.0,
