ticker,convergence_score,n_scanners,scanners,sides,dominant_side,agreement_pct,best_rank,avg_rank,long_pts,short_pts,total_raw_pts,sector_mult,sector_label
TC,36.3,3,A-Book#1;Momentum#1;Consumption#239,LONG,LONG,100.0,1,80.3,21.5,0.0,21.5,1.006,NEUTRAL
NKE,15.4,3,Short#2;Analyst#5;Consumption#172,"LONG,NA,SHORT",SHORT,92.0,2,59.7,0.5,6.4,9.6,0.958,NEUTRAL
OPTU,13.2,2,Short#1;Consumption#185,"LONG,SHORT",SHORT,95.0,1,93.0,0.5,9.0,9.5,0.994,NEUTRAL
ABVX,12.0,2,Consumption#2;Analyst#5,"LONG,NA",LONG,100.0,2,3.5,4.9,0.0,7.6,1.126,HOT
DXF,9.4,2,Momentum#2;Consumption#78,LONG,LONG,100.0,2,40.0,7.2,0.0,7.2,0.934,NEUTRAL
ELAB,9.4,2,Momentum#3;Consumption#80,LONG,LONG,100.0,3,41.5,6.0,0.0,6.0,1.126,HOT
ACI,7.6,2,Consumption#4;Analyst#5,"LONG,NA",LONG,100.0,4,4.5,3.5,0.0,6.2,0.874,COLD
ALB,7.6,2,Analyst#5;Consumption#10,"LONG,NA",LONG,100.0,5,7.5,2.2,0.0,4.9,1.102,STRONG
LGPS,7.4,2,Momentum#4;Consumption#138,LONG,LONG,100.0,4,71.0,5.1,0.0,5.1,1.042,NEUTRAL
RZLV,7.2,2,Short#3;Consumption#218,"LONG,SHORT",SHORT,92.0,3,110.5,0.5,5.2,5.7,0.91,STRONG
AMAT,7.1,2,Analyst#5;Consumption#14,"LONG,NA",LONG,100.0,5,9.5,1.9,0.0,4.6,1.114,STRONG
AMD,6.8,2,Analyst#5;Consumption#17,"LONG,NA",LONG,100.0,5,11.0,1.7,0.0,4.4,1.114,STRONG
LUNR,6.5,2,Momentum#6;Consumption#145,LONG,LONG,100.0,6,75.5,4.3,0.0,4.3,1.09,STRONG
BB,5.9,2,Analyst#5;Consumption#34,"LONG,NA",LONG,100.0,5,19.5,1.2,0.0,3.9,1.09,STRONG
BE,5.9,2,Analyst#5;Consumption#35,"LONG,NA",LONG,100.0,5,20.0,1.2,0.0,3.9,1.09,STRONG
AVAV,5.8,2,Analyst#5;Consumption#28,"LONG,NA",LONG,100.0,5,16.5,1.3,0.0,4.0,1.042,NEUTRAL
BSX,5.8,2,Analyst#5;Consumption#39,"LONG,NA",LONG,100.0,5,22.0,1.1,0.0,3.8,1.09,STRONG
BSY,5.8,2,Analyst#5;Consumption#40,"LONG,NA",LONG,100.0,5,22.5,1.1,0.0,3.8,1.09,STRONG
BTDR,5.8,2,Analyst#5;Consumption#41,"LONG,NA",LONG,100.0,5,23.0,1.1,0.0,3.8,1.09,STRONG
CE,5.7,2,Analyst#5;Consumption#51,"LONG,NA",LONG,100.0,5,28.0,1.0,0.0,3.7,1.102,STRONG
SOC,5.6,2,Momentum#5;Consumption#233,LONG,LONG,100.0,5,119.0,4.5,0.0,4.5,0.886,WEAK
CRCL,5.6,2,Momentum#7;Consumption#67,LONG,LONG,100.0,7,37.0,4.3,0.0,4.3,0.934,NEUTRAL
AMT,5.6,2,Analyst#5;Consumption#19,"LONG,NA",LONG,100.0,5,12.0,1.6,0.0,4.3,0.934,NEUTRAL
ARES,5.5,2,Analyst#5;Consumption#22,"LONG,NA",LONG,100.0,5,13.5,1.5,0.0,4.2,0.934,NEUTRAL
CAR,5.5,2,Analyst#5;Consumption#46,"LONG,NA",LONG,100.0,5,25.5,1.0,0.0,3.7,1.066,NEUTRAL
CIFR,5.5,2,Analyst#5;Consumption#57,"LONG,NA",LONG,100.0,5,31.0,0.9,0.0,3.6,1.09,STRONG
COIN,5.5,2,Analyst#5;Consumption#62,"LONG,NA",LONG,100.0,5,33.5,0.9,0.0,3.6,1.09,STRONG
CPRT,5.3,2,Analyst#5;Consumption#66,"LONG,NA",LONG,100.0,5,35.5,0.9,0.0,3.5,1.066,NEUTRAL
DDOG,5.3,2,Analyst#5;Consumption#74,"LONG,NA",LONG,100.0,5,39.5,0.8,0.0,3.5,1.09,STRONG
DOX,5.3,2,Analyst#5;Consumption#77,"LONG,NA",LONG,100.0,5,41.0,0.8,0.0,3.5,1.09,STRONG
EXLS,5.3,2,Analyst#5;Consumption#84,"LONG,NA",LONG,100.0,5,44.5,0.8,0.0,3.4,1.09,STRONG
FLNC,5.2,2,Analyst#5;Consumption#89,"LONG,NA",LONG,100.0,5,47.0,0.7,0.0,3.4,1.09,STRONG
HIMS,5.2,2,Analyst#5;Consumption#108,"LONG,NA",LONG,100.0,5,56.5,0.7,0.0,3.4,1.102,STRONG
INTC,5.2,2,Analyst#5;Consumption#122,"LONG,NA",LONG,100.0,5,63.5,0.6,0.0,3.3,1.114,STRONG
FUN,5.1,2,Analyst#5;Consumption#93,"LONG,NA",LONG,100.0,5,49.0,0.7,0.0,3.4,1.066,NEUTRAL
KLAC,5.1,2,Analyst#5;Consumption#132,"LONG,NA",LONG,100.0,5,68.5,0.6,0.0,3.3,1.114,STRONG
LRCX,5.1,2,Analyst#5;Consumption#143,"LONG,NA",LONG,100.0,5,74.0,0.6,0.0,3.3,1.114,STRONG
MRNA,5.1,2,Analyst#5;Consumption#159,"LONG,NA",LONG,100.0,5,82.0,0.6,0.0,3.2,1.126,HOT
LDOS,5.0,2,Analyst#5;Consumption#137,"LONG,NA",LONG,100.0,5,71.0,0.6,0.0,3.3,1.09,STRONG
LYB,5.0,2,Analyst#5;Consumption#147,"LONG,NA",LONG,100.0,5,76.0,0.6,0.0,3.3,1.102,STRONG
MARA,5.0,2,Analyst#5;Consumption#148,"LONG,NA",LONG,100.0,5,76.5,0.6,0.0,3.3,1.09,STRONG
MOS,5.0,2,Analyst#5;Consumption#155,"LONG,NA",LONG,100.0,5,80.0,0.6,0.0,3.2,1.102,STRONG
MRVL,5.0,2,Analyst#5;Consumption#160,"LONG,NA",LONG,100.0,5,82.5,0.6,0.0,3.2,1.114,STRONG
MU,5.0,2,Analyst#5;Consumption#163,"LONG,NA",LONG,100.0,5,84.0,0.5,0.0,3.2,1.114,STRONG
MXL,5.0,2,Analyst#5;Consumption#164,"LONG,NA",LONG,100.0,5,84.5,0.5,0.0,3.2,1.114,STRONG
JBLU,4.9,2,Analyst#5;Consumption#126,"LONG,NA",LONG,100.0,5,65.5,0.6,0.0,3.3,1.054,NEUTRAL
NEOV,4.9,2,Analyst#5;Consumption#169,"LONG,NA",LONG,100.0,5,87.0,0.5,0.0,3.2,1.09,STRONG
PATH,4.9,2,Analyst#5;Consumption#192,"LONG,NA",LONG,100.0,5,98.5,0.5,0.0,3.2,1.09,STRONG
TSHA,4.9,2,Analyst#5;Consumption#247,"LONG,NA",LONG,100.0,5,126.0,0.4,0.0,3.1,1.126,HOT
WDC,4.9,2,Analyst#5;Consumption#261,"LONG,NA",LONG,100.0,5,133.0,0.4,0.0,3.1,1.114,STRONG
ENPH,4.8,2,Analyst#5;Consumption#82,"LONG,NA",LONG,100.0,5,43.5,0.8,0.0,3.5,0.994,NEUTRAL
MAT,4.8,2,Analyst#5;Consumption#149,"LONG,NA",LONG,100.0,5,77.0,0.6,0.0,3.3,1.042,NEUTRAL
OLLI,4.8,2,Analyst#5;Consumption#182,"LONG,NA",LONG,100.0,5,93.5,0.5,0.0,3.2,1.066,NEUTRAL
RIOT,4.8,2,Analyst#5;Consumption#212,"LONG,NA",LONG,100.0,5,108.5,0.5,0.0,3.2,1.09,STRONG
RXT,4.8,2,Analyst#5;Consumption#217,"LONG,NA",LONG,100.0,5,111.0,0.5,0.0,3.2,1.09,STRONG
SAIL,4.8,2,Analyst#5;Consumption#221,"LONG,NA",LONG,100.0,5,113.0,0.5,0.0,3.2,1.09,STRONG
TE,4.8,2,Analyst#5;Consumption#240,"LONG,NA",LONG,100.0,5,122.5,0.5,0.0,3.1,1.09,STRONG
TENB,4.8,2,Analyst#5;Consumption#241,"LONG,NA",LONG,100.0,5,123.0,0.5,0.0,3.1,1.09,STRONG
TMDX,4.8,2,Analyst#5;Consumption#243,"LONG,NA",LONG,100.0,5,124.0,0.4,0.0,3.1,1.09,STRONG
ZTS,4.8,2,Analyst#5;Consumption#272,"LONG,NA",LONG,100.0,5,138.5,0.4,0.0,3.1,1.102,STRONG
CEG,4.7,2,Analyst#5;Consumption#52,"LONG,NA",LONG,100.0,5,28.5,1.0,0.0,3.7,0.922,WEAK
CORZ,4.7,2,Analyst#5;Consumption#64,"LONG,NA",LONG,100.0,5,34.5,0.9,0.0,3.6,0.934,NEUTRAL
IRDM,4.7,2,Analyst#5;Consumption#125,"LONG,NA",LONG,100.0,5,65.0,0.6,0.0,3.3,1.006,NEUTRAL
WULF,4.7,2,Analyst#5;Consumption#266,"LONG,NA",LONG,100.0,5,135.5,0.4,0.0,3.1,1.09,STRONG
CAG,4.6,2,Analyst#5;Consumption#45,"LONG,NA",LONG,100.0,5,25.0,1.0,0.0,3.7,0.874,COLD
RKLB,4.6,2,Analyst#5;Consumption#214,"LONG,NA",LONG,100.0,5,109.5,0.5,0.0,3.2,1.042,NEUTRAL
SNDK,4.6,2,Analyst#5;Consumption#232,"LONG,NA",LONG,100.0,5,118.5,0.5,0.0,3.1,1.042,NEUTRAL
SPCX,4.6,2,Analyst#5;Consumption#234,"LONG,NA",LONG,100.0,5,119.5,0.5,0.0,3.1,1.042,NEUTRAL
FRMI,4.5,2,Analyst#5;Consumption#91,"LONG,NA",LONG,100.0,5,48.0,0.7,0.0,3.4,0.934,NEUTRAL
FRVO,4.4,2,Analyst#5;Consumption#92,"LONG,NA",LONG,100.0,5,48.5,0.7,0.0,3.4,0.922,WEAK
ICE,4.4,2,Analyst#5;Consumption#118,"LONG,NA",LONG,100.0,5,61.5,0.6,0.0,3.3,0.934,NEUTRAL
NEM,4.4,2,Analyst#5;Consumption#168,"LONG,NA",LONG,100.0,5,86.5,0.5,0.0,3.2,0.97,NEUTRAL
TMUS,4.4,2,Analyst#5;Consumption#245,"LONG,NA",LONG,100.0,5,125.0,0.4,0.0,3.1,1.006,NEUTRAL
FCEL,4.3,2,Analyst#5;Consumption#87,"LONG,NA",LONG,100.0,5,46.0,0.8,0.0,3.4,0.886,WEAK
KEEL,4.3,2,Analyst#5;Consumption#130,"LONG,NA",LONG,100.0,5,67.5,0.6,0.0,3.3,0.934,NEUTRAL
MSTR,4.2,2,Analyst#5;Consumption#161,"LONG,NA",LONG,100.0,5,83.0,0.6,0.0,3.2,0.934,NEUTRAL
FBIN,4.1,2,Analyst#5;Consumption#86,"LONG,NA",LONG,100.0,5,45.5,0.8,0.0,3.4,0.862,COLD
GLW,4.1,2,Analyst#5;Consumption#101,"LONG,NA",LONG,100.0,5,53.0,0.7,0.0,3.4,0.862,COLD
RKT,4.1,2,Analyst#5;Consumption#215,"LONG,NA",LONG,100.0,5,110.0,0.5,0.0,3.2,0.934,NEUTRAL
SDRL,3.9,2,Analyst#5;Consumption#222,"LONG,NA",LONG,100.0,5,113.5,0.5,0.0,3.2,0.886,WEAK
SVM,3.8,2,Analyst#5;Consumption#237,"LONG,NA",LONG,100.0,5,121.0,0.5,0.0,3.1,0.862,COLD
