ticker,side,setups,rth_open,last_px,rth_high,rth_low,orb_high,orb_low,vwap,gap_pct,chg_pct_full,rth_vol,rel_vol,prev_close,est_entry,stop,target,shares,score
RDAC,LONG,ORB-LONG|HOLDING-LONG,6.87,21.41,23.99,6.403,12.87,6.403,15.7682,40.2,336.94,12344196,49376.78,4.9,21.41,21.0889,22.0523,311,3276439.2802
GNIS,LONG,ORB-LONG|HOLDING-LONG,0.0023,0.0036,0.0059,0.002,0.0032,0.002,0.0033,10.84,73.49,22004109,34.53,0.0021,0.0036,0.0035,0.0037,1851851,431.5861
XTLB,LONG,HOLDING-LONG,3.77,4.11,4.87,3.22,4.5399,3.22,3.8944,63.91,78.7,91447394,29810.73,2.3,4.11,4.0484,4.2333,1622,1905294.4545
BRLS,LONG,ORB-LONG|HOLDING-LONG,1.23,1.74,1.92,1.2,1.35,1.2,1.6735,8.85,53.98,6229801,192.68,1.13,1.74,1.7139,1.7922,3831,5566.4024
AKAN,LONG,ORB-LONG|HOLDING-LONG,19.46,26.27,31.7,18.37,22.88,18.37,25.6777,11.26,50.2,8465794,7.66,17.49,26.27,25.8759,27.0581,253,113.4667
INHD,SHORT,ORB-SHORT|FAILED-GAP-SHORT,0.1382,0.1154,0.1506,0.1069,0.1486,0.116,0.1262,72.75,44.25,267762271,134.38,0.08,0.1154,0.1171,0.1119,57770,6843.3595
SIMO,LONG,HOLDING-LONG,195.0,206.83,209.8,192.8,209.8,193.0,199.5856,30.71,38.64,3040473,20.54,149.18,206.83,203.7276,213.0349,32,630.9041
KALV,SHORT,FAILED-GAP-SHORT,26.7,26.695,26.76,26.67,26.76,26.69,26.7091,38.77,38.75,22901844,179.47,19.24,26.695,27.0954,25.8941,249,4871.1369
RPGL,LONG,ORB-LONG|HOLDING-LONG,1.07,1.375,1.62,1.0,1.24,1.0,1.4015,7.0,37.5,11576211,17.7,1.0,1.375,1.3544,1.4163,4848,192.6739
SAGT,SHORT,ORB-SHORT|FAILED-GAP-SHORT,3.065,2.27,3.39,2.14,3.39,2.42,2.6379,80.29,33.53,46536526,8509.68,1.7,2.27,2.304,2.2019,2936,478293.8417
BIYA,LONG,ORB-LONG,1.48,2.07,2.11,1.46,1.61,1.46,1.7411,-3.27,35.29,8011007,0.4,1.53,2.07,2.0389,2.1321,3220,11.4336
MXL,LONG,ORB-LONG|HOLDING-LONG,54.735,69.36,71.28,54.44,59.6,54.44,64.5743,5.24,33.36,13878058,3.62,52.01,69.36,68.3196,71.4408,96,59.2512
DSGN,LONG,ORB-LONG,13.0,16.6,17.25,12.99,15.3,12.99,15.7612,1.48,29.59,1944502,47.9,12.81,16.6,16.351,17.098,401,406.9596
FCEL,LONG,ORB-LONG,11.395,12.662,13.24,10.99,11.85,11.0,12.1581,14.64,27.38,12448232,4.65,9.94,12.662,12.4721,13.0419,526,31.8698
COCO,LONG,ORB-LONG,60.63,64.965,66.59,56.3307,61.4,56.3307,62.4982,17.43,25.83,3675084,30.67,51.63,64.965,63.9905,66.9139,102,178.0717
GCTK,SHORT,FAILED-GAP-SHORT,1.03,1.02,1.28,0.8502,1.28,0.94,1.0545,23.06,21.86,53467609,1152.81,0.837,1.02,1.0353,0.9894,6535,18607.5535
PRCH,LONG,HOLDING-LONG,10.1,10.25,10.83,9.9,10.83,9.9,10.3798,17.58,19.32,4815770,15.65,8.59,10.25,10.0962,10.5575,650,275.142
SKYQ,LONG,ORB-LONG,6.31,7.0171,7.19,6.01,6.52,6.01,6.6929,6.95,18.93,4381987,9.65,5.9,7.0171,6.9118,7.2276,950,73.5928
GNRC,LONG,ORB-LONG,243.77,252.54,255.88,238.0,246.1875,238.0,249.5058,12.27,16.31,1520458,15.26,217.12,252.54,248.7519,260.1162,26,39.3665
ICLR,LONG,ORB-LONG,116.25,118.37,119.43,110.375,118.0,110.375,115.5019,13.43,15.49,2938646,11.6,102.49,118.37,116.5945,121.9211,56,3.6383
EAT,LONG,ORB-LONG|HOLDING-LONG,143.0,148.8775,149.475,141.0,148.225,141.0,146.0666,10.73,15.28,2531527,10.67,129.14,148.8775,146.6443,153.3438,44,114.5278
WALD,SHORT,FAILED-GAP-SHORT,1.04,0.897,1.05,0.85,1.05,0.8637,0.9095,33.47,15.12,14861362,592.23,0.7792,0.897,0.9105,0.8701,7432,13875.4336
FVRR,SHORT,FAILED-GAP-SHORT,12.15,11.89,13.235,11.72,13.235,11.8,12.4004,17.28,14.77,3384867,25.05,10.36,11.89,12.0683,11.5333,560,302.989
RSI,SHORT,FAILED-GAP-SHORT,28.64,27.505,29.0,26.3,29.0,26.3,27.5929,19.33,14.6,3811355,29.65,24.0,27.505,27.9176,26.6798,242,401.2222
AGIO,LONG,ORB-LONG|HOLDING-LONG,26.5,28.05,28.82,25.65,27.566,25.65,27.5762,6.85,13.1,1792964,11.61,24.8,28.05,27.6292,28.8915,237,79.6002
OMEX,LONG,ORB-LONG|HOLDING-LONG,0.8995,0.9779,1.0,0.8897,0.97,0.8897,0.9513,3.04,12.02,2021758,7.12,0.873,0.9779,0.9632,1.0072,6817,21.6109
DK,LONG,HOLDING-LONG,43.53,45.81,47.265,43.19,46.48,43.19,46.2582,6.07,11.62,1593538,14.76,41.04,45.81,45.1228,47.1843,145,89.5401
AAOI,LONG,ORB-LONG|HOLDING-LONG,143.73,150.6,150.98,138.1001,146.3894,138.1001,145.2886,4.71,9.72,6313810,2.12,137.26,150.6,148.341,155.118,44,9.9775
ETSY,LONG,ORB-LONG|HOLDING-LONG,67.0,69.1,70.88,66.3701,68.6899,66.3701,68.7889,6.0,9.32,5732357,17.54,63.21,69.1,68.0635,71.173,96,105.1389
CHGG,LONG,ORB-LONG,1.06,1.17,1.19,1.04,1.08,1.04,1.1251,-0.93,9.35,1767755,4.78,1.07,1.17,1.1524,1.2051,5698,39.8088
ASBP,LONG,ORB-LONG,0.21,0.2284,0.23,0.2011,0.2178,0.21,0.2171,0.62,9.46,7860716,0.29,0.2087,0.22845,0.225,0.2353,29182,1.402
WTI,LONG,ORB-LONG,4.06,4.3201,4.39,4.05,4.2099,4.05,4.2447,1.75,8.27,6767604,2.97,3.99,4.3201,4.2553,4.4497,1543,7.7846
HYPR,LONG,HOLDING-LONG,1.34,1.4,1.61,1.33,1.61,1.33,1.4954,3.08,7.69,2652121,41.78,1.3,1.4,1.379,1.442,4761,128.5585
FFIV,LONG,HOLDING-LONG,313.5,326.78,331.96,311.84,330.89,311.84,325.4017,3.2,7.57,1005593,12.11,303.79,326.78,321.8783,336.5834,20,38.7002
LITE,LONG,HOLDING-LONG,821.11,848.335,887.9,814.1885,854.6616,814.1885,851.3937,3.76,7.2,5078684,3.31,791.37,848.335,835.61,873.7851,7,12.4203
