ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,state,lifecycle_phase
BZFD,128.8,99.82,1.67,1.31,1.53,1.4585,17293679,746,23157.04,0.41,False,0.7299,1.4585,1.4366,1.5023,4570,99.98,1298.6974,GENESIS,GENESIS
CNCK,60.0,36.01,2.8,1.7,1.76,2.3801,28659739,335,85449.43,0.62,True,1.75,2.3801,2.3444,2.4515,2801,100.0,829.0212,GENESIS,GENESIS
TDIC,150.96,52.88,2.61,1.05,1.05,1.59,24906992,620007,40.17,0.35,False,1.04,1.59,1.5662,1.6377,4192,99.98,599.4904,GENESIS,GENESIS
HTCO,55.74,45.39,10.98,7.55,7.9,10.25,4434313,88155,50.3,0.79,True,7.05,10.25,10.0962,10.5575,650,99.94,352.8829,GENESIS,GENESIS
XOS,50.79,11.65,2.85,1.93,2.71,2.1101,4213623,934,4508.16,0.2,False,1.89,2.1101,2.0784,2.1734,3159,99.99,332.6804,GENESIS,GENESIS
AMBO,53.08,20.85,3.23,2.47,3.07,2.55,1969508,249,7909.67,0.11,False,2.11,2.55,2.5117,2.6265,2614,99.99,320.501,GENESIS,GENESIS
RPGL,64.8,20.33,0.75,0.45,0.55,0.5476,13555344,123557,109.71,0.33,False,0.4551,0.5476,0.5394,0.564,12174,100.0,304.7239,GENESIS,GENESIS
MGNX,38.64,15.25,4.09,3.36,4.03,3.4,2373143,1837,1291.51,0.05,False,2.95,3.4,3.349,3.502,1960,99.96,175.0229,GENESIS,GENESIS
QUBT,31.14,25.01,13.35,11.5,11.72,12.7258,13521619,449270,30.1,0.66,True,10.18,12.7258,12.5349,13.1076,523,99.83,159.4514,GENESIS,GENESIS
TE,28.31,9.27,7.75,5.64,5.98,6.6,5962030,152716,39.04,0.45,False,6.04,6.6,6.501,6.798,1010,99.99,126.1143,GENESIS,GENESIS
WEN,26.48,16.12,8.55,6.92,6.92,7.85,5554795,299107,18.57,0.57,True,6.76,7.85,7.7322,8.0855,849,99.97,111.1678,GENESIS,GENESIS
MOBX,37.95,-4.02,3.09,2.09,2.25,2.15,1865155,28148,66.26,0.06,False,2.24,2.15,2.1178,2.2145,3100,99.97,110.364,GENESIS,GENESIS
VTGN,19.0,-7.23,0.8016,0.6086,0.6526,0.6249,4132429,11219,368.34,0.08,False,0.6736,0.6249,0.6155,0.6436,10668,100.0,76.7318,GENESIS,GENESIS
PLUG,13.07,11.03,3.98,3.71,3.73,3.9081,11494593,1902109,6.04,0.73,True,3.52,3.9081,3.8495,4.0253,1705,99.95,45.1248,GENESIS,GENESIS
VG,11.96,8.86,13.01,11.81,11.95,12.65,1571038,355073,4.42,0.7,True,11.62,12.65,12.4603,13.0295,527,100.0,35.7022,GENESIS,GENESIS
URG,12.64,3.28,2.05,1.79,2.05,1.8797,460076,67424,6.82,0.34,False,1.82,1.8797,1.8515,1.9361,3546,99.98,31.1855,GENESIS,GENESIS
FCEL,9.72,7.72,17.49,16.01,16.32,17.17,546576,204224,2.68,0.78,True,15.94,17.17,16.9124,17.6851,388,99.93,24.7729,GENESIS,GENESIS
GSIT,10.07,4.52,12.9,12.03,12.9,12.25,309566,49447,6.26,0.25,False,11.72,12.25,12.0663,12.6175,544,99.96,21.484,GENESIS,GENESIS
QBTS,8.61,-4.2,26.1,22.0,23.87,23.02,6709329,778683,8.62,0.25,False,24.03,23.02,22.6747,23.7106,289,99.79,20.3416,GENESIS,GENESIS
RGTI,7.8,1.9,22.11,20.0,20.29,20.9,4143039,985383,4.2,0.43,False,20.51,20.9,20.5865,21.527,318,99.69,17.6085,GENESIS,GENESIS
RZLV,6.25,3.68,2.89,2.65,2.69,2.82,2817737,769972,3.66,0.71,True,2.72,2.82,2.7777,2.9046,2364,100.0,17.3497,GENESIS,GENESIS
GPRO,7.74,-5.3,1.4222,1.23,1.4,1.25,1483362,219015,6.77,0.1,False,1.32,1.25,1.2312,1.2875,5333,99.99,13.6234,GENESIS,GENESIS
IONQ,7.47,1.67,61.14,54.9236,55.62,57.84,4306771,1945905,2.21,0.47,False,56.89,57.84,56.9724,59.5752,115,99.77,12.992,GENESIS,GENESIS
LAES,3.92,0.98,3.18,2.95,3.02,3.09,1490286,705256,2.11,0.61,True,3.06,3.09,3.0436,3.1827,2157,99.98,7.6007,GENESIS,GENESIS
