ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,sector_mult,sector_label,state,lifecycle_phase
BYAH,266.67,174.3,3.85,1.59,1.9,2.8802,31413559,534719,58.75,0.57,True,1.05,2.8802,2.837,2.9666,2314,99.97,1613.9248,1.114,STRONG,GENESIS,GENESIS
RUBI,59.49,18.93,0.9893,0.6353,0.78,0.7377,33707671,1664011,20.26,0.29,False,0.6203,0.7377,0.7266,0.7598,9037,100.0,180.2995,0.958,NEUTRAL,GENESIS,GENESIS
RITR,34.08,-2.12,1.0,0.6461,0.88,0.73,2528835,6749,374.7,0.24,False,0.7458,0.73,0.719,0.7519,9132,100.0,166.6936,0.958,NEUTRAL,GENESIS,GENESIS
MASK,63.88,18.5,3.72,2.27,2.27,2.69,13810081,3304343,4.18,0.29,False,2.27,2.69,2.6496,2.7707,2478,99.99,118.9012,0.97,NEUTRAL,GENESIS,GENESIS
SHAZ,32.85,9.5,95.0,71.4,71.64,78.3,464119,15159,30.62,0.29,False,71.51,78.3,77.1255,80.649,85,99.83,111.6315,0.97,NEUTRAL,GENESIS,GENESIS
OTLK,27.27,16.36,1.4,1.23,1.28,1.28,6045702,830584,7.28,0.29,False,1.1,1.28,1.2608,1.3184,5208,99.99,71.2419,1.102,STRONG,GENESIS,GENESIS
RKTO,28.38,6.76,1.9,1.56,1.86,1.58,7274884,768802,9.46,0.06,False,1.48,1.58,1.5563,1.6274,4219,99.99,53.0431,1.03,NEUTRAL,GENESIS,GENESIS
SATS,7.96,5.95,138.33,130.99,133.5,135.748,1572593,123265,12.76,0.65,True,128.13,135.748,133.7118,139.8204,49,99.77,32.2196,0.994,NEUTRAL,GENESIS,GENESIS
CLIK,28.57,-4.35,2.07,1.45,1.58,1.54,1598143,793566,2.01,0.15,False,1.61,1.54,1.5169,1.5862,4329,100.0,31.5255,1.006,NEUTRAL,GENESIS,GENESIS
SPCE,13.96,-11.69,6.53,4.88,6.4,5.06,12943755,1325505,9.77,0.11,False,5.73,5.06,4.9841,5.2118,1317,99.96,26.7116,0.958,NEUTRAL,GENESIS,GENESIS
MNTS,8.0,-13.8,17.6036,10.5,16.28,14.05,1236622,393002,3.15,0.5,False,16.3,14.05,13.8392,14.4715,474,99.9,16.4402,0.958,NEUTRAL,GENESIS,GENESIS
VELO,7.15,-14.24,32.8,25.0182,32.1,26.25,748480,142703,5.25,0.16,False,30.61,26.25,25.8562,27.0375,253,99.62,11.9895,0.958,NEUTRAL,GENESIS,GENESIS
RKLB,9.52,3.01,125.71,117.05,120.0,118.24,2572797,971983,2.65,0.14,False,114.78,118.24,116.4664,121.7872,56,99.32,11.4751,0.958,NEUTRAL,GENESIS,GENESIS
