ticker,side,mode,tier,fem,entry,stop,t1,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,news
VRAX,Long,PULLBACK,T2-LONG,67,0.2004,0.1659,0.29,2.6,0.0345,0.2199,8.9,WAITING,2,2,"1d,4h",0.2004,0.1659,OPEN_ROAD,568069602,19.5,6.5,1,84.1,26,8,
VRAX,Long,FRESH_HOLD,T3-LONG_WATCH,50,0.2148,0.2126,0.29,34.2,0.0022,0.2199,2.3,CLOSE,1,1,1m,0.2148,0.2126,OPEN_ROAD,0,19.5,6.5,1,84.1,26,8,
GV,Short,RESISTANCE,T3-SHORT,80,0.2681,0.2694,0.2324,27.5,0.0013,0.267,0.4,CLOSE,1,1,15m,0.2694,0.2681,HIGHWAY,0,14.4,5.5,2,131.5,52,8,
BFRG,Short,RESISTANCE,T3-SHORT,80,1.81,1.817,1.67,20.0,0.007,1.68,7.7,WAITING,1,1,1m,1.817,1.81,HIGHWAY,953665,7.0,6.6,2,299.6,31,8,
BFRG,Long,FRESH_HOLD,T3-LONG_WATCH,66,1.67,1.666,1.81,35.0,0.004,1.68,0.6,CLOSE,1,1,10m,1.67,1.666,HIGHWAY,0,7.0,6.6,2,299.6,31,8,
MGN,Short,RESISTANCE,T3-SHORT,80,0.1777,0.1788,0.1699,7.1,0.0011,0.1752,1.4,CLOSE,1,1,1m,0.1788,0.1777,HIGHWAY,0,3.5,2.4,4,3940.6,50,8,
MGN,Long,PULLBACK,T3-LONG_WATCH,59,0.167,0.1651,0.1777,5.6,0.0019,0.1752,4.7,APPROACH,1,1,15m,0.167,0.1651,HIGHWAY,0,3.5,2.4,4,3940.6,50,8,
ELAB,Short,RESISTANCE,T2-SHORT,80,6.72,6.84,5.7,8.5,0.12,5.99,12.2,WAITING,1,1,1d,6.84,6.72,HIGHWAY,334740,5.9,6.3,2,301.2,47,8,
ELAB,Long,PULLBACK,T3-LONG_WATCH,56,5.7,5.6801,6.72,51.3,0.0199,5.99,4.8,APPROACH,1,1,1m,5.7,5.6801,HIGHWAY,988294,5.9,6.3,2,301.2,47,8,
AIIO,Short,RESISTANCE,T5-SHORT,28,0.12,0.1203,0.1048,50.7,0.0003,0.1066,12.6,WAITING,1,1,5m,0.1203,0.12,OPEN_ROAD,0,2.8,1.5,1,42.4,71,8,
OXBR,Short,RESISTANCE,T3-SHORT,80,1.2,1.2029,1.045,53.4,0.0029,1.18,1.7,CLOSE,1,1,1m,1.2029,1.2,HIGHWAY,0,19.9,6.6,1,67.9,41,8,
PTON,Long,PULLBACK,T1-STRONG_LONG,98,4.04,4.02,4.37,16.5,0.02,4.29,5.8,APPROACH,6,6,"10m,15m,1h,30m,4h,5m",4.04,4.02,HIGHWAY,25192337,2.4,2.7,3,24.4,24,8,
PTON,Short,RESISTANCE,T2-SHORT,80,4.37,4.38,4.04,33.0,0.01,4.29,1.9,CLOSE,1,1,5m,4.38,4.37,HIGHWAY,149121,2.4,2.7,3,24.4,24,8,
SPCE,Short,RESISTANCE,T3-SHORT,80,2.5,2.51,2.42,8.0,0.01,2.43,2.9,CLOSE,1,1,1m,2.51,2.5,HIGHWAY,15609,8.0,3.4,1,30.0,16,8,
BUR,Long,PULLBACK,T1-STRONG_LONG,100,4.09,4.03,4.81,12.0,0.06,4.52,9.5,WAITING,4,4,"10m,1d,1m,5m",4.09,4.03,HIGHWAY,59540681,2.7,4.8,3,122.0,38,8,
BUR,Short,RESISTANCE,T3-SHORT,80,4.81,4.83,4.09,36.0,0.02,4.52,6.4,APPROACH,1,1,1m,4.83,4.81,HIGHWAY,431406,2.7,4.8,3,122.0,38,8,
PGEN,Short,RESISTANCE,T3-SHORT,80,4.31,4.38,3.73,8.3,0.07,3.87,11.4,WAITING,1,1,1d,4.38,4.31,HIGHWAY,46526837,2.5,2.2,3,40.6,24,8,
EVTL,Long,PULLBACK,T2-LONG,91,2.02,2.0,2.37,17.5,0.02,2.21,8.6,WAITING,6,6,"10m,15m,1h,30m,4h,5m",2.02,2.0,OPEN_ROAD,8394180,6.3,3.8,2,62.1,80,8,
EVTL,Short,RESISTANCE,T3-SHORT,80,2.37,2.39,2.13,12.0,0.02,2.21,7.2,WAITING,1,1,1d,2.39,2.37,HIGHWAY,6481990,6.3,3.8,2,62.1,80,8,
