ticker,side,mode,tier,fem,entry,stop,t1,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,news
UCAR,Short,RESISTANCE,T3-SHORT,80,0.62,0.63,0.53,9.0,0.01,0.603,2.8,CLOSE,1,1,5m,0.63,0.62,HIGHWAY,291766,15.7,5.3,1,149.2,63,8,,,
AGPU,Long,FRESH_HOLD,T2-LONG,96,3.55,3.51,4.87,33.0,0.04,3.56,0.3,CLOSE,3,2,"15m,5m",3.55,3.51,HIGHWAY,2790328,19.8,6.6,1,304.9,94,8,,UNKNOWN,
AGPU,Long,PULLBACK,T2-LONG,91,3.35,3.3403,4.87,156.7,0.0097,3.56,5.9,APPROACH,3,3,"10m,15m,5m",3.35,3.3403,OPEN_ROAD,2196438,19.8,6.6,1,304.9,94,8,,UNKNOWN,
RENX,Short,RESISTANCE,T3-SHORT,80,2.7601,2.77,2.47,29.3,0.0099,2.61,5.8,APPROACH,1,1,1m,2.77,2.7601,HIGHWAY,80111,17.0,5.8,1,145.1,36,8,,,"-DILUTION, +CONTRACT, +ACQUISITION, -REVERSE_SPLIT"
RENX,Long,PULLBACK,T2-LONG,76,2.47,2.465,2.7601,58.0,0.005,2.61,5.4,APPROACH,2,2,"10m,5m",2.47,2.465,HIGHWAY,1746604,17.0,5.8,1,145.1,36,8,,UNKNOWN,"-DILUTION, +CONTRACT, +ACQUISITION, -REVERSE_SPLIT"
DEFT,Long,FRESH_HOLD,T2-LONG,100,0.6781,0.5665,0.9221,2.2,0.1116,0.6891,1.6,CLOSE,4,4,"1d,1h,30m,4h",0.6781,0.5665,OPEN_ROAD,1326715533,10.4,3.8,1,69.8,38,8,,UNKNOWN,+CONTRACT
RZLV,Short,RESISTANCE,T3-SHORT,80,3.415,3.43,2.899,34.4,0.015,3.13,9.1,WAITING,1,1,1d,3.43,3.415,HIGHWAY,78005662,3.6,2.9,2,39.0,24,8,,,+ACQUISITION
CETX,Short,RESISTANCE,T5-SHORT,54,0.8001,0.8059,0.76,6.9,0.0058,0.7795,2.6,CLOSE,1,1,10m,0.8059,0.8001,OPEN_ROAD,344167,12.6,4.8,1,87.8,91,8,,,
CETX,Long,FRESH_HOLD,T3-LONG_WATCH,51,0.76,0.754,0.8001,6.7,0.006,0.7795,2.5,CLOSE,1,1,5m,0.76,0.754,OPEN_ROAD,9976,12.6,4.8,1,87.8,91,8,,UNKNOWN,
SST,Long,PULLBACK,T3-LONG_WATCH,57,5.05,5.015,6.1,30.0,0.035,5.22,3.3,APPROACH,1,1,4h,5.05,5.015,HIGHWAY,42008648,2.6,1.8,3,329.6,62,8,,UNKNOWN,
KOPN,Long,PULLBACK,T1-STRONG_LONG,90,2.28,2.27,2.48,20.0,0.01,2.44,6.6,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",2.28,2.27,HIGHWAY,17956527,3.2,2.2,1,44.8,42,8,,UNKNOWN,
KOPN,Short,RESISTANCE,T3-SHORT,70,2.48,2.485,2.28,40.0,0.005,2.44,1.6,CLOSE,1,1,1m,2.485,2.48,HIGHWAY,0,3.2,2.2,1,44.8,42,8,,,
PROP,Long,FRESH_HOLD,T1-STRONG_LONG,95,2.25,2.155,2.51,2.7,0.095,2.26,0.4,CLOSE,5,4,"10m,15m,1m,5m",2.25,2.155,HIGHWAY,143760,1.8,1.6,2,38.6,41,8,,UNKNOWN,
PROP,Short,RESISTANCE,T3-SHORT,80,2.51,2.55,2.25,6.5,0.04,2.26,11.1,WAITING,1,1,1d,2.55,2.51,HIGHWAY,6121284,1.8,1.6,2,38.6,41,8,,,
PROP,Long,PULLBACK,T2-LONG,58,2.035,2.03,2.51,95.0,0.005,2.26,10.0,WAITING,2,2,"10m,4h",2.035,2.03,OPEN_ROAD,4603965,1.8,1.6,2,38.6,41,8,,UNKNOWN,
EVTL,Long,FRESH_HOLD,T3-LONG_WATCH,61,2.245,2.24,2.27,5.0,0.005,2.26,0.7,CLOSE,1,1,1m,2.245,2.24,MIXED,0,3.2,3.8,3,36.8,72,8,,UNKNOWN,
EVTL,Short,RESISTANCE,T5-SHORT,44,2.36,2.365,2.245,23.0,0.005,2.26,4.4,APPROACH,1,1,1m,2.365,2.36,OPEN_ROAD,18177,3.2,3.8,3,36.8,72,8,,,
SXTP,Short,RESISTANCE,T3-SHORT,80,1.88,1.89,1.83,5.0,0.01,1.87,0.5,CLOSE,1,1,10m,1.89,1.88,HIGHWAY,1905,0.1,0.1,0,44.7,88,8,,,"+FDA_APPROVAL, -REVERSE_SPLIT"
BATL,Long,FRESH_HOLD,T3-LONG_WATCH,9,3.77,3.76,4.2401,47.0,0.01,3.85,2.1,CLOSE,1,1,10m,3.77,3.76,MIXED,219768,0.5,0.8,1,108.6,88,8,,UNKNOWN,"-DILUTION, -DELISTING_RISK, +ACQUISITION"
BATL,Short,RESISTANCE,T5-SHORT,8,4.2401,4.25,3.77,47.5,0.0099,3.85,10.1,WAITING,1,1,1m,4.25,4.2401,MIXED,23448,0.5,0.8,1,108.6,88,8,,,"-DILUTION, -DELISTING_RISK, +ACQUISITION"
