ticker,side,mode,tier,fem,entry,stop,t1,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,news
GV,Long,PULLBACK,T2-LONG,100,0.4175,0.416,0.602,123.0,0.0015,0.4444,6.1,APPROACH,2,2,"1m,5m",0.4175,0.416,HIGHWAY,0,12.9,6.0,2,224.9,44,8,3.96,NANO,130.92,"-DELISTING_RISK [Feb 04 19:44], ~MANAGEMENT [Dec 30 14:30], ~SEC_FILING [Feb 02 14:30]"
VSA,Short,RESISTANCE,T3-SHORT,80,0.7767,0.7799,0.5736,63.5,0.0032,0.7105,9.3,WAITING,1,1,1h,0.7799,0.7767,HIGHWAY,0,6.6,2.2,2,505.9,26,8,197.6,HIGH,0.5,
SIDU,Short,RESISTANCE,T3-SHORT,80,3.13,3.1398,2.425,71.9,0.0098,3.09,1.3,CLOSE,1,1,1m,3.1398,3.13,HIGHWAY,468879,6.2,2.6,1,59.9,22,8,35.15,MED,1.77,
TURB,Short,RESISTANCE,T5-SHORT,51,3.38,3.39,3.06,32.0,0.01,3.18,6.3,APPROACH,1,1,1m,3.39,3.38,OPEN_ROAD,18151,2.6,1.0,1,80.1,57,8,16.96,MED,0.68,
WTI,Short,RESISTANCE,T5-SHORT,22,3.5907,3.5984,3.1,63.7,0.0077,3.15,14.0,WAITING,1,1,1m,3.5984,3.5907,OPEN_ROAD,29358,1.0,1.1,0,27.6,38,8,98.28,HIGH,0.11,
PROP,Long,PULLBACK,T1-STRONG_LONG,82,2.325,2.26,2.51,2.8,0.065,2.41,3.5,APPROACH,5,4,"10m,1d,1m,5m",2.325,2.26,HIGHWAY,56507656,1.6,1.8,0,45.7,45,8,76.57,HIGH,0.1,
PROP,Short,RESISTANCE,T3-SHORT,80,2.51,2.55,2.39,3.0,0.04,2.41,4.1,APPROACH,1,1,1d,2.55,2.51,HIGHWAY,6121284,1.6,1.8,0,45.7,45,8,76.57,HIGH,0.1,
PROP,Long,FRESH_HOLD,T3-LONG_WATCH,54,2.39,2.38,2.51,12.0,0.01,2.41,0.8,CLOSE,1,1,1m,2.39,2.38,HIGHWAY,393903,1.6,1.8,0,45.7,45,8,76.57,HIGH,0.1,
AGPU,Long,PULLBACK,T1-STRONG_LONG,98,3.83,3.78,4.87,20.8,0.05,4.07,5.9,APPROACH,3,2,"10m,1m",3.83,3.78,HIGHWAY,590236,1.4,6.6,1,330.1,102,8,1.82,NANO,2.97,
ORIS,Short,RESISTANCE,T5-SHORT,12,0.7102,0.72,0.6556,5.6,0.0098,0.6565,8.2,WAITING,1,1,5m,0.72,0.7102,MIXED,999,0.5,0.2,0,94.7,73,8,0.9,NANO,0.79,
REPL,Long,PULLBACK,T3-LONG_WATCH,58,8.01,7.99,8.44,21.5,0.02,8.41,4.8,APPROACH,4,4,"10m,15m,1h,30m",8.01,7.99,MIXED,966428,1.9,1.2,0,19.6,28,8,62.89,HIGH,0.03,
REPL,Short,RESISTANCE,T5-SHORT,15,8.44,8.47,8.01,14.3,0.03,8.41,0.4,CLOSE,1,1,5m,8.47,8.44,MIXED,25956,1.9,1.2,0,19.6,28,8,62.89,HIGH,0.03,
RPAY,Short,RESISTANCE,T3-SHORT,80,2.61,2.62,2.57,4.0,0.01,2.58,1.2,CLOSE,1,1,1m,2.62,2.61,HIGHWAY,7800,2.1,2.0,1,39.3,39,8,45.72,MED,0.05,
CDLX,Long,FRESH_HOLD,T3-LONG_WATCH,73,1.0978,1.0502,1.32,4.7,0.0476,1.13,2.8,CLOSE,11,5,"10m,15m,1h,1m,5m",1.0978,1.0502,HIGHWAY,206975,1.4,1.2,0,30.3,56,8,48.04,MED,0.04,
CDLX,Long,PULLBACK,T3-LONG_WATCH,66,1.02,0.9915,1.32,10.5,0.0285,1.13,9.7,WAITING,4,3,"15m,1h,30m",1.02,0.9915,OPEN_ROAD,1172610,1.4,1.2,0,30.3,56,8,48.04,MED,0.04,
UMAC,Short,RESISTANCE,T3-SHORT,80,14.5,14.86,13.09,3.9,0.36,13.6,6.6,APPROACH,1,1,1d,14.86,14.5,HIGHWAY,154868364,0.8,0.8,0,32.3,30,8,36.19,MED,0.1,"-DILUTION [Mar 20 12:30], +ACQUISITION [Apr 02 12:19]"
KALA,Long,PULLBACK,T3-LONG_WATCH,70,0.1542,0.1512,0.2077,17.8,0.003,0.1702,9.4,WAITING,3,3,"10m,15m,5m",0.1542,0.1512,OPEN_ROAD,0,0.2,0.2,0,40.3,47,8,7.66,LOW,0.39,"-DILUTION [Dec 05 19:36], +FDA_TRIAL [Sep 29 12:00], +ACQUISITION [Dec 04 15:45]"
KALA,Long,FRESH_HOLD,T3-LONG_WATCH,57,0.1685,0.1645,0.2077,9.8,0.004,0.1702,1.0,CLOSE,2,1,1m,0.1685,0.1645,HIGHWAY,0,0.2,0.2,0,40.3,47,8,7.66,LOW,0.39,"-DILUTION [Dec 05 19:36], +FDA_TRIAL [Sep 29 12:00], +ACQUISITION [Dec 04 15:45]"
ASNS,Short,RESISTANCE,T5-SHORT,8,0.3803,0.3825,0.3485,14.5,0.0022,0.3559,6.9,APPROACH,1,1,5m,0.3825,0.3803,MIXED,0,0.0,0.0,0,20.8,49,8,26.6,MED,0.02,"-DILUTION [Dec 18 01:01], +CONTRACT [Dec 12 14:00], -DELISTING_RISK [Dec 09 13:30]"
VIR,Long,PULLBACK,T3-LONG_WATCH,33,8.64,8.47,9.65,5.9,0.17,9.06,4.6,APPROACH,2,2,"1d,4h",8.64,8.47,OPEN_ROAD,24851994,0.7,0.7,0,13.8,17,8,102.75,HIGH,0.01,"-DILUTION [Feb 26 03:31], +FDA_TRIAL [Feb 24 16:10]"
LFST,Short,RESISTANCE,T5-SHORT,62,6.55,6.57,5.1,72.5,0.02,6.31,3.8,APPROACH,1,1,1m,6.57,6.55,OPEN_ROAD,400,0.7,0.8,0,7.6,20,8,204.38,MEGA,0.0,"-DILUTION [Mar 02 00:20], ~MANAGEMENT [Mar 31 01:15]"
GVH,Long,FRESH_HOLD,T1-STRONG_LONG,100,2.6999,2.64,5.62,48.7,0.0599,2.73,1.1,CLOSE,3,2,"1m,5m",2.6999,2.64,HIGHWAY,70169,0.6,1.9,2,125.5,95,8,1.23,NANO,0.72,"-DILUTION [Jan 02 22:00], +CONTRACT [Jun 30 08:00], -DELISTING_RISK [May 23 13:46], +REVENUE_BEAT [Feb 17 13:00], +ANALYST_UPGRADE [Jul 11 11:00], -REVERSE_SPLIT [Jul 17 13:10]"
GVH,Long,PULLBACK,T2-LONG,99,2.59,2.5201,5.62,43.3,0.0699,2.73,5.1,APPROACH,5,3,"10m,1m,5m",2.59,2.5201,OPEN_ROAD,358159,0.6,1.9,2,125.5,95,8,1.23,NANO,0.72,"-DILUTION [Jan 02 22:00], +CONTRACT [Jun 30 08:00], -DELISTING_RISK [May 23 13:46], +REVENUE_BEAT [Feb 17 13:00], +ANALYST_UPGRADE [Jul 11 11:00], -REVERSE_SPLIT [Jul 17 13:10]"
SRXH,Short,RESISTANCE,T3-SHORT,80,0.1418,0.1425,0.1347,10.1,0.0007,0.1366,3.8,APPROACH,1,1,1m,0.1425,0.1418,HIGHWAY,0,0.8,0.9,0,34.7,17,8,273.28,MEGA,0.05,"-DILUTION [Feb 11 13:00], -DELISTING_RISK [Jan 08 12:15], +ACQUISITION [Jan 14 13:15], ~MANAGEMENT [Oct 01 12:00]"
SRXH,Long,FRESH_HOLD,T3-LONG_WATCH,50,0.1347,0.1332,0.1418,4.7,0.0015,0.1366,1.4,CLOSE,2,2,"15m,1m",0.1347,0.1332,HIGHWAY,0,0.8,0.9,0,34.7,17,8,273.28,MEGA,0.05,"-DILUTION [Feb 11 13:00], -DELISTING_RISK [Jan 08 12:15], +ACQUISITION [Jan 14 13:15], ~MANAGEMENT [Oct 01 12:00]"
SRXH,Long,PULLBACK,T3-LONG_WATCH,16,0.1285,0.1282,0.1418,44.3,0.0003,0.1366,5.9,APPROACH,1,1,10m,0.1285,0.1282,OPEN_ROAD,0,0.8,0.9,0,34.7,17,8,273.28,MEGA,0.05,"-DILUTION [Feb 11 13:00], -DELISTING_RISK [Jan 08 12:15], +ACQUISITION [Jan 14 13:15], ~MANAGEMENT [Oct 01 12:00]"
BURU,Long,FRESH_HOLD,T3-LONG_WATCH,69,0.177,0.1766,0.1807,9.3,0.0004,0.1802,1.8,CLOSE,3,3,"10m,15m,30m",0.177,0.1766,OPEN_ROAD,0,0.6,1.2,1,30.2,53,8,85.86,HIGH,0.16,"-DILUTION [Feb 17 18:46], +CONTRACT [Feb 13 12:45], +ACQUISITION [Mar 20 11:15], -REVERSE_SPLIT [Feb 17 18:46]"
BURU,Short,RESISTANCE,T5-SHORT,54,0.1807,0.1812,0.177,7.4,0.0005,0.1802,0.3,CLOSE,1,1,15m,0.1812,0.1807,OPEN_ROAD,0,0.6,1.2,1,30.2,53,8,85.86,HIGH,0.16,"-DILUTION [Feb 17 18:46], +CONTRACT [Feb 13 12:45], +ACQUISITION [Mar 20 11:15], -REVERSE_SPLIT [Feb 17 18:46]"
JTAI,Short,RESISTANCE,T2-SHORT,80,0.082,0.0827,0.0738,11.7,0.0007,0.0811,1.1,CLOSE,1,1,5m,0.0827,0.082,HIGHWAY,0,0.3,0.4,0,29.6,51,8,114.33,HIGH,0.05,"-DILUTION [Dec 30 15:48], +ACQUISITION [Feb 12 13:30], ~MANAGEMENT [Mar 17 12:30]"
