ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,stop_adjusted,vol_ratio,vol_hot,news
TMDE,Long,PULLBACK,T2-LONG,100,1.73,1.72,1.91,,3.6,0.05,1.87,7.5,WAITING,3,3,"10m,1h,4h",1.73,1.72,HIGHWAY,12452712.0,9.1,3.1,1.0,81.7,57.0,8.0,3.56,NANO,6.58,1.38,1.06,1.7,60.4,PREMIUM,PREMIUM,,,,
BATL,Long,BREAKOUT,T1-STRONG_LONG,100,4.95,3.82,7.21,,2.0,1.13,4.21,0.0,INSIDE,5,5,,,,OPEN_ROAD,,,,,,,,,LOW,1.71,4.525,3.85,5.2,35.1,DISCOUNT,MID,False,2.2,True,"-DILUTION [Mar 09 01:09], -DELISTING_RISK [Aug 25 20:15], +ACQUISITION [Mar 19 21:20]"
BLND,Long,PULLBACK,T1-STRONG_LONG,94,1.835,1.785,2.09,1.875,5.1,0.05,2.0,8.3,WAITING,6,4,"15m,1h,30m,4h",1.835,1.785,HIGHWAY,2362143.0,0.6,1.0,0.0,29.6,45.0,8.0,220.39,MEGA,0.01,1.875,1.9,1.85,-2.6,PREMIUM,DISCOUNT,,,,~MANAGEMENT [Mar 10 20:00]
VIR,Long,PULLBACK,T2-LONG,64,8.64,8.47,9.65,8.9,5.8,0.1728,9.06,4.6,APPROACH,2,2,"1d,4h",8.64,8.47,HIGHWAY,24851994.0,0.7,0.7,0.0,13.8,17.0,8.0,102.75,HIGH,0.01,8.9,9.02,8.78,-2.7,PREMIUM,DISCOUNT,,,,"-DILUTION [Feb 26 03:31], +FDA_TRIAL [Feb 24 16:10]"
TSSI,Long,PULLBACK,T2-LONG,35,12.62,12.59,13.39,,3.1,0.2524,13.32,5.3,APPROACH,1,1,1h,12.62,12.59,MIXED,888459.0,0.7,0.7,0.0,26.7,43.0,8.0,20.68,MED,0.05,13.61,13.95,13.27,-4.9,DISCOUNT,DISCOUNT,,,,"+ANALYST_UPGRADE [Dec 08 16:08], ~MANAGEMENT [Nov 16 09:14]"
GTN,Long,PULLBACK,T1-STRONG_LONG,85,4.32,4.3,4.52,4.36,2.3,0.0864,4.49,3.8,APPROACH,3,3,"10m,15m,5m",4.32,4.3,HIGHWAY,228054.0,0.8,1.2,0.0,12.3,36.0,8.0,83.84,HIGH,0.01,4.36,4.4,4.32,-1.8,PREMIUM,DISCOUNT,,,,
GVH,Long,PULLBACK,T2-LONG,100,2.59,2.5201,5.62,,43.3,0.0699,2.73,5.1,APPROACH,5,3,"10m,1m,5m",2.59,2.5201,HIGHWAY,358159.0,0.6,1.9,2.0,125.5,95.0,8.0,1.23,NANO,0.72,2.015,2.0,2.03,1.5,PREMIUM,PREMIUM,,,,"-DILUTION [Jan 02 22:00], +CONTRACT [Jun 30 08:00], -DELISTING_RISK [May 23 13:46], +REVENUE_BEAT [Feb 17 13:00], +ANALYST_UPGRADE [Jul 11 11:00], -REVERSE_SPLIT [Jul 17 13:10]"
VELO,Long,PULLBACK,T2-LONG,96,10.74,10.63,11.93,,5.5,0.2148,11.88,9.6,WAITING,4,3,"10m,1m,5m",10.74,10.63,HIGHWAY,879400.0,0.9,0.7,0.0,42.6,40.0,8.0,7.21,LOW,0.24,9.345,9.61,9.08,-5.5,PREMIUM,PREMIUM,,,,
ICU,Long,PULLBACK,T1-STRONG_LONG,100,4.18,4.05,5.478,,10.0,0.13,4.31,3.0,APPROACH,11,5,"10m,15m,1m,30m,5m",4.18,4.05,HIGHWAY,106409.0,1.9,1.5,2.0,71.7,106.0,8.0,3.95,NANO,0.1,3.485,3.56,3.41,-4.2,PREMIUM,PREMIUM,,,,
DEFT,Long,PULLBACK,T1-STRONG_LONG,100,0.6781,0.5665,0.9221,0.6795,2.2,0.1116,0.7123,4.8,APPROACH,5,5,"1d,1h,30m,4h,5m",0.6781,0.5665,HIGHWAY,1326715533.0,2.1,4.0,2.0,69.8,41.0,8.0,378.91,MEGA,0.03,0.6795,0.6891,0.6699,-2.8,PREMIUM,DISCOUNT,,,,"+CONTRACT [Feb 06 12:30], +REVENUE_BEAT [Apr 02 21:00]"
