ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,stop_adjusted,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,path,vol_ratio,vol_hot,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,tfs,cluster_top,cluster_bot,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,news
BATL,Long,BREAKOUT,T3-LONG_WATCH,64,4.79,3.83,6.71,,2.0,0.96,False,4.24,0.0,INSIDE,2,2,OPEN_ROAD,0.8,False,LOW,0.55,4.17,4.21,4.13,-1.9,PREMIUM,PREMIUM,,,,,,,,,,,,"-DILUTION [Mar 09 01:09], -DELISTING_RISK [Aug 25 20:15], +ACQUISITION [Mar 19 21:20]"
SGML,Long,PULLBACK,T3-LONG_WATCH,35,13.59,13.54,15.1,,5.6,0.2718,,14.51,6.3,APPROACH,1,1,HIGHWAY,,,HIGH,0.04,14.37,14.37,14.37,0.0,FLAT,FLAT,10m,13.59,13.54,786380.0,0.8,1.3,3.0,30.0,33.0,8.0,58.77,
NEXT,Long,PULLBACK,T1-STRONG_LONG,100,7.74,7.34,9.28,7.795,3.8,0.4,,8.31,6.9,APPROACH,4,4,HIGHWAY,,,HIGH,0.03,7.795,7.85,7.74,-1.4,PREMIUM,DISCOUNT,"1d,1h,30m,4h",7.74,7.34,322455666.0,0.7,0.9,0.0,20.3,19.0,8.0,128.38,
UMAC,Long,PULLBACK,T2-LONG,48,13.27,13.24,14.5,13.72,4.6,0.2654,,13.71,3.2,APPROACH,1,1,HIGHWAY,,,MED,0.07,13.72,13.6,13.84,1.8,MID,DISCOUNT,5m,13.27,13.24,130728.0,0.5,0.6,0.0,34.2,32.0,8.0,36.19,"-DILUTION [Mar 20 12:30], +ACQUISITION [Apr 02 12:19]"
BLND,Long,PULLBACK,T2-LONG,60,1.79,1.785,1.945,,3.1,0.05,,1.93,7.3,WAITING,2,2,HIGHWAY,,,MEGA,0.02,1.99,2.0,1.98,-1.0,DISCOUNT,DISCOUNT,"1h,4h",1.79,1.785,2103016.0,0.8,0.7,0.0,32.5,44.0,8.0,220.39,~MANAGEMENT [Mar 10 20:00]
VIR,Long,PULLBACK,T2-LONG,43,8.64,8.47,9.65,8.99,5.8,0.1728,,9.06,4.6,APPROACH,1,1,HIGHWAY,,,HIGH,0.01,8.99,9.06,8.92,-1.5,PREMIUM,DISCOUNT,1d,8.64,8.47,18135855.0,0.5,0.7,0.0,13.8,16.0,8.0,102.75,"-DILUTION [Feb 26 03:31], +FDA_TRIAL [Feb 24 16:10]"
GTN,Long,PULLBACK,T2-LONG,82,4.55,4.46,4.77,,2.4,0.091,,4.74,4.0,APPROACH,3,3,HIGHWAY,,,HIGH,0.01,4.48,4.49,4.47,-0.4,FLAT,FLAT,"10m,4h,5m",4.55,4.46,425159.0,1.1,1.0,0.0,14.7,30.0,8.0,83.84,
SKYQ,Long,PULLBACK,T1-STRONG_LONG,100,4.83,4.72,5.28,4.9,4.1,0.11,,5.0,3.4,APPROACH,7,5,HIGHWAY,,,NANO,6.02,4.9,5.1,4.7,-7.8,PREMIUM,DISCOUNT,"10m,15m,1m,30m,5m",4.83,4.72,2687676.0,2.8,6.5,2.0,198.2,38.0,8.0,2.64,
SIDU,Long,PULLBACK,T3-LONG_WATCH,76,3.4899,3.4801,4.06,,8.2,0.0698,,3.67,4.9,APPROACH,2,2,HIGHWAY,,,HIGH,0.88,3.04,3.09,2.99,-3.2,PREMIUM,PREMIUM,"10m,5m",3.4899,3.4801,719663.0,4.6,3.4,2.0,97.9,27.0,8.0,66.34,
BDRX,Long,PULLBACK,T1-STRONG_LONG,100,3.69,3.58,3.96,,2.5,0.11,,3.87,4.7,APPROACH,8,6,HIGHWAY,,,NANO,0.18,4.3533,4.3665,4.34,-0.6,DISCOUNT,DISCOUNT,"10m,15m,1h,1m,4h,5m",3.69,3.58,713669.0,0.5,6.6,1.0,124.8,70.0,8.0,3.24,
LUD,Long,PULLBACK,T1-STRONG_LONG,100,3.59,3.5,4.0,,4.6,0.09,,3.98,9.8,WAITING,4,4,OPEN_ROAD,,,NANO,0.03,4.56,4.45,4.67,4.9,DISCOUNT,DISCOUNT,"15m,1h,30m,4h",3.59,3.5,2445487.0,0.4,1.0,1.0,59.3,66.0,8.0,2.69,
GVH,Long,PULLBACK,T2-LONG,84,2.1593,2.1501,2.36,,4.0,0.05,,2.33,7.3,WAITING,2,2,HIGHWAY,,,NANO,0.42,2.74,2.73,2.75,0.7,DISCOUNT,DISCOUNT,"1h,30m",2.1593,2.1501,295738.0,0.4,0.6,1.0,115.4,108.0,8.0,1.23,"-DILUTION [Jan 02 22:00], +CONTRACT [Jun 30 08:00], -DELISTING_RISK [May 23 13:46], +REVENUE_BEAT [Feb 17 13:00], +ANALYST_UPGRADE [Jul 11 11:00], -REVERSE_SPLIT [Jul 17 13:10]"
ATPC,Long,PULLBACK,T2-LONG,59,2.95,2.92,3.21,3.145,4.4,0.059,,3.19,7.5,WAITING,1,1,OPEN_ROAD,,,NANO,0.12,3.145,3.17,3.12,-1.6,PREMIUM,DISCOUNT,15m,2.95,2.92,27873.0,0.0,0.0,0.0,45.3,84.0,8.0,0.43,
ICU,Long,PULLBACK,T3-LONG_WATCH,46,4.36,4.31,4.68,,3.7,0.0872,,4.58,4.8,APPROACH,1,1,OPEN_ROAD,,,NANO,0.08,4.335,4.31,4.36,1.2,PREMIUM,MID,1d,4.36,4.31,1900160.0,1.4,1.2,1.0,79.9,118.0,8.0,3.95,
FCUV,Long,BREAKOUT,T1-STRONG_LONG,100,6.77,3.34,13.63,,2.0,3.43,False,5.74,0.0,INSIDE,6,6,OPEN_ROAD,19.8,True,NANO,57.3,5.41,3.34,7.48,124.0,MID,MID,,,,,,,,,,,,
WBUY,Long,BREAKOUT,T1-STRONG_LONG,100,1.24,0.9363,1.8474,,2.0,0.3037,False,1.11,0.0,INSIDE,5,5,OPEN_ROAD,19.7,True,NANO,15.76,1.1674,0.9449,1.39,47.1,MID,DISCOUNT,,,,,,,,,,,,
AIB,Long,BREAKOUT,T1-STRONG_LONG,100,1.54,1.1692,2.2816,,2.0,0.3708,False,1.48,0.0,INSIDE,6,6,OPEN_ROAD,9.0,True,MED,0.61,1.405,1.16,1.65,42.2,PREMIUM,MID,,,,,,,,,,,,
MLEC,Long,PULLBACK,T1-STRONG_LONG,100,10.39,10.15,11.74,,5.6,0.24,,11.44,9.2,WAITING,5,5,HIGHWAY,,,NANO,4.53,7.805,6.95,8.66,24.6,PREMIUM,PREMIUM,"10m,15m,30m,4h,5m",10.39,10.15,9050226.0,18.3,6.2,1.0,117.4,99.0,8.0,0.73,
BTBD,Long,BREAKOUT,T3-LONG_WATCH,100,2.19,1.93,2.71,,2.0,0.26,False,2.09,0.0,INSIDE,2,2,OPEN_ROAD,7.5,True,NANO,1.22,2.1,1.89,2.31,22.2,MID,MID,,,,,,,,,,,,
DEFT,Long,BREAKOUT,T1-STRONG_LONG,96,0.815,0.7354,0.9742,,2.0,0.0796,False,0.7746,0.0,INSIDE,6,6,OPEN_ROAD,3.4,True,MEGA,0.06,0.7707,0.7123,0.8291,16.4,MID,MID,,,,,,,,,,,,"+CONTRACT [Feb 06 12:30], +REVENUE_BEAT [Apr 02 21:00]"
PRFX,Long,PULLBACK,T3-LONG_WATCH,100,2.42,2.411,2.71,,5.8,0.05,,2.53,4.3,APPROACH,2,2,HIGHWAY,,,NANO,6.32,2.27,2.1,2.44,16.2,PREMIUM,PREMIUM,"1m,5m",2.42,2.411,81500.0,18.4,6.1,1.0,60.3,63.0,8.0,0.81,
MOBX,Long,PULLBACK,T2-LONG,44,3.394,3.386,3.573,,2.6,0.0679,,3.5,3.0,APPROACH,1,1,HIGHWAY,,,HIGH,0.02,3.7475,3.604,3.891,8.0,DISCOUNT,DISCOUNT,1m,3.394,3.386,233.0,0.6,0.7,0.0,56.8,52.0,8.0,83.66,
HUIZ,Long,PULLBACK,T1-STRONG_LONG,100,1.43,1.3342,1.66,1.465,2.4,0.0958,,1.49,4.0,APPROACH,16,5,HIGHWAY,,,MEGA,0.0,1.465,1.43,1.5,4.9,PREMIUM,DISCOUNT,"15m,1d,1h,30m,4h",1.43,1.3342,176910.0,16.6,5.7,1.0,40.1,101.0,8.0,492.71,
PLUG,Long,PULLBACK,T1-STRONG_LONG,63,2.46,2.41,3.38,,18.4,0.05,,2.69,8.6,WAITING,7,7,HIGHWAY,,,MEGA,0.07,2.435,2.41,2.46,2.1,PREMIUM,MID,"10m,15m,1d,1h,30m,4h,5m",2.46,2.41,721919753.0,1.4,1.1,0.0,30.3,33.0,8.0,1330.49,
