ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,stop_adjusted,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,path,gap_quality,vol_ratio,vol_hot,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,tfs,cluster_top,cluster_bot,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,news
SKYQ,Long,BREAKOUT,T3-LONG_WATCH,91,6.36,5.0,9.08,,2.0,1.36,False,6.36,0.0,INSIDE,1,1,OPEN_ROAD,EXCITED,5.9,True,NANO,14.8,5.69,5.0,6.38,27.6,PREMIUM,MID,1821,16,250,11.3,A,,,,,,,,,,,,
GNLN,Long,PULLBACK,T2-LONG,100,2.59,2.57,2.92,2.775,6.4,0.0518,,2.78,6.8,APPROACH,2,2,HIGHWAY,EXCITED,,,NANO,0.06,2.775,2.86,2.69,-5.9,MID,DISCOUNT,61,4,26,5.0,C,"1m,5m",2.59,2.57,1480.0,3.5,3.1,2.0,66.7,99.0,8.0,3.68,
PFSA,Long,BREAKOUT,T1-STRONG_LONG,100,1.77,0.7699,3.7702,,2.0,1.0001,False,1.25,0.0,INSIDE,3,3,OPEN_ROAD,EXCITED,1.0,True,NANO,7.84,1.65,1.85,1.45,-21.6,DISCOUNT,DISCOUNT,89,7,47,0.4,C,,,,,,,,,,,,
FCUV,Long,BREAKOUT,T2-LONG,100,6.77,3.34,13.63,,2.0,3.43,False,3.77,0.0,INSIDE,3,3,OPEN_ROAD,EXCITED,0.5,True,NANO,1.54,4.935,5.74,4.13,-28.0,DISCOUNT,MID,203,5,91,0.5,C,,,,,,,,,,,,
WBUY,Long,BREAKOUT,T1-STRONG_LONG,100,1.16,0.9397,1.6006,,2.0,0.2203,False,1.03,0.0,INSIDE,3,3,OPEN_ROAD,EXCITED,0.8,True,NANO,0.68,1.1,1.11,1.09,-1.8,DISCOUNT,DISCOUNT,27,2,7,5.8,D,,,,,,,,,,,,
AIB,Long,PULLBACK,T3-LONG_WATCH,61,1.485,1.4801,1.6517,,3.3,0.05,,1.64,9.5,WAITING,1,1,HIGHWAY,EXCITED,,,MED,0.06,1.475,1.48,1.47,-0.7,PREMIUM,PREMIUM,334,8,25,0.7,C,5m,1.485,1.4801,0.0,0.9,3.4,1.0,97.8,120.0,8.0,37.63,
BTBD,Long,PULLBACK,T1-STRONG_LONG,100,1.83,1.8203,1.96,,2.6,0.05,,1.95,6.2,APPROACH,3,3,HIGHWAY,EXCITED,,,NANO,0.25,2.08,2.09,2.07,-1.0,DISCOUNT,DISCOUNT,107,10,45,0.5,C,"10m,15m,5m",1.83,1.8203,137009.0,1.6,3.4,1.0,67.6,76.0,8.0,3.15,
DEFT,Long,BREAKOUT,T1-STRONG_LONG,100,0.815,0.7354,0.9742,,2.0,0.0796,False,0.761,0.0,INSIDE,3,3,OPEN_ROAD,EXCITED,0.7,True,MEGA,0.01,0.7818,0.7746,0.789,1.9,DISCOUNT,DISCOUNT,106,9,0,2.2,C,,,,,,,,,,,,"+CONTRACT [Feb 06 12:30], +REVENUE_BEAT [Apr 02 21:00]"
PRFX,Long,PULLBACK,T2-LONG,100,2.06,2.025,2.27,,4.2,0.05,,2.25,8.4,WAITING,2,2,HIGHWAY,EXCITED,,,NANO,0.25,2.44,2.53,2.35,-7.1,DISCOUNT,DISCOUNT,70,3,64,0.9,C,"1d,1h",2.06,2.025,1800.0,0.7,6.2,1.0,55.7,80.0,8.0,0.81,
HUIZ,Long,PULLBACK,T1-STRONG_LONG,100,1.4347,1.39,1.66,1.52,4.5,0.05,,1.54,6.8,APPROACH,4,3,OPEN_ROAD,EXCITED,,,MEGA,0.0,1.52,1.49,1.55,4.0,PREMIUM,DISCOUNT,164,4,98,7.8,B,"1m,4h,5m",1.4347,1.39,21528.0,1.9,5.8,1.0,40.1,108.0,8.0,491.47,
SRXH,Long,PULLBACK,T1-STRONG_LONG,89,0.1469,0.1445,0.298,,3.0,0.05,,0.1596,8.0,WAITING,5,5,HIGHWAY,EXCITED,,,MEGA,0.18,0.1386,0.1372,0.14,2.0,PREMIUM,PREMIUM,0,8,0,86.7,D,"10m,15m,1h,1m,30m",0.1469,0.1445,0.0,2.5,1.3,1.0,47.6,27.0,8.0,277.46,"-DILUTION [Feb 11 13:00], -DELISTING_RISK [Jan 08 12:15], +ACQUISITION [Jan 14 13:15], ~MANAGEMENT [Oct 01 12:00]"
RDGT,Long,BREAKOUT,T1-STRONG_LONG,100,4.6648,2.7149,8.5646,,2.0,1.9499,False,4.0498,0.0,INSIDE,6,6,OPEN_ROAD,EXCITED,12.4,True,LOW,1.29,3.9523,2.7449,5.1597,88.0,MID,MID,80,2,80,13.0,C,,,,,,,,,,,,
CETX,Long,BREAKOUT,T1-STRONG_LONG,100,1.56,0.7957,3.0886,,2.0,0.7643,False,1.29,0.0,INSIDE,4,4,OPEN_ROAD,EXCITED,14.6,True,LOW,7.53,1.2404,0.7957,1.685,111.8,MID,MID,135,11,71,1.2,C,,,,,,,,,,,,
HCAI,Long,BREAKOUT,T1-STRONG_LONG,100,0.3881,0.1579,0.8485,,2.0,0.2302,False,0.3555,0.0,INSIDE,6,6,HIGHWAY,EXCITED,19.6,True,NANO,54.07,0.297,0.1467,0.4473,204.9,PREMIUM,MID,22,3,17,6.9,D,,,,,,,,,,,,
LNAI,Long,PULLBACK,T1-STRONG_LONG,100,0.3803,0.2879,1.13,0.3831,8.1,0.0924,,0.3941,3.5,APPROACH,4,4,HIGHWAY,EXCITED,,,LOW,6.72,0.3831,0.282,0.4841,71.7,MID,DISCOUNT,30,7,7,186.7,C,"15m,1h,30m,4h",0.3803,0.2879,1343474483.0,2.6,0.9,1.0,93.5,28.0,8.0,14.71,
SILO,Long,BREAKOUT,T2-LONG,100,0.543,0.3635,0.902,,2.0,0.1795,False,0.5302,0.0,INSIDE,3,3,HIGHWAY,EXCITED,18.8,True,LOW,3.89,0.4749,0.3558,0.5941,67.0,PREMIUM,MID,65,7,20,0.2,C,,,,,,,,,,,,
