ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,news
FUSE,Long,PULLBACK,T2-LONG,100,1.75,1.69,1.97,,3.7,0.06,1.83,4.4,APPROACH,5,3,"10m,1m,5m",1.75,1.69,HIGHWAY,EXCITED,8289247,19.8,6.6,1,151.2,37,8,14.97,LOW,7.32,0.925,0.85,1.0,17.6,PREMIUM,PREMIUM,115,11,71,99.9,B,
SIDU,Long,PULLBACK,T1-STRONG_LONG,100,3.95,3.88,4.62,,8.5,0.079,4.25,7.1,WAITING,4,4,"10m,1h,30m,5m",3.95,3.88,HIGHWAY,EXCITED,11152444,2.4,1.8,3,47.8,23,8,66.34,HIGH,0.69,3.395,3.34,3.45,3.3,PREMIUM,PREMIUM,109,11,31,99.9,B,
SKYQ,Long,PULLBACK,T3-LONG_WATCH,93,11.4,11.37,13.81,,10.6,0.228,12.59,9.5,WAITING,1,1,1m,11.4,11.37,HIGHWAY,EXCITED,692334,3.3,1.8,2,239.6,64,8,3.2,NANO,11.46,7.52,7.29,7.75,6.3,PREMIUM,PREMIUM,1618,25,422,99.9,A,
RXT,Long,PULLBACK,T3-LONG_WATCH,49,1.235,1.23,1.36,,2.5,0.05,1.32,6.4,APPROACH,1,1,10m,1.235,1.23,HIGHWAY,EXCITED,1884988,2.7,1.3,1,54.3,48,8,108.89,HIGH,0.18,0.8968,0.8836,0.91,3.0,PREMIUM,PREMIUM,168,7,10,3.0,C,
LWLG,Long,PULLBACK,T3-LONG_WATCH,98,10.0845,10.0,11.2,,5.5,0.2017,10.6,4.9,APPROACH,2,2,"15m,1m",10.0845,10.0,HIGHWAY,EXCITED,2921719,2.4,1.3,1,39.7,34,8,146.5,HIGH,0.08,8.605,8.44,8.77,3.9,PREMIUM,PREMIUM,491,18,478,99.9,A,
ALOY,Long,PULLBACK,T3-LONG_WATCH,62,10.7733,10.64,12.895,,9.8,0.2155,11.79,8.6,WAITING,1,1,15m,10.7733,10.64,HIGHWAY,EXCITED,8511789,2.2,1.6,1,68.0,46,8,53.08,HIGH,0.07,9.92,9.88,9.96,0.8,PREMIUM,PREMIUM,454,9,409,9.4,A,
GPRK,Long,PULLBACK,T1-STRONG_LONG,92,9.07,9.05,9.64,,3.1,0.1814,9.4,3.5,APPROACH,4,4,"10m,15m,30m,5m",9.07,9.05,HIGHWAY,EXCITED,913578,2.2,1.2,1,18.7,16,8,37.74,MED,0.07,8.13,8.15,8.11,-0.5,FLAT,FLAT,55,7,55,2.6,C,
STAK,Long,PULLBACK,T2-LONG,89,1.03,1.02,1.1603,1.04,2.6,0.05,1.11,7.2,WAITING,2,2,"10m,5m",1.03,1.02,HIGHWAY,EXCITED,90677,2.4,0.8,1,48.5,24,8,6.88,LOW,0.32,1.04,1.05,1.03,-1.9,PREMIUM,DISCOUNT,24,10,13,4.5,D,
CUE,Long,PULLBACK,T3-LONG_WATCH,46,0.4779,0.4751,0.5809,,2.1,0.05,0.5019,4.8,APPROACH,1,1,5m,0.4779,0.4751,HIGHWAY,EXCITED,0,14.5,5.7,2,304.3,46,8,97.07,HIGH,2.32,0.2957,0.2929,0.2985,1.9,PREMIUM,PREMIUM,6,14,5,15.7,D,
BENF,Long,PULLBACK,T3-LONG_WATCH,100,3.83,3.7,4.33,,3.8,0.13,4.08,6.1,APPROACH,2,2,"1d,5m",3.83,3.7,HIGHWAY,EXCITED,52047664,18.7,6.3,1,37.7,36,8,14.33,LOW,0.28,3.765,3.7,3.83,3.5,PREMIUM,MID,176,6,42,6.1,B,
HTZ,Long,PULLBACK,T2-LONG,79,5.97,5.88,6.76,6.6,6.6,0.1194,6.32,5.5,APPROACH,1,1,1d,5.97,5.88,HIGHWAY,EXCITED,190422000,1.7,1.8,1,35.2,23,8,125.93,HIGH,0.1,6.6,6.57,6.63,0.9,DISCOUNT,DISCOUNT,65,7,43,99.9,C,
