ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,news
LAES,Long,PULLBACK,T3-LONG_WATCH,54,2.59,2.3862,2.9976,,2.0,0.2038,2.59,4.8,APPROACH,1,1,5m,2.465,2.46,OPEN_ROAD,EXCITED,0.0,2.1,1.5,2.0,31.7,41.0,8.0,185.01,HIGH,0.09,2.19,2.14,2.24,4.7,PREMIUM,PREMIUM,68,3,68,8.9,C,,,,
SNAP,Long,PULLBACK,T1-STRONG_LONG,93,5.23,5.0052,5.82,,2.6,0.2248,5.6,6.6,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",5.23,5.16,HIGHWAY,EXCITED,735901282.0,1.5,1.1,0.0,22.1,38.0,8.0,1104.69,MEGA,0.07,5.195,5.15,5.24,1.7,PREMIUM,MID,95,7,52,3.9,C,,,,
ARAI,Long,BOUNCE,T3-LONG_WATCH,100,1.65,1.585,1.78,,2.0,0.065,1.65,0.6,CLOSE,1,1,10m,1.64,1.635,HIGHWAY,EXCITED,0.0,4.2,1.9,2.0,229.0,60.0,8.0,4.83,NANO,15.7,0.9095,0.889,0.93,4.6,PREMIUM,PREMIUM,204,14,25,7.9,B,,,,
ROLR,Long,BOUNCE,T1-STRONG_LONG,100,7.41,4.05,14.13,7.8,2.0,3.36,7.41,2.8,CLOSE,2,2,"1d,4h",7.2,5.1,HIGHWAY,EXCITED,14489677145.0,19.2,6.5,1.0,246.3,108.0,8.0,4.64,NANO,9.67,7.8,5.09,10.51,106.5,MID,DISCOUNT,747,11,636,76.0,A,,,,
PLUG,Long,BOUNCE,T1-STRONG_LONG,100,2.94,2.7063,3.4074,,2.0,0.2337,2.94,1.5,CLOSE,6,6,"10m,15m,1h,30m,4h,5m",2.895,2.79,HIGHWAY,EXCITED,655510830.0,1.3,1.0,0.0,16.2,32.0,8.0,1330.45,MEGA,0.06,2.8425,2.77,2.915,5.2,PREMIUM,MID,204,11,67,15.0,A,,,,
RGTI,Long,PULLBACK,T1-STRONG_LONG,93,15.71,14.7731,18.115,,2.6,0.9369,16.87,6.9,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",15.71,15.23,HIGHWAY,EXCITED,4267360185.0,2.5,1.3,1.0,23.9,30.0,8.0,326.98,MEGA,0.14,15.425,15.13,15.72,3.9,PREMIUM,MID,849,5,340,7.4,B,,,,
IREN,Long,PULLBACK,T1-STRONG_LONG,100,44.84,41.9428,52.26,,2.6,2.8972,47.37,5.3,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",44.84,43.24,HIGHWAY,EXCITED,6915829361.0,1.4,1.3,0.0,35.2,35.0,8.0,302.76,MEGA,0.11,44.1575,43.07,45.245,5.0,PREMIUM,MID,1802,15,1189,10.3,A,,,,
CRWV,Long,BOUNCE,T1-STRONG_LONG,86,117.2,106.9619,137.6762,,2.0,10.2381,117.2,2.0,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",114.85,110.27,HIGHWAY,EXCITED,20689931697.0,1.5,2.0,2.0,40.4,32.0,8.0,264.16,MEGA,0.11,112.56,110.27,114.85,4.2,PREMIUM,MID,5509,5,3764,5.2,B,,,,
SIDU,Long,PULLBACK,T3-LONG_WATCH,90,5.02,4.7821,5.4958,,2.0,0.2379,5.31,5.5,APPROACH,2,2,"1d,4h",5.02,4.93,HIGHWAY,EXCITED,503686620.0,1.8,1.8,1.0,67.9,24.0,8.0,66.34,HIGH,0.59,4.975,4.93,5.02,1.8,PREMIUM,MID,125,14,37,99.9,B,,,,
SMCI,Long,BOUNCE,T1-STRONG_LONG,93,27.2,25.2103,33.22,,3.0,1.9897,27.2,2.6,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",26.5,25.99,OPEN_ROAD,EXCITED,3002136930.0,0.8,0.8,0.0,21.6,43.0,8.0,499.58,MEGA,0.06,26.485,25.97,27.0,4.0,PREMIUM,DISCOUNT,1218,3,781,22.1,B,,,,
