ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,news
RMAX,Long,PULLBACK,T1-STRONG_LONG,100,7.27,7.0034,8.57,,4.9,0.2666,7.99,9.0,WAITING,4,4,"10m,15m,30m,4h",7.27,7.22,HIGHWAY,EXCITED,2310558.0,5.5,2.2,3216225.0,1.0,29.5,54.0,8.0,15.85,MED,0.08,6.575,6.56,6.59,0.5,FLAT,FLAT,161,6,125,7.3,B,,,,
OGN,Long,PULLBACK,T1-STRONG_LONG,100,10.55,7.64,16.37,,2.0,2.91,11.26,6.3,APPROACH,5,5,"10m,15m,1h,30m,5m",10.55,8.61,OPEN_ROAD,EXCITED,2482267772.0,3.4,1.6,21248592.0,1.0,36.2,20.0,8.0,258.73,MEGA,0.09,9.665,8.6,10.73,24.8,PREMIUM,MID,2080,4,914,99.9,A,,,,
ELPW,Long,PULLBACK,T3-LONG_WATCH,91,3.62,3.3853,4.0894,,2.0,0.2347,3.62,3.3,APPROACH,1,1,1m,3.5,3.49,OPEN_ROAD,EXCITED,33245.0,4.3,5.6,4083863.0,2.0,181.9,78.0,8.0,1.4,NANO,17.13,3.29,2.67,3.9099,46.4,PREMIUM,PREMIUM,779,8,372,11.8,A,,,,
QCOM,Long,BOUNCE,T1-STRONG_LONG,100,148.85,128.37,189.81,,2.0,20.48,148.85,2.3,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",145.41,134.05,OPEN_ROAD,EXCITED,41043566691.0,3.4,1.8,2006461.0,1.0,14.8,20.0,8.0,1064.7,MEGA,0.02,139.78,133.95,145.61,8.7,PREMIUM,MID,9878,3,1539,5.5,B,,,,
NOK,Long,BOUNCE,T1-STRONG_LONG,100,10.46,9.5739,12.2322,10.49,2.0,0.8861,10.46,1.3,CLOSE,3,3,"1h,30m,4h",10.32,9.87,HIGHWAY,EXCITED,4077177225.0,1.4,1.5,4248152.0,0.0,11.3,51.0,8.0,4443.8,MEGA,0.02,10.49,10.33,10.65,3.1,MID,DISCOUNT,537,13,325,99.9,A,,,,
SMX,Long,PULLBACK,T2-LONG,78,2.08,1.9206,2.3988,,2.0,0.1594,2.08,4.3,APPROACH,1,1,15m,1.99,1.98,OPEN_ROAD,EXCITED,568794.0,3.0,1.3,2504932.0,1.0,215.2,135.0,8.0,1.73,NANO,3.21,3.455,3.52,3.39,-3.7,DISCOUNT,DISCOUNT,1,1,1,4.8,D,,,,
INTC,Long,BOUNCE,T1-STRONG_LONG,100,82.54,59.25,129.12,,2.0,23.29,82.54,0.6,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",82.02,66.84,HIGHWAY,EXCITED,621352657339.0,2.2,1.3,4396493.0,1.0,32.2,48.0,8.0,5016.85,MEGA,0.04,74.445,66.78,82.11,23.0,PREMIUM,MID,14248,15,3368,99.9,A,,,,
ALP,Long,PULLBACK,T3-LONG_WATCH,60,0.2045,0.1539,0.3057,,2.0,0.0506,0.2168,5.7,APPROACH,1,1,1m,0.2045,0.2039,OPEN_ROAD,EXCITED,0.0,2.3,5.6,492141.0,2.0,99.1,39.0,8.0,8.54,LOW,1.31,0.1845,0.183,0.1859,1.6,PREMIUM,PREMIUM,0,2,0,30.2,D,,,,
LIDR,Long,BREAKOUT,T1-STRONG_LONG,100,2.19,1.4553,3.6594,,2.0,0.7347,2.19,0.0,INSIDE,6,6,,,,HIGHWAY,EXCITED,,,,,,,,,,MED,2.03,1.96,1.69,2.23,32.0,PREMIUM,MID,53,5,36,99.9,C,False,17.4,True,
ENVB,Long,BOUNCE,T3-LONG_WATCH,94,5.04,4.5881,5.9438,,2.0,0.4519,5.04,2.4,CLOSE,2,2,"10m,5m",4.92,4.73,OPEN_ROAD,EXCITED,11378644.0,5.1,1.9,81616.0,2.0,163.5,41.0,8.0,1.85,NANO,19.13,4.055,4.02,4.09,1.7,PREMIUM,PREMIUM,1615,11,104,2.0,C,,,,
SMCI,Long,PULLBACK,T1-STRONG_LONG,86,27.5,25.9475,33.22,,3.7,1.5525,29.08,5.4,APPROACH,6,6,"10m,15m,1d,1h,30m,5m",27.5,26.75,OPEN_ROAD,EXCITED,3110818287.0,1.3,1.2,259656.0,0.0,14.9,40.0,8.0,499.58,MEGA,0.06,27.125,26.75,27.5,2.8,PREMIUM,MID,1406,4,696,14.2,A,,,,
ATOM,Long,BOUNCE,T3-LONG_WATCH,84,8.6,8.1674,9.4652,,2.0,0.4326,8.6,1.9,CLOSE,1,1,5m,8.44,8.42,HIGHWAY,EXCITED,526122.0,13.1,4.7,660689.0,1.0,81.1,76.0,8.0,35.31,MED,0.7,6.345,6.19,6.5,5.0,PREMIUM,PREMIUM,529,18,336,3.7,C,,,,
CLSK,Long,BOUNCE,T1-STRONG_LONG,82,12.76,11.8631,14.5538,,2.0,0.8969,12.76,1.8,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",12.53,12.23,OPEN_ROAD,EXCITED,1158018954.0,1.4,1.2,164808.0,0.0,15.9,27.0,8.0,246.91,MEGA,0.09,12.38,12.23,12.53,2.5,PREMIUM,MID,903,4,248,2.7,C,,,,
TTD,Long,PULLBACK,T1-STRONG_LONG,100,23.97,21.9705,27.969,,2.0,1.9995,23.97,3.3,APPROACH,6,6,"10m,15m,1h,30m,4h,5m",23.17,22.65,OPEN_ROAD,EXCITED,500736126.0,1.2,0.9,71008.0,0.0,9.9,34.0,8.0,422.52,MEGA,0.04,23.125,22.62,23.63,4.5,PREMIUM,DISCOUNT,485,3,301,2.2,C,,,,
ARM,Long,PULLBACK,T1-STRONG_LONG,100,219.25,197.68,262.39,,2.0,21.57,234.81,6.6,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",219.25,204.87,HIGHWAY,EXCITED,38270949874.0,2.3,2.1,148558.0,2.0,44.8,49.0,8.0,136.58,HIGH,0.09,213.285,204.61,221.96,8.5,PREMIUM,MID,21737,10,7042,99.9,A,,,,
INDI,Long,BOUNCE,T1-STRONG_LONG,100,3.66,3.3319,4.3161,,2.0,0.3281,3.66,1.4,CLOSE,5,5,"10m,15m,1h,30m,5m",3.61,3.435,OPEN_ROAD,EXCITED,58296609.0,2.8,1.7,180231.0,1.0,20.1,25.0,8.0,204.14,MEGA,0.03,3.565,3.43,3.7,7.9,PREMIUM,DISCOUNT,133,5,88,2.5,C,,,,
CMPS,Long,PULLBACK,T1-STRONG_LONG,100,8.63,5.84,14.21,9.43,2.0,2.79,9.58,9.9,WAITING,2,2,"1d,4h",8.63,6.77,HIGHWAY,EXCITED,8603198040.0,2.1,1.5,64587.0,2.0,25.9,23.0,8.0,103.35,HIGH,0.08,9.43,9.15,9.71,6.1,PREMIUM,DISCOUNT,1408,10,67,99.9,A,,,,
SST,Long,BREAKOUT,T2-LONG,89,3.9,3.7151,4.2698,4.265,2.0,0.1849,3.9,0.0,INSIDE,1,1,,,,OPEN_ROAD,EXCITED,,,,,,,,,,NANO,1.12,4.265,3.83,4.7,22.7,DISCOUNT,DISCOUNT,293,12,268,7.2,B,False,0.6,True,
WOLF,Long,PULLBACK,T1-STRONG_LONG,100,29.1,26.7138,33.8724,,2.0,2.3862,31.23,6.8,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",29.1,27.54,HIGHWAY,EXCITED,1968724333.0,3.0,2.4,86838.0,3.0,32.9,42.0,8.0,28.23,MED,0.24,28.325,27.55,29.1,5.6,PREMIUM,MID,2541,10,1894,99.9,A,,,,
