ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,news
SEGG,Long,PULLBACK,T2-LONG,100,0.8607,0.8018,0.9785,,2.0,0.0589,0.9335,7.8,WAITING,5,5,"10m,15m,1h,30m,5m",0.8607,0.8518,HIGHWAY,EXCITED,17778468,6.2,2.7,4054560,1,89.1,54,8,4.29,NANO,2.97,0.6565,0.655,0.658,0.5,FLAT,FLAT,29,8,12,4.5,D,
SAFX,Long,BOUNCE,T3-LONG_WATCH,34,0.362,0.2921,0.5018,,2.0,0.0699,0.362,3.0,CLOSE,1,1,4h,0.3513,0.3421,OPEN_ROAD,EXCITED,1850298,0.2,0.3,44033743,0,22.6,42,8,118.64,HIGH,0.03,0.3458,0.3402,0.3513,3.3,PREMIUM,MID,11,7,7,4.1,D,
NOK,Long,BOUNCE,T1-STRONG_LONG,100,10.76,9.9813,12.3174,,2.0,0.7787,10.76,2.4,CLOSE,2,2,"1d,4h",10.5,10.29,HIGHWAY,EXCITED,1492611678,1.6,1.6,4235066,0,15.4,59,8,4443.8,MEGA,0.03,10.595,10.46,10.73,2.6,PREMIUM,DISCOUNT,951,13,333,99.9,A,
NVDA,Long,PULLBACK,T3-LONG_WATCH,73,216.61,202.0219,245.7862,,2.0,14.5881,216.61,3.2,APPROACH,2,2,"1d,4h",209.7,208.27,HIGHWAY,EXCITED,24885682745,1.3,1.2,6158297,0,9.9,30,8,23321.68,MEGA,0.01,208.985,208.27,209.7,0.7,PREMIUM,MID,5772,12,3123,99.9,A,
PLUG,Long,PULLBACK,T1-STRONG_LONG,70,3.08,2.8828,3.4743,,2.0,0.1972,3.08,3.2,APPROACH,4,4,"10m,15m,1h,30m",2.98,2.972,OPEN_ROAD,EXCITED,10482494,0.8,1.0,1809828,0,14.8,29,8,1330.52,MEGA,0.04,3.145,3.14,3.15,0.3,FLAT,FLAT,139,11,71,3.9,C,
INTC,Long,PULLBACK,T1-STRONG_LONG,100,80.64,59.94,122.04,83.12,2.0,20.7,84.99,5.1,APPROACH,4,4,"1d,1h,30m,4h",80.64,66.84,HIGHWAY,EXCITED,506929481791,1.4,1.5,3819176,1,34.0,56,8,5016.85,MEGA,0.03,83.12,82.54,83.7,1.4,PREMIUM,DISCOUNT,14546,16,3484,99.9,A,
KEEL,Long,PULLBACK,T2-LONG,65,2.9,2.7936,3.47,3.305,5.4,0.1064,3.14,7.6,WAITING,1,1,4h,2.9,2.88,HIGHWAY,EXCITED,24744722,0.7,1.3,1095645,0,26.8,55,8,576.58,MEGA,0.04,3.305,3.29,3.32,0.9,DISCOUNT,DISCOUNT,186,12,113,10.5,B,
AMD,Long,BOUNCE,T1-STRONG_LONG,99,334.63,290.94,422.01,,2.0,43.69,334.63,0.0,CLOSE,4,4,"1d,1h,30m,4h",334.59,305.49,OPEN_ROAD,EXCITED,284951256660,1.2,1.4,1301256,0,27.6,59,8,1621.49,MEGA,0.02,347.205,347.81,346.6,-0.3,FLAT,FLAT,41353,17,7228,3.6,C,
ASBP,Long,BOUNCE,T2-LONG,100,0.245,0.1536,0.4278,,2.0,0.0914,0.245,2.0,CLOSE,7,6,"10m,15m,1h,1m,30m,5m",0.24,0.2036,OPEN_ROAD,EXCITED,1007478740,13.1,4.6,3956221,2,88.7,59,8,4.36,NANO,38.56,0.2265,0.205,0.248,21.0,PREMIUM,MID,24,5,0,4.1,D,
YAAS,Long,BOUNCE,T3-LONG_WATCH,96,2.32,2.1825,2.77,,3.3,0.1375,2.32,2.8,CLOSE,1,1,1m,2.255,2.25,HIGHWAY,EXCITED,0,19.9,6.6,1163633,1,181.9,36,8,3.32,NANO,37.12,1.1847,0.9294,1.44,54.9,PREMIUM,PREMIUM,326,9,255,19.4,A,
BRBR,Long,BOUNCE,T1-STRONG_LONG,100,16.85,15.714,19.122,,2.0,1.136,16.85,0.4,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",16.79,16.2,OPEN_ROAD,EXCITED,197911481,1.5,0.9,0,0,8.1,29,8,108.37,HIGH,0.02,16.495,16.2,16.79,3.6,PREMIUM,MID,408,2,176,7.9,C,
