ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,stop_adjusted,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,path,gap_quality,vol_ratio,vol_hot,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,tfs,cluster_top,cluster_bot,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
SDOT,Long,BREAKOUT,T3-LONG_WATCH,94,0.5654,0.1298,1.4366,,2.0,0.4356,False,0.495,0.0,INSIDE,2,2,OPEN_ROAD,EXCITED,18.4,True,NANO,420.52,0.4131,0.2589,0.5672,119.1,PREMIUM,MID,11,2,11,29.3,D,,,,,,,,,,,,,False,0.22188500000000003,1.96,N/A,
DGXX,Long,PULLBACK,T1-STRONG_LONG,100,5.11,3.525,8.28,,2.0,1.585,,5.11,4.9,APPROACH,7,7,HIGHWAY,EXCITED,,,HIGH,1.85,4.645,3.95,5.34,35.2,PREMIUM,DISCOUNT,897,19,287,99.9,A,"10m,15m,1d,1h,30m,4h,5m",4.86,3.97,10631160875.0,14.3,5.1,1649207.0,1.0,93.5,62.0,8.0,62.53,True,0.4432,3.58,N/A,
MASK,Long,PULLBACK,T2-LONG,100,1.94,1.2197,3.3806,,2.0,0.7203,,2.09,7.2,WAITING,6,3,HIGHWAY,EXCITED,,,NANO,109.42,1.735,1.45,2.02,39.3,PREMIUM,MID,208,8,52,7.7,B,"10m,15m,5m",1.94,1.4598,92891396.0,12.4,5.1,2475691.0,2.0,104.8,44.0,8.0,0.43,True,0.21454999999999996,3.36,N/A,
INTC,Long,PULLBACK,T1-STRONG_LONG,93,100.08,92.9669,114.3061,,2.0,7.1131,,108.15,7.5,WAITING,5,5,HIGHWAY,EXCITED,,,MEGA,0.04,98.1425,95.78,100.505,4.9,PREMIUM,MID,9774,22,6528,99.9,A,"10m,15m,1d,30m,5m",100.08,95.8422,47216861071.0,1.4,1.1,8223154.0,0.0,28.7,60.0,8.0,5016.85,False,6.361642857142856,1.12,N/A,
NOK,Long,BOUNCE,T1-STRONG_LONG,100,13.42,12.5227,15.2146,,2.0,0.8973,,13.42,1.4,CLOSE,4,3,HIGHWAY,EXCITED,,,MEGA,0.02,13.385,13.14,13.63,3.7,MID,DISCOUNT,977,19,466,99.9,A,"1d,1h,4h",13.23,12.91,2743172920.0,0.9,1.1,4736785.0,0.0,20.7,63.0,8.0,4443.63,True,0.69305,1.29,N/A,
BZAI,Long,BOUNCE,T3-LONG_WATCH,89,2.31,1.9725,2.985,,2.0,0.3375,,2.31,0.6,CLOSE,2,2,OPEN_ROAD,EXCITED,,,HIGH,0.15,2.33,2.33,2.33,0.0,FLAT,FLAT,182,11,52,7.4,B,"1d,1m",2.295,2.08,922740275.0,0.9,1.5,3715218.0,1.0,62.1,44.0,8.0,80.09,True,0.3267142857142858,1.03,N/A,
BMNR,Long,PULLBACK,T2-LONG,96,20.9784,20.0393,22.9299,,2.1,0.9391,,23.1,9.2,WAITING,2,2,OPEN_ROAD,EXCITED,,,MEGA,0.07,22.995,22.79,23.2,1.8,PREMIUM,DISCOUNT,1317,5,928,4.2,B,"1h,4h",20.9784,20.6591,335630410.0,0.9,0.9,1334497.0,0.0,15.6,32.0,8.0,529.62,False,1.169285714285715,0.8,N/A,
FMCC,Long,PULLBACK,T3-LONG_WATCH,69,7.1,6.3923,8.5154,,2.0,0.7077,,7.1,4.2,APPROACH,2,2,OPEN_ROAD,EXCITED,,,HIGH,0.02,7.72,7.73,7.71,-0.3,FLAT,FLAT,293,4,245,8.0,A,"1d,4h",6.8,6.59,35802717.0,1.0,1.2,0.0,0.0,24.3,21.0,8.0,131.18,True,0.5335357142857144,1.33,N/A,
WT,Long,PULLBACK,T1-STRONG_LONG,100,16.98,16.1214,18.6972,17.435,2.0,0.8586,,18.24,6.9,APPROACH,2,2,HIGHWAY,EXCITED,,,HIGH,0.03,17.435,17.28,17.59,1.8,PREMIUM,DISCOUNT,1019,11,359,99.9,A,"1h,4h",16.98,16.62,19025734.0,1.1,1.1,0.0,0.0,14.4,34.0,8.0,132.77,True,0.8946428571428573,0.96,N/A,
TPG,Long,BOUNCE,T2-LONG,100,45.61,42.3114,52.2072,,2.0,3.2986,,45.61,0.7,CLOSE,4,3,OPEN_ROAD,EXCITED,,,HIGH,0.03,45.015,45.03,45.0,-0.1,FLAT,FLAT,844,3,624,5.9,B,"1d,1h,4h",45.275,43.62,402814005.0,1.1,1.2,0.0,0.0,12.8,25.0,8.0,114.34,False,1.9871428571428578,1.66,N/A,
