ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
MRNO,Long,PULLBACK,T2-LONG,100,0.2916,0.23,0.4148,0.3047,2.0,0.0616,0.2916,3.1,APPROACH,3,3,"10m,1m,5m",0.2826,0.28,OPEN_ROAD,EXCITED,0,10.5,3.8,58383986,2,60.6,76,8,1.35,NANO,9.5,0.3047,0.3067,0.3028,-1.3,DISCOUNT,DISCOUNT,4,8,0,7.0,D,False,0.04001442857142857,1.54,N/A,
MICC,Long,BOUNCE,T1-STRONG_LONG,88,15.02,14.3317,16.3965,,2.0,0.6883,15.02,0.1,CLOSE,6,6,"10m,15m,1h,30m,4h,5m",15.01,14.775,OPEN_ROAD,EXCITED,14211945,0.5,0.5,1235708,0,3.2,26,8,489.34,MEGA,0.0,14.855,14.76,14.95,1.3,PREMIUM,PREMIUM,882,2,563,3.4,C,True,0.48871428571428577,1.41,N/A,
FIG,Long,BOUNCE,T1-STRONG_LONG,100,20.24,18.527,23.666,,2.0,1.713,20.24,1.9,CLOSE,5,5,"15m,1d,1h,30m,4h",19.85,19.1,HIGHWAY,EXCITED,3923095203,2.7,1.3,2082318,1,14.4,32,8,218.0,MEGA,0.23,19.395,18.94,19.85,4.8,PREMIUM,MID,589,3,156,11.9,B,False,1.2146428571428571,1.41,N/A,
EDBL,Long,PULLBACK,T2-LONG,100,0.3746,0.3222,0.4794,0.4328,2.0,0.0524,0.412,9.1,WAITING,4,4,"15m,1h,30m,4h",0.3746,0.3722,OPEN_ROAD,EXCITED,0,6.7,2.9,6537587,1,65.7,80,8,0.82,NANO,57.93,0.4328,0.3749,0.4906,30.9,DISCOUNT,DISCOUNT,13,4,5,7.3,D,False,0.05260357142857144,1.0,N/A,
ALP,Long,PULLBACK,T2-LONG,100,0.313,0.2179,0.5032,0.3441,2.0,0.0951,0.33,5.2,APPROACH,3,3,"1d,1h,4h",0.313,0.2679,HIGHWAY,EXCITED,2079571671,7.4,3.4,27769808,2,107.4,22,8,8.54,LOW,38.51,0.3441,0.2679,0.4202,56.8,MID,DISCOUNT,16,7,5,99.9,D,False,0.041835714285714275,2.27,N/A,
NVDA,Long,PULLBACK,T1-STRONG_LONG,92,235.74,214.1566,278.9068,,2.0,21.5834,235.74,4.6,APPROACH,2,2,"1d,30m",224.93,220.78,HIGHWAY,EXCITED,67913727488,1.2,1.1,5119015,0,11.1,45,8,23321.68,MEGA,0.01,227.84,225.83,229.85,1.8,PREMIUM,DISCOUNT,7730,14,6383,99.9,A,False,8.064585714285716,2.68,N/A,
NOK,Long,PULLBACK,T1-STRONG_LONG,100,13.475,12.8719,14.6812,,2.0,0.6031,14.46,6.8,APPROACH,3,3,"1h,30m,4h",13.475,13.27,HIGHWAY,EXCITED,1671781348,1.1,1.1,5536891,0,23.0,55,8,4443.58,MEGA,0.03,14.928,14.71,15.146,3.0,DISCOUNT,DISCOUNT,1147,20,397,99.9,A,True,0.9559142857142856,0.63,N/A,
SRXH,Long,PULLBACK,T2-LONG,99,0.1301,0.0791,0.2321,0.158,2.0,0.051,0.138,5.7,APPROACH,3,3,"15m,1h,30m",0.1301,0.1291,HIGHWAY,EXCITED,0,4.1,2.8,2528570,2,49.2,24,8,277.47,MEGA,0.48,0.158,0.1504,0.1657,10.2,DISCOUNT,DISCOUNT,0,3,0,7.8,D,False,0.010407071428571427,4.9,N/A,
DGXX,Long,BOUNCE,T1-STRONG_LONG,100,7.22,6.596,8.468,8.415,2.0,0.624,7.22,0.8,CLOSE,1,1,1d,7.16,6.8,HIGHWAY,EXCITED,1376883811,2.4,1.8,1835424,2,55.9,59,8,62.53,HIGH,0.67,8.415,8.46,8.37,-1.1,DISCOUNT,DISCOUNT,1066,17,279,15.9,A,True,0.9764214285714282,0.64,N/A,
SLNH,Long,BOUNCE,T3-LONG_WATCH,36,2.16,2.0855,2.309,,2.0,0.0745,2.16,0.2,CLOSE,1,1,30m,2.155,2.15,OPEN_ROAD,EXCITED,0,1.1,1.1,1779616,0,68.8,37,8,78.81,HIGH,0.43,2.16,2.16,2.16,0.0,FLAT,FLAT,22,16,18,2.8,D,True,0.30337142857142857,0.25,N/A,
