ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
ALP,Long,PULLBACK,T3-LONG_WATCH,69,0.4183,0.3618,0.5314,,2.0,0.0565,0.4518,7.4,WAITING,2,1,1m,0.4183,0.4118,OPEN_ROAD,EXCITED,0.0,1.0,1.0,31995945.0,0.0,56.0,23.0,8.0,7.74,LOW,4.99,0.3675,0.3641,0.371,1.9,PREMIUM,PREMIUM,58,6,0,99.9,C,,,,False,0.06592857142857143,0.86,N/A,
APPS,Long,PULLBACK,T2-LONG,100,4.52,4.3262,4.92,4.595,2.1,0.1938,4.81,6.0,APPROACH,2,2,"1h,4h",4.52,4.46,HIGHWAY,EXCITED,8471450.0,4.4,2.2,1066467.0,2.0,25.4,24.0,8.0,108.9,HIGH,0.11,4.595,4.55,4.64,2.0,PREMIUM,DISCOUNT,181,10,108,2.3,C,,,,True,0.31176428571428577,0.62,N/A,
ATRC,Long,BOUNCE,T1-STRONG_LONG,100,28.81,27.4413,34.305,,4.0,1.3687,28.81,0.7,CLOSE,6,6,"10m,15m,1h,30m,4h,5m",28.6,28.29,HIGHWAY,EXCITED,11609386.0,1.2,1.0,0.0,0.0,4.7,13.0,8.0,48.55,MED,0.02,28.24,28.29,28.19,-0.4,FLAT,FLAT,342,2,332,19.1,C,,,,False,1.3488214285714284,1.01,N/A,
CWH,Long,BOUNCE,T1-STRONG_LONG,100,7.68,7.2265,8.587,,2.0,0.4535,7.68,0.3,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",7.66,7.45,OPEN_ROAD,EXCITED,39591045.0,1.1,0.9,0.0,0.0,22.2,26.0,8.0,48.92,MED,0.06,7.485,7.45,7.52,0.9,PREMIUM,PREMIUM,257,4,38,5.6,B,,,,True,0.5017857142857143,0.9,N/A,
ENR,Long,PULLBACK,T1-STRONG_LONG,100,18.22,16.781,21.098,18.36,2.0,1.439,18.22,4.0,APPROACH,4,4,"1d,1h,30m,4h",17.49,17.3,OPEN_ROAD,EXCITED,30721870.0,1.1,1.0,0.0,0.0,18.6,20.0,8.0,60.52,HIGH,0.02,18.36,18.18,18.54,2.0,DISCOUNT,DISCOUNT,103,2,51,4.5,C,,,,True,0.906957142857143,1.59,N/A,
GPUS,Long,BOUNCE,T2-LONG,100,0.172,0.1126,0.2908,,2.0,0.0594,0.172,2.4,CLOSE,6,6,"10m,15m,1h,30m,4h,5m",0.1678,0.1626,OPEN_ROAD,EXCITED,10415222.0,3.0,1.7,2657404.0,1.0,38.1,36.0,8.0,460.71,MEGA,0.24,0.1704,0.1635,0.1772,8.4,MID,DISCOUNT,3,7,1,38.1,D,,,,False,0.014946428571428572,3.97,N/A,
IPWR,Long,PULLBACK,T1-STRONG_LONG,100,6.4001,5.5135,8.1734,,2.0,0.8866,6.92,7.5,WAITING,4,4,"10m,15m,30m,5m",6.4001,5.809,OPEN_ROAD,EXCITED,36967655.0,3.7,2.0,2460264.0,1.0,44.5,66.0,8.0,8.12,LOW,0.34,6.115,5.73,6.5,13.4,PREMIUM,MID,630,13,515,3.8,C,,,,True,1.172985714285714,0.76,N/A,
IREN,Long,BOUNCE,T1-STRONG_LONG,100,59.78,55.678,67.984,,2.0,4.102,59.78,0.2,CLOSE,5,5,"10m,15m,1d,30m,5m",59.68,57.4,HIGHWAY,EXCITED,10465999883.0,0.8,0.8,1474635.0,0.0,33.7,42.0,8.0,327.86,MEGA,0.13,58.255,56.83,59.68,5.0,PREMIUM,MID,2880,15,1007,99.9,A,,,,False,5.679142857142858,0.72,N/A,
MRVL,Long,PULLBACK,T1-STRONG_LONG,100,194.72,181.196,221.768,203.785,2.0,13.524,208.26,6.5,APPROACH,5,4,"1d,1h,30m,4h",194.72,186.8,HIGHWAY,EXCITED,17757182843.0,1.8,1.2,1330678.0,0.0,33.5,62.0,8.0,871.44,MEGA,0.05,203.785,196.33,211.24,7.6,PREMIUM,DISCOUNT,17459,18,8339,99.9,A,,,,False,13.675142857142857,0.99,N/A,
NCPL,Long,PULLBACK,T3-LONG_WATCH,60,1.07,0.96,2.37,,11.8,0.11,1.07,4.8,APPROACH,1,1,5m,1.0191,1.01,HIGHWAY,EXCITED,352067.0,0.9,5.9,14108883.0,1.0,206.0,61.0,8.0,4.39,NANO,1.83,0.8245,0.819,0.83,1.3,PREMIUM,PREMIUM,67,13,50,121.5,C,,,,True,0.10450357142857143,1.05,N/A,
NOK,Long,PULLBACK,T1-STRONG_LONG,100,15.02,13.7934,17.4732,15.73,2.0,1.2266,16.46,8.7,WAITING,4,4,"1d,1h,30m,4h",15.02,14.22,HIGHWAY,EXCITED,9074519651.0,1.6,1.1,10876937.0,0.0,27.0,60.0,8.0,4441.96,MEGA,0.04,15.73,15.47,15.99,3.4,PREMIUM,DISCOUNT,1117,23,773,99.9,A,,,,True,1.0032142857142858,1.22,N/A,
NVDA,Long,BOUNCE,T2-LONG,90,214.86,205.9213,232.7374,215.935,2.0,8.9387,214.86,0.3,CLOSE,2,2,"1h,4h",214.31,212.29,OPEN_ROAD,EXCITED,12705327951.0,1.2,1.1,2789364.0,0.0,7.3,31.0,8.0,23222.32,MEGA,0.01,215.935,215.33,216.54,0.6,DISCOUNT,DISCOUNT,5501,11,5348,3.5,C,,,,False,8.426421428571427,1.06,N/A,
ONDS,Long,BOUNCE,T1-STRONG_LONG,100,9.77,8.827,11.656,,2.0,0.943,9.77,1.6,CLOSE,6,6,"10m,15m,1d,30m,4h,5m",9.61,9.1,OPEN_ROAD,EXCITED,4928658270.0,1.3,1.0,1220276.0,0.0,14.4,23.0,8.0,492.3,MEGA,0.17,9.1975,9.06,9.335,3.0,PREMIUM,PREMIUM,494,9,157,5.2,B,,,,True,0.9024999999999999,1.04,N/A,
OTLK,Long,BOUNCE,T2-LONG,100,0.4002,0.2601,0.6804,,2.0,0.1401,0.4002,1.8,CLOSE,3,3,"1d,1h,4h",0.393,0.3101,OPEN_ROAD,EXCITED,1304964816.0,15.5,5.6,4860912.0,1.0,135.8,37.0,8.0,105.53,HIGH,3.28,0.3875,0.3099,0.465,50.0,MID,DISCOUNT,17,11,1,5.9,D,,,,False,0.043775,3.2,N/A,
PLUG,Long,BOUNCE,T1-STRONG_LONG,99,3.84,3.5613,4.3975,,2.0,0.2787,3.84,0.7,CLOSE,3,3,"15m,1d,1h",3.815,3.6714,HIGHWAY,EXCITED,478666535.0,1.2,1.1,1204196.0,0.0,25.5,37.0,8.0,1330.96,MEGA,0.08,3.7975,3.78,3.815,0.9,PREMIUM,DISCOUNT,213,17,79,4.2,B,,,,True,0.3639285714285715,0.77,N/A,
PRMB,Long,BOUNCE,T2-LONG,84,23.97,22.3973,27.1154,,2.0,1.5727,23.97,1.5,CLOSE,4,3,"1d,1h,4h",23.6,23.09,OPEN_ROAD,EXCITED,138129185.0,1.1,0.8,0.0,0.0,9.5,20.0,8.0,242.38,MEGA,0.02,23.545,23.49,23.6,0.5,FLAT,FLAT,1155,7,809,2.4,C,,,,False,1.0600785714285714,1.48,N/A,
RDW,Long,BOUNCE,T3-LONG_WATCH,81,22.04,15.545,35.03,,2.0,6.495,22.04,2.2,CLOSE,2,2,"1h,4h",21.56,17.55,HIGHWAY,EXCITED,20633604620.0,2.6,1.6,8096694.0,1.0,79.6,38.0,8.0,195.23,HIGH,0.55,18.5675,17.49,19.645,12.3,PREMIUM,PREMIUM,2735,11,2718,99.9,A,,,,False,2.0753357142857145,3.13,N/A,
RGTI,Long,BREAKOUT,T2-LONG,95,25.29,21.48,32.91,26.215,2.0,3.81,25.065,0.0,INSIDE,2,2,,,,OPEN_ROAD,EXCITED,,,,,,,,,,MEGA,0.27,26.215,26.42,26.01,-1.6,DISCOUNT,DISCOUNT,1886,5,1603,3.8,C,False,1.9,True,False,2.4162785714285717,1.58,N/A,
SATL,Long,PULLBACK,T1-STRONG_LONG,100,9.96,9.3508,11.1784,10.84,2.0,0.6092,10.74,7.3,WAITING,4,4,"1d,1h,30m,4h",9.96,9.64,HIGHWAY,EXCITED,284135965.0,1.6,1.2,1022389.0,0.0,37.0,51.0,8.0,109.45,HIGH,0.14,10.84,10.61,11.07,4.3,DISCOUNT,DISCOUNT,868,23,409,99.9,A,,,,True,1.0845214285714284,0.56,N/A,
SPCE,Long,BOUNCE,T3-LONG_WATCH,100,3.51,3.1475,4.235,,2.0,0.3625,3.51,0.7,CLOSE,2,2,"1h,4h",3.485,3.26,HIGHWAY,EXCITED,611789887.0,3.3,2.5,1493232.0,2.0,61.4,35.0,8.0,100.48,HIGH,0.39,3.29,3.24,3.34,3.1,PREMIUM,PREMIUM,175,8,102,14.5,B,,,,True,0.34697142857142854,1.04,N/A,
SRRK,Long,PULLBACK,T3-LONG_WATCH,84,51.51,46.6861,61.1578,,2.0,4.8239,51.51,3.7,APPROACH,2,2,"1h,4h",49.61,48.13,HIGHWAY,EXCITED,159074891.0,2.0,1.2,0.0,1.0,13.4,13.0,8.0,91.86,HIGH,0.03,48.13,48.13,48.13,0.0,FLAT,FLAT,2258,8,718,99.9,A,,,,False,2.542678571428572,1.9,N/A,
TE,Long,PULLBACK,T3-LONG_WATCH,99,9.62,7.88,13.1,,2.0,1.74,10.45,7.9,WAITING,2,2,"1h,4h",9.62,8.46,HIGHWAY,EXCITED,4063849096.0,2.1,2.1,3979513.0,3.0,77.6,35.0,8.0,172.48,HIGH,0.42,8.3,8.08,8.52,5.4,PREMIUM,PREMIUM,1272,11,532,99.9,A,,,,True,1.0702142857142858,1.63,N/A,
