ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news,_sector,_industry,_sector_label,_industry_label,_sector_strength,_industry_strength,_sector_ret_5d,_sector_pct,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_pr_sec,_score,regime,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_L1_notional,_L2_notional,_L3_notional,_cutoff,_stop_px,_t1_px,entry_mode,_L4_px,_L4_shares,_L4_rr,_cohort,_entry_policy
ARXS,Long,PULLBACK,T1-STRONG_LONG,100,40.87,39.2365,47.7,,4.2,1.6335,43.61,6.3,APPROACH,3,3,"1h,30m,4h",40.87,40.45,HIGHWAY,EXCITED,1.61,7574476.0,4.5,1.8,0.0,1.0,11.9,12.0,8.0,66.81,HIGH,0.08,40.43,40.45,40.41,-0.1,FLAT,FLAT,356,4,333,9.4,A,,,,False,2.554449999999999,0.64,N/A,,INDUSTRIAL,,STRONG,,0.84,,3.29,0.84,1.0,0.762,0.619,0.786,0.84,1.4877,FAVORABLE,40.45,40.87,41.2787,82,61,48,5.97,4.18,3.14,3316.9,2493.07,1981.38,10:30,39.2365,47.7,PULLBACK_LIMIT,,,,MID,LIMIT
SBH,Long,PULLBACK,T1-STRONG_LONG,100,13.13,12.6585,14.4,,2.7,0.4715,13.83,5.1,APPROACH,4,4,"10m,15m,30m,5m",13.13,13.05,HIGHWAY,EXCITED,4.61,5072825.0,2.8,1.5,0.0,1.0,9.4,33.0,8.0,93.9,HIGH,0.04,13.13,13.05,13.21,1.2,PREMIUM,DISCOUNT,452,4,339,4.1,B,,,,True,0.592142857142857,0.8,N/A,,CONS_DISC,,NEUTRAL,,0.56,,0.74,0.56,0.952,0.667,0.619,0.452,0.56,1.3942,FAVORABLE,13.05,13.13,13.2613,255,212,165,3.45,2.69,1.89,3327.75,2783.56,2188.11,10:30,12.6585,14.4,PULLBACK_LIMIT,,,,MID,LIMIT
MTN,Long,PULLBACK,T1-STRONG_LONG,100,134.24,126.0321,152.99,,2.3,8.2079,144.78,7.3,WAITING,7,6,"10m,15m,1h,30m,4h,5m",134.24,129.93,HIGHWAY,EXCITED,1.29,89945517.0,2.8,1.5,0.0,1.0,14.1,24.0,8.0,32.99,MED,0.08,130.56,129.93,131.19,1.0,PREMIUM,PREMIUM,2208,4,1345,5.7,B,,,,False,6.103978571428571,1.34,N/A,,CONS_DISC,,NEUTRAL,,0.56,,0.74,0.56,0.905,0.881,0.619,0.786,0.56,1.3442,FAVORABLE,129.93,134.24,135.5824,25,12,10,5.92,2.28,1.82,3248.25,1610.88,1355.82,10:30,126.0321,152.99,PULLBACK_LIMIT,,,,MID,LIMIT
ATRC,Long,PULLBACK,T2-LONG,100,28.8,26.3064,34.305,,2.2,2.4936,28.8,3.6,APPROACH,9,6,"10m,15m,1h,30m,4h,5m",27.755,27.12,HIGHWAY,EXCITED,1.75,22363401.0,2.1,1.3,0.0,1.0,8.7,21.0,8.0,48.55,MED,0.04,27.29,27.12,27.46,1.3,PREMIUM,PREMIUM,748,1,178,19.1,D,,,,False,1.3045357142857141,1.91,N/A,,TECH,,NEUTRAL,,0.72,,4.49,0.72,0.857,0.619,0.619,0.452,0.72,1.3327,FAVORABLE,27.12,28.8,29.088,122,40,35,8.83,2.21,1.88,3308.64,1152.0,1018.08,10:30,26.3064,34.305,PULLBACK_LIMIT,,,,MID,LIMIT
HNI,Long,PULLBACK,T1-STRONG_LONG,92,33.0,31.4377,36.1246,,2.0,1.5623,34.86,5.3,APPROACH,6,6,"10m,15m,1h,30m,4h,5m",33.0,32.41,OPEN_ROAD,EXCITED,2.37,18901974.0,2.0,1.5,0.0,1.0,10.1,41.0,8.0,70.8,HIGH,0.02,32.525,32.41,32.64,0.7,PREMIUM,PREMIUM,721,4,320,3.0,C,,,,False,1.4930785714285715,1.05,N/A,,CONS_DISC,,NEUTRAL,,0.56,,0.74,0.56,0.405,0.714,0.19,0.024,0.56,1.0751,FAVORABLE,32.41,33.0,33.33,102,64,52,3.82,2.0,1.48,3305.82,2112.0,1733.16,10:30,31.4377,36.1246,PULLBACK_LIMIT,,,,MID,LIMIT
LIND,Long,PULLBACK,T1-STRONG_LONG,100,23.97,22.7465,26.417,24.305,2.0,1.2235,25.75,6.9,APPROACH,1,1,1d,23.97,23.45,HIGHWAY,EXCITED,0.78,29683583.0,1.8,1.1,0.0,0.0,15.0,53.0,8.0,49.57,MED,0.03,24.305,23.96,24.65,2.9,PREMIUM,DISCOUNT,2241,13,815,99.9,A,,,,False,1.1930357142857146,1.03,N/A,,INDUSTRIAL,,STRONG,,0.84,,3.29,0.84,0.405,0.81,0.619,0.19,0.84,1.0258,FAVORABLE,23.45,23.97,24.2097,142,81,68,4.22,2.0,1.51,3329.9,1941.57,1646.26,10:30,22.7465,26.417,PULLBACK_LIMIT,,,,MID,LIMIT
KEEL,Long,PULLBACK,T1-STRONG_LONG,78,5.83,5.5481,6.3938,6.125,2.0,0.2819,6.29,7.3,WAITING,1,1,4h,5.83,5.7197,HIGHWAY,EXCITED,1.13,199227564.0,1.5,1.3,2967430.0,0.0,16.5,30.0,8.0,577.56,MEGA,0.15,6.125,5.97,6.28,5.2,PREMIUM,DISCOUNT,303,12,131,99.9,A,,,,True,0.6426428571428573,0.44,N/A,,FINANCIAL,,NEUTRAL,,0.64,,1.81,0.64,0.405,0.881,0.095,0.905,0.64,1.0015,FAVORABLE,5.7197,5.83,5.8883,582,354,293,3.93,2.0,1.49,3328.87,2063.82,1725.27,10:30,5.5481,6.3938,PULLBACK_LIMIT,,,,MID,LIMIT
MKTX,Long,BOUNCE,T2-LONG,52,120.33,113.2766,134.4368,120.64,2.0,7.0534,120.33,2.5,CLOSE,1,1,1d,117.31,116.78,OPEN_ROAD,EXCITED,1.1,42801598.0,1.5,1.4,0.0,0.0,6.7,53.0,8.0,30.76,MED,0.04,120.64,119.9,121.38,1.2,DISCOUNT,DISCOUNT,895,1,657,2.1,D,,,,False,4.518571428571426,1.56,N/A,,FINANCIAL,,NEUTRAL,,0.64,,1.81,0.64,0.405,0.452,0.0,0.452,0.64,0.992,FAVORABLE,116.78,120.33,121.5333,28,14,12,5.04,2.0,1.56,3269.84,1684.62,1458.4,10:30,113.2766,134.4368,PULLBACK_LIMIT,,,,MID,LIMIT
SMCI,Long,PULLBACK,T1-STRONG_LONG,100,28.28,27.1115,30.617,,2.0,1.1685,30.66,7.8,WAITING,3,3,"10m,15m,5m",28.28,27.95,HIGHWAY,EXCITED,2.07,302005355.0,1.0,0.8,1669399.0,0.0,15.7,37.0,8.0,509.37,MEGA,0.13,28.11,27.78,28.44,2.4,PREMIUM,MID,630,5,585,17.5,A,,,,False,4.000707142857142,0.29,N/A,,TECH,SEMIS,NEUTRAL,HOT,0.72,0.96,4.49,0.96,0.405,0.952,0.619,0.857,0.96,0.9713,FAVORABLE,27.95,28.28,28.5628,119,85,68,3.18,2.0,1.42,3326.05,2403.8,1942.27,10:30,27.1115,30.617,PULLBACK_LIMIT,,,,MID,LIMIT
MRVL,Long,PULLBACK,T1-STRONG_LONG,100,283.42,273.1714,303.9172,297.5025,2.0,10.2486,310.58,8.7,WAITING,3,3,"1h,30m,4h",283.42,281.62,HIGHWAY,EXCITED,1.32,2547943363.0,3.5,1.7,1185057.0,1.0,23.4,62.0,8.0,872.34,MEGA,0.29,297.5025,289.54,305.465,5.5,PREMIUM,DISCOUNT,52355,22,14774,99.9,A,,,,False,38.997849999999985,0.26,N/A,,TECH,SEMIS,NEUTRAL,HOT,0.72,0.96,4.49,0.96,0.405,1.0,0.619,0.952,0.96,0.9666,FAVORABLE,281.62,283.42,286.2542,11,9,7,2.64,2.0,1.35,3097.82,2550.78,2003.78,10:30,273.1714,303.9172,PULLBACK_LIMIT,,,,MID,LIMIT
PACS,Long,BOUNCE,T1-STRONG_LONG,80,36.59,34.1828,41.4044,,2.0,2.4072,36.59,2.5,CLOSE,8,6,"10m,15m,1h,30m,4h,5m",35.665,35.24,OPEN_ROAD,WAITING,0.91,5007557.0,1.3,0.9,0.0,0.0,10.5,25.0,8.0,47.3,MED,0.02,35.35,35.24,35.46,0.6,PREMIUM,PREMIUM,1190,7,1031,5.2,B,,,,False,1.7382071428571422,1.38,N/A,,HEALTHCARE,,NEUTRAL,,0.32,,-3.04,0.32,0.405,0.452,0.143,0.024,0.32,0.9389,FAVORABLE,35.24,36.59,36.9559,94,41,36,5.83,2.0,1.6,3312.56,1500.19,1330.41,10:30,34.1828,41.4044,PULLBACK_LIMIT,,,,MID,LIMIT
MRX,Long,PULLBACK,T1-STRONG_LONG,100,64.85,59.7423,75.0654,,2.0,5.1077,64.85,3.3,APPROACH,8,7,"10m,15m,1d,1h,30m,4h,5m",62.695,61.59,HIGHWAY,EXCITED,3.37,102074571.0,1.6,1.0,0.0,0.0,8.2,45.0,8.0,50.83,HIGH,0.03,61.795,61.59,62.0,0.7,PREMIUM,PREMIUM,2539,12,1559,99.9,A,,,,False,2.992835714285714,1.71,N/A,,FINANCIAL,,NEUTRAL,,0.64,,1.81,0.64,0.405,0.571,0.619,0.19,0.64,0.8944,FAVORABLE,61.59,64.85,65.4985,54,19,17,7.29,2.0,1.66,3325.86,1232.15,1113.47,10:30,59.7423,75.0654,PULLBACK_LIMIT,,,,MID,LIMIT
INTC,Long,BOUNCE,T1-STRONG_LONG,100,133.99,117.085,167.8,,2.0,16.905,133.99,2.4,CLOSE,5,5,"10m,15m,1d,30m,5m",130.78,121.65,HIGHWAY,EXCITED,7.95,160752112413.0,1.8,1.2,3128629.0,0.0,17.5,64.0,8.0,5016.55,MEGA,0.05,126.4525,121.1,131.805,8.8,PREMIUM,MID,20271,26,5994,99.9,A,,,,False,10.386278571428575,1.63,N/A,,TECH,SEMIS,NEUTRAL,HOT,0.72,0.96,4.49,0.96,0.405,0.381,0.619,0.619,0.96,0.8475,FAVORABLE,121.65,133.99,135.3299,21,5,5,10.11,2.0,1.78,2554.65,669.95,676.65,10:30,117.085,167.8,PULLBACK_LIMIT,,,,MID,LIMIT
GNRC,Long,BOUNCE,T1-STRONG_LONG,100,279.15,256.7687,323.9126,,2.0,22.3813,279.15,1.9,CLOSE,8,7,"10m,15m,1d,1h,30m,4h,5m",273.71,264.71,HIGHWAY,EXCITED,2.87,1108478189.0,1.7,1.1,0.0,0.0,13.0,50.0,8.0,57.79,HIGH,0.03,270.955,268.2,273.71,2.1,PREMIUM,DISCOUNT,24355,11,8573,99.9,A,,,,False,16.051392857142854,1.39,N/A,,TECH,,NEUTRAL,,0.72,,4.49,0.72,0.405,0.333,0.619,0.19,0.72,0.847,FAVORABLE,264.71,279.15,281.9415,12,4,3,7.46,2.0,1.67,3176.52,1116.6,845.82,10:30,256.7687,323.9126,PULLBACK_LIMIT,,,,MID,LIMIT
OLED,Long,BOUNCE,T2-LONG,100,88.94,81.9844,102.8512,,2.0,6.9556,88.94,1.8,CLOSE,8,6,"10m,15m,1h,30m,4h,5m",87.33,84.52,OPEN_ROAD,EXCITED,0.9,59102902.0,2.6,1.6,0.0,1.0,11.5,25.0,8.0,42.9,MED,0.04,85.345,84.52,86.17,2.0,PREMIUM,PREMIUM,1317,1,862,2.5,D,,,,False,3.8882071428571416,1.79,N/A,,TECH,,NEUTRAL,,0.72,,4.49,0.72,0.405,0.286,0.619,0.452,0.72,0.7803,FAVORABLE,84.52,88.94,89.8294,39,14,12,7.23,2.0,1.66,3296.28,1245.16,1077.95,10:30,81.9844,102.8512,PULLBACK_LIMIT,,,,MID,LIMIT
NHP,Long,BOUNCE,T1-STRONG_LONG,100,14.37,13.0853,16.9394,,2.0,1.2847,14.37,2.9,CLOSE,6,5,"10m,1d,1m,4h,5m",13.95,13.49,HIGHWAY,EXCITED,2.1,212191707.0,6.5,3.0,0.0,1.0,13.3,26.0,8.0,72.52,HIGH,0.07,13.71,13.49,13.93,3.3,PREMIUM,MID,214,4,125,2.4,C,,,,True,0.9446428571428571,1.36,N/A,,FINANCIAL,,NEUTRAL,,0.64,,1.81,0.64,0.405,0.524,0.619,0.714,0.64,0.7753,FAVORABLE,13.49,14.37,14.5137,247,77,70,8.52,2.0,1.7,3332.03,1106.49,1015.96,10:30,13.0853,16.9394,PULLBACK_LIMIT,,,,MID,LIMIT
FLR,Long,BOUNCE,T1-STRONG_LONG,100,53.66,49.1305,62.719,,2.0,4.5295,53.66,1.7,CLOSE,9,5,"15m,1d,1h,30m,4h",52.73,50.65,HIGHWAY,EXCITED,1.38,790246000.0,2.8,1.5,0.0,1.0,7.8,23.0,8.0,137.48,HIGH,0.06,52.325,51.92,52.73,1.6,PREMIUM,DISCOUNT,865,3,313,99.9,B,,,,False,2.560357142857143,1.77,N/A,,INDUSTRIAL,,STRONG,,0.84,,3.29,0.84,0.405,0.238,0.619,0.667,0.84,0.7591,FAVORABLE,50.65,53.66,54.1966,65,22,19,7.94,2.0,1.68,3292.25,1180.52,1029.74,10:30,49.1305,62.719,PULLBACK_LIMIT,,,,MID,LIMIT
