ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news,_sector_pct,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_pr_sec,_score,regime,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_L1_notional,_L2_notional,_L3_notional,_cutoff,_stop_px,_t1_px,entry_mode,_L4_px,_L4_shares,_L4_rr
PLUG,Long,BOUNCE,T1-STRONG_LONG,100,2.79,2.585,3.38,2.83,2.9,0.205,2.79,2.0,CLOSE,3,3,"1d,1h,4h",2.735,2.665,HIGHWAY,EXCITED,1.52,374919145.0,0.5,0.9,1982213.0,0.0,12.7,37.0,8.0,1330.73,MEGA,0.03,2.83,2.85,2.81,-1.4,DISCOUNT,DISCOUNT,77,10,42,21.1,C,,,,True,0.25821428571428573,0.79,N/A,,0.5,1.0,0.591,0.591,0.455,0.5,1.4091,HOSTILE,2.665,2.79,2.8179,1249,487,429,8.94,2.88,2.41,3328.59,1358.73,1208.88,10:30,2.585,3.38,PULLBACK_LIMIT,,,
BCAX,Long,PULLBACK,T1-STRONG_LONG,100,22.52,21.2915,24.977,23.375,2.0,1.2285,24.55,8.3,WAITING,2,2,"1d,4h",22.52,21.95,HIGHWAY,EXCITED,1.31,26363204.0,1.4,1.9,0.0,1.0,18.4,45.0,8.0,36.65,MED,0.02,23.375,23.23,23.52,1.2,PREMIUM,DISCOUNT,880,5,327,99.9,A,,,,False,1.095285714285715,1.12,N/A,,0.5,0.455,0.909,0.591,0.091,0.5,1.0318,HOSTILE,21.95,22.52,22.7452,151,81,68,4.6,2.0,1.54,3314.45,1824.12,1546.67,10:30,21.2915,24.977,PULLBACK_LIMIT,,,
RYTM,Long,PULLBACK,T1-STRONG_LONG,100,93.145,87.0284,105.3782,97.295,2.0,6.1166,101.39,8.1,WAITING,1,1,4h,93.145,89.72,HIGHWAY,EXCITED,2.06,151757852.0,1.7,2.0,0.0,3.0,15.4,35.0,8.0,55.7,HIGH,0.02,97.295,96.79,97.8,1.0,PREMIUM,DISCOUNT,4638,8,567,99.9,A,,,,False,4.694914285714285,1.3,N/A,,0.5,0.455,0.818,0.591,0.091,0.5,1.0045,HOSTILE,89.72,93.145,94.0764,37,16,14,5.82,2.0,1.6,3319.64,1490.32,1317.07,10:30,87.0284,105.3782,PULLBACK_LIMIT,,,
INTC,Long,PULLBACK,T1-STRONG_LONG,100,129.12,118.6588,150.0423,136.555,2.0,10.4612,140.94,8.4,WAITING,2,2,"1d,30m",129.12,122.3287,HIGHWAY,EXCITED,4.21,92757294667.0,1.0,1.2,2762496.0,0.0,21.9,69.0,8.0,5016.55,MEGA,0.03,136.555,133.99,139.12,3.8,PREMIUM,DISCOUNT,21046,27,4800,99.9,A,,,,False,10.322707142857142,1.01,N/A,,0.5,0.455,1.0,0.591,0.455,0.5,0.9864,HOSTILE,122.3287,129.12,130.4112,27,9,8,7.55,2.0,1.67,3302.87,1162.08,1043.29,10:30,118.6588,150.0423,PULLBACK_LIMIT,,,
ARXS,Long,BOUNCE,T1-STRONG_LONG,100,46.06,42.2532,53.6736,,2.0,3.8068,46.06,2.0,CLOSE,8,5,"10m,15m,1d,1m,5m",45.12,43.56,OPEN_ROAD,EXCITED,1.85,192572999.0,1.2,2.0,0.0,1.0,16.5,20.0,8.0,66.81,HIGH,0.02,43.795,43.61,43.98,0.8,PREMIUM,PREMIUM,472,5,399,3.6,C,,,,False,2.563735714285713,1.48,N/A,,0.5,0.455,0.591,0.591,0.091,0.5,0.9364,HOSTILE,43.56,46.06,46.5206,76,26,23,7.74,2.0,1.68,3310.56,1197.56,1069.97,10:30,42.2532,53.6736,PULLBACK_LIMIT,,,
SRXH,Long,BOUNCE,T2-LONG,60,0.1116,0.0595,0.2158,0.1271,2.0,0.0521,0.1116,1.5,CLOSE,1,1,15m,0.1099,0.1095,OPEN_ROAD,EXCITED,0.54,0.0,1.6,2.8,3982210.0,3.0,131.1,22.0,8.0,858.6,MEGA,0.16,0.1271,0.1245,0.1297,4.2,DISCOUNT,DISCOUNT,0,1,0,3.0,D,,,,False,0.027475000000000003,1.9,N/A,,0.5,0.455,0.273,0.0,0.818,0.5,0.8727,HOSTILE,0.1095,0.1116,0.1316,2000,1919,1386,2.13,2.0,1.17,219.0,214.16,182.4,10:30,0.0595,0.2158,PULLBACK_LIMIT,,,
BJRI,Long,BOUNCE,T2-LONG,100,54.72,50.2266,63.7068,,2.0,4.4934,54.72,2.2,CLOSE,3,3,"1d,30m,4h",53.5,51.78,HIGHWAY,EXCITED,1.88,115579257.0,2.6,1.9,0.0,2.0,10.8,49.0,8.0,18.23,MED,0.07,54.55,54.55,54.55,0.0,FLAT,FLAT,2095,7,1682,2.4,C,,,,False,2.3325571428571417,1.93,N/A,,0.5,0.455,0.727,0.591,0.727,0.5,0.85,HOSTILE,51.78,54.72,55.2672,64,22,19,7.68,2.0,1.67,3313.92,1203.84,1050.08,10:30,50.2266,63.7068,PULLBACK_LIMIT,,,
CECO,Long,BOUNCE,T1-STRONG_LONG,100,99.67,93.5371,111.9358,,2.0,6.1329,99.67,1.8,CLOSE,3,3,"1h,1m,4h",97.84,96.43,HIGHWAY,EXCITED,1.21,24744959.0,0.9,0.7,0.0,0.0,10.1,43.0,8.0,32.14,MED,0.03,98.14,98.4,97.88,-0.5,PREMIUM,DISCOUNT,5313,15,3455,99.9,A,,,,False,5.708699999999998,1.07,N/A,,0.5,0.455,0.455,0.591,0.455,0.5,0.8227,HOSTILE,96.43,99.67,100.6667,34,16,14,5.36,2.0,1.58,3278.62,1594.72,1409.33,10:30,93.5371,111.9358,PULLBACK_LIMIT,,,
KYTX,Long,BOUNCE,T1-STRONG_LONG,100,8.3,7.6533,9.5934,,2.0,0.6467,8.3,1.7,CLOSE,9,7,"10m,15m,1d,1h,30m,4h,5m",8.16,7.89,OPEN_ROAD,EXCITED,3.83,10162102.0,1.2,1.4,0.0,0.0,10.1,33.0,8.0,35.44,MED,0.03,8.185,8.07,8.3,2.9,PREMIUM,DISCOUNT,129,9,101,2.8,C,,,,True,0.4492857142857143,1.44,N/A,,0.5,0.455,0.364,0.591,0.455,0.5,0.7955,HOSTILE,7.89,8.3,8.383,422,154,137,7.2,2.0,1.66,3329.58,1278.2,1148.47,10:30,7.6533,9.5934,PULLBACK_LIMIT,,,
CELC,Long,BOUNCE,T1-STRONG_LONG,100,89.93,85.1272,99.5356,,2.0,4.8028,89.93,0.8,CLOSE,5,5,"1d,1h,1m,30m,4h",89.22,87.76,OPEN_ROAD,EXCITED,1.0,116631811.0,0.5,0.8,0.0,0.0,10.6,38.0,8.0,26.81,MED,0.03,88.16,87.76,88.56,0.9,PREMIUM,PREMIUM,4260,11,346,4.5,B,,,,False,7.946364285714283,0.6,N/A,,0.5,0.455,0.182,0.591,0.455,0.5,0.7409,HOSTILE,87.76,89.93,90.8293,37,20,17,4.47,2.0,1.53,3247.12,1798.6,1544.1,10:30,85.1272,99.5356,PULLBACK_LIMIT,,,
