ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news,_sector_pct,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_pr_sec,_score,regime,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_L1_notional,_L2_notional,_L3_notional,_cutoff,_stop_px,_t1_px,entry_mode,_L4_px,_L4_shares,_L4_rr,_cohort,_entry_policy
ACVA,Long,PULLBACK,T2-LONG,70,6.4,5.9558,7.53,,2.5,0.4442,6.4,3.5,APPROACH,1,1,4h,6.174,6.14,HIGHWAY,EXCITED,0.7,1317760.0,0.9,1.0,0.0,0.0,9.9,25.0,8.0,159.06,HIGH,0.02,6.4,6.37,6.43,0.9,MID,DISCOUNT,126,5,41,17.7,B,,,,True,0.3585714285714286,1.24,N/A,,0.5,0.944,0.639,0.167,0.417,0.5,1.5028,HOSTILE,6.14,6.4,6.464,542,225,196,7.55,2.54,2.1,3327.88,1440.0,1266.94,10:30,5.9558,7.53,PULLBACK_LIMIT,,,,MID,LIMIT
RARE,Long,PULLBACK,T1-STRONG_LONG,91,28.76,26.1027,34.38,28.805,2.1,2.6573,28.76,4.6,APPROACH,2,2,"1d,4h",27.44,26.91,MIXED,EXCITED,1.58,204092784.0,1.1,1.4,0.0,0.0,19.9,38.0,8.0,94.5,HIGH,0.02,28.805,29.03,28.58,-1.6,MID,DISCOUNT,1788,5,962,19.5,A,,,,False,1.3339285714285707,1.99,N/A,,0.5,0.889,0.806,0.556,0.417,0.5,1.3806,HOSTILE,26.91,28.76,29.0476,123,37,33,9.25,2.11,1.81,3309.93,1064.12,958.57,10:30,26.1027,34.38,PULLBACK_LIMIT,,,,MID,LIMIT
LBRDK,Long,PULLBACK,T2-LONG,63,30.86,28.518,35.544,,2.0,2.342,30.86,3.3,APPROACH,3,3,"1d,1h,4h",29.84,29.4,OPEN_ROAD,EXCITED,1.16,98795815.0,0.8,0.9,0.0,0.0,17.3,28.0,8.0,130.74,HIGH,0.01,29.62,29.4,29.84,1.5,PREMIUM,MID,122,1,90,5.6,D,,,,False,1.6085714285714283,1.46,N/A,,0.5,0.417,0.556,0.0,0.056,0.5,1.0722,HOSTILE,29.4,30.86,31.1686,113,42,37,6.97,2.0,1.65,3322.2,1296.12,1153.24,10:30,28.518,35.544,PULLBACK_LIMIT,,,,MID,LIMIT
PBF,Long,PULLBACK,T2-LONG,67,37.62,36.1713,40.5174,39.03,2.0,1.4487,40.69,7.5,WAITING,1,1,1d,37.62,37.29,OPEN_ROAD,EXCITED,1.42,114446098.0,1.2,1.2,0.0,0.0,12.7,18.0,8.0,97.47,HIGH,0.03,39.03,39.29,38.77,-1.3,PREMIUM,DISCOUNT,151,6,71,4.3,B,,,,False,2.3078571428571424,0.63,N/A,,0.5,0.417,1.0,0.111,0.778,0.5,1.0278,HOSTILE,37.29,37.62,37.9962,89,69,54,2.88,2.0,1.38,3318.81,2595.78,2051.79,10:30,36.1713,40.5174,PULLBACK_LIMIT,,,,MID,LIMIT
OTEX,Long,PULLBACK,T2-LONG,86,21.16,19.4437,24.5927,,2.0,1.7163,21.16,3.9,APPROACH,6,4,"10m,15m,1h,4h",20.335,20.045,OPEN_ROAD,EXCITED,2.65,35528189.0,0.9,0.9,0.0,0.0,13.1,34.0,8.0,238.45,MEGA,0.01,20.12,20.01,20.23,1.1,PREMIUM,PREMIUM,88,1,33,3.3,D,,,,False,0.9360714285714289,1.83,N/A,,0.5,0.417,0.722,0.417,0.056,0.5,0.9972,HOSTILE,20.045,21.16,21.3716,166,58,51,7.56,2.0,1.67,3327.47,1227.28,1089.95,10:30,19.4437,24.5927,PULLBACK_LIMIT,,,,MID,LIMIT
WAY,Long,BOUNCE,T2-LONG,66,18.41,16.7907,21.6486,,2.0,1.6193,18.41,2.9,CLOSE,6,6,"10m,15m,1h,30m,4h,5m",17.88,17.31,OPEN_ROAD,EXCITED,1.33,58082282.0,1.5,1.3,0.0,0.0,9.5,30.0,8.0,139.7,HIGH,0.03,17.455,17.31,17.6,1.7,PREMIUM,PREMIUM,205,1,205,3.3,D,,,,True,0.9716142857142861,1.67,N/A,,0.5,0.417,0.5,0.056,0.778,0.5,0.8944,HOSTILE,17.31,18.41,18.5941,192,61,55,8.35,2.0,1.69,3323.52,1123.01,1022.68,10:30,16.7907,21.6486,PULLBACK_LIMIT,,,,MID,LIMIT
TRI,Long,BOUNCE,T2-LONG,83,80.71,74.2535,93.623,,2.0,6.4565,80.71,2.2,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",78.925,76.55,OPEN_ROAD,EXCITED,1.7,412286169.0,1.0,2.0,0.0,1.0,8.2,28.0,8.0,127.4,HIGH,0.02,77.7375,76.55,78.925,3.1,PREMIUM,MID,1301,1,412,5.1,D,,,,False,3.2268071428571425,2.0,N/A,,0.5,0.417,0.444,0.333,0.417,0.5,0.8667,HOSTILE,76.55,80.71,81.5171,43,15,13,7.43,2.0,1.67,3291.65,1210.65,1059.72,10:30,74.2535,93.623,PULLBACK_LIMIT,,,,MID,LIMIT
BCAX,Long,PULLBACK,T1-STRONG_LONG,100,25.0,22.2324,30.5352,,2.0,2.7676,25.0,4.6,APPROACH,6,4,"1d,1h,30m,4h",23.85,22.92,HIGHWAY,EXCITED,2.95,127518924.0,1.2,1.9,0.0,1.0,24.3,48.0,8.0,36.65,MED,0.02,24.41,24.55,24.27,-1.1,PREMIUM,DISCOUNT,994,7,367,99.9,A,,,,False,1.1463571428571433,2.41,N/A,,0.5,0.417,0.806,0.833,0.417,0.5,0.825,HOSTILE,22.92,25.0,25.25,145,36,33,11.08,2.0,1.75,3323.4,900.0,833.25,10:30,22.2324,30.5352,PULLBACK_LIMIT,,,,MID,LIMIT
LIND,Long,PULLBACK,T1-STRONG_LONG,100,25.77,23.2412,30.8276,,2.0,2.5288,25.77,3.5,APPROACH,2,2,"1d,4h",24.87,23.96,HIGHWAY,EXCITED,2.22,115429290.0,1.4,1.3,0.0,0.0,11.5,56.0,8.0,49.57,MED,0.02,25.175,25.55,24.8,-2.9,PREMIUM,DISCOUNT,2244,13,459,99.9,A,,,,False,1.1845357142857147,2.13,N/A,,0.5,0.417,0.639,0.833,0.417,0.5,0.775,HOSTILE,23.96,25.77,26.0277,139,39,35,9.55,2.0,1.72,3330.44,1005.03,910.97,10:30,23.2412,30.8276,PULLBACK_LIMIT,,,,MID,LIMIT
CSGP,Long,BOUNCE,T2-LONG,86,30.26,28.615,33.55,,2.0,1.645,30.26,0.9,CLOSE,6,6,"10m,15m,1h,30m,4h,5m",29.975,29.5,HIGHWAY,EXCITED,2.21,168725977.0,1.1,1.4,0.0,1.0,12.5,28.0,8.0,402.82,MEGA,0.02,29.475,29.22,29.73,1.7,PREMIUM,PREMIUM,239,1,239,5.1,D,,,,False,1.590714285714285,1.03,N/A,,0.5,0.417,0.194,0.417,0.417,0.5,0.7667,HOSTILE,29.5,30.26,30.5626,112,60,51,4.58,2.0,1.53,3304.0,1815.6,1558.69,10:30,28.615,33.55,PULLBACK_LIMIT,,,,MID,LIMIT
