ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news,_sector,_industry,_sector_label,_industry_label,_sector_strength,_industry_strength,_sector_ret_5d,_sector_pct,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_pr_sec,_score,regime,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_L1_notional,_L2_notional,_L3_notional,_cutoff,_stop_px,_t1_px,entry_mode,_L4_px,_L4_shares,_L4_rr
RGEN,Long,PULLBACK,T1-STRONG_LONG,100,127.175,122.5789,142.11,127.28,3.2,4.5961,138.4,8.1,WAITING,4,4,"10m,15m,30m,5m",127.175,126.37,HIGHWAY,EXCITED,1.32,13110230.0,1.4,1.0,0.0,0.0,12.4,27.0,8.0,53.36,HIGH,0.03,127.28,126.37,128.19,1.4,PREMIUM,DISCOUNT,4264,7,3850,2.7,C,,,,False,6.566721428571431,0.7,N/A,,HEALTHCARE,,STRONG,,0.76,,0.71,0.76,1.0,0.875,0.646,0.542,0.76,1.5384,FAVORABLE,126.37,127.175,128.4468,26,21,17,4.15,3.25,2.33,3285.62,2670.67,2183.59,10:30,122.5789,142.11,PULLBACK_LIMIT,,,
RLAY,Long,PULLBACK,T1-STRONG_LONG,100,16.32,15.5103,17.9394,17.51,2.0,0.8097,18.02,9.4,WAITING,2,2,"1d,4h",16.32,15.99,HIGHWAY,EXCITED,3.22,227097647.0,1.1,1.1,0.0,1.0,24.0,58.0,8.0,136.02,HIGH,0.03,17.51,17.44,17.58,0.8,PREMIUM,DISCOUNT,1004,15,712,99.9,A,,,,True,1.0199999999999994,0.79,N/A,,HEALTHCARE,BIOTECH,STRONG,HOT,0.76,1.0,0.71,1.0,0.479,0.958,0.646,0.542,1.0,1.1146,FAVORABLE,15.99,16.32,16.4832,208,123,102,4.06,2.0,1.5,3325.92,2007.36,1681.29,10:30,15.5103,17.9394,PULLBACK_LIMIT,,,
FRPT,Long,BOUNCE,T2-LONG,74,52.74,49.3924,59.4352,,2.0,3.3476,52.74,2.6,CLOSE,3,3,"1h,30m,4h",51.38,50.92,OPEN_ROAD,EXCITED,0.58,16045509.0,0.9,1.1,0.0,0.0,14.7,25.0,8.0,48.19,MED,0.03,53.395,53.37,53.42,0.1,FLAT,FLAT,224,1,210,2.5,D,,,,False,2.8539714285714273,1.17,N/A,,CONS_STAPL,,NEUTRAL,,0.72,,-0.66,0.72,0.479,0.583,0.104,0.542,0.72,1.0806,FAVORABLE,50.92,52.74,53.2674,65,29,25,5.57,2.0,1.59,3309.8,1529.46,1331.68,10:30,49.3924,59.4352,PULLBACK_LIMIT,,,
MRVI,Long,PULLBACK,T1-STRONG_LONG,100,5.34,5.0925,5.835,5.415,2.0,0.2475,5.76,7.3,WAITING,2,2,"1h,4h",5.34,5.25,HIGHWAY,WAITING,0.36,2850774.0,1.1,0.7,0.0,1.0,15.5,46.0,8.0,101.63,HIGH,0.03,5.415,5.37,5.46,1.7,PREMIUM,DISCOUNT,295,12,169,99.9,A,,,,True,0.27673571428571436,0.89,N/A,,HEALTHCARE,BIOTECH,STRONG,HOT,0.76,1.0,0.71,1.0,0.479,0.833,0.646,0.542,1.0,1.0771,FAVORABLE,5.25,5.34,5.3934,634,404,332,3.71,2.0,1.47,3328.5,2157.36,1790.61,10:30,5.0925,5.835,PULLBACK_LIMIT,,,
IMMX,Long,PULLBACK,T1-STRONG_LONG,100,9.09,8.5496,10.1708,9.95,2.0,0.5404,10.04,9.5,WAITING,1,1,4h,9.09,8.814,HIGHWAY,EXCITED,3.57,58882852.0,1.1,1.0,0.0,1.0,21.7,29.0,8.0,43.4,MED,0.04,9.95,9.91,9.99,0.8,PREMIUM,DISCOUNT,314,11,146,99.9,A,,,,True,0.7467857142857142,0.72,N/A,,HEALTHCARE,BIOTECH,STRONG,HOT,0.76,1.0,0.71,1.0,0.479,1.0,0.646,0.792,1.0,1.0771,FAVORABLE,8.814,9.09,9.1809,378,185,158,5.13,2.0,1.57,3331.69,1681.65,1450.58,10:30,8.5496,10.1708,PULLBACK_LIMIT,,,
NTRA,Long,PULLBACK,T1-STRONG_LONG,100,259.97,227.7172,324.4756,,2.0,32.2528,259.97,4.7,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",247.63,234.76,HIGHWAY,EXCITED,3.87,3897292021.0,1.9,1.5,0.0,0.0,21.6,30.0,8.0,139.02,HIGH,0.02,238.88,234.76,243.0,3.5,PREMIUM,PREMIUM,10126,7,4914,99.9,A,,,,False,12.90105714285714,2.5,N/A,,HEALTHCARE,,STRONG,,0.76,,0.71,0.76,0.479,0.667,0.646,0.208,0.76,1.0217,FAVORABLE,234.76,259.97,262.5697,14,3,2,12.74,2.0,1.78,3286.64,779.91,525.14,10:30,227.7172,324.4756,PULLBACK_LIMIT,,,
UAA,Long,PULLBACK,T1-STRONG_LONG,73,6.06,5.6066,6.9668,,2.0,0.4534,6.06,3.1,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",5.87,5.78,OPEN_ROAD,EXCITED,1.45,81086796.0,1.5,1.0,0.0,0.0,8.6,20.0,8.0,302.0,MEGA,0.03,5.825,5.78,5.87,1.6,PREMIUM,MID,55,3,37,2.6,C,,,,True,0.27649999999999997,1.64,N/A,,MATERIALS,,NEUTRAL,,0.4,,-2.6,0.4,0.479,0.625,0.042,0.542,0.4,1.0158,FAVORABLE,5.78,6.06,6.1206,576,220,194,6.84,2.0,1.65,3329.28,1333.2,1187.4,10:30,5.6066,6.9668,PULLBACK_LIMIT,,,
GLUE,Long,PULLBACK,T1-STRONG_LONG,100,19.37,18.1099,21.8902,20.855,2.0,1.2601,20.85,7.1,WAITING,3,3,"1h,30m,4h",19.37,18.67,OPEN_ROAD,EXCITED,0.73,21104902.0,1.8,1.6,0.0,1.0,23.7,42.0,8.0,53.0,HIGH,0.04,20.855,20.71,21.0,1.4,MID,DISCOUNT,885,10,430,3.4,C,,,,False,1.3456999999999995,0.94,N/A,,HEALTHCARE,BIOTECH,STRONG,HOT,0.76,1.0,0.71,1.0,0.479,0.792,0.646,0.792,1.0,1.0146,FAVORABLE,18.67,19.37,19.5637,178,79,68,5.75,2.0,1.6,3323.26,1530.23,1330.33,10:30,18.1099,21.8902,PULLBACK_LIMIT,,,
LIND,Long,PULLBACK,T1-STRONG_LONG,100,24.65,23.3188,27.3124,26.015,2.0,1.3312,26.98,8.6,WAITING,1,1,1d,24.65,24.04,HIGHWAY,EXCITED,1.9,86055729.0,1.8,1.3,0.0,0.0,16.4,65.0,8.0,49.57,MED,0.03,26.015,25.77,26.26,1.9,PREMIUM,DISCOUNT,2717,14,910,99.9,A,,,,False,1.2327500000000005,1.08,N/A,,INDUSTRIAL,,NEUTRAL,,0.64,,0.45,0.64,0.479,0.917,0.646,0.542,0.64,0.9941,FAVORABLE,24.04,24.65,24.8965,138,75,63,4.54,2.0,1.53,3317.52,1848.75,1568.48,10:30,23.3188,27.3124,PULLBACK_LIMIT,,,
TRI,Long,BOUNCE,T2-LONG,100,80.98,74.3117,94.3166,,2.0,6.6683,80.98,2.5,CLOSE,4,4,"1d,1h,30m,4h",78.925,76.61,OPEN_ROAD,EXCITED,1.23,353889990.0,0.7,0.9,0.0,1.0,8.2,28.0,8.0,127.4,HIGH,0.01,80.415,80.71,80.12,-0.7,PREMIUM,DISCOUNT,1301,1,412,4.7,D,,,,False,3.1982357142857145,2.08,N/A,,INDUSTRIAL,,NEUTRAL,,0.64,,0.45,0.64,0.479,0.542,0.646,0.0,0.64,0.9899,FAVORABLE,76.61,80.98,81.7898,43,14,13,7.7,2.0,1.68,3294.23,1133.72,1063.27,10:30,74.3117,94.3166,PULLBACK_LIMIT,,,
