ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,stop_adjusted,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,path,gap_quality,sponsorship,vol_ratio,vol_hot,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,tfs,cluster_top,cluster_bot,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
ILLR,Long,BREAKOUT,T3-LONG_WATCH,100,3.23,-0.427,10.544,,2.0,3.657,False,3.05,0.0,INSIDE,2,2,OPEN_ROAD,EXCITED,168.66,19.0,True,LOW,20.43,1.7146,0.7691,2.66,245.9,PREMIUM,PREMIUM,1056,7,870,7.6,B,,,,,,,,,,,,,True,0.7851999999999999,4.66,N/A,
IVF,Long,BOUNCE,T2-LONG,100,1.24,1.175,1.37,1.34,2.0,0.065,,1.24,0.8,CLOSE,1,1,OPEN_ROAD,EXCITED,2.11,,,NANO,3.98,1.34,1.32,1.36,3.0,DISCOUNT,DISCOUNT,0,1,0,4.0,D,10m,1.2299,1.225,0.0,6.1,2.1,20050423.0,1.0,30.8,55.0,8.0,1.78,True,0.1578,0.41,N/A,
TII,Long,BOUNCE,T1-STRONG_LONG,100,2.23,2.0273,2.6354,,2.0,0.2027,,2.23,1.8,CLOSE,9,6,OPEN_ROAD,EXCITED,2.15,,,MED,0.44,2.175,2.17,2.18,0.5,FLAT,FLAT,52,2,26,8.1,C,"10m,1h,1m,30m,4h,5m",2.19,2.09,194643.0,15.6,5.4,8368860.0,1.0,15.8,50.0,8.0,36.33,True,0.21284285714285714,0.95,N/A,
SHPH,Long,PULLBACK,T2-LONG,91,3.48,3.2931,3.88,3.7,2.1,0.1869,,3.78,7.9,WAITING,2,1,HIGHWAY,WAITING,0.36,,,NANO,17.44,3.7,3.69,3.71,0.5,PREMIUM,DISCOUNT,35,3,27,2.6,C,1m,3.48,3.395,2884.0,13.8,4.7,2855354.0,1.0,28.8,28.0,8.0,0.58,True,0.71325,0.26,N/A,
SCAG,Long,PULLBACK,T2-LONG,84,0.62,0.5618,0.746,0.6479,2.2,0.0582,,0.6608,6.2,APPROACH,1,1,MIXED,EXCITED,10.06,,,MED,0.13,0.6479,0.7106,0.5851,-17.7,MID,DISCOUNT,34,10,7,12.9,C,1m,0.62,0.6118,41070.0,0.3,3.2,1448275.0,1.0,245.7,55.0,8.0,32.53,False,0.20672857142857143,0.28,N/A,
NOK,Long,BREAKOUT,T2-LONG,53,13.98,13.3957,15.1486,,2.0,0.5843,False,13.98,0.0,INSIDE,1,1,OPEN_ROAD,EXCITED,0.74,0.6,True,MEGA,0.02,13.97,13.81,14.13,2.3,MID,DISCOUNT,542,20,248,4.9,B,,,,,,,,,,,,,True,0.9996357142857144,0.58,N/A,
INTC,Long,PULLBACK,T1-STRONG_LONG,94,132.87,121.444,155.722,135.69,2.0,11.426,,132.87,3.7,APPROACH,1,1,HIGHWAY,EXCITED,1.83,,,MEGA,0.02,135.69,131.65,139.73,6.1,DISCOUNT,DISCOUNT,20606,26,4646,99.9,A,1d,127.9,125.2,63154770018.0,0.9,0.9,1036943.0,0.0,12.8,65.0,8.0,5016.55,False,11.387,1.0,N/A,
SRRK,Long,PULLBACK,T3-LONG_WATCH,89,53.79,49.7319,61.9062,,2.0,4.0581,,53.79,3.8,APPROACH,2,2,HIGHWAY,EXCITED,2.02,,,HIGH,0.03,52.3275,52.33,52.325,-0.0,FLAT,FLAT,2900,5,1243,99.9,A,"1h,4h",51.75,51.27,52070608.0,1.6,1.6,0.0,1.0,16.7,41.0,8.0,91.8,False,2.259992857142857,1.8,N/A,
TRI,Long,BOUNCE,T2-LONG,61,81.01,74.3117,94.4066,,2.0,6.6983,,81.01,2.6,CLOSE,2,2,OPEN_ROAD,EXCITED,1.06,,,HIGH,0.01,80.35,80.98,79.72,-1.6,PREMIUM,DISCOUNT,1301,1,412,4.7,D,"1d,4h",78.925,76.61,256350445.0,0.9,0.9,0.0,1.0,8.7,28.0,8.0,127.4,False,3.143235714285715,2.13,N/A,
TRU,Long,BREAKOUT,T2-LONG,82,68.18,63.9812,76.5776,,2.0,4.1988,False,67.0,0.0,INSIDE,3,3,OPEN_ROAD,EXCITED,1.46,1.3,True,HIGH,0.02,68.095,68.0,68.19,0.3,FLAT,FLAT,871,1,410,5.0,D,,,,,,,,,,,,,False,2.7096428571428572,1.55,N/A,
VSTS,Long,PULLBACK,T1-STRONG_LONG,100,13.74,12.804,15.612,,2.0,0.936,,13.74,3.1,APPROACH,3,3,HIGHWAY,EXCITED,0.94,,,HIGH,0.01,13.545,13.49,13.6,0.8,PREMIUM,DISCOUNT,902,10,79,99.9,A,"1h,30m,4h",13.31,13.2,5614573.0,0.9,0.9,0.0,0.0,10.7,36.0,8.0,91.31,True,0.5383571428571428,1.74,N/A,
