ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
KNSA,Long,BOUNCE,T3-LONG_WATCH,100,64.76,62.5262,69.2276,,2.0,2.2338,64.76,0.2,CLOSE,2,2,"1m,5m",64.62,64.46,OPEN_ROAD,EXCITED,5.51,1836406,1.0,0.8,0,0,8.9,59,8,42.2,MED,0.03,67.255,67.29,67.22,-0.1,FLAT,FLAT,4148,11,2023,3.0,C,False,2.991564285714286,0.75,N/A,
BOBS,Long,BOUNCE,T1-STRONG_LONG,73,15.209,14.162,17.303,,2.0,1.047,15.209,0.9,CLOSE,17,7,"10m,15m,1h,1m,30m,4h,5m",15.07,14.6,OPEN_ROAD,WAITING,0.32,1559460,0.0,0.6,0,0,16.5,52,8,28.29,MED,0.0,14.645,14.6,14.69,0.6,PREMIUM,PREMIUM,618,8,564,3.3,C,True,1.0499928571428572,1.0,N/A,
EDBL,Long,PULLBACK,T2-LONG,81,0.1072,0.0422,0.2372,0.108,2.0,0.065,0.1072,3.2,APPROACH,1,1,4h,0.1038,0.0922,OPEN_ROAD,EXCITED,9.51,57574451,3.2,4.2,151350483,2,81.9,42,8,5.43,LOW,30.82,0.108,0.116,0.1,-13.8,MID,DISCOUNT,1,2,1,20.0,D,False,0.03994999999999999,1.63,N/A,
ONFO,Long,PULLBACK,T2-LONG,79,0.22,0.1676,0.3248,0.2628,2.0,0.0524,0.2375,7.4,WAITING,1,1,1m,0.22,0.2176,OPEN_ROAD,EXCITED,1.07,0,0.6,6.4,3069560,1,175.9,35,8,5.15,LOW,0.91,0.2628,0.2805,0.245,-12.7,DISCOUNT,DISCOUNT,0,1,0,3.2,D,False,0.0714,0.73,N/A,
IMNM,Long,BOUNCE,T2-LONG,99,24.37,23.1539,26.8022,,2.0,1.2161,24.37,0.2,CLOSE,6,3,"1h,1m,4h",24.33,23.87,HIGHWAY,WAITING,0.09,1023326,0.1,0.7,0,0,17.6,48,8,108.33,HIGH,0.0,23.995,24.01,23.98,-0.1,FLAT,FLAT,650,9,308,7.3,B,False,1.2169928571428577,1.0,N/A,
ACHC,Long,BOUNCE,T1-STRONG_LONG,100,32.4843,29.8178,37.8173,,2.0,2.6665,32.4843,0.7,CLOSE,12,7,"10m,15m,1h,1m,30m,4h,5m",32.25,30.74,HIGHWAY,EXCITED,0.64,24913428,0.2,0.5,0,0,8.2,44,8,85.14,HIGH,0.01,30.97,30.74,31.2,1.5,PREMIUM,PREMIUM,1556,10,1115,99.9,A,False,1.5035714285714294,1.77,N/A,
VIR,Long,BOUNCE,T3-LONG_WATCH,51,10.4,9.7194,11.7612,,2.0,0.6806,10.4,2.2,CLOSE,1,1,1d,10.17,10.02,OPEN_ROAD,EXCITED,0.67,23548221,0.1,0.5,0,0,10.4,29,8,128.76,HIGH,0.0,10.43,10.43,10.43,0.0,FLAT,FLAT,440,7,216,2.8,C,True,0.5119500000000002,1.33,N/A,
STGW,Long,BOUNCE,T3-LONG_WATCH,40,7.685,7.3526,8.3498,,2.0,0.3324,7.685,1.0,CLOSE,1,1,1m,7.605,7.58,HIGHWAY,WAITING,0.1,3624,0.1,0.7,0,0,10.2,17,8,104.05,HIGH,0.0,7.67,7.67,7.67,0.0,FLAT,FLAT,133,6,31,99.9,B,True,0.3446357142857142,0.96,N/A,
DOMO,Long,PULLBACK,T1-STRONG_LONG,100,3.57,3.3077,4.0946,3.58,2.0,0.2623,3.57,4.2,APPROACH,4,4,"10m,15m,1m,30m",3.42,3.41,OPEN_ROAD,EXCITED,1.04,179135,0.3,0.3,0,0,16.3,52,8,37.91,MED,0.03,3.58,3.61,3.55,-1.7,DISCOUNT,DISCOUNT,174,10,158,2.9,C,True,0.34611428571428565,0.76,N/A,
CG,Long,BOUNCE,T1-STRONG_LONG,88,43.81,41.0601,49.3098,,2.0,2.7499,43.81,0.6,CLOSE,6,6,"15m,1d,1h,30m,4h,5m",43.54,42.33,OPEN_ROAD,EXCITED,0.47,158443006,0.0,0.5,0,0,5.8,34,8,261.67,MEGA,0.0,43.135,43.07,43.2,0.3,FLAT,FLAT,818,2,229,5.5,C,False,1.695357142857142,1.62,N/A,
GPUS,Long,PULLBACK,T3-LONG_WATCH,30,0.1351,0.0781,0.2491,,2.0,0.057,0.1351,5.0,APPROACH,1,1,5m,0.1284,0.1281,OPEN_ROAD,EXCITED,0.92,0,0.1,0.2,3201998,0,24.8,32,8,460.43,MEGA,0.03,0.1316,0.1317,0.1316,-0.1,FLAT,FLAT,0,2,0,2.7,D,False,0.0488357142857143,1.17,N/A,
