ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
GPUS,Long,BOUNCE,T2-LONG,68,0.13,0.0709,0.2482,,2.0,0.0591,0.13,2.2,CLOSE,6,6,"10m,15m,1d,1m,30m,5m",0.1271,0.1209,OPEN_ROAD,EXCITED,4.52,13382941.0,0.1,0.2,6803512.0,0.0,14.2,31.0,8.0,460.43,MEGA,0.02,0.1245,0.1209,0.1282,6.0,PREMIUM,MID,5,2,5,2.1,D,,,,False,0.010364285714285723,5.7,N/A,
VIVK,Long,PULLBACK,T3-LONG_WATCH,100,6.5652,6.0917,7.698,,2.4,0.4735,6.5652,3.7,APPROACH,1,1,10m,6.32,6.2801,HIGHWAY,EXCITED,19.66,61001344.0,15.4,5.7,16351363.0,1.0,395.4,71.0,8.0,0.16,NANO,238.3,3.245,1.73,4.76,175.1,PREMIUM,PREMIUM,1772,5,1765,17.3,A,,,,True,1.6360428571428574,0.29,N/A,
ACHR,Long,PULLBACK,T3-LONG_WATCH,57,4.8,4.32,5.97,,2.4,0.48,5.2814,9.1,WAITING,2,2,"1h,4h",4.8,4.48,HIGHWAY,EXCITED,4.48,1395963404.0,0.3,1.3,1330664.0,1.0,30.2,17.0,8.0,642.57,MEGA,0.02,5.315,5.31,5.32,0.2,FLAT,FLAT,131,1,131,13.0,D,,,,True,0.36807857142857137,1.3,N/A,
SOFI,Long,BOUNCE,T1-STRONG_LONG,93,17.1525,16.5094,18.4387,,2.0,0.6431,17.1525,0.4,CLOSE,5,5,"10m,15m,1m,30m,5m",17.08,17.02,OPEN_ROAD,EXCITED,1.18,70183488.0,0.1,0.7,1128634.0,0.0,15.2,19.0,8.0,1262.96,MEGA,0.0,17.045,17.01,17.08,0.4,FLAT,FLAT,127,2,36,3.5,C,,,,True,0.9035142857142853,0.71,N/A,
BMNR,Long,PULLBACK,T1-STRONG_LONG,100,16.015,15.2193,17.6064,16.7975,2.0,0.7957,16.955,5.5,APPROACH,4,4,"10m,15m,1d,30m",16.015,15.69,HIGHWAY,EXCITED,2.02,1424963648.0,0.2,0.7,2244003.0,0.0,16.4,41.0,8.0,594.74,MEGA,0.01,16.7975,16.63,16.965,2.0,PREMIUM,DISCOUNT,828,5,163,4.3,B,,,,True,1.0503500000000003,0.76,N/A,
IREN,Long,BOUNCE,T1-STRONG_LONG,100,41.63,38.994,46.902,,2.0,2.636,41.63,1.7,CLOSE,4,4,"15m,1d,1m,30m",40.91,40.2,OPEN_ROAD,EXCITED,2.4,7305539008.0,0.3,1.2,1708367.0,1.0,31.1,36.0,8.0,308.89,MEGA,0.04,40.555,40.2,40.91,1.8,PREMIUM,MID,1820,6,1634,5.8,B,,,,False,4.047771428571429,0.65,N/A,
KEEL,Long,PULLBACK,T1-STRONG_LONG,100,4.15,3.8315,4.787,4.475,2.0,0.3185,4.575,9.3,WAITING,6,6,"10m,15m,1d,1h,30m,4h",4.15,3.95,OPEN_ROAD,EXCITED,2.64,584686403.0,0.2,0.5,1043890.0,0.0,28.6,45.0,8.0,576.2,MEGA,0.01,4.475,4.34,4.61,6.2,PREMIUM,DISCOUNT,260,9,210,4.0,B,,,,True,0.48857142857142855,0.65,N/A,
NVDA,Long,BREAKOUT,T1-STRONG_LONG,90,207.495,197.298,227.889,,2.0,10.197,204.75,0.0,INSIDE,5,5,,,,OPEN_ROAD,EXCITED,4.89,,,,,,,,,,MEGA,0.0,205.41,203.28,207.54,2.1,DISCOUNT,MID,487,4,376,2.6,C,False,0.2,True,False,7.26035714285715,1.4,N/A,
INTC,Long,PULLBACK,T1-STRONG_LONG,100,97.06,92.1888,106.8024,100.125,2.0,4.8712,102.3,5.1,APPROACH,4,4,"10m,15m,1d,30m",97.06,95.04,OPEN_ROAD,EXCITED,2.85,32290708229.0,0.2,0.8,3342144.0,0.0,22.3,62.0,8.0,4583.06,MEGA,0.01,100.125,97.06,103.19,6.3,PREMIUM,DISCOUNT,7397,18,2434,3.7,C,,,,False,8.441385714285714,0.58,N/A,
MRVL,Long,PULLBACK,T1-STRONG_LONG,100,193.005,183.0196,217.35,200.2475,2.4,9.9854,204.1596,5.5,APPROACH,4,4,"10m,15m,1d,30m",193.005,188.68,HIGHWAY,EXCITED,2.29,14905081940.0,0.2,0.7,1637032.0,0.0,25.5,60.0,8.0,872.04,MEGA,0.01,200.2475,194.94,205.555,5.4,PREMIUM,DISCOUNT,8614,16,3297,6.5,B,,,,False,19.23892857142857,0.52,N/A,
