ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news,_sector,_industry,_sector_label,_industry_label,_sector_strength,_industry_strength,_sector_ret_5d,_sector_pct,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_pr_sec,_score,regime,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_L1_notional,_L2_notional,_L3_notional,_cutoff,_stop_px,_t1_px,entry_mode,_L4_px,_L4_shares,_L4_rr
GPRO,Long,PULLBACK,T1-STRONG_LONG,100,1.279,1.225,1.49,,3.9,0.054,1.39,8.0,WAITING,3,3,"15m,30m,4h",1.279,1.275,HIGHWAY,EXCITED,2.85,0,2.7,4.9,1436963,4,213.7,41,8,137.65,HIGH,1.3,1.735,1.69,1.78,5.3,DISCOUNT,DISCOUNT,269,9,38,7.2,B,True,0.17828571428571433,0.3,N/A,,TECH,,NEUTRAL,,0.56,,-1.4,0.56,1.0,1.0,0.556,1.0,0.56,1.4513,FAVORABLE,1.275,1.279,1.299,2000,1851,1351,4.3,3.91,2.58,2550.0,2367.43,1754.95,10:30,1.225,1.49,PULLBACK_LIMIT,,,
COMP,Long,PULLBACK,T1-STRONG_LONG,100,10.415,10.0201,11.56,10.71,2.9,0.3949,11.06,5.8,APPROACH,3,3,"1d,1h,4h",10.415,10.33,HIGHWAY,EXCITED,1.26,65434588,1.5,1.4,0,0,11.1,50,8,736.03,MEGA,0.02,10.71,10.59,10.83,2.3,PREMIUM,DISCOUNT,572,8,176,4.5,B,True,0.5521142857142861,0.72,N/A,,REAL_EST,,NEUTRAL,,0.44,,-0.92,0.44,0.889,0.889,0.556,0.833,0.44,1.3042,FAVORABLE,10.33,10.415,10.5191,322,253,200,3.97,2.9,2.09,3326.26,2634.99,2103.83,10:30,10.0201,11.56,PULLBACK_LIMIT,,,
WDAY,Long,BOUNCE,T1-STRONG_LONG,100,206.92,194.8439,236.4,,2.4,12.0761,206.92,0.9,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",204.99,200.87,HIGHWAY,EXCITED,2.67,1642867358,0.6,0.6,0,0,11.9,34,8,194.33,HIGH,0.02,202.93,200.87,204.99,2.1,PREMIUM,MID,10141,9,6165,14.2,A,False,8.57979285714286,1.41,N/A,,TECH,,NEUTRAL,,0.56,,-1.4,0.56,0.778,0.333,0.556,0.833,0.56,1.0624,FAVORABLE,200.87,206.92,208.9892,16,8,7,5.9,2.44,1.94,3213.92,1655.36,1462.92,10:30,194.8439,236.4,PULLBACK_LIMIT,,,
RF,Long,BOUNCE,T2-LONG,88,30.44,28.4113,34.4974,,2.0,2.0287,30.44,1.2,CLOSE,5,3,"1h,30m,4h",30.065,29.29,OPEN_ROAD,EXCITED,0.84,121257222,0.9,0.9,0,0,5.1,19,8,847.98,MEGA,0.01,29.9475,29.93,29.965,0.1,FLAT,FLAT,261,4,217,3.9,C,False,0.5930499999999989,3.42,N/A,,FINANCIAL,,NEUTRAL,,0.68,,1.17,0.68,0.333,0.556,0.0,0.389,0.68,0.9762,FAVORABLE,29.29,30.44,30.7444,113,49,42,5.93,2.0,1.61,3309.77,1491.56,1291.26,10:30,28.4113,34.4974,PULLBACK_LIMIT,,,
KEY,Long,BOUNCE,T1-STRONG_LONG,100,22.12,20.5737,25.2126,,2.0,1.5463,22.12,2.8,CLOSE,3,3,"1h,30m,4h",21.5,21.21,HIGHWAY,EXCITED,1.13,127288989,1.1,1.1,0,0,5.2,16,8,1062.6,MEGA,0.01,21.85,21.8,21.9,0.5,FLAT,FLAT,202,5,148,99.9,A,False,0.4315071428571426,3.58,N/A,,FINANCIAL,,NEUTRAL,,0.68,,1.17,0.68,0.333,0.778,0.556,0.389,0.68,0.8762,FAVORABLE,21.21,22.12,22.3412,157,64,56,6.29,2.0,1.62,3329.97,1415.68,1251.11,10:30,20.5737,25.2126,PULLBACK_LIMIT,,,
MBGL,Long,BOUNCE,T1-STRONG_LONG,100,20.46,19.2351,22.9098,20.555,2.0,1.2249,20.46,1.4,CLOSE,3,3,"1h,30m,4h",20.17,19.83,OPEN_ROAD,EXCITED,1.28,66391893,0.8,0.8,0,0,6.1,13,8,294.73,MEGA,0.01,20.555,20.38,20.73,1.7,DISCOUNT,DISCOUNT,100,2,89,3.2,C,False,0.749414285714285,1.63,N/A,,TECH,,NEUTRAL,,0.56,,-1.4,0.56,0.333,0.667,0.556,0.389,0.56,0.8069,FAVORABLE,19.83,20.46,20.6646,168,81,69,5.18,2.0,1.57,3331.44,1657.26,1425.86,10:30,19.2351,22.9098,PULLBACK_LIMIT,,,
BMY,Long,BOUNCE,T1-STRONG_LONG,100,68.09,64.9124,74.4452,,2.0,3.1776,68.09,0.0,CLOSE,2,2,"1d,4h",68.08,66.92,HIGHWAY,EXCITED,0.99,349433003,0.8,0.8,0,0,3.5,38,8,2039.55,MEGA,0.0,67.87,67.66,68.08,0.6,PREMIUM,DISCOUNT,2176,11,899,99.9,A,False,1.4988357142857143,2.12,N/A,,HEALTHCARE,,STRONG,,0.88,,0.98,0.88,0.333,0.0,0.556,0.0,0.88,0.7807,FAVORABLE,66.92,68.09,68.7709,49,31,25,3.75,2.0,1.47,3279.08,2110.79,1719.27,10:30,64.9124,74.4452,PULLBACK_LIMIT,,,
FNB,Long,BOUNCE,T1-STRONG_LONG,100,18.47,17.3339,20.7422,,2.0,1.1361,18.47,0.5,CLOSE,10,7,"10m,15m,1d,1h,30m,4h,5m",18.38,17.87,OPEN_ROAD,EXCITED,1.02,84620732,1.4,1.2,0,0,4.7,23,8,346.67,MEGA,0.01,18.33,18.28,18.38,0.5,PREMIUM,DISCOUNT,262,2,104,3.5,C,True,0.3277857142857142,3.47,N/A,,FINANCIAL,,NEUTRAL,,0.68,,1.17,0.68,0.333,0.222,0.556,0.389,0.68,0.7096,FAVORABLE,17.87,18.47,18.6547,186,88,75,5.36,2.0,1.58,3323.82,1625.36,1399.1,10:30,17.3339,20.7422,PULLBACK_LIMIT,,,
NVDA,Long,BOUNCE,T1-STRONG_LONG,100,228.45,217.6777,249.9946,,2.0,10.7723,228.45,1.1,CLOSE,3,3,"15m,1d,30m",226.02,224.41,HIGHWAY,EXCITED,2.33,30423751902,1.1,1.1,1711743,0,7.1,31,8,23127.32,MEGA,0.01,225.215,224.41,226.02,0.7,PREMIUM,MID,9066,6,1426,99.9,A,False,7.387128571428572,1.46,N/A,,TECH,SEMIS,NEUTRAL,NEUTRAL,0.56,0.28,-1.4,0.28,0.333,0.444,0.556,0.389,0.28,0.6562,FAVORABLE,224.41,228.45,230.7345,14,9,7,3.8,2.0,1.48,3141.74,2056.05,1615.14,10:30,217.6777,249.9946,PULLBACK_LIMIT,,,
CTSH,Long,BOUNCE,T1-STRONG_LONG,100,64.64,61.498,70.924,,2.0,3.142,64.64,0.2,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",64.51,63.4,HIGHWAY,EXCITED,0.99,752334790,0.6,0.7,0,0,4.3,42,8,449.16,MEGA,0.01,63.955,63.4,64.51,1.8,PREMIUM,MID,3449,11,1969,9.2,A,False,2.0535714285714284,1.53,N/A,,TECH,,NEUTRAL,,0.56,,-1.4,0.56,0.333,0.111,0.556,0.389,0.56,0.6402,FAVORABLE,63.4,64.64,65.2864,52,31,26,3.96,2.0,1.49,3296.8,2003.84,1697.45,10:30,61.498,70.924,PULLBACK_LIMIT,,,
