date,picks,scored,wins,stops,closes,no_data,wr,pnl_day,pnl_cumulative
2026-04-01,7,0,0,0,0,7,0.0,0.0,0.0
2026-04-02,7,0,0,0,0,7,0.0,0.0,0.0
2026-04-06,6,0,0,0,0,6,0.0,0.0,0.0
2026-04-07,7,0,0,0,0,7,0.0,0.0,0.0
2026-04-08,2,0,0,0,0,2,0.0,0.0,0.0
2026-04-09,2,0,0,0,0,2,0.0,0.0,0.0
2026-04-10,1,0,0,0,0,1,0.0,0.0,0.0
2026-04-13,3,0,0,0,0,3,0.0,0.0,0.0
2026-04-14,1,0,0,0,0,1,0.0,0.0,0.0
2026-04-15,7,7,3,4,0,0,42.9,200.0,200.0
2026-04-16,7,7,1,6,0,0,14.3,-400.0,-200.0
2026-04-17,7,7,2,5,0,0,28.6,-100.0,-300.0
2026-04-20,7,7,4,1,2,0,57.1,934.84,634.84
2026-04-21,7,7,3,4,0,0,42.9,200.0,834.84
2026-04-22,7,7,2,5,0,0,28.6,-100.0,734.84
2026-04-23,7,7,4,3,0,0,57.1,500.0,1234.84
2026-04-24,7,7,1,5,1,0,14.3,-364.47,870.37
2026-04-27,6,6,4,1,1,0,66.7,677.3,1547.67
2026-04-28,6,6,2,3,1,0,33.3,72.55,1620.22
2026-04-29,4,4,2,2,0,0,50.0,200.0,1820.22
2026-04-30,7,7,1,6,0,0,14.3,-400.0,1420.22
2026-05-01,7,7,3,4,0,0,42.9,200.0,1620.22
2026-05-04,6,6,2,2,2,0,33.3,403.04,2023.26
2026-05-05,7,7,3,4,0,0,42.9,200.0,2223.26
2026-05-06,7,7,2,5,0,0,28.6,-100.0,2123.26
