ticker,stage,stage_pct,conviction,today_vol_pct_of_avg,fresh_bull_5m_below,recent_8bar_green_count,recent_8bar_move_pct,first_consumption_recent,days_since_advance,rejection_dt,rejection_gap_top,rejection_gap_bot,rejection_gap_ticks,rejection_price,bounce_dt,bounce_price,bounce_gap_top,bounce_vol_ratio,n_bearish_total,n_bearish_consumed,last_consumed_dt,last_consumed_top,fresh_bull_5m_count,snapshot_price,target,stop,rr,entry_ready,all_bearish_consumed,pattern_status
TMUS,ALL_EATEN,100,3,52.2,0,2,0.0,False,4.2,2026-04-24 10:30:00,193.39,192.31,108,191.915,2026-04-29 06:00:00,190.54,191.0,1.58,1,1,2026-04-29 08:30:00,191.0,0,191.5,192.31,191.0,1.62,True,True,ENTRY_READY
OBE,ALL_EATEN,100,4,117.8,0,3,1.5,False,10.6,2026-04-23 08:30:00,13.0,12.8,20,12.75,2026-04-23 09:30:00,13.155,12.6,1.82,1,1,2026-04-23 10:00:00,12.7545,0,13.09,12.8,12.7545,,True,True,ENTRY_READY
VSTM,ALL_EATEN,100,4,104.1,0,2,1.1,False,20.7,2026-04-08 12:30:00,5.705,5.49,21,5.485,2026-04-29 10:45:00,5.26,5.45,1.51,3,3,2026-04-13 10:00:00,5.39,0,5.78,5.49,5.39,,True,True,ENTRY_READY
VSTM,ALL_EATEN,100,4,104.1,0,2,1.1,True,8.7,2026-04-21 10:00:00,6.41,6.2,21,6.1993,2026-04-29 07:00:00,5.525,5.65,1.51,9,9,2026-04-23 16:30:00,6.19,0,6.35,6.2,6.19,,True,True,ENTRY_READY
SLDE,ALL_EATEN,100,3,124.0,0,2,-0.8,False,6.3,2026-04-23 12:15:00,18.6,18.39,21,18.38,2026-04-29 13:00:00,18.505,18.31,3.32,1,1,2026-04-24 14:30:00,18.22,0,18.23,18.39,18.22,16.0,True,True,ENTRY_READY
JTAI,ALL_EATEN,100,3,61.7,0,3,-0.3,False,18.1,2026-04-16 17:00:00,7.79,7.55,24,7.54,2026-04-20 10:45:00,7.67,7.5324,5.89,6,6,2026-04-20 04:30:00,7.52,0,7.7,7.55,7.52,,True,True,ENTRY_READY
JTAI,ALL_EATEN,100,3,61.7,0,3,-0.3,False,18.1,2026-04-17 05:45:00,7.75,7.52,23,7.44,2026-04-20 11:15:00,7.46,7.35,5.89,3,3,2026-04-20 04:30:00,7.49,0,7.7,7.52,7.49,,True,True,ENTRY_READY
MXL,ALL_EATEN,100,3,127.2,0,2,0.2,False,8.3,2026-04-27 08:30:00,62.5,62.2,30,62.0,2026-04-29 09:00:00,54.75,54.9,2.92,1,1,2026-04-28 10:00:00,51.0,0,52.17,62.2,51.0,8.57,True,True,ENTRY_READY
BRBR,ALL_EATEN,100,3,129.9,0,2,-1.6,False,20.1,2026-04-08 10:00:00,16.36,16.01,35,15.92,2026-04-10 10:30:00,14.785,15.303,1.8,1,1,2026-04-09 10:00:00,15.73,0,15.78,16.01,15.73,4.6,True,True,ENTRY_READY
CMPX,ALL_EATEN,100,3,68.5,0,1,-0.5,False,12.4,2026-04-21 10:45:00,5.58,5.35,23,5.31,2026-04-27 06:45:00,4.42,5.29,11.22,1,1,2026-04-24 16:30:00,5.3,0,5.6,5.35,5.3,,True,True,ENTRY_READY
CMPX,ALL_EATEN,100,3,68.5,0,1,-0.5,False,9.7,2026-04-27 11:45:00,3.38,2.0,138,1.965,2026-04-27 18:30:00,1.86,1.78,11.22,1,1,2026-04-27 19:00:00,1.7899,0,1.83,2.0,1.7899,4.24,True,True,ENTRY_READY
UEC,ALL_EATEN,100,3,77.4,0,2,-0.3,False,18.7,2026-04-21 12:00:00,14.89,14.69,20,14.68,2026-04-27 04:15:00,14.3,14.19,1.58,2,2,2026-04-22 04:30:00,14.66,0,14.76,14.69,14.66,,True,True,ENTRY_READY
ASTC,ALL_EATEN,100,2,46.8,0,1,-1.6,False,5.4,2026-04-23 14:45:00,3.7,3.34,36,3.325,2026-04-24 09:30:00,3.59,3.32,4.36,1,1,2026-04-24 09:45:00,3.32,0,3.56,3.34,3.32,,True,True,ENTRY_READY
ASTC,ALL_EATEN,100,2,46.8,0,1,-1.6,False,9.2,2026-04-15 09:15:00,3.58,3.31,27,3.3,2026-04-24 09:30:00,3.59,3.2899,4.36,16,16,2026-04-20 11:30:00,3.29,0,3.3316,3.31,3.29,,True,True,ENTRY_READY
ASTC,EATING_42/56,87,2,46.8,0,1,-1.6,False,5.0,2026-04-08 07:45:00,3.9397,3.7,24,3.6969,2026-04-24 09:30:00,3.59,3.36,4.36,56,42,2026-04-24 12:00:00,3.49,0,3.51,3.7,3.49,9.5,False,False,EATING
ISPC,BOUNCED_CLEAN,50,4,427.4,0,4,-2.1,False,1.8,2026-05-01 04:45:00,6.88,6.29,59,6.2,2026-05-01 05:45:00,6.36,6.152,4.27,0,0,,,0,6.36,6.29,6.15,,False,False,BOUNCED
SLDE,BOUNCED_CLEAN,50,3,124.0,0,2,-0.8,False,2.2,2026-04-08 11:00:00,18.31,17.99,32,17.985,2026-04-29 16:00:00,18.44,17.94,3.32,0,0,,,0,18.44,17.99,17.92,,False,False,BOUNCED
SLDE,BOUNCED_CLEAN,50,3,124.0,0,2,-0.8,False,2.7,2026-04-29 11:30:00,18.75,18.47,28,18.43,2026-04-29 13:00:00,18.505,18.31,3.32,0,0,,,0,18.505,18.47,18.27,,False,False,BOUNCED
TMUS,BOUNCED_CLEAN,50,3,52.2,0,2,0.0,False,4.5,2026-04-29 05:00:00,191.0,190.21,79,190.15,2026-04-29 06:45:00,190.39,189.9,1.58,0,0,,,0,190.39,190.21,189.8,,False,False,BOUNCED
MARA,BOUNCED_CLEAN,50,3,109.5,0,3,-0.3,False,4.6,2026-04-27 11:00:00,11.5989,11.39,21,11.3176,2026-04-30 04:00:00,10.74,11.02,1.8,0,0,,,0,10.74,11.39,10.63,5.91,False,False,BOUNCED
POET,BOUNCED_CLEAN,50,3,60.6,0,3,-0.7,False,11.2,2026-04-27 08:45:00,12.36,11.94,42,11.32,2026-04-27 09:15:00,9.56,8.84,4.77,0,0,,,0,9.56,11.94,8.12,1.65,False,False,BOUNCED
AMAT,BOUNCED_CLEAN,50,3,78.5,0,2,-0.0,False,7.8,2026-04-17 09:15:00,401.98,400.0,198,399.19,2026-04-28 07:30:00,391.0,396.0,1.8,0,0,,,0,391.0,400.0,390.0,9.0,False,False,BOUNCED
AMAT,BOUNCED_CLEAN,50,3,78.5,0,2,-0.0,False,7.8,2026-04-22 09:30:00,400.0,397.7,230,395.665,2026-04-28 07:30:00,391.0,395.37,1.8,0,0,,,0,391.0,397.7,390.0,6.7,False,False,BOUNCED
AMAT,BOUNCED_CLEAN,50,3,78.5,0,2,-0.0,False,8.3,2026-04-23 05:00:00,408.77,405.0,377,402.02,2026-04-28 04:15:00,401.0,401.51,1.8,0,0,,,0,401.0,405.0,400.5,8.0,False,False,BOUNCED
AMAT,BOUNCED_CLEAN,50,3,78.5,0,2,-0.0,False,8.3,2026-04-27 12:45:00,404.57,402.02,255,401.765,2026-04-28 04:15:00,401.0,401.51,1.8,0,0,,,0,401.0,402.02,400.5,2.04,False,False,BOUNCED
BRBR,BOUNCED_CLEAN,50,3,129.9,0,2,-1.6,False,19.0,2026-04-09 15:00:00,16.36,15.66,70,15.65,2026-04-10 10:30:00,14.785,15.303,1.8,0,0,,,0,14.785,15.66,14.54,3.57,False,False,BOUNCED
GEV,BOUNCED_CLEAN,50,3,76.0,0,3,-0.5,False,17.7,2026-04-20 06:30:00,1003.95,995.51,844,995.0,2026-04-22 06:15:00,1017.0,992.51,1.74,0,0,,,0,1017.0,995.51,975.1,,False,False,BOUNCED
VELO,BOUNCED_CLEAN,50,2,48.2,0,2,-0.6,False,15.1,2026-04-22 09:30:00,15.7,15.45,25,15.35,2026-04-23 04:15:00,14.86,14.85,1.58,0,0,,,0,14.86,15.45,14.74,4.92,False,False,BOUNCED
VELO,BOUNCED_CLEAN,50,2,48.2,0,2,-0.6,False,9.9,2026-04-24 09:30:00,16.75,16.51,24,16.29,2026-04-27 07:45:00,15.65,15.7,1.7,0,0,,,0,15.65,16.51,14.79,1.0,False,False,BOUNCED
TMUS,BOUNCED_WAITING,50,3,52.2,0,2,0.0,False,4.6,2026-04-10 09:45:00,197.86,197.01,85,196.54,2026-04-29 06:00:00,190.54,191.0,1.58,2,0,,,0,190.54,197.01,190.51,215.67,False,False,BOUNCED
TMUS,BOUNCED_WAITING,50,3,52.2,0,2,0.0,False,14.8,2026-03-31 10:45:00,212.5,210.74,176,210.36,2026-04-21 09:45:00,196.02,204.46,1.92,8,0,,,0,196.02,210.74,195.06,15.33,False,False,BOUNCED
TMUS,BOUNCED_WAITING,50,3,52.2,0,2,0.0,False,14.8,2026-04-01 09:30:00,210.1,208.99,111,206.9167,2026-04-21 09:45:00,196.02,204.46,1.92,7,0,,,0,196.02,208.99,195.06,13.51,False,False,BOUNCED
TMUS,BOUNCED_WAITING,50,3,52.2,0,2,0.0,False,14.8,2026-04-02 09:30:00,203.95,203.1,85,201.39,2026-04-21 09:45:00,196.02,198.65,1.92,4,0,,,0,196.02,203.1,195.06,7.37,False,False,BOUNCED
TMUS,BOUNCED_WAITING,50,3,52.2,0,2,0.0,False,14.8,2026-04-07 19:45:00,203.87,203.0,87,202.96,2026-04-21 09:45:00,196.02,198.65,1.92,3,0,,,0,196.02,203.0,195.06,7.27,False,False,BOUNCED
TMUS,BOUNCED_WAITING,50,3,52.2,0,2,0.0,False,14.8,2026-04-08 06:45:00,203.87,202.96,91,202.5,2026-04-21 09:45:00,196.02,198.65,1.92,2,0,,,0,196.02,202.96,195.06,7.23,False,False,BOUNCED
AMAT,BOUNCED_WAITING,50,3,78.5,0,2,-0.0,False,7.8,2026-04-28 04:30:00,405.8,401.2,460,401.0,2026-04-28 07:30:00,391.0,396.0,1.8,1,0,,,0,391.0,401.2,390.0,10.2,False,False,BOUNCED
GEV,BOUNCED_WAITING,50,3,76.0,0,3,-0.5,False,8.4,2026-04-27 10:00:00,1129.0,1124.0,500,1116.325,2026-04-28 06:30:00,1099.79,1099.94,1.74,1,0,,,0,1099.79,1124.0,1098.75,23.28,False,False,BOUNCED
