ticker,stage,stage_pct,conviction,today_vol_pct_of_avg,recent_8bar_green_count,recent_8bar_move_pct,first_consumption_recent,days_since_advance,rej_tf,rej_tf_weight,rej_ticks,rej_wicked,bounce_tf,bounce_ticks,bounce_wicked,oh_fresh_w,oh_wicked_w,oh_effective_w,oh_n_fresh,oh_n_wicked,top_overhead,rejection_dt,rejection_price,bounce_dt,snapshot_price,target,stop,rr,n_bearish_total,n_bearish_consumed,risk_climax,risk_vol_ratio,av20_volume,fresh_bull_5m_below,n_overhead_remaining
BRBR,BOUNCED_WAITING,0,4,240.5,4,0.8,False,1.2,1d,20,24,False,5m,2,False,33278,11017,38786.5,72,6,1d.818t | 1d.522t~ | 1d.61t,2026-04-27T09:30:00.000000000,16.7,2026-05-05T11:00:00.000000000,10.76,18.15,9.5209,5.96,26,0,False,2.66,4125839,0,78
PLTR,BOUNCED_CLEAN,0,1,103.5,3,-0.4,False,1.0,1d,20,225,True,1d,206,True,70604,18152,79680.0,27,4,1d.612t | 1d.330t~ | 1d.272t,2026-05-05T04:15:00.000000000,141.86,2026-05-05T18:30:00.000000000,133.19,142.98,132.1053,9.03,0,0,False,1.03,49247942,0,31
BRBR,BOUNCED_WAITING,0,4,240.5,4,0.8,False,1.2,4h,12,20,False,5m,2,False,33278,11017,38786.5,72,6,1d.818t | 1d.522t~ | 1d.61t,2026-04-30T15:15:00.000000000,17.87,2026-05-05T11:00:00.000000000,10.76,18.8,9.5209,6.49,31,0,False,2.66,4125839,0,78
BRBR,BOUNCED_WAITING,0,4,240.5,4,0.8,False,1.2,4h,12,34,True,5m,2,False,33278,11017,38786.5,72,6,1d.818t | 1d.522t~ | 1d.61t,2026-04-21T09:45:00.000000000,17.07,2026-05-05T11:00:00.000000000,10.76,18.0534,9.5209,5.89,26,0,False,2.66,4125839,0,78
BRBR,BOUNCED_WAITING,0,4,240.5,4,0.8,False,1.2,4h,12,33,False,5m,2,False,33278,11017,38786.5,72,6,1d.818t | 1d.522t~ | 1d.61t,2026-04-28T09:30:00.000000000,16.94,2026-05-05T11:00:00.000000000,10.76,18.18,9.5209,5.99,26,0,False,2.66,4125839,0,78
BRBR,BOUNCED_WAITING,0,4,240.5,4,0.8,False,1.2,15m,5,48,False,5m,2,False,33278,11017,38786.5,72,6,1d.818t | 1d.522t~ | 1d.61t,2026-05-04T17:30:00.000000000,17.36,2026-05-05T11:00:00.000000000,10.76,17.82,9.5209,5.7,21,0,False,2.66,4125839,0,78
BRBR,BOUNCED_WAITING,0,4,240.5,4,0.8,False,1.2,15m,5,45,False,5m,2,False,33278,11017,38786.5,72,6,1d.818t | 1d.522t~ | 1d.61t,2026-05-05T07:30:00.000000000,12.0,2026-05-05T11:00:00.000000000,10.76,13.05,9.5209,1.85,10,0,False,2.66,4125839,0,78
SMMT,BOUNCED_WAITING,0,0,68.4,2,0.6,False,5.0,1d,20,30,False,1m,4,False,2154,6391,5349.5,37,28,1d.440t~ | 1d.141t~ | 1d.120t~,2026-04-21T10:15:00.000000000,28.1299,2026-05-01T17:15:00.000000000,17.82,28.22,16.0778,5.97,64,0,False,0.69,4821894,0,65
SMMT,BOUNCED_WAITING,0,0,68.4,2,0.6,False,5.0,15m,5,43,True,1m,4,False,2154,6391,5349.5,37,28,1d.440t~ | 1d.141t~ | 1d.120t~,2026-04-23T04:30:00.000000000,23.77,2026-05-01T17:15:00.000000000,17.82,24.15,16.0778,3.63,53,0,False,0.69,4821894,0,65
SMMT,BOUNCED_WAITING,0,0,68.4,2,0.6,False,5.0,15m,5,25,False,1m,4,False,2154,6391,5349.5,37,28,1d.440t~ | 1d.141t~ | 1d.120t~,2026-04-24T09:00:00.000000000,22.6827,2026-05-01T17:15:00.000000000,17.82,22.75,16.0778,2.83,46,0,False,0.69,4821894,0,65
SMMT,BOUNCED_WAITING,0,0,68.4,2,0.6,False,5.0,15m,5,21,False,1m,4,False,2154,6391,5349.5,37,28,1d.440t~ | 1d.141t~ | 1d.120t~,2026-04-27T07:30:00.000000000,22.5,2026-05-01T17:15:00.000000000,17.82,22.53,16.0778,2.7,37,0,False,0.69,4821894,0,65
