ticker,stage,stage_pct,conviction,today_vol_pct_of_avg,recent_8bar_green_count,recent_8bar_move_pct,first_consumption_recent,days_since_advance,rej_tf,rej_tf_weight,rej_ticks,rej_wicked,bounce_tf,bounce_ticks,bounce_wicked,oh_fresh_w,oh_wicked_w,oh_effective_w,oh_n_fresh,oh_n_wicked,top_overhead,rejection_dt,rejection_price,bounce_dt,snapshot_price,target,stop,rr,n_bearish_total,n_bearish_consumed,risk_climax,risk_vol_ratio,av20_volume,fresh_bull_5m_below,n_overhead_remaining
COHR,BOUNCED_CLEAN,0,1,130.5,3,0.3,False,1.0,1d,20,1307,True,1m,159,False,750,148,824.0,3,1,1d.752t~ | 15m.298t | 15m.271t,2026-05-07T09:00:00.000000000,327.53,2026-05-07T19:00:00.000000000,333.66,328.84,311.7852,,0,0,False,1.31,5729951,0,4
SHLS,BOUNCED_WAITING,0,3,151.9,5,-0.1,False,0.4,1d,20,27,False,1m,28,False,2975,30,2990.0,39,4,1d.46t | 1d.27t | 1d.18t,2026-05-05T07:30:00.000000000,9.99,2026-05-08T08:00:00.000000000,8.8,10.35,7.7944,1.54,30,0,False,1.6,5241032,0,43
SABR,BOUNCED_WAITING,0,2,197.8,1,0.7,False,0.5,1d,20,66,False,1m,7,False,1944,16,1952.0,27,6,1d.66t | 1d.8t | 1d.4t,2026-05-07T08:45:00.000000000,2.2197,2026-05-08T04:45:00.000000000,2.07,2.25,1.9661,1.73,5,0,False,2.13,4259889,0,33
LSCC,BOUNCED_CLEAN,0,3,118.5,4,1.7,False,3.3,15m,5,219,False,3m,197,True,1065,0,1065.0,8,0,15m.50t | 10m.50t | 5m.55t,2026-05-05T07:15:00.000000000,124.2,2026-05-05T10:45:00.000000000,126.89,126.81,114.3763,,0,0,False,1.24,2092594,0,8
TSSI,BOUNCED_CLEAN,0,4,314.5,3,1.6,False,0.3,1d,20,328,True,1m,3,True,17927,406,18130.0,62,8,1d.446t | 1d.94t | 1d.75t,2026-05-08T05:00:00.000000000,11.99,2026-05-08T10:30:00.000000000,12.08,12.08,10.4291,,0,0,False,3.57,1795966,0,70
PUMP,BOUNCED_WAITING,0,1,80.5,2,1.4,False,2.4,15m,5,22,False,1m,84,False,3119,1618,3928.0,31,6,1d.78t | 1d.17t | 4h.41t~,2026-04-30T04:00:00.000000000,18.57,2026-05-06T07:30:00.000000000,16.0,19.0,15.0798,3.26,21,0,False,0.82,4298821,0,37
PUMP,BOUNCED_WAITING,0,1,80.5,2,1.4,False,2.4,15m,5,31,False,1m,84,False,3119,1618,3928.0,31,6,1d.78t | 1d.17t | 4h.41t~,2026-05-01T09:15:00.000000000,16.87,2026-05-06T07:30:00.000000000,16.0,17.11,15.0798,1.21,11,0,False,0.82,4298821,0,37
XNDU,BOUNCED_WAITING,0,1,130.5,3,0.3,False,4.3,1h,8,31,False,1m,5,True,3167,336,3335.0,90,15,1d.1351t | 1d.98t~ | 1d.82t,2026-05-01T16:15:00.000000000,34.92,2026-05-04T09:45:00.000000000,15.94,35.8,12.6263,5.99,48,0,False,1.39,8580123,0,105
XNDU,BOUNCED_WAITING,0,1,130.5,3,0.3,False,4.3,15m,5,22,False,1m,5,True,3167,336,3335.0,90,15,1d.1351t | 1d.98t~ | 1d.82t,2026-05-04T05:00:00.000000000,34.58,2026-05-04T09:45:00.000000000,15.94,35.25,12.6263,5.83,32,0,False,1.39,8580123,0,105
ARM,BOUNCED_CLEAN,0,2,106.8,4,0.1,False,1.0,1d,20,960,True,1m,44,False,54,19803,9955.5,1,11,1d.960t~ | 15m.67t | 15m.48t,2026-05-07T05:30:00.000000000,222.0,2026-05-07T18:15:00.000000000,212.25,222.395,208.2626,2.54,0,0,False,1.09,10215816,0,12
TSSI,BOUNCED_WAITING,0,4,314.5,3,1.6,False,0.6,1d,20,75,False,1d,323,True,17927,406,18130.0,62,8,1d.446t | 1d.94t | 1d.75t,2026-05-06T11:00:00.000000000,16.9199,2026-05-08T04:00:00.000000000,12.08,17.85,9.1916,2.0,52,0,False,3.57,1795966,0,70
CTNT,BOUNCED_WAITING,0,3,337.6,2,-3.4,False,0.4,1d,20,23,True,1d,5,True,76379,33370,93064.0,110,20,1d.1200t~ | 1d.1000t | 1d.1000t,2026-04-30T14:15:00.000000000,3.55,2026-05-08T08:00:00.000000000,2.82,4.21,2.5549,5.24,5,0,False,4.06,2207595,0,130
WGS,BOUNCED_CLEAN,0,1,127.1,0,-1.8,False,2.1,1d,20,2766,True,1m,9,False,99036,12408,105240.0,97,16,1d.229t | 1d.188t | 1d.181t,2026-05-05T08:45:00.000000000,37.21,2026-05-06T14:45:00.000000000,40.3195,37.46,33.6675,,0,0,False,1.33,1535416,0,113
PGY,BOUNCED_WAITING,0,2,154.4,3,-0.2,False,0.3,1d,20,69,True,1m,15,True,23428,5454,26155.0,57,8,1d.192t~ | 1d.108t | 1d.107t,2026-05-07T09:45:00.000000000,16.08,2026-05-08T10:00:00.000000000,15.16,16.44,14.3712,1.62,9,0,False,1.63,3700461,0,65
HUBS,BOUNCED_WAITING,0,5,406.0,6,0.0,False,0.3,1h,8,158,False,5m,72,True,595832,1990,596827.0,102,4,1d.4869t | 1d.4233t | 1d.2438t,2026-05-01T09:30:00.000000000,240.32,2026-05-08T10:00:00.000000000,197.43,257.3,187.7388,6.18,30,0,False,4.56,1535024,0,106
HUBS,BOUNCED_WAITING,0,5,406.0,6,0.0,False,0.3,1h,8,115,False,5m,72,True,595832,1990,596827.0,102,4,1d.4869t | 1d.4233t | 1d.2438t,2026-05-04T10:15:00.000000000,253.78,2026-05-08T10:00:00.000000000,197.43,264.81,187.7388,6.95,30,0,False,4.56,1535024,0,106
APP,BOUNCED_CLEAN,0,2,179.3,1,-0.6,False,2.0,4h,12,1718,False,3m,100,True,159414,660,159744.0,24,3,1d.1376t | 1d.1104t~ | 1d.600t,2026-05-06T16:00:00.000000000,488.72,2026-05-06T16:45:00.000000000,465.51,549.37,447.114,4.56,0,0,False,1.86,4090418,0,27
BRBR,BOUNCED_WAITING,0,3,121.4,4,2.4,False,3.3,1d,20,24,False,5m,2,False,33095,11017,38603.5,66,6,1d.818t | 1d.522t~ | 1d.61t,2026-04-27T09:30:00.000000000,16.7,2026-05-05T11:00:00.000000000,10.4889,18.15,9.5209,7.91,25,0,False,1.23,4305196,0,72
DIS,BOUNCED_CLEAN,0,0,87.8,2,-0.3,False,2.4,1d,20,26,False,1m,22,False,22298,17133,30864.5,28,10,1d.503t~ | 1d.238t~ | 1d.121t,2026-05-06T06:45:00.000000000,104.6,2026-05-06T08:00:00.000000000,107.57,114.6,104.0714,2.01,0,0,False,0.88,7334346,0,38
HUBS,BOUNCED_WAITING,0,5,406.0,6,0.0,False,0.3,15m,5,100,False,5m,72,True,595832,1990,596827.0,102,4,1d.4869t | 1d.4233t | 1d.2438t,2026-05-07T16:45:00.000000000,200.55,2026-05-08T10:00:00.000000000,197.43,214.0,187.7388,1.71,16,0,False,4.56,1535024,0,106
PLTR,BOUNCED_CLEAN,0,0,86.6,3,-0.2,False,3.0,1d,20,225,True,1d,206,True,70604,18152,79680.0,27,4,1d.612t | 1d.330t~ | 1d.267t,2026-05-05T04:15:00.000000000,141.86,2026-05-05T18:30:00.000000000,137.2,142.98,132.1053,1.13,0,0,False,0.8,43497804,0,31
DIS,BOUNCED_CLEAN,0,0,87.8,2,-0.3,False,1.2,4h,12,32,False,1m,44,True,22298,17133,30864.5,28,10,1d.503t~ | 1d.238t~ | 1d.121t,2026-05-07T09:30:00.000000000,110.35,2026-05-07T13:45:00.000000000,107.57,115.28,107.0844,15.88,0,0,False,0.88,7334346,0,38
BRBR,BOUNCED_WAITING,0,3,121.4,4,2.4,False,3.3,4h,12,20,False,5m,2,False,33095,11017,38603.5,66,6,1d.818t | 1d.522t~ | 1d.61t,2026-04-30T15:15:00.000000000,17.87,2026-05-05T11:00:00.000000000,10.4889,18.8,9.5209,8.59,30,0,False,1.23,4305196,0,72
BRBR,BOUNCED_WAITING,0,3,121.4,4,2.4,False,3.3,4h,12,34,True,5m,2,False,33095,11017,38603.5,66,6,1d.818t | 1d.522t~ | 1d.61t,2026-04-21T09:45:00.000000000,17.07,2026-05-05T11:00:00.000000000,10.4889,18.0534,9.5209,7.81,25,0,False,1.23,4305196,0,72
BRBR,BOUNCED_WAITING,0,3,121.4,4,2.4,False,3.3,4h,12,33,False,5m,2,False,33095,11017,38603.5,66,6,1d.818t | 1d.522t~ | 1d.61t,2026-04-28T09:30:00.000000000,16.94,2026-05-05T11:00:00.000000000,10.4889,18.18,9.5209,7.95,25,0,False,1.23,4305196,0,72
PYPL,BOUNCED_WAITING,0,1,98.1,4,0.1,False,3.3,1d,20,50,False,1h,12,False,31164,0,31164.0,37,0,1d.465t | 1d.350t | 1d.114t,2026-05-05T07:00:00.000000000,51.6,2026-05-05T09:30:00.000000000,45.405,55.01,44.7104,13.83,4,0,False,0.98,12261396,0,37
DASH,BOUNCED_CLEAN,0,1,130.5,2,-0.1,False,2.1,15m,5,187,True,15m,43,False,111803,15127,119366.5,41,41,1d.2353t | 1d.293t | 1d.281t,2026-04-21T05:30:00.000000000,190.5,2026-05-06T16:00:00.000000000,163.73,191.66,159.0801,6.01,0,0,False,1.35,4066041,0,82
UPST,BOUNCED_WAITING,0,0,91.6,3,-0.1,False,3.0,1d,20,58,True,1h,10,False,62449,4610,64754.0,55,22,1d.411t | 1d.302t | 1d.252t,2026-04-23T09:00:00.000000000,34.11,2026-05-05T17:45:00.000000000,28.93,34.16,26.3472,2.02,15,0,False,0.94,4663123,0,77
BRBR,BOUNCED_WAITING,0,3,121.4,4,2.4,False,3.3,15m,5,48,False,5m,2,False,33095,11017,38603.5,66,6,1d.818t | 1d.522t~ | 1d.61t,2026-05-04T17:30:00.000000000,17.36,2026-05-05T11:00:00.000000000,10.4889,17.82,9.5209,7.57,20,0,False,1.23,4305196,0,72
BRBR,BOUNCED_WAITING,0,3,121.4,4,2.4,False,3.3,15m,5,45,False,5m,2,False,33095,11017,38603.5,66,6,1d.818t | 1d.522t~ | 1d.61t,2026-05-05T07:30:00.000000000,12.01,2026-05-05T11:00:00.000000000,10.4889,13.05,9.5209,2.65,9,0,False,1.23,4305196,0,72
WGS,BOUNCED_WAITING,0,1,127.1,0,-1.8,False,2.1,15m,5,83,False,1m,9,False,99036,12408,105240.0,97,16,1d.229t | 1d.188t | 1d.181t,2026-04-23T09:30:00.000000000,66.93,2026-05-06T14:45:00.000000000,40.3195,69.0,33.6675,4.31,30,0,False,1.33,1535416,0,113
WGS,BOUNCED_WAITING,0,1,127.1,0,-1.8,False,2.1,15m,5,85,True,1m,9,False,99036,12408,105240.0,97,16,1d.229t | 1d.188t | 1d.181t,2026-04-27T09:45:00.000000000,68.0,2026-05-06T14:45:00.000000000,40.3195,68.12,33.6675,4.18,21,0,False,1.33,1535416,0,113
WSC,BOUNCED_CLEAN,0,3,448.4,3,0.4,False,0.4,1d,20,249,False,3m,36,False,1480,920,1940.0,3,2,1d.36t | 1d.31t~ | 1d.20t,2026-05-07T18:15:00.000000000,25.24,2026-05-08T07:15:00.000000000,28.19,26.64,23.1935,,0,0,True,5.66,2808116,0,5
WSC,BOUNCED_CLEAN,0,3,448.4,3,0.4,False,0.0,1d,20,20,False,1m,40,False,1480,920,1940.0,3,2,1d.36t | 1d.31t~ | 1d.20t,2026-05-08T15:15:00.000000000,28.44,2026-05-08T17:15:00.000000000,28.19,29.76,27.6845,3.11,0,0,True,5.66,2808116,0,5
