ticker,stage,stage_pct,conviction,today_vol_pct_of_avg,recent_8bar_green_count,recent_8bar_move_pct,first_consumption_recent,days_since_advance,rej_tf,rej_tf_weight,rej_ticks,rej_wicked,bounce_tf,bounce_ticks,bounce_wicked,oh_fresh_w,oh_wicked_w,oh_effective_w,oh_n_fresh,oh_n_wicked,top_overhead,rejection_dt,rejection_price,bounce_dt,snapshot_price,target,stop,rr,n_bearish_total,n_bearish_consumed,risk_climax,risk_vol_ratio,av20_volume,fresh_bull_5m_below,n_overhead_remaining
WSC,BOUNCED_CLEAN,0,2,86.5,5,1.0,False,3.3,1d,20,249,False,3m,36,False,2169,920,2629.0,10,2,1d.48t | 1d.38t~ | 1d.36t,2026-05-07T18:15:00.000000000,25.24,2026-05-08T07:15:00.000000000,27.035,26.64,23.1935,,0,0,False,0.88,2872893,0,12
HUBS,BOUNCED_CLEAN,0,2,103.8,4,-0.9,False,3.2,1d,20,4233,True,5m,72,True,452071,86451,495296.5,85,4,1d.4869t | 1d.4233t~ | 1d.1440t,2026-05-08T05:00:00.000000000,197.0,2026-05-08T10:00:00.000000000,189.88,198.09,187.7388,3.83,0,0,False,1.04,1536127,0,89
WGS,BOUNCED_CLEAN,0,2,61.2,4,1.0,False,5.0,1d,20,2766,True,1m,9,False,97293,12807,103696.5,99,19,1d.229t | 1d.188t | 1d.181t,2026-05-05T08:45:00.000000000,37.21,2026-05-06T14:45:00.000000000,39.24,37.46,33.6675,,0,0,False,0.62,1562119,0,118
PGY,BOUNCED_WAITING,0,1,66.1,5,-0.2,False,3.2,1d,20,69,True,3m,15,True,23402,6164,26484.0,69,16,1d.192t~ | 1d.108t | 1d.107t,2026-05-07T09:45:00.000000000,16.08,2026-05-08T10:00:00.000000000,14.78,16.44,14.3712,4.06,9,0,False,0.66,3718825,0,85
TSSI,BOUNCED_WAITING,0,1,109.0,2,-4.6,False,3.4,1d,20,75,False,1d,323,False,17700,6966,21183.0,46,9,1d.446t | 1d.328t~ | 1d.94t,2026-05-06T11:00:00.000000000,16.9199,2026-05-08T04:00:00.000000000,11.65,17.85,9.1916,2.52,42,0,False,1.06,1742527,0,55
NTRA,BOUNCED_WAITING,0,0,97.3,2,-1.6,False,3.1,1d,20,208,False,5m,397,True,46844,3076,48382.0,39,9,1d.787t | 1d.550t | 1d.252t~,2026-05-07T10:45:00.000000000,218.06,2026-05-08T12:00:00.000000000,197.855,231.05,189.6499,4.05,26,0,False,0.99,1303047,0,48
CTNT,BOUNCED_WAITING,0,0,9.4,2,-0.9,False,3.2,1d,20,23,True,1d,5,True,76352,9438,81071.0,121,30,1d.1200t~ | 1d.1000t | 1d.1000t,2026-04-30T14:15:00.000000000,3.55,2026-05-08T08:00:00.000000000,2.69,4.21,2.5549,11.25,4,0,False,0.09,2223869,0,151
HUBS,BOUNCED_WAITING,0,2,103.8,4,-0.9,False,3.2,1h,8,115,False,5m,72,True,452071,86451,495296.5,85,4,1d.4869t | 1d.4233t~ | 1d.1440t,2026-05-04T10:15:00.000000000,253.78,2026-05-08T10:00:00.000000000,189.88,264.81,187.7388,34.99,16,0,False,1.04,1536127,0,89
HUBS,BOUNCED_WAITING,0,2,103.8,4,-0.9,False,3.2,1h,8,585,False,5m,72,True,452071,86451,495296.5,85,4,1d.4869t | 1d.4233t~ | 1d.1440t,2026-05-01T09:30:00.000000000,240.32,2026-05-08T10:00:00.000000000,189.88,260.01,187.7388,32.75,16,0,False,1.04,1536127,0,89
HUBS,BOUNCED_WAITING,0,2,103.8,4,-0.9,False,3.2,15m,5,100,False,5m,72,True,452071,86451,495296.5,85,4,1d.4869t | 1d.4233t~ | 1d.1440t,2026-05-07T16:45:00.000000000,200.55,2026-05-08T10:00:00.000000000,189.88,214.0,187.7388,11.26,4,0,False,1.04,1536127,0,89
NTRA,BOUNCED_WAITING,0,0,97.3,2,-1.6,False,3.1,4h,12,263,False,5m,397,True,46844,3076,48382.0,39,9,1d.787t | 1d.550t | 1d.252t~,2026-04-15T09:30:00.000000000,218.105,2026-05-08T12:00:00.000000000,197.855,230.5,189.6499,3.98,26,0,False,0.99,1303047,0,48
