ticker,stage,stage_pct,conviction,today_vol_pct_of_avg,recent_8bar_green_count,recent_8bar_move_pct,first_consumption_recent,days_since_advance,rej_tf,rej_tf_weight,rej_ticks,rej_wicked,bounce_tf,bounce_ticks,bounce_wicked,oh_fresh_w,oh_wicked_w,oh_effective_w,oh_n_fresh,oh_n_wicked,top_overhead,rejection_dt,rejection_price,bounce_dt,snapshot_price,target,stop,rr,n_bearish_total,n_bearish_consumed,risk_climax,risk_vol_ratio,av20_volume,fresh_bull_5m_below,n_overhead_remaining
OCS,BOUNCED_WAITING,0,1,103.1,3,-0.1,False,1.3,1d,20,50,True,3m,36,False,3868,1600,4668.0,27,5,1d.50t~ | 4h.70t | 4h.33t,2026-05-12T09:30:00.000,31.58,2026-05-21T09:45:00.000,29.49,32.15,28.2434,2.13,4,0,False,1.03,442873,0,32
OCS,BOUNCED_CLEAN,0,1,103.1,3,-0.1,False,1.3,15m,5,82,False,3m,36,False,3868,1600,4668.0,27,5,1d.50t~ | 4h.70t | 4h.33t,2026-05-14T10:00:00.000,30.44,2026-05-21T09:45:00.000,29.49,31.29,28.2434,1.44,0,0,False,1.03,442873,0,32
OCS,BOUNCED_WAITING,0,1,103.1,3,-0.1,False,1.3,15m,5,30,True,3m,36,False,3868,1600,4668.0,27,5,1d.50t~ | 4h.70t | 4h.33t,2026-05-11T10:00:00.000,33.9,2026-05-21T09:45:00.000,29.49,34.0,28.2434,3.62,7,0,False,1.03,442873,0,32
GPRE,BOUNCED_WAITING,0,1,5.5,4,-0.2,False,4.7,15m,5,85,True,1h,21,True,770,6302,3921.0,27,51,1d.49t~ | 1d.22t | 1d.11t,2026-05-06T09:30:00.000,17.65,2026-05-21T16:00:00.000,15.53,17.75,14.98,4.04,64,0,False,0.05,1221636,0,78
GPRE,BOUNCED_WAITING,0,1,5.5,4,-0.2,False,4.7,15m,5,47,True,1h,21,True,770,6302,3921.0,27,51,1d.49t~ | 1d.22t | 1d.11t,2026-05-12T09:15:00.000,17.07,2026-05-21T16:00:00.000,15.53,17.3,14.98,3.22,51,0,False,0.05,1221636,0,78
GPRE,BOUNCED_WAITING,0,1,5.5,4,-0.2,False,4.7,15m,5,65,True,1h,21,True,770,6302,3921.0,27,51,1d.49t~ | 1d.22t | 1d.11t,2026-05-15T09:45:00.000,16.8,2026-05-21T16:00:00.000,15.53,16.91,14.98,2.51,32,0,False,0.05,1221636,0,78
GPRE,BOUNCED_WAITING,0,1,5.5,4,-0.2,False,4.7,15m,5,31,True,1h,21,True,770,6302,3921.0,27,51,1d.49t~ | 1d.22t | 1d.11t,2026-05-18T06:45:00.000,17.13,2026-05-21T16:00:00.000,15.53,17.15,14.98,2.95,47,0,False,0.05,1221636,0,78
SMMT,BOUNCED_CLEAN,0,0,0.2,2,0.2,False,4.0,1d,20,85,True,1m,9,False,13020,19222,22631.0,31,25,1d.440t~ | 1d.404t~ | 1d.141t,2026-05-22T06:30:00.000,16.6152,2026-05-22T07:30:00.000,16.73,16.62,15.6886,,0,0,False,0.0,3899093,0,56
KTB,BOUNCED_WAITING,0,1,59.2,4,0.0,False,1.3,1d,20,39,True,1d,96,True,5353,796,5751.0,13,2,1d.175t | 1d.158t | 1d.86t,2026-05-07T09:00:00.000,79.58,2026-05-21T08:15:00.000,69.91,81.96,65.1095,2.51,11,0,False,0.58,693929,0,15
HOV,BOUNCED_CLEAN,0,2,161.0,0,-7.0,False,1.3,15m,5,26,False,1d,375,True,90873,3718,92732.0,88,7,1d.391t | 1d.378t | 1d.288t,2026-04-29T09:30:00.000,115.68,2026-05-21T09:30:00.000,104.9,117.04,97.814,1.71,0,0,False,1.66,100123,0,95
ABVX,BOUNCED_CLEAN,0,0,13.2,2,-2.2,False,5.0,1d,20,34,False,3m,32,False,8378,0,8378.0,23,0,1d.72t | 1d.40t | 1d.34t,2026-05-06T04:00:00.000,130.12,2026-05-21T09:30:00.000,127.14,138.0,118.1432,1.21,0,0,False,0.13,866559,0,23
SVV,BOUNCED_WAITING,0,0,99.1,2,0.2,False,2.2,1d,20,20,False,3m,1,False,8340,0,8340.0,49,0,1d.150t | 1d.26t | 1d.20t,2026-04-27T12:30:00.000,8.77,2026-05-20T10:45:00.000,8.19,9.23,7.1856,1.04,9,0,False,0.99,1133396,0,49
HOV,BOUNCED_WAITING,0,2,161.0,0,-7.0,False,1.3,1h,8,43,False,1d,375,True,90873,3718,92732.0,88,7,1d.391t | 1d.378t | 1d.288t,2026-04-27T09:45:00.000,117.0,2026-05-21T09:30:00.000,104.9,122.35,97.814,2.46,5,0,False,1.66,100123,0,95
WDAY,BOUNCED_CLEAN,0,0,0.8,2,-1.5,False,4.9,4h,12,48,False,5m,48,False,117816,1118,118375.0,64,8,1d.873t | 1d.730t | 1d.322t,2026-05-07T14:15:00.000,133.06,2026-05-21T09:45:00.000,126.6914,140.02,119.241,1.79,0,0,False,0.01,4139860,0,72
WDAY,BOUNCED_CLEAN,0,0,0.8,2,-1.5,False,4.9,4h,12,123,False,5m,48,False,117816,1118,118375.0,64,8,1d.873t | 1d.730t | 1d.322t,2026-05-19T09:45:00.000,135.23,2026-05-21T09:45:00.000,126.6914,142.27,119.241,2.09,0,0,False,0.01,4139860,0,72
SMMT,BOUNCED_WAITING,0,0,0.2,2,0.2,False,4.0,1d,20,36,True,1m,9,False,13020,19222,22631.0,31,25,1d.440t~ | 1d.404t~ | 1d.141t,2026-05-15T09:30:00.000,17.58,2026-05-22T07:30:00.000,16.73,17.78,15.6886,1.01,3,0,False,0.0,3899093,0,56
OLLI,BOUNCED_CLEAN,0,1,124.1,3,-0.3,False,4.3,15m,5,22,False,5m,16,False,70279,2040,71299.0,69,2,1d.473t | 1d.174t | 1d.136t,2026-04-29T09:15:00.000,87.35,2026-05-18T09:30:00.000,81.84,88.5,78.333,1.9,0,0,False,1.26,1420644,0,71
HOV,BOUNCED_WAITING,0,2,161.0,0,-7.0,False,1.3,15m,5,35,False,1d,375,True,90873,3718,92732.0,88,7,1d.391t | 1d.378t | 1d.288t,2026-04-28T12:30:00.000,118.32,2026-05-21T09:30:00.000,104.9,118.54,97.814,1.92,4,0,False,1.66,100123,0,95
MWH,BOUNCED_CLEAN,0,1,0.1,0,2.7,False,4.8,15m,5,138,True,15m,22,True,6258,11084,11800.0,40,25,1d.139t~ | 1d.70t~ | 4h.78t~,2026-05-21T09:45:00.000,38.505,2026-05-21T12:15:00.000,39.5,38.615,36.7104,,0,0,False,0.0,1002300,0,65
BBAR,BOUNCED_CLEAN,0,0,0.3,2,0.4,False,4.9,1h,8,49,False,1m,13,False,13085,1484,13827.0,64,3,1d.51t~ | 1d.46t | 1d.40t,2026-05-06T11:00:00.000,15.7,2026-05-21T09:45:00.000,15.45,16.11,14.8702,1.14,0,0,False,0.0,544971,0,67
KTB,BOUNCED_WAITING,0,1,59.2,4,0.0,False,1.3,15m,5,42,False,1d,96,True,5353,796,5751.0,13,2,1d.175t | 1d.158t | 1d.86t,2026-05-08T10:45:00.000,76.15,2026-05-21T08:15:00.000,69.91,77.1,65.1095,1.5,7,0,False,0.58,693929,0,15
OLLI,BOUNCED_WAITING,0,1,124.1,3,-0.3,False,4.3,1h,8,116,False,5m,16,False,70279,2040,71299.0,69,2,1d.473t | 1d.174t | 1d.136t,2026-04-27T09:45:00.000,93.1,2026-05-18T09:30:00.000,81.84,96.0851,78.333,4.06,11,0,False,1.26,1420644,0,71
FUTU,BOUNCED_WAITING,0,1,18.7,4,0.3,False,4.0,15m,5,40,False,1m,27,False,60300,7704,64152.0,52,12,1d.662t | 1d.435t | 1d.415t,2026-05-14T04:30:00.000,141.1,2026-05-22T08:15:00.000,95.25,142.9,74.351,2.28,39,0,False,0.19,4710550,0,64
FUTU,BOUNCED_WAITING,0,1,18.7,4,0.3,False,4.0,15m,5,42,False,1m,27,False,60300,7704,64152.0,52,12,1d.662t | 1d.435t | 1d.415t,2026-05-15T04:15:00.000,138.75,2026-05-22T08:15:00.000,95.25,140.75,74.351,2.18,34,0,False,0.19,4710550,0,64
FUTU,BOUNCED_WAITING,0,1,18.7,4,0.3,False,4.0,15m,5,29,True,1m,27,False,60300,7704,64152.0,52,12,1d.662t | 1d.435t | 1d.415t,2026-05-19T07:30:00.000,131.16,2026-05-22T08:15:00.000,95.25,131.2,74.351,1.72,21,0,False,0.19,4710550,0,64
FUTU,BOUNCED_WAITING,0,1,18.7,4,0.3,False,4.0,15m,5,37,False,1m,27,False,60300,7704,64152.0,52,12,1d.662t | 1d.435t | 1d.415t,2026-05-22T04:00:00.000,123.01,2026-05-22T08:15:00.000,95.25,124.01,74.351,1.38,4,0,False,0.19,4710550,0,64
