ticker,stage,stage_pct,conviction,today_vol_pct_of_avg,recent_8bar_green_count,recent_8bar_move_pct,first_consumption_recent,days_since_advance,rej_tf,rej_tf_weight,rej_ticks,rej_wicked,bounce_tf,bounce_ticks,bounce_wicked,oh_fresh_w,oh_wicked_w,oh_effective_w,oh_n_fresh,oh_n_wicked,top_overhead,rejection_dt,rejection_price,bounce_dt,snapshot_price,target,stop,rr,n_bearish_total,n_bearish_consumed,risk_climax,risk_vol_ratio,av20_volume,fresh_bull_5m_below,n_overhead_remaining
ASTI,BOUNCED_CLEAN,0,0,59.1,2,-1.2,False,1.2,1d,20,115,False,1d,28,True,277,204,379.0,11,3,4h.18t | 4h.11t~ | 4h.3t~,2026-05-22T12:45:00.000,5.95,2026-05-26T04:45:00.000,6.4,6.17,5.3493,,0,0,False,0.59,1139478,0,14
CYD,BOUNCED_WAITING,0,4,182.3,5,1.2,False,0.1,15m,5,20,False,1m,13,False,495,12,501.0,11,1,15m.20t | 10m.31t | 3m.23t,2026-05-26T11:00:00.000,59.5,2026-05-26T13:45:00.000,59.05,60.0,58.1185,1.02,2,0,False,1.97,169294,0,12
CECO,BOUNCED_CLEAN,0,1,0.1,3,1.6,False,1.0,15m,5,306,True,1m,33,False,0,0,0.0,0,0,-,2026-05-06T09:30:00.000,86.86,2026-05-26T10:00:00.000,90.5,88.5174,84.3609,,0,0,False,0.0,683929,0,0
SG,BOUNCED_CLEAN,0,1,1.1,5,-0.8,False,0.7,1d,20,203,True,1m,22,True,1356,4075,3393.5,42,2,1d.203t~ | 1d.11t | 1d.11t,2026-05-22T06:15:00.000,9.6,2026-05-26T16:00:00.000,9.37,10.15,8.992,2.06,0,0,False,0.01,5241651,0,44
EVTV,BOUNCED_CLEAN,0,0,1.7,3,0.8,False,1.0,1d,20,41,True,15m,4,True,1080,60,1110.0,44,1,1d.19t | 1d.11t | 4h.13t,2026-05-08T11:00:00.000,2.2,2026-05-26T08:15:00.000,2.52,2.33,2.1357,,0,0,False,0.02,700073,0,45
NP,BOUNCED_CLEAN,0,3,167.8,4,0.8,False,0.2,15m,5,95,True,1m,47,False,3209,780,3599.0,8,1,1d.39t~ | 4h.25t | 4h.7t,2026-05-12T08:15:00.000,28.81,2026-05-26T09:45:00.000,28.94,28.85,27.8342,,0,0,False,1.78,778620,0,9
ENHA,BOUNCED_WAITING,0,4,5.8,8,4.4,False,0.6,15m,5,61,False,1m,2,False,2838,2297,3986.5,77,26,1d.95t | 1d.30t | 1d.8t,2026-05-11T08:45:00.000,8.8134,2026-05-26T19:30:00.000,3.06,9.09,2.7744,21.12,93,0,False,0.05,1370214,0,103
ENHA,BOUNCED_WAITING,0,4,5.8,8,4.4,False,0.6,15m,5,25,False,1m,2,False,2838,2297,3986.5,77,26,1d.95t | 1d.30t | 1d.8t,2026-05-12T07:15:00.000,7.9615,2026-05-26T19:30:00.000,3.06,8.0,2.7744,17.3,84,0,False,0.05,1370214,0,103
ENHA,BOUNCED_WAITING,0,4,5.8,8,4.4,False,0.6,15m,5,68,False,1m,2,False,2838,2297,3986.5,77,26,1d.95t | 1d.30t | 1d.8t,2026-05-18T16:00:00.000,6.61,2026-05-26T19:30:00.000,3.06,7.31,2.7744,14.88,77,0,False,0.05,1370214,0,103
ENHA,BOUNCED_WAITING,0,4,5.8,8,4.4,False,0.6,15m,5,27,True,1m,2,False,2838,2297,3986.5,77,26,1d.95t | 1d.30t | 1d.8t,2026-05-13T06:15:00.000,6.455,2026-05-26T19:30:00.000,3.06,6.51,2.7744,12.08,77,0,False,0.05,1370214,0,103
ENHA,BOUNCED_WAITING,0,4,5.8,8,4.4,False,0.6,15m,5,23,False,1m,2,False,2838,2297,3986.5,77,26,1d.95t | 1d.30t | 1d.8t,2026-05-26T07:30:00.000,4.55,2026-05-26T19:30:00.000,3.06,5.06,2.7744,7.0,46,0,False,0.05,1370214,0,103
OTLK,BOUNCED_WAITING,0,0,26.0,2,-2.3,False,0.6,1d,20,80,False,1m,1,False,4640,0,4640.0,59,1,1d.99t | 1d.80t | 1d.24t,2026-05-26T07:30:00.000,0.6917,2026-05-26T18:00:00.000,0.391,0.72,0.3708,16.25,20,0,False,0.26,22369392,0,60
