ticker,stage,stage_pct,conviction,today_vol_pct_of_avg,recent_8bar_green_count,recent_8bar_move_pct,first_consumption_recent,days_since_advance,rej_tf,rej_tf_weight,rej_ticks,rej_wicked,bounce_tf,bounce_ticks,bounce_wicked,oh_fresh_w,oh_wicked_w,oh_effective_w,oh_n_fresh,oh_n_wicked,top_overhead,rejection_dt,rejection_price,bounce_dt,snapshot_price,target,stop,rr,n_bearish_total,n_bearish_consumed,risk_climax,risk_vol_ratio,av20_volume,fresh_bull_5m_below,n_overhead_remaining
ADBE,BOUNCED_WAITING,0,2,15.1,5,1.1,False,0.7,1d,20,137,False,1h,232,False,217005,60016,247013.0,41,12,weekly.710t | weekly.646t | weekly.571t,2026-08-28T10:30:00.000,293.6,2026-09-10T16:00:00.000,242.05,308.57,237.2146,13.76,25,0,False,0.14,3725653,0,53
ORCL,BOUNCED_CLEAN,0,1,16.2,5,-0.7,False,0.6,4h,12,129,False,3m,73,False,301990,42448,323214.0,43,6,weekly.464t | weekly.391t | weekly.246t~,2026-09-08T04:00:00.000,163.18,2026-09-10T17:00:00.000,162.8,173.31,153.692,1.15,0,0,False,0.15,20395495,0,49
FCEL,BOUNCED_CLEAN,0,0,1.1,3,-0.6,False,3.2,1d,20,25,True,1m,10,False,14809,13169,21393.5,57,30,weekly.90t | weekly.85t~ | weekly.77t~,2026-08-28T09:45:00.000,18.92,2026-09-08T04:30:00.000,15.9,19.07,14.7604,2.78,0,0,False,0.01,7503732,0,87
ADBE,BOUNCED_WAITING,0,2,15.1,5,1.1,False,0.7,15m,5,194,False,1h,232,False,217005,60016,247013.0,41,12,weekly.710t | weekly.646t | weekly.571t,2026-09-04T06:00:00.000,277.9,2026-09-10T16:00:00.000,242.05,279.54,237.2146,7.75,17,0,False,0.14,3725653,0,53
ADBE,BOUNCED_WAITING,0,2,15.1,5,1.1,False,0.7,15m,5,182,False,1h,232,False,217005,60016,247013.0,41,12,weekly.710t | weekly.646t | weekly.571t,2026-09-08T04:30:00.000,264.2349,2026-09-10T16:00:00.000,242.05,264.69,237.2146,4.68,8,0,False,0.14,3725653,0,53
COMP,BOUNCED_WAITING,0,1,0.0,2,1.3,False,0.8,15m,5,28,False,1d,31,True,4273,2364,5455.0,65,25,weekly.17t | weekly.13t | weekly.12t,2026-08-20T09:45:00.000,12.4562,2026-09-10T14:15:00.000,10.24,12.47,9.9501,7.69,67,0,False,0.0,8346363,0,90
COMP,BOUNCED_WAITING,0,1,0.0,2,1.3,False,0.8,15m,5,24,True,1d,31,True,4273,2364,5455.0,65,25,weekly.17t | weekly.13t | weekly.12t,2026-08-21T10:15:00.000,11.76,2026-09-10T14:15:00.000,10.24,11.95,9.9501,5.9,62,0,False,0.0,8346363,0,90
COMP,BOUNCED_WAITING,0,1,0.0,2,1.3,False,0.8,15m,5,22,False,1d,31,True,4273,2364,5455.0,65,25,weekly.17t | weekly.13t | weekly.12t,2026-08-26T09:30:00.000,11.49,2026-09-10T14:15:00.000,10.24,11.5335,9.9501,4.46,46,0,False,0.0,8346363,0,90
COMP,BOUNCED_WAITING,0,1,0.0,2,1.3,False,0.8,15m,5,20,True,1d,31,True,4273,2364,5455.0,65,25,weekly.17t | weekly.13t | weekly.12t,2026-09-09T11:00:00.000,10.665,2026-09-10T14:15:00.000,10.24,10.715,9.9501,1.64,1,0,False,0.0,8346363,0,90
SHOP,BOUNCED_WAITING,0,1,1.7,5,0.2,False,1.0,15m,5,130,False,45m,41,True,41526,31977,57514.5,26,15,weekly.573t~ | weekly.339t~ | weekly.116t,2026-09-08T04:15:00.000,142.5,2026-09-10T09:30:00.000,130.3,143.51,123.752,2.02,14,0,False,0.02,6143744,0,41
SHOP,BOUNCED_WAITING,0,1,1.7,5,0.2,False,3.2,15m,5,60,False,1d,2095,True,41526,31977,57514.5,26,15,weekly.573t~ | weekly.339t~ | weekly.116t,2026-08-31T04:00:00.000,152.0,2026-09-08T04:00:00.000,130.3,152.4,123.0534,3.05,3,0,False,0.02,6143744,0,41
