ticker,side,stage,conviction,fem,entry,stop,t1,rr,last_px,high,low,volume,chg_pct,outcome,result_r,n_bearish_total,n_bearish_consumed,fresh_bull_5m_below,entry_ready,ath_pct,ath_bucket,checked_at,scan_date
BRBR,LONG,BOUNCED_WAITING,4,5.96,10.76,9.5209,18.15,5.96,11.100000381469727,11.199999809265137,9.59000015258789,11360100.0,3.16,WINNING,0.27,26,0,0,False,83.1,DEEP_BELOW,2026-05-22_1323,2026-05-06
PLTR,LONG,BOUNCED_CLEAN,1,9.03,133.19,132.1053,142.98,9.03,133.7899932861328,135.6999969482422,131.14999389648438,55524800.0,0.45,STOPPED,-1.0,0,0,0,False,35.8,DEEP_BELOW,2026-05-22_1323,2026-05-06
BRBR,LONG,BOUNCED_WAITING,4,6.49,10.76,9.5209,18.8,6.49,11.100000381469727,11.199999809265137,9.59000015258789,11360100.0,3.16,WINNING,0.27,31,0,0,False,83.1,DEEP_BELOW,2026-05-22_1323,2026-05-06
BRBR,LONG,BOUNCED_WAITING,4,5.89,10.76,9.5209,18.0534,5.89,11.100000381469727,11.199999809265137,9.59000015258789,11360100.0,3.16,WINNING,0.27,26,0,0,False,83.1,DEEP_BELOW,2026-05-22_1323,2026-05-06
BRBR,LONG,BOUNCED_WAITING,4,5.99,10.76,9.5209,18.18,5.99,11.100000381469727,11.199999809265137,9.59000015258789,11360100.0,3.16,WINNING,0.27,26,0,0,False,83.1,DEEP_BELOW,2026-05-22_1323,2026-05-06
BRBR,LONG,BOUNCED_WAITING,4,5.7,10.76,9.5209,17.82,5.7,11.100000381469727,11.199999809265137,9.59000015258789,11360100.0,3.16,WINNING,0.27,21,0,0,False,83.1,DEEP_BELOW,2026-05-22_1323,2026-05-06
BRBR,LONG,BOUNCED_WAITING,4,1.85,10.76,9.5209,13.05,1.85,11.100000381469727,11.199999809265137,9.59000015258789,11360100.0,3.16,WINNING,0.27,10,0,0,False,83.1,DEEP_BELOW,2026-05-22_1323,2026-05-06
SMMT,LONG,BOUNCED_WAITING,0,5.97,17.82,16.0778,28.22,5.97,17.850000381469727,18.190000534057617,17.229999542236328,3859500.0,0.17,WINNING,0.02,64,0,0,False,42.5,DEEP_BELOW,2026-05-22_1323,2026-05-06
SMMT,LONG,BOUNCED_WAITING,0,3.63,17.82,16.0778,24.15,3.63,17.850000381469727,18.190000534057617,17.229999542236328,3859500.0,0.17,WINNING,0.02,53,0,0,False,42.5,DEEP_BELOW,2026-05-22_1323,2026-05-06
SMMT,LONG,BOUNCED_WAITING,0,2.83,17.82,16.0778,22.75,2.83,17.850000381469727,18.190000534057617,17.229999542236328,3859500.0,0.17,WINNING,0.02,46,0,0,False,42.5,DEEP_BELOW,2026-05-22_1323,2026-05-06
SMMT,LONG,BOUNCED_WAITING,0,2.7,17.82,16.0778,22.53,2.7,17.850000381469727,18.190000534057617,17.229999542236328,3859500.0,0.17,WINNING,0.02,37,0,0,False,42.5,DEEP_BELOW,2026-05-22_1323,2026-05-06
