date,picks,scored,wins,stops,closes,no_data,wr,pnl_day,pnl_cumulative,er_picks,er_scored,er_wins,er_stops,er_wr,er_pnl,er_cum,ath_picks,ath_wins,ath_stops,ath_wr,ath_pnl,ath_cum
2026-05-01,37,28,8,15,5,9,28.6,-280.0,-280.0,0,0,0,0,0.0,0.0,0.0,21,5,6,31.2,170.0,170.0
2026-05-04,31,26,8,18,0,5,30.8,-600.0,-880.0,0,0,0,0,0.0,0.0,0.0,22,6,11,35.3,-200.0,-30.0
2026-05-05,13,10,3,7,0,3,30.0,-250.0,-1130.0,0,0,0,0,0.0,0.0,0.0,2,2,0,100.0,300.0,270.0
2026-05-06,11,11,0,1,10,0,0.0,70.0,-1060.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,270.0
2026-05-07,88,88,18,15,55,0,20.5,1309.0,249.0,0,0,0,0,0.0,0.0,0.0,39,14,4,35.9,1979.0,2249.0
2026-05-08,34,34,4,5,25,0,11.8,117.0,366.0,0,0,0,0,0.0,0.0,0.0,10,3,1,30.0,416.0,2665.0
2026-05-11,16,16,3,2,11,0,18.8,486.0,852.0,0,0,0,0,0.0,0.0,0.0,4,1,0,25.0,198.0,2863.0
2026-05-12,11,11,2,0,9,0,18.2,507.0,1359.0,0,0,0,0,0.0,0.0,0.0,6,1,0,16.7,284.0,3147.0
2026-05-13,2,2,0,0,2,0,0.0,-7.0,1352.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,3147.0
2026-05-25,44,27,7,0,20,17,25.9,1258.0,2610.0,0,0,0,0,0.0,0.0,0.0,14,1,0,16.7,254.0,3401.0
2026-05-26,35,26,3,3,20,9,11.5,508.0,3118.0,0,0,0,0,0.0,0.0,0.0,17,1,0,6.2,524.0,3925.0
2026-05-27,46,41,6,23,12,5,14.6,-1302.0,1816.0,0,0,0,0,0.0,0.0,0.0,15,3,4,21.4,55.0,3980.0
2026-05-28,63,54,10,15,29,9,18.5,555.0,2371.0,0,0,0,0,0.0,0.0,0.0,21,4,3,22.2,299.0,4279.0
2026-05-29,1,0,0,0,0,1,0.0,0.0,2371.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,4279.0
2026-06-01,3,2,0,2,0,1,0.0,-200.0,2171.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,4279.0
2026-06-02,3,3,0,2,1,0,0.0,-185.0,1986.0,0,0,0,0,0.0,0.0,0.0,1,0,1,0.0,-100.0,4179.0
2026-06-03,2,2,0,1,1,0,0.0,-164.0,1822.0,0,0,0,0,0.0,0.0,0.0,1,0,1,0.0,-100.0,4079.0
2026-06-04,1,0,0,0,0,1,0.0,0.0,1822.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,4079.0
2026-06-05,2,2,0,1,1,0,0.0,-149.0,1673.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,4079.0
2026-06-08,1,0,0,0,0,1,0.0,0.0,1673.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,4079.0
2026-06-09,2,2,1,0,1,0,50.0,300.0,1973.0,0,0,0,0,0.0,0.0,0.0,1,1,0,100.0,150.0,4229.0
2026-06-11,1,0,0,0,0,1,0.0,0.0,1973.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,4229.0
2026-06-12,6,4,1,2,1,2,25.0,-29.0,1944.0,0,0,0,0,0.0,0.0,0.0,2,0,0,0.0,0.0,4229.0
2026-06-15,6,5,1,0,4,1,20.0,42.0,1986.0,0,0,0,0,0.0,0.0,0.0,1,0,0,0.0,0.0,4229.0
2026-06-16,5,5,0,1,4,0,0.0,2.0,1988.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,4229.0
2026-06-17,3,0,0,0,0,3,0.0,0.0,1988.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,4229.0
2026-06-18,3,0,0,0,0,3,0.0,0.0,1988.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,4229.0
