ticker,side,tier,fem,l1,l2,l3,l4,l5,l6,l7,entry,stop,t1,rr,risk,last_close,dist_pct,proximity,genesis,tick_width,path,range,vol_sig,velocity,session,vraq,isolation,macro,gap_tf
PLUG,Short,T1-CONVICTION,63,68,78,62,73,35,48,53,2.21,2.23,2.17,2.0,0.02,2.18,1.4,CLOSE,MINOR,2,HIGHWAY,NEAR_EDGE,EXHAUSTION,ACCELERATING,MIXED,WEAK,CLUSTERED,NEUTRAL,1d
ACHR,Short,T2-STRONG,71,69,100,70,70,50,48,65,5.3,5.36,4.28,17.0,0.06,5.09,4.1,APPROACH,MINOR,6,HIGHWAY,EDGE,EXHAUSTION,MIXED,MIXED,ADEQUATE,CLUSTERED,BEARISH,1d
BAC,Short,T2-STRONG,64,72,92,70,50,50,40,39,48.07,48.24,43.79,25.2,0.17,46.97,2.3,APPROACH,MINOR,17,HIGHWAY,EDGE,BUILDING,MIXED,MIXED,FAILING,CLUSTERED,NEUTRAL,1d
DIS,Short,T2-STRONG,64,75,92,70,30,52,40,61,94.19,94.58,87.03,18.4,0.39,92.42,1.9,CLOSE,MINOR,39,HIGHWAY,EDGE,PRESSURE,MIXED,MIXED,ADEQUATE,CLUSTERED,BEARISH,1d
JD,Short,T2-STRONG,63,54,78,90,58,43,53,50,29.05,29.19,28.53,3.7,0.14,28.7,1.2,CLOSE,MINOR,14,HIGHWAY,EDGE,NEUTRAL,MIXED,MIXED,WEAK,CLUSTERED,BEARISH,1h
AI,Short,T2-STRONG,44,54,78,0,30,50,48,39,8.66,8.69,8.57,3.0,0.03,7.76,11.6,WAITING,MINOR,3,HIGHWAY,OPEN_BELOW,PRESSURE,MIXED,MIXED,FAILING,CLUSTERED,BEARISH,1h
AVGO,Short,T3-WATCH,68,67,100,70,50,45,40,84,307.5,309.17,258.77,29.2,1.67,300.68,2.3,APPROACH,VACUUM,167,HIGHWAY,EDGE,BUILDING,MIXED,MIXED,STRONG,SEMI_ISOLATED,NEUTRAL,1d
NIO,Short,T3-WATCH,66,62,92,70,58,45,40,84,5.53,5.56,5.08,15.0,0.03,5.31,4.1,APPROACH,MINOR,3,HIGHWAY,EDGE,NEUTRAL,MIXED,MIXED,STRONG,MILKY_WAY,BEARISH,1d
OPEN,Short,T3-WATCH,66,62,100,62,78,35,40,53,4.82,4.89,1.54,43.7,0.07,4.8,0.3,CLOSE,MINOR,7,HIGHWAY,EDGE,EXHAUSTION,ACCELERATING,MIXED,WEAK,MILKY_WAY,BEARISH,4h
SOFI,Short,T3-WATCH,65,69,100,62,38,45,40,84,15.69,15.8,14.01,15.3,0.11,15.23,3.0,APPROACH,MINOR,11,HIGHWAY,EDGE,PRESSURE,MIXED,MIXED,STRONG,MILKY_WAY,NEUTRAL,1d
CLSK,Short,T3-WATCH,64,69,92,54,50,52,40,73,9.12,9.23,8.44,5.7,0.12,8.66,5.3,WAITING,MINOR,12,HIGHWAY,EDGE,BUILDING,MIXED,MIXED,STRONG,MILKY_WAY,BEARISH,1d
BBAI,Short,T3-WATCH,64,54,100,62,58,45,40,84,3.29,3.31,2.97,16.0,0.02,3.14,4.8,APPROACH,MINOR,2,HIGHWAY,EDGE,NEUTRAL,MIXED,MIXED,STRONG,MILKY_WAY,BEARISH,1d
META,Short,T3-WATCH,63,84,85,54,35,25,50,84,540.2,547.54,516.52,3.2,7.34,525.72,2.8,APPROACH,CONVICTION,734,HIGHWAY,NEAR_EDGE,PRESSURE,ACCELERATING,MIXED,STRONG,MILKY_WAY,BEARISH,1d
BABA,Short,T3-WATCH,63,57,92,62,58,50,40,65,124.44,124.98,113.2,20.8,0.54,122.69,1.4,CLOSE,MINOR,54,HIGHWAY,EDGE,NEUTRAL,MIXED,MIXED,ADEQUATE,SEMI_ISOLATED,NEUTRAL,1h
ZM,Short,T3-WATCH,63,59,100,82,30,58,48,42,78.64,79.26,70.59,13.0,0.62,77.71,1.2,CLOSE,MINOR,62,HIGHWAY,EDGE,PRESSURE,STEADY,MIXED,WEAK,SEMI_ISOLATED,NEUTRAL,4h
F,Short,T3-WATCH,61,50,100,55,58,50,48,51,11.6,11.67,10.38,17.4,0.07,11.37,2.0,APPROACH,MINOR,7,HIGHWAY,EDGE,NEUTRAL,MIXED,MIXED,WEAK,MILKY_WAY,BEARISH,1d
AMC,Short,T3-WATCH,59,56,85,0,78,60,65,73,0.97,0.98,0.93,3.0,0.01,0.95,2.3,APPROACH,MINOR,1,HIGHWAY,OPEN_BELOW,EXHAUSTION,STEADY,NEUTRAL,STRONG,MILKY_WAY,BEARISH,4h
MSFT,Short,T3-WATCH,57,81,78,0,50,60,40,69,362.45,365.19,354.23,3.0,2.74,356.77,1.6,CLOSE,CONVICTION,274,HIGHWAY,OPEN_BELOW,BUILDING,STEADY,MIXED,ADEQUATE,MILKY_WAY,BEARISH,1d
FUBO,Short,T3-WATCH,55,69,70,0,35,88,70,59,10.58,10.66,10.34,3.0,0.08,9.28,14.0,WAITING,MINOR,8,HIGHWAY,OPEN_BELOW,PRESSURE,DECELERATING,ALIGNED,ADEQUATE,MILKY_WAY,BEARISH,4h
BULL,Short,T3-WATCH,54,69,85,0,50,52,40,65,4.95,5.02,4.74,3.0,0.07,4.82,2.7,APPROACH,MINOR,7,HIGHWAY,OPEN_BELOW,BUILDING,MIXED,MIXED,ADEQUATE,MILKY_WAY,BEARISH,4h
BLNK,Short,T3-WATCH,54,74,92,0,35,30,50,78,0.6,0.61,0.56,3.0,0.01,0.54,10.2,WAITING,COMPRESSION,1,HIGHWAY,OPEN_BELOW,PRESSURE,ACCELERATING,MIXED,STRONG,MILKY_WAY,BEARISH,1d
SPCE,Short,T3-WATCH,53,62,70,0,50,60,45,88,2.37,2.39,2.31,3.0,0.02,2.26,4.9,APPROACH,MINOR,2,HIGHWAY,OPEN_BELOW,BUILDING,STEADY,MIXED,STRONG,MILKY_WAY,BEARISH,1d
