ticker,side,pm_gap_down_pct,pm_last_drop_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_weak,prev_close,est_open,stop,target,shares,risk_dollars,score,sector_mult,sector_label,state,lifecycle_phase,gap_tier,atr_14,float_m,borrow_risk
KMRK,SHORT,19.35,5.28,2.9685,1.5,1.6586,1.7618,10346313,473,21873.81,0.18,True,1.86,1.7618,1.7794,1.7266,5676,100.0,281.2211,1.0,,SHORT_GENESIS,SHORT_GENESIS,STRETCHED,0.5629,21.1,MEDIUM
WHLR,SHORT,18.25,14.33,1.8104,0.7554,0.92,0.7916,8977349,13844,648.46,0.03,True,0.924,0.7916,0.7995,0.7758,12632,99.99,199.9012,1.0,,SHORT_GENESIS,SHORT_GENESIS,STRETCHED,0.1426,2.19,"EXTREME (sub-$1.50, locate often unavailable or > $5/share/day)"
HUMA,SHORT,23.13,22.39,1.18,1.0301,1.14,1.04,1351581,86186,15.68,0.07,True,1.34,1.04,1.0504,1.0192,9615,100.0,124.4443,1.0,,SHORT_GENESIS,SHORT_GENESIS,STRETCHED,0.1344,222.02,"EXTREME (sub-$1.50, locate often unavailable or > $5/share/day)"
FGL,SHORT,11.35,9.73,4.0,1.64,1.75,1.67,10431690,29440,354.33,0.01,True,1.85,1.67,1.6867,1.6366,5988,100.0,115.9883,1.0,,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,0.3307,1.15,HIGH (low-priced low-float — verify locate before entering)
MASK,SHORT,31.35,29.55,5.0,2.08,2.97,2.1346,5759435,2094833,2.75,0.02,True,3.03,2.1346,2.1559,2.0919,4684,99.98,93.4147,1.0,,SHORT_GENESIS,SHORT_GENESIS,EXTREME,1.216,2.07,HIGH (low-priced low-float — verify locate before entering)
BYAH,SHORT,18.55,6.44,1.946,1.01,1.21,1.1602,1653108,201449,8.21,0.16,True,1.24,1.1602,1.1718,1.137,8619,100.0,77.1441,1.0,,SHORT_GENESIS,SHORT_GENESIS,STRETCHED,0.6006,3.22,"EXTREME (sub-$1.50, locate often unavailable or > $5/share/day)"
UCAR,SHORT,14.88,6.61,1.71,1.03,1.46,1.13,2126282,328334,6.48,0.15,True,1.21,1.13,1.1413,1.1074,8849,99.99,57.7245,1.0,,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,0.1106,25.74,"EXTREME (sub-$1.50, locate often unavailable or > $5/share/day)"
VSA,SHORT,9.38,9.38,7.23,4.35,4.72,4.35,1709926,141373,12.1,0.0,True,4.8,4.35,4.3935,4.263,2298,99.96,49.1176,1.0,,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,1.1495,2.79,MEDIUM
ORCL,SHORT,10.56,10.07,189.0844,180.0,180.6,181.0,2438861,783864,3.11,0.11,True,201.26,181.0,182.81,177.38,55,99.55,31.3476,1.0,,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,14.3305,2876.05,LOW
EDHL,SHORT,12.86,-299.03,15.5,3.05,3.08,13.966,30584043,3519135,8.69,0.88,False,3.5,13.966,14.1057,13.6867,716,100.0,25.3384,1.0,,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,0.8734,1.67,LOW
