ticker,side,score,gap_tier,borrow_risk,float_m,sector_label,lifecycle_phase,entry,stop,target,last_px,high,low,volume,chg_short_pct,outcome,result_r,stop_adjusted,pm_gap_down_pct,rel_vol,checked_at,scan_date
KMRK,Short,281.2211,STRETCHED,MEDIUM,21.1,,SHORT_GENESIS,1.7618,1.7794,1.7266,1.44,1.97,1.43,12206909,18.27,STOPPED,-1.0,True,19.35,21873.81,2026-06-11_1307,2026-06-11
WHLR,Short,199.9012,STRETCHED,"EXTREME (sub-$1.50, locate often unavailable or > $5/share/day)",2.19,,SHORT_GENESIS,0.7916,0.7995,0.7758,0.897,0.9474,0.7705,10141586,-13.31,STOPPED,-1.0,True,18.25,648.46,2026-06-11_1307,2026-06-11
HUMA,Short,124.4443,STRETCHED,"EXTREME (sub-$1.50, locate often unavailable or > $5/share/day)",222.02,,SHORT_GENESIS,1.04,1.0504,1.0192,1.08,1.1,1.0,29220022,-3.85,STOPPED,-1.0,True,23.13,15.68,2026-06-11_1307,2026-06-11
FGL,Short,115.9883,IN_BAND,HIGH (low-priced low-float � verify locate before entering),1.15,,SHORT_GENESIS,1.67,1.6867,1.6366,1.9,1.96,1.63,11723470,-13.77,STOPPED,-1.0,True,11.35,354.33,2026-06-11_1307,2026-06-11
MASK,Short,93.4147,EXTREME,HIGH (low-priced low-float � verify locate before entering),2.07,,SHORT_GENESIS,2.1346,2.1559,2.0919,2.27,2.52,2.03,7298930,-6.34,STOPPED,-1.0,True,31.35,2.75,2026-06-11_1307,2026-06-11
BYAH,Short,77.1441,STRETCHED,"EXTREME (sub-$1.50, locate often unavailable or > $5/share/day)",3.22,,SHORT_GENESIS,1.1602,1.1718,1.137,1.05,1.32,1.025,2125951,9.5,STOPPED,-1.0,True,18.55,8.21,2026-06-11_1307,2026-06-11
UCAR,Short,57.7245,IN_BAND,"EXTREME (sub-$1.50, locate often unavailable or > $5/share/day)",25.74,,SHORT_GENESIS,1.13,1.1413,1.1074,1.23,1.305,1.12,3484350,-8.85,STOPPED,-1.0,True,14.88,6.48,2026-06-11_1307,2026-06-11
VSA,Short,49.1176,IN_BAND,MEDIUM,2.79,,SHORT_GENESIS,4.35,4.3935,4.263,4.36,4.73,4.1256,1965204,-0.23,STOPPED,-1.0,True,9.38,12.1,2026-06-11_1307,2026-06-11
ORCL,Short,31.3476,IN_BAND,LOW,2876.05,,SHORT_GENESIS,181.0,182.81,177.38,184.1,184.77,175.28,62987887,-1.71,STOPPED,-1.0,True,10.56,3.11,2026-06-11_1307,2026-06-11
EDHL,Short,25.3384,IN_BAND,LOW,1.67,,SHORT_GENESIS,13.966,14.1057,13.6867,5.98,17.49,5.85,58259576,57.18,STOPPED,-1.0,True,12.86,8.69,2026-06-11_1307,2026-06-11
