ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
SOXL,Long,PULLBACK,T1-STRONG_LONG,100,265.0,225.115,344.77,,2.0,39.885,279.29,5.1,APPROACH,5,5,"10m,15m,1d,30m,5m",265.0,238.41,HIGHWAY,EXCITED,2.81,75735515876.0,0.8,0.8,3108146.0,0.0,33.3,52.0,8.0,,UNKNOWN,,249.9475,233.86,266.035,13.8,PREMIUM,MID,35793,22,26748,99.9,A,,,,False,44.330757142857145,0.9,N/A,
BZ,Long,BOUNCE,T3-LONG_WATCH,68,13.7,12.7943,15.5114,,2.0,0.9057,13.7,1.9,CLOSE,2,2,"1h,30m",13.44,13.19,OPEN_ROAD,EXCITED,3.45,21635355.0,1.6,1.1,0.0,0.0,8.3,20.0,8.0,367.52,MEGA,0.02,13.44,13.47,13.41,-0.4,FLAT,FLAT,27,1,10,3.2,D,,,,True,0.6164285714285717,1.47,N/A,
CELC,Long,BOUNCE,T3-LONG_WATCH,73,87.76,83.5364,96.2072,,2.0,4.2236,87.76,1.6,CLOSE,1,1,1m,86.315,86.12,OPEN_ROAD,EXCITED,0.56,20121.0,1.2,0.8,0.0,0.0,10.2,31.0,8.0,26.81,MED,0.08,88.11,88.05,88.17,0.1,FLAT,FLAT,4000,10,240,7.1,B,,,,False,8.495292857142854,0.5,N/A,
CHKP,Long,BOUNCE,T3-LONG_WATCH,79,122.33,117.7289,131.5322,,2.0,4.6011,122.33,0.6,CLOSE,1,1,5m,121.63,121.37,OPEN_ROAD,EXCITED,2.02,499122.0,1.6,1.0,0.0,0.0,7.4,24.0,8.0,79.51,HIGH,0.03,121.225,121.89,120.56,-1.1,PREMIUM,PREMIUM,182,2,156,2.7,C,,,,False,4.853985714285714,0.95,N/A,
HLNE,Long,BOUNCE,T3-LONG_WATCH,63,82.22,78.148,90.3639,,2.0,4.072,82.22,0.4,CLOSE,1,1,1d,81.92,80.565,OPEN_ROAD,EXCITED,0.93,126934105.0,1.1,1.0,0.0,0.0,12.6,36.0,8.0,41.17,MED,0.03,81.545,81.4,81.69,0.4,FLAT,FLAT,1077,2,0,4.6,C,,,,False,4.34927142857143,0.94,N/A,
INTC,Long,BOUNCE,T1-STRONG_LONG,100,133.99,117.085,167.8,,2.0,16.905,133.99,2.4,CLOSE,5,5,"10m,15m,1d,30m,5m",130.78,121.65,HIGHWAY,EXCITED,7.95,160752112413.0,1.8,1.2,3673945.0,0.0,17.5,64.0,8.0,5016.55,MEGA,0.05,126.4525,121.1,131.805,8.8,PREMIUM,MID,20271,26,5994,99.9,A,,,,False,10.386278571428575,1.63,N/A,
LKQ,Long,BOUNCE,T3-LONG_WATCH,54,25.8,24.3567,28.6866,,2.0,1.4433,25.8,1.8,CLOSE,2,2,"1h,4h",25.34,25.11,OPEN_ROAD,EXCITED,1.06,23489329.0,1.9,1.2,0.0,0.0,8.6,17.0,8.0,253.17,MEGA,0.02,24.98,25.02,24.94,-0.3,FLAT,FLAT,46,1,46,3.5,D,,,,False,0.8496428571428568,1.7,N/A,
OLED,Long,BOUNCE,T2-LONG,100,88.94,81.9844,102.8512,,2.0,6.9556,88.94,1.8,CLOSE,8,6,"10m,15m,1h,30m,4h,5m",87.33,84.52,OPEN_ROAD,EXCITED,0.9,59102902.0,2.6,1.6,0.0,1.0,11.5,25.0,8.0,42.9,MED,0.04,85.345,84.52,86.17,2.0,PREMIUM,PREMIUM,1317,1,862,2.5,D,,,,False,3.8882071428571416,1.79,N/A,
PPC,Long,BOUNCE,T3-LONG_WATCH,53,27.32,26.3888,29.1823,,2.0,0.9312,27.32,0.2,CLOSE,1,1,1m,27.26,27.205,OPEN_ROAD,EXCITED,3.29,195858.0,2.1,1.2,0.0,1.0,11.7,43.0,8.0,42.23,MED,0.07,28.33,28.35,28.31,-0.1,FLAT,FLAT,6,1,6,4.9,D,,,,False,1.0823571428571432,0.86,N/A,
SMCI,Long,PULLBACK,T1-STRONG_LONG,100,28.28,27.1115,30.617,,2.0,1.1685,30.66,7.8,WAITING,3,3,"10m,15m,5m",28.28,27.95,HIGHWAY,EXCITED,2.07,302005355.0,1.0,0.8,2235390.0,0.0,15.7,37.0,8.0,509.37,MEGA,0.13,28.11,27.78,28.44,2.4,PREMIUM,MID,630,5,585,17.5,A,,,,False,4.000707142857142,0.29,N/A,
SRXH,Long,BOUNCE,T2-LONG,67,0.1245,0.074,0.2255,0.1898,2.0,0.0505,0.1245,0.2,CLOSE,1,1,15m,0.1243,0.124,OPEN_ROAD,EXCITED,0.66,0.0,4.8,3.2,12471001.0,3.0,117.3,29.0,8.0,858.6,MEGA,0.46,0.1898,0.1995,0.18,-9.8,DISCOUNT,DISCOUNT,0,4,0,30.5,D,,,,False,0.026600000000000006,1.9,N/A,
THO,Long,BREAKOUT,T2-LONG,99,72.65,69.7624,78.4252,,2.0,2.8876,72.38,0.0,INSIDE,6,6,,,,OPEN_ROAD,EXCITED,1.23,,,,,,,,,,MED,0.02,72.31,71.92,72.7,1.1,MID,MID,0,0,0,5.4,D,False,1.3,True,False,3.770000000000001,0.77,N/A,
