ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
BWIN,Long,BOUNCE,T1-STRONG_LONG,100,24.87,23.6583,27.2934,,2.0,1.2117,24.87,0.8,CLOSE,4,4,"1d,1h,30m,4h",24.66,24.39,HIGHWAY,EXCITED,1.21,104303877,1.4,1.7,0,2,53.0,25,8,75.85,HIGH,0.04,24.525,24.39,24.66,1.1,PREMIUM,MID,1686,6,1605,5.5,B,False,1.6010714285714287,0.76,N/A,
MRVI,Long,PULLBACK,T1-STRONG_LONG,100,5.34,5.0925,5.835,5.415,2.0,0.2475,5.76,7.3,WAITING,2,2,"1h,4h",5.34,5.25,HIGHWAY,WAITING,0.36,2850774,1.1,0.7,0,1,15.5,46,8,101.63,HIGH,0.03,5.415,5.37,5.46,1.7,PREMIUM,DISCOUNT,295,12,169,99.9,A,True,0.27673571428571436,0.89,N/A,
PPC,Long,BOUNCE,T2-LONG,100,27.56,25.8311,31.0178,,2.0,1.7289,27.56,1.1,CLOSE,4,4,"1d,1h,30m,4h",27.25,26.63,OPEN_ROAD,EXCITED,0.88,63860238,0.7,1.0,0,1,9.5,50,8,42.23,MED,0.03,27.525,27.72,27.33,-1.4,MID,DISCOUNT,272,1,77,4.0,D,False,1.0705714285714294,1.61,N/A,
PRCH,Long,BOUNCE,T3-LONG_WATCH,64,13.15,12.513,16.97,,6.0,0.637,13.15,1.0,CLOSE,1,1,1d,13.02,12.9,OPEN_ROAD,EXCITED,1.61,30889608,1.6,1.2,0,1,17.4,40,8,84.4,HIGH,0.03,12.96,12.9,13.02,0.9,PREMIUM,MID,473,9,208,29.0,A,True,0.7044999999999998,0.9,N/A,
SRRK,Long,PULLBACK,T3-LONG_WATCH,100,48.79,45.5415,55.287,,2.0,3.2485,52.33,6.8,APPROACH,4,2,"1d,4h",48.79,46.95,HIGHWAY,EXCITED,2.12,340470482,1.8,1.7,0,1,17.9,41,8,91.8,HIGH,0.03,51.295,51.27,51.32,0.1,FLAT,FLAT,2900,5,1243,99.9,A,False,2.2228499999999998,1.46,N/A,
SVC,Long,BOUNCE,T2-LONG,91,1.76,1.6587,1.9626,,2.0,0.1013,1.76,0.0,CLOSE,7,6,"15m,1h,1m,30m,4h,5m",1.7599,1.71,OPEN_ROAD,EXCITED,2.92,13921419,1.5,1.1,0,1,10.0,31,8,535.0,MEGA,0.02,1.71,1.71,1.71,0.0,FLAT,FLAT,25,5,10,2.0,D,True,0.07892857142857136,1.28,N/A,
TRI,Long,BOUNCE,T2-LONG,100,80.98,74.3117,94.3166,,2.0,6.6683,80.98,2.5,CLOSE,4,4,"1d,1h,30m,4h",78.925,76.61,OPEN_ROAD,EXCITED,1.23,353889990,0.7,0.9,0,1,8.2,28,8,127.4,HIGH,0.01,80.415,80.71,80.12,-0.7,PREMIUM,DISCOUNT,1301,1,412,4.7,D,False,3.1982357142857145,2.08,N/A,
TRU,Long,BOUNCE,T2-LONG,100,68.0,62.4971,79.0058,,2.0,5.5029,68.0,1.3,CLOSE,9,7,"10m,15m,1d,1h,30m,4h,5m",67.1,64.43,OPEN_ROAD,EXCITED,1.1,571032212,1.2,1.2,0,1,11.0,28,8,191.49,HIGH,0.02,66.53,65.96,67.1,1.7,PREMIUM,DISCOUNT,1024,1,524,3.5,D,False,2.7489285714285714,2.0,N/A,
UA,Long,PULLBACK,T3-LONG_WATCH,50,5.88,5.4489,6.7422,,2.0,0.4311,5.88,4.1,APPROACH,2,2,"1h,4h",5.64,5.6174,OPEN_ROAD,EXCITED,1.24,2110943,1.3,1.0,0,0,7.2,20,8,302.0,MEGA,0.01,5.615,5.61,5.62,0.2,FLAT,FLAT,99,4,6,2.9,C,True,0.2510714285714285,1.72,N/A,
WEN,Long,BOUNCE,T2-LONG,100,7.86,5.5241,12.5318,,2.0,2.3359,7.86,1.7,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",7.73,6.2594,OPEN_ROAD,EXCITED,75.56,52035747345,11.2,4.2,10029507,1,46.4,11,8,156.88,HIGH,1.34,7.0325,6.255,7.81,24.9,PREMIUM,MID,1084,1,119,12.6,D,True,0.47550471428571434,4.91,N/A,
