ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,stop_adjusted,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,path,gap_quality,sponsorship,vol_ratio,vol_hot,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,tfs,cluster_top,cluster_bot,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
TQQQ,Long,BREAKOUT,T3-LONG_WATCH,66,83.16,75.57,98.34,,2.0,7.59,False,81.0,0.0,INSIDE,2,2,OPEN_ROAD,EXCITED,0.82,0.7,True,UNKNOWN,,77.215,77.19,77.24,0.1,FLAT,FLAT,2972,11,1855,3.9,C,,,,,,,,,,,,,False,5.6362642857142875,1.35,N/A,
AMTM,Long,BOUNCE,T2-LONG,99,20.67,19.6522,22.7056,,2.0,1.0178,,20.67,0.3,CLOSE,5,5,OPEN_ROAD,EXCITED,1.23,,,HIGH,0.01,20.365,20.23,20.5,1.3,PREMIUM,PREMIUM,120,1,33,2.8,D,"15m,1d,1h,30m,4h",20.6,20.26,77750709.0,1.2,1.2,0.0,0.0,7.2,18.0,8.0,152.34,False,0.7791000000000007,1.31,N/A,
CG,Long,BOUNCE,T2-LONG,85,42.11,39.3044,47.7212,,2.0,2.8056,,42.11,1.2,CLOSE,6,6,OPEN_ROAD,EXCITED,1.88,,,MEGA,0.02,40.625,40.52,40.73,0.5,PREMIUM,PREMIUM,195,1,99,4.7,D,"10m,15m,1h,30m,4h,5m",41.6,40.52,106172873.0,1.0,1.5,0.0,1.0,8.6,16.0,8.0,261.67,False,1.7774999999999987,1.58,N/A,
EDBL,Long,BREAKOUT,T2-LONG,100,0.27,0.111,0.588,,2.0,0.159,False,0.191,0.0,INSIDE,4,4,OPEN_ROAD,EXCITED,2698.86,16.8,True,LOW,62.88,0.2291,0.1634,0.2947,80.4,DISCOUNT,MID,1,2,1,9.5,D,,,,,,,,,,,,,False,0.03871428571428571,4.11,N/A,
FBIN,Long,BOUNCE,T1-STRONG_LONG,100,54.9,49.4409,65.8182,,2.0,5.4591,,54.9,2.3,CLOSE,7,7,MIXED,EXCITED,2.03,,,HIGH,0.06,51.51,50.97,52.05,2.1,PREMIUM,PREMIUM,5139,8,3655,99.9,A,"10m,15m,1d,1h,30m,4h,5m",53.66,50.97,1434802817.0,2.6,2.0,0.0,2.0,32.9,49.0,8.0,118.58,False,2.564557142857143,2.13,N/A,
HLN,Long,BOUNCE,T2-LONG,100,9.33,8.7106,10.5688,9.355,2.0,0.6194,,9.33,0.4,CLOSE,3,2,OPEN_ROAD,EXCITED,1.15,,,MEGA,0.0,9.355,9.33,9.38,0.5,DISCOUNT,DISCOUNT,384,1,92,2.5,D,"1d,30m",9.29,8.98,267397562.0,0.7,0.9,1318807.0,0.0,2.2,42.0,8.0,4430.23,True,0.1683142857142859,3.68,N/A,
ILLR,Long,BOUNCE,T2-LONG,99,2.71,2.5802,2.9696,,2.0,0.1298,,2.71,0.7,CLOSE,1,1,OPEN_ROAD,EXCITED,6.48,,,LOW,0.4,3.645,3.77,3.52,-6.6,DISCOUNT,DISCOUNT,879,6,866,3.7,C,1m,2.69,2.66,252120.0,0.3,2.0,0.0,2.0,688.4,40.0,8.0,10.97,True,0.9411928571428572,0.14,N/A,
INTC,Long,PULLBACK,T1-STRONG_LONG,100,131.99,127.7684,140.4332,,2.0,4.2216,,139.63,5.5,APPROACH,3,3,HIGHWAY,EXCITED,2.31,,,MEGA,0.02,131.855,131.72,131.99,0.2,FLAT,FLAT,16200,24,3902,99.9,A,"15m,1d,30m",131.99,131.72,3815499654.0,0.9,0.8,1028099.0,0.0,20.1,56.0,8.0,5016.6,False,10.70070714285714,0.39,N/A,
JEM,Long,PULLBACK,T1-STRONG_LONG,100,3.7201,1.47,8.2204,,2.0,2.2501,,3.97,6.3,APPROACH,3,3,HIGHWAY,EXCITED,9.7,,,NANO,266.92,3.0099,1.08,4.9399,357.4,PREMIUM,MID,517,8,6,81.3,A,"10m,30m,5m",3.7201,2.22,1700131286.0,16.4,6.1,17578631.0,1.0,379.6,17.0,8.0,0.46,True,0.7939142857142857,2.83,N/A,
NKE,Long,BREAKOUT,T3-LONG_WATCH,49,41.14,39.5275,44.365,,2.0,1.6125,False,41.05,0.0,INSIDE,1,1,OPEN_ROAD,EXCITED,1.42,2.9,True,MEGA,0.06,41.43,41.48,41.38,-0.2,FLAT,FLAT,0,0,0,2.4,D,,,,,,,,,,,,,False,1.3465785714285714,1.2,N/A,
NTRA,Long,BOUNCE,T3-LONG_WATCH,88,271.45,262.1716,290.0068,,2.0,9.2784,,271.45,0.2,CLOSE,1,1,HIGHWAY,EXCITED,0.66,,,HIGH,0.01,271.88,272.31,271.45,-0.3,FLAT,FLAT,9945,10,4856,99.9,A,1m,270.95,270.28,69031.0,0.9,1.4,0.0,1.0,15.2,28.0,8.0,139.02,False,13.327935714285715,0.7,N/A,
OLLI,Long,PULLBACK,T2-LONG,87,76.88,69.84,90.96,,2.0,7.04,,76.88,4.3,APPROACH,5,3,OPEN_ROAD,EXCITED,1.1,,,HIGH,0.05,72.59,72.33,72.85,0.7,PREMIUM,PREMIUM,371,1,264,13.0,D,"1d,1h,4h",73.61,72.0,298911559.0,1.2,1.1,0.0,0.0,8.6,21.0,8.0,60.19,False,3.82425,1.84,N/A,
PRCH,Long,BOUNCE,T1-STRONG_LONG,100,15.04,13.9584,17.2032,,2.0,1.0816,,15.04,2.1,CLOSE,5,4,HIGHWAY,EXCITED,1.04,,,HIGH,0.02,14.585,14.6,14.57,-0.2,FLAT,FLAT,535,10,275,12.8,A,"10m,1h,4h,5m",14.73,14.3901,7591325.0,1.0,1.9,0.0,1.0,18.7,54.0,8.0,84.4,True,0.8086642857142856,1.34,N/A,
PRGO,Long,BOUNCE,T1-STRONG_LONG,100,10.39,9.7485,11.673,,2.0,0.6415,,10.39,2.3,CLOSE,4,4,HIGHWAY,EXCITED,0.71,,,HIGH,0.03,10.1,10.05,10.15,1.0,PREMIUM,MID,64,2,32,2.0,C,"1d,1h,30m,4h",10.15,10.05,48427253.0,0.9,2.3,0.0,1.0,11.8,20.0,8.0,137.65,True,0.5491428571428569,1.17,N/A,
TC,Long,PULLBACK,T2-LONG,77,1.85,1.6781,2.1938,,2.0,0.1719,,1.85,4.9,APPROACH,2,1,OPEN_ROAD,EXCITED,1.34,,,MED,0.28,8.105,8.01,8.2,2.4,DISCOUNT,DISCOUNT,2,1,2,7.6,D,1m,1.7588,1.73,30279.0,19.2,6.4,32853236.0,1.0,504.0,66.0,8.0,26.41,True,1.1466714285714286,0.15,N/A,
