ticker,side,mode,tier,fem,entry,stop,t1,rr,risk,stop_adjusted,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,path,vol_ratio,vol_hot,outcome,result_r,scan_date
AAPL,Short,RESISTANCE,T2-SHORT,80,258.95,264.129,241.2,3.4,5.179,True,248.96,4.0,APPROACH,1,1,HIGHWAY,1.0,False,NO_FILL,0.0,2026-03-20
AVGO,Short,RESISTANCE,T3-SHORT,95,337.74,344.4948,258.77,11.7,6.7548,True,319.84,5.6,APPROACH,1,1,HIGHWAY,0.8,False,NO_FILL,0.0,2026-03-20
META,Short,RESISTANCE,T3-SHORT,95,629.17,641.7534,598.73,2.4,12.5834,True,606.7,3.7,APPROACH,1,1,HIGHWAY,1.1,False,NO_FILL,0.0,2026-03-20
WMT,Short,RESISTANCE,T3-SHORT,80,125.06,127.5612,119.9,2.1,2.5012,True,121.09,3.3,APPROACH,1,1,HIGHWAY,0.9,False,NO_FILL,0.0,2026-03-20
LLY,Short,RESISTANCE,T3-SHORT,95,982.17,1001.8134,866.53,5.9,19.6434,True,917.5,7.0,WAITING,1,1,HIGHWAY,0.8,False,NO_FILL,0.0,2026-03-20
V,Short,RESISTANCE,T2-SHORT,80,317.36,323.7072,298.3184,3.0,6.3472,True,299.71,5.9,APPROACH,1,1,HIGHWAY,0.9,False,NO_FILL,0.0,2026-03-20
MA,Short,RESISTANCE,T2-SHORT,95,517.72,528.0744,488.65,2.8,10.3544,True,491.14,5.4,APPROACH,1,1,HIGHWAY,0.9,False,NO_FILL,0.0,2026-03-20
NFLX,Short,RESISTANCE,T3-SHORT,95,98.32,100.2864,90.58,3.9,1.9664,True,91.74,7.2,WAITING,1,1,HIGHWAY,0.8,False,NO_FILL,0.0,2026-03-20
ABBV,Short,RESISTANCE,T2-SHORT,95,230.36,234.9672,199.76,6.6,4.6072,True,206.23,11.7,WAITING,1,1,HIGHWAY,1.2,False,NO_FILL,0.0,2026-03-20
PG,Short,RESISTANCE,T3-SHORT,66,151.51,154.5402,144.0,2.5,3.0302,True,144.84,4.6,APPROACH,1,1,OPEN_ROAD,1.1,False,NO_FILL,0.0,2026-03-20
HD,Short,RESISTANCE,T2-SHORT,95,357.92,365.0784,336.4448,3.0,7.1584,True,328.21,9.1,WAITING,1,1,HIGHWAY,1.0,False,NO_FILL,0.0,2026-03-20
MRK,Short,RESISTANCE,T3-SHORT,59,115.06,117.3612,108.59,2.8,2.3012,True,114.2,0.8,CLOSE,1,1,OPEN_ROAD,0.9,False,STOPPED,-1.0,2026-03-20
GE,Short,RESISTANCE,T2-SHORT,95,300.03,306.0306,277.55,3.7,6.0006,True,291.61,2.9,CLOSE,1,1,HIGHWAY,1.7,False,NO_FILL,0.0,2026-03-20
LRCX,Long,PULLBACK,T2-LONG,34,218.6,212.2,234.92,2.5,6.4,False,233.99,6.6,APPROACH,1,1,OPEN_ROAD,1.1,False,NO_FILL,0.0,2026-03-20
BABA,Short,RESISTANCE,T3-SHORT,80,140.63,143.4426,113.2,9.8,2.8126,True,124.9,12.6,WAITING,1,1,HIGHWAY,2.9,True,NO_FILL,0.0,2026-03-20
WFC,Short,RESISTANCE,T2-SHORT,80,80.57,82.1814,76.32,2.6,1.6114,True,76.39,5.5,APPROACH,1,1,HIGHWAY,1.0,False,LOSING,-0.02,2026-03-20
PM,Short,RESISTANCE,T2-SHORT,80,171.0,174.42,163.34,2.2,3.42,True,163.37,4.7,APPROACH,1,1,HIGHWAY,0.8,False,NO_FILL,0.0,2026-03-20
MCD,Short,RESISTANCE,T2-SHORT,80,324.5,330.99,309.11,2.4,6.49,True,309.58,4.8,APPROACH,1,1,HIGHWAY,1.2,False,NO_FILL,0.0,2026-03-20
KLAC,Long,PULLBACK,T2-LONG,30,1438.24,1409.4752,1550.06,3.9,28.7648,True,1511.52,4.8,APPROACH,1,1,OPEN_ROAD,1.0,False,NO_FILL,0.0,2026-03-20
T,Short,RESISTANCE,T2-SHORT,80,28.13,28.6926,24.43,6.6,0.5626,True,27.74,1.4,CLOSE,1,1,HIGHWAY,1.7,False,STOPPED,-1.0,2026-03-20
AMGN,Short,RESISTANCE,T3-SHORT,59,373.69,381.1638,321.21,7.0,7.4738,True,349.92,6.8,APPROACH,1,1,HIGHWAY,0.9,False,NO_FILL,0.0,2026-03-20
TMO,Short,RESISTANCE,T2-SHORT,80,491.0,500.82,465.55,2.6,9.82,True,470.21,4.4,APPROACH,1,1,HIGHWAY,0.9,False,STOPPED,-1.0,2026-03-20
ABT,Short,RESISTANCE,T3-SHORT,71,109.5,111.69,102.93,3.0,2.19,True,107.19,2.2,CLOSE,1,1,OPEN_ROAD,1.1,False,NO_FILL,0.0,2026-03-20
TXN,Short,RESISTANCE,T3-SHORT,76,195.01,198.9102,180.09,3.8,3.9002,True,188.29,3.6,APPROACH,1,1,OPEN_ROAD,1.1,False,STOPPED,-1.0,2026-03-20
DIS,Short,RESISTANCE,T3-SHORT,47,101.54,103.5708,87.03,7.1,2.0308,True,99.2,2.4,CLOSE,1,1,OPEN_ROAD,1.3,False,NO_FILL,0.0,2026-03-20
BA,Short,RESISTANCE,T3-SHORT,80,209.0,213.18,195.51,3.2,4.18,True,201.18,3.9,APPROACH,1,1,HIGHWAY,1.5,False,NO_FILL,0.0,2026-03-20
