ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
CIEN,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,359.04,weekly,log_regression,AT_LOWER,0.108,30,252.98,262.65,daily,26.85,98.6,nearest_support_gap_hi,359.0,True,False,0.01,0.01,77.56,77.56,2.59,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high | coiled/controlled short-term momentum,deep_damage_pullback
MKSI,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,261.0,daily,log_regression,OUTSIDE_DOWN,-0.012,31,190.86,205.0,daily,21.46,97.85,lower,263.72,True,False,-1.04,-1.03,71.5,71.5,2.28,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high,deep_damage_pullback | overhead_gap_too_close | early_positive_momentum
KLAC,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,181.58,daily,log_regression,AT_LOWER,0.12,19,127.447,130.997,weekly,27.86,97.32,nearest_support_gap_hi,181.23,True,False,0.19,0.19,69.28,69.28,3.29,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high,deep_damage_pullback | early_positive_momentum
CRDO,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,182.7,weekly,log_regression,AT_LOWER,0.16,37,134.36,154.23,daily,15.58,99.32,nearest_support_gap_hi,182.24,True,False,0.25,0.25,68.95,68.95,3.01,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high,deep_damage_pullback | early_positive_momentum
NOK,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,10.93,daily,log_regression,AT_LOWER,0.214,14,9.44,10.32,daily,5.58,99.05,nearest_support_gap_hi,10.82,True,True,1.01,1.02,59.65,59.65,2.01,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high,deep_damage_pullback | overhead_gap_too_close | early_positive_momentum
AMRC,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,23.3515,weekly,log_regression,AT_LOWER,0.218,8,16.7,21.65,daily,7.29,100.0,nearest_support_gap_hi,23.23,True,True,0.52,0.52,59.05,59.05,3.74,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high,deep_damage_pullback
LIFE,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,36.5,daily,log_regression,MID,0.543,10,22.83,27.33,daily,25.12,100.0,nearest_support_gap_hi,36.4,True,False,0.27,0.27,16.58,16.58,5.21,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 16.58% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,
BAC,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,57.95,daily,log_regression,AT_LOWER,0.123,27,41.79,43.32,weekly,25.25,100.0,nearest_support_gap_hi,57.94,True,False,0.02,0.02,12.55,12.55,2.28,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 12.55% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,overhead_gap_too_close
NTAP,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,199.25,daily,log_regression,MID,0.375,34,142.4,174.29,daily,12.53,100.0,nearest_support_gap_hi,198.3383,True,True,0.46,0.46,4.92,4.92,,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | coiled/controlled short-term momentum,shallow_pullback
NCI,HIGH_PRIORITY_PRE_TRIGGER,100.0,99.0,99.0,PRE_TRIGGER_COIL,13.935,daily,log_regression,MID,0.465,11,13.29,13.36,daily,4.13,90.16,nearest_support_gap_hi,13.81,True,True,0.9,0.91,9.36,9.36,2.26,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 9.36% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,overhead_gap_too_close
AMLX,EARLY_RECLAIM_TRIGGER,100.0,98.0,98.0,EARLY_RECLAIM_TRIGGER,33.15,weekly,log_regression,AT_UPPER,0.81,11,21.96,29.91,daily,9.77,100.0,nearest_support_gap_hi,32.54,True,True,1.84,1.87,24.1,24.1,6.91,OPTIONS_NOT_CHECKED,"ascending channel/control | higher-timeframe channel participates | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 24.1% from recent high | just-triggered reclaim, still near shelf | room back to recent high",mid_high_channel_location | early_trigger_not_chase | early_positive_momentum
