ACTION,QTY,SYMBOL,SECTYPE,EXCHANGE,ORDER_TYPE,LMT_PRICE,AUX_PRICE,TIF,TAG
BUY,51,AKAM,STK,SMART,MKT,0.0000,0.0000,OPG,FEM-MOO
SELL,51,AKAM,STK,SMART,STP,0.0000,128.2470,DAY,FEM-STOP-1.5
SELL,51,AKAM,STK,SMART,LMT,134.1060,0.0000,DAY,FEM-T1-3.0
BUY,1010,HELP,STK,SMART,MKT,0.0000,0.0000,OPG,FEM-MOO
SELL,1010,HELP,STK,SMART,STP,0.0000,6.5010,DAY,FEM-STOP-1.5
SELL,1010,HELP,STK,SMART,LMT,6.7980,0.0000,DAY,FEM-T1-3.0
BUY,108,PARR,STK,SMART,MKT,0.0000,0.0000,OPG,FEM-MOO
SELL,108,PARR,STK,SMART,STP,0.0000,60.4494,DAY,FEM-STOP-1.5
SELL,108,PARR,STK,SMART,LMT,63.2111,0.0000,DAY,FEM-T1-3.0
BUY,219,ALMS,STK,SMART,MKT,0.0000,0.0000,OPG,FEM-MOO
SELL,219,ALMS,STK,SMART,STP,0.0000,29.8948,DAY,FEM-STOP-1.5
SELL,219,ALMS,STK,SMART,LMT,31.2605,0.0000,DAY,FEM-T1-3.0
BUY,356,VOR,STK,SMART,MKT,0.0000,0.0000,OPG,FEM-MOO
SELL,356,VOR,STK,SMART,STP,0.0000,18.4392,DAY,FEM-STOP-1.5
SELL,356,VOR,STK,SMART,LMT,19.2816,0.0000,DAY,FEM-T1-3.0
BUY,1284,TBLA,STK,SMART,MKT,0.0000,0.0000,OPG,FEM-MOO
SELL,1284,TBLA,STK,SMART,STP,0.0000,5.1122,DAY,FEM-STOP-1.5
SELL,1284,TBLA,STK,SMART,LMT,5.3457,0.0000,DAY,FEM-T1-3.0
BUY,271,GLUE,STK,SMART,MKT,0.0000,0.0000,OPG,FEM-MOO
SELL,271,GLUE,STK,SMART,STP,0.0000,24.1522,DAY,FEM-STOP-1.5
SELL,271,GLUE,STK,SMART,LMT,25.2556,0.0000,DAY,FEM-T1-3.0
